R B D' R' B L
U L U2 D L' F U'
U L D U2 L' F U'
U L B U2 L' U' R'
R2 L' B R' D' B2 L
U' L' B L2 F U R'
L' R2 B R' D' B2 L
F' L2 B' L U L2 U
F' L2 B' L U2 D' B2
F' L2 B' L D F2 U2
F' L2 B' L D' U2 B2
B2 R D B' R' B' L
B' R B2 L D' R' B
B' R B2 R' D L B'
B' R B2 D L R' B'
B' R B2 D R' L B'
B' R B2 D' L R' B
B' R B2 D' R' L B
L' U' B L2 F U R'
B R' U2 D' R F' U2
B R' D' U2 R F' U2
B2 R2 B' R' D B2 L
U' D L B' U2 B U'
F2 U L B U R' F2
F2 U L B U F2 R'
F U L U D2 F' R
F U L D2 U F' R
D U L B' U2 L' U'
F U L B U F' R'
U D L B' U2 L' U'
B2 U R' F' U2 F U
F2 U D L R2 B' U
F2 U D L B' R2 U
F2 U D R2 L B' U
F U D L B' U F'
F U D2 L U F' R
D U' L B' U2 B U'
B2 U' R' U2 R B U
D2 F L' U L2 U F'
D2 F L' U2 D' F' B2
D2 F L' U2 D' B2 F'
D2 F L' U2 F' D' B2
D2 F L' D F2 U2 F
D2 F L' D' U2 F' B2
D2 F L' D' U2 B2 F'
F' U2 F B D' R' B
F2 U2 F2 B D' R' B
F U2 F' B D' R' B
F' U2 B D' R' F B
F' U2 B D' R' B F
F' U2 B D' F R' B
F' U2 B F D' R' B
F2 U2 B F2 D' R' B
F U2 B D' F' R' B
F U2 B F' D' R' B
D F U L B' U F'
B D L' F U2 F' R'
B D R B2 L R2 B'
B D R B2 L B' R2
B D R B2 R2 L B'
F2 D U L R2 B' U
F2 D U L B' R2 U
F2 D U R2 L B' U
F D U L B' U F'
B D' R B R2 B L
B D' R B2 L R2 B
B D' R B2 R2 L B
B D' R' F2 L' F2 B
B D' R' F2 L' B F2
B D' R' F2 B L' F2
B D' R' B U2 R U2
B D' R' B F2 L' F2
B D' R2 D2 L2 R B
B D' R2 D2 R L2 B
B D' R2 D2 R B L2
B D' F U2 F' R' B
B D' F' U2 R' F B
B D' F' U2 R' B F
B D' F' U2 F R' B
B D' F2 R' F2 L' B
B D' F2 R' F2 B L'
B D' F2 R' B F2 L'
B D' F2 U2 R' F2 B
B D' F2 U2 R' B F2
B D' F2 U2 F2 R' B
D F2 U L B' U F2
F D2 U L U F' R
R B L D' R' B L
R B L' D' R' B L
R B L2 D' R' B L
R2 B R' D B2 L B'
R B R' D B L B'
L' B D F2 U2 R' F2
L' B D F2 U2 F2 R'
R' B D' R' D2 L2 B
R' B D' R' D2 B L2
R' B D' R' B D2 L2
L' B D' R B2 L R2
L' B D' R B2 R2 L
U2 B D' R' B D2 F2
R2 B D' R' D' L2 B
R2 B D' R' D' B L2
R2 B D' R' B D' L2
R B D R' B L B'
R B D B L B' R'
R2 B D2 L2 D R' B
R B D' L R' B L
R B D' L' R' B L
R B D' L2 R' B L
R B D' R' L B L
R B D' R' L' B L
R B D' R' L2 B L
R B D' R' D B L
R B D' R' D' B L
R B D' R' D2 B L
R B D' R' B L D
R B D' R' B L D'
R B D' R' B L D2
R B D' R' B D L
R B D' R' B D' L
R B D' R' B D2 L
L2 B' L D F2 U2 F2
F' B U2 D' R' F B
F' B U2 D' R' B F
F' B U2 D' F R' B
F' B U2 F D' R' B
F2 B U2 F2 D' R' B
B F U2 D' F' R' B
B F U2 F' D' R' B
F B U2 D' F' R' B
F B U2 F' D' R' B
L' B' R D' B2 L R'
L' B' R D' B2 R' L
F' B D' U2 R' F B
F' B D' U2 R' B F
F' B D' U2 F R' B
B F D' U2 F' R' B
F B D' U2 F' R' B
U B' U L U2 L' B'
L' B' D L F2 U2 F2
U B' U' L F U2 F'
L' B' D F2 L U2 F2
L' B' D' R B2 L R'
L' B' D' R B2 R' L
B2 F' U' R' U' F R
B2 F' U2 F R D B2
B F' U2 D' R' F B
B F' U2 D' R' B F
B F' U2 D' F R' B
B F' U2 F D' R' B
B F' D' U2 R' F B
B F' D' U2 R' B F
B F' D' U2 F R' B
R B2 L U R' F' U'
R B2 L B' D' R' B
R B2 U R' F' U' L
F' B2 U' R' U' F R
F' B2 U2 F R D B2
B F2 U2 F2 D' R' B
