D L R2 F2 B U'
D L R2 B F2 U'
F2 L2 U' B' L' U'
D R2 L F2 B U'
D R2 L B F2 U'
D R2 F2 L B U'
D' F' B2 L2 R' U
D' F' B2 R' L2 U
L2 F2 U R F U
D' B2 L2 F' R' U
D' B2 F' L2 R' U
D' B2 F' R' L2 U
D' B2 F' R' L2 U
D L R' F2 R' B U'
D L R2 D B U' R2
D L R2 F2 D B U'
D L R2 F2 D' B U'
D L R2 F2 D2 B U'
D L R2 F2 B U' D
D L R2 F2 B U' D'
D L R2 F2 B U' D2
D L R2 F2 B D U'
D L R2 F2 B D' U'
D L R2 F2 B D2 U'
D L R2 B U' D R2
D L R2 B D U' R2
D L R2 B F2 U' D
D L R2 B F2 U' D'
D L R2 B F2 U' D2
D L R2 B F2 D U'
D L R2 B F2 D' U'
D L R2 B F2 D2 U'
F' L U F' L U2 L'
F' L U' L F' U2 F
D' L U2 L F' B2 U
D' L U2 L B2 F' U
D' L U2 F' L B2 U
D2 L U2 F' U R2 B2
D2 L U2 F' U B2 R2
R2 L D2 B U' B R'
D2 L D' R2 F2 B U'
D2 L D' R2 B F2 U'
F L D2 B2 U' R' B
D L F2 R2 U2 F U
D L B R2 F2 B U'
D L B R2 B F2 U'
D L B' R2 F2 B U'
D L B' R2 B F2 U'
D L B2 R2 F2 B U'
D L B2 R2 B F2 U'
D L' R2 F2 L2 B U'
D L' R2 F2 B L2 U'
D L' R2 B L2 F2 U'
D L' R2 B F2 L2 U'
L2 R' F2 U R F' U
D L' F2 L2 R2 B' U'
D L' F2 L2 B' R2 U'
D L' F2 R2 L2 B' U'
F2 L2 R U' B' L' U'
F2 L2 R' U' B' L' U'
L R2 D2 B U' B R'
F2 L2 R2 U' B' L' U'
D L2 R2 B L' F2 U'
R' L2 F2 U R F' U
F L2 U F2 R U B'
F2 L2 U' D B' L' U'
F2 L2 U' D' B' L' U'
F2 L2 U' D2 B' L' U'
F2 L2 U' B L' B2 U'
F2 L2 U' B' L' U' D
F2 L2 U' B' L' U' D'
F2 L2 U' B' L' U' D2
F2 L2 U' B' L' D U'
F2 L2 U' B' L' D' U'
F2 L2 U' B' L' D2 U'
F2 L2 U' B' D L' U'
F2 L2 U' B' D' L' U'
F2 L2 U' B' D2 L' U'
F2 L2 U' B2 L' B U'
F2 L2 D U' B' L' U'
F2 L2 D' U' B' L' U'
L U L F2 U F U
F2 L2 D2 U' B' L' U'
D' L2 F2 R F B2 U
D' L2 F2 R B2 F U
U' L2 F2 U R F U
B2 L2 F2 U R' F U
U2 L2 F2 U R F U
B2 L2 F2 U F R' U
D' L2 F2 B2 R F U
U L2 F2 U R F U
F2 L2 B U' L' B2 U'
F2 L2 B U' B2 L' U'
F2 L2 B' U' L' U' L
F2 L2 B2 U' L' B U'
F2 L2 B2 U' B L' U'
D' L2 B2 F2 R F U
F2 R L2 U' B' L' U'
L2 U' L' D R2 B U'
L2 U' D L' R2 B U'
D' R B2 L2 R' F' U
L2 U' D R2 L' B U'
L2 U' D R2 B L' U'
D' R B2 R' L2 F' U
D' R B2 R' F' L2 U
D R' L F2 R' B U'
F2 R' L2 U' B' L' U'
D R' F2 L R' B U'
D R' F2 R' L B U'
D R2 L D B U' R2
D R2 L F2 D B U'
D R2 L F2 D' B U'
D R2 L F2 D2 B U'
D R2 L F2 B U' D
D R2 L F2 B U' D'
D R2 L F2 B U' D2
D R2 L F2 B D U'
D R2 L F2 B D' U'
D R2 L F2 B D2 U'
D R2 L B U' D R2
D R2 L B D U' R2
D R2 L B F2 U' D
D R2 L B F2 U' D'
D R2 L B F2 U' D2
D R2 L B F2 D U'
D R2 L B F2 D' U'
D R2 L B F2 D2 U'
L U2 D2 F' U B2 R'
D R2 L' F2 L2 B U'
D R2 L' F2 B L2 U'
F2 R2 L2 U' B' L' U'
D R2 L' B L2 F2 U'
D R2 L' B F2 L2 U'
D2 R2 U L B U' B
D R2 L2 B L' F2 U'
L U2 F' U' L F' U2
L U2 F' U' F' L U2
D R2 D L B U' R2
F' R2 D' B2 R' U B'
R2 D L F2 B R2 U'
R2 D L B R2 F2 U'
R2 D L B F2 R2 U'
D R2 F' L F' B U'
D R2 F' L B F' U'
D R2 F2 L D B U'
D R2 F2 L D' B U'
D R2 F2 L D2 B U'
D R2 F2 L B U' D
D R2 F2 L B U' D'
D R2 F2 L B U' D2
D R2 F2 L B D U'
D R2 F2 L B D' U'
D R2 F2 L B D2 U'
D R2 F2 L' B L2 U'
D R2 F2 L2 B L' U'
D R2 F2 D L B U'
D R2 F2 D' L B U'
D R2 F2 D2 L B U'
L' D R2 B U' F2 R
D' R2 B2 L2 R' F U
D' R2 B2 L2 F R' U
D' R2 B2 R' L2 F U
L2 D U' L' R2 B U'
U' D L R2 F2 B U'
U' D L R2 B F2 U'
L2 D U' R2 L' B U'
L2 D U' R2 B L' U'
U2 D L R2 F2 B U'
U2 D L R2 B F2 U'
D U L R2 F2 B U'
D U L R2 B F2 U'
U D L R2 F2 B U'
U D L R2 B F2 U'
R2 D F2 L B R2 U'
U' D R2 L F2 B U'
U' D R2 L B F2 U'
U2 D R2 L F2 B U'
U2 D R2 L B F2 U'
U' D R2 F2 L B U'
L D B R2 B U' R'
D U R2 L F2 B U'
D U R2 L B F2 U'
U2 D R2 F2 L B U'
U D R2 L F2 B U'
U D R2 L B F2 U'
D U R2 F2 L B U'
U D R2 F2 L B U'
F2 U D' F B2 R' U
L D B2 R2 B U' R
D' U F' B2 L2 R' U
D' U F' B2 R' L2 U
F2 U D' B2 R' F U
F2 U D' B2 F R' U
F2 U F D' B2 R' U
D' U B2 L2 F' R' U
D' U B2 F' L2 R' U
D' U B2 F' R' L2 U
D U' L R2 F2 B U'
D U' L R2 B F2 U'
D U' R2 L F2 B U'
D U' R2 L B F2 U'
D U' R2 F2 L B U'
U' D' F' B2 L2 R' U
D' U' F' B2 L2 R' U
U' D' F' B2 R' L2 U
D' U' F' B2 R' L2 U
U2 D' F' B2 L2 R' U
U2 D' F' B2 R' L2 U
U D' F' B2 L2 R' U
U D' F' B2 R' L2 U
R2 D' B2 L2 R' F U
R2 D' B2 L2 F R' U
R2 D' B2 R' L2 F U
R' D2 L B' U' R2 B'
R' D2 L B' U' B' R2
R D' B2 L2 R' F' U
R D' B2 R' L2 F' U
R D' B2 R' F' L2 U
D' U' B2 L2 F' R' U
U' D' B2 L2 F' R' U
R2 D2 L B U' B R2
D' U' B2 F' L2 R' U
U' D' B2 F' L2 R' U
D' U' B2 F' R' L2 U
U' D' B2 F' R' L2 U
U2 D' B2 L2 F' R' U
F' U' F' L2 U' L' U'
U2 D' B2 F' L2 R' U
U2 D' B2 F' R' L2 U
U D' B2 L2 F' R' U
D U2 L R2 F2 B U'
D U2 L R2 B F2 U'
U D' B2 F' L2 R' U
U D' B2 F' R' L2 U
L D2 R2 B U' B R'
F' U2 L U L F' U2
F' U2 L U F' L U2
D U2 R2 L F2 B U'
D U2 R2 L B F2 U'
D U2 R2 F2 L B U'
L D2 U2 F' U B2 R'
D' U2 F' B2 L2 R' U
D' U2 F' B2 R' L2 U
D' U2 B2 L2 F' R' U
D' U2 B2 F' L2 R' U
D' U2 B2 F' R' L2 U
F' U2 D2 L U' R2 B
D' F L2 F2 R B2 U
D' F L2 F2 B2 R U
D' F L2 B2 F2 R U
B' D R2 F2 B L U'
B' D R2 B L F2 U'
B' D R2 B F2 L U'
B2 D R2 F2 L' B U'
B2 D R2 F2 B L' U'
B2 D R2 B F2 L' U'
D' F B2 L2 R' F2 U
D' F B2 L2 F2 R' U
D' F B2 R' L2 F2 U
D' F B2 R' F2 L2 U
D' F' L2 B2 U2 L' U'
D' F' R B2 L2 R' U
D' F' R B2 R' L2 U
D' F' R' B2 L2 R' U
D' F' R' B2 R' L2 U
D' F' R2 B2 L2 R' U
D' F' R2 B2 R' L2 U
D2 F' U2 L U' R2 B2
D2 F' U2 L U' B2 R2
L F' U F' L U2 L'
L F' U' L F' U2 F
D F' U2 L F' R2 U'
D2 F' D B2 L2 R' U
D2 F' D B2 R' L2 U
D F' U2 F' L R2 U'
D F' U2 F' R2 L U'
B2 D' L2 F' R' B2 U
L' F' D2 R2 U B R'
D' F' B L2 B R' U
F' D' R' B2 R' U B
F' D' R2 B2 R' U B'
D' F' B2 L2 R' U D
D' F' B2 L2 R' U D'
D' F' B2 L2 R' U D2
D' F' B2 L2 R' D U
D' F' B2 L2 R' D' U
D' F' B2 L2 R' D2 U
D' F' B2 L2 D R' U
D' F' B2 L2 D' R' U
D' F' B2 L2 D2 R' U
D' F' B2 R' L2 U D
D' F' B2 R' L2 U D'
D' F' B2 R' L2 U D2
D' F' B2 R' L2 D U
D' F' B2 R' L2 D' U
D' F' B2 R' L2 D2 U
D' F' B2 R' U D' B2
D' F' B2 R' D' U B2
D' F' B2 D' R' U B2
F2 D' U F B2 R' U
F2 D' U B2 R' F U
F2 D' U B2 F R' U
U' F2 L2 U' B' L' U'
U2 F2 L2 U' B' L' U'
B2 D' F' L2 R' B2 U
B2 D' F' R' L2 B2 U
B2 D' F' R' B2 L2 U
R2 F2 L2 U' L' B U'
R2 F2 L2 U' B L' U'
D F2 L2 R2 B' L' U'
L2 F2 R U F U F'
U F2 L2 U' B' L' U'
D F2 L2 B' L' R2 U'
D F2 L2 B' R2 L' U'
L2 F2 R' U R2 F U
L2 F2 R' U F R2 U
L2 F2 R2 U R' F U
L2 F2 R2 U F R' U
D F2 R2 L2 B' L' U'
L2 F2 U R D F U
L2 F2 U R D' F U
L2 F2 U R D2 F U
L2 F2 U R F U D
L2 F2 U R F U D'
L2 F2 U R F U D2
L2 F2 U R F D U
L2 F2 U R F D' U
L2 F2 U R F D2 U
L2 F2 U R' F R2 U
L2 F2 U R2 F R' U
L2 F2 U D R F U
L2 F2 U D' R F U
L2 F2 U D2 R F U
L' F2 U' L2 B' U' R
F D' B2 R' U L2 B'
L2 F2 D U R F U
L2 F2 D' U R F U
L2 F2 D2 U R F U
L2 F2 B U R F U
D' F2 B2 R' F L2 U
L2 F2 B' U R F U
L2 F2 B2 U R F U
F' D2 U2 L U' R2 B
D' B L2 F' B R' U
D' B L2 B F' R' U
B2 D2 F' R' U R' B2
B D2 F' R U R B2
B D2 F' R U B2 R
F' D2 B2 R' U R' B
F2 B L2 U' B' L U'
D' B F' L2 B R' U
L2 B F2 U R F U
D B' R2 F2 B L U'
D B' R2 B L F2 U'
D B' R2 B F2 L U'
L2 B' F2 U R F U
D' B2 L F' L R' U
D' B2 L F' R' L U
B2 F' D2 R' U R' B
D' B2 L2 D F' R' U
D' B2 L2 D' F' R' U
D' B2 L2 D2 F' R' U
D' B2 L2 F R' F2 U
D' B2 L2 F' R' U D
D' B2 L2 F' R' U D'
D' B2 L2 F' R' U D2
D' B2 L2 F' R' D U
D' B2 L2 F' R' D' U
D' B2 L2 F' R' D2 U
D' B2 L2 F' D R' U
D' B2 L2 F' D' R' U
D' B2 L2 F' D2 R' U
D' B2 L2 F2 R' F U
B F2 L2 U' B' L U'
D B2 R2 F2 L' B U'
D B2 R2 F2 B L' U'
D B2 R2 B F2 L' U'
D2 B2 U' F' R' U R'
D' B2 D' F' R' U B2
L B2 D R2 B U' R
D' B2 F L2 R' F2 U
D' B2 F L2 F2 R' U
D' B2 F R' L2 F2 U
D' B2 F R' F2 L2 U
D' B2 F' L2 R' U D
D' B2 F' L2 R' U D'
D' B2 F' L2 R' U D2
D' B2 F' L2 R' D U
D' B2 F' L2 R' D' U
D' B2 F' L2 R' D2 U
D' B2 F' L2 D R' U
D' B2 F' L2 D' R' U
D' B2 F' L2 D2 R' U
D' B2 F' R' L2 U D
D' B2 F' R' L2 U D'
D' B2 F' R' L2 U D2
D' B2 F' R' L2 U D
D' B2 F' R' L2 U D'
D' B2 F' R' L2 U D2
D' B2 F' R' L2 D U
D' B2 F' R' L2 D' U
D' B2 F' R' L2 D2 U
D' B2 F' R' U D' B2
D' B2 F' R' D' U B2
D' B2 F' D' R' U B2
D' B2 F2 R' F L2 U
F' B2 D2 R' U R' B
L2 B2 F2 U R F U
