U' R B U2 R'
U' L R B U2 R'
U' L' R B U2 R'
U' L2 R B U2 R'
U' R L B U2 R'
U' R L' B U2 R'
U' R L2 B U2 R'
U' R B L U2 R'
U' R B L' U2 R'
U' R B L2 U2 R'
U' R B U2 R' D
U' R B U2 R' D'
U' R B U2 R' D2
U' R B U2 D R'
U' R B U2 D' R'
U' R B U2 D2 R'
U' R B D U2 R'
U' R B D' U2 R'
U' R B D2 U2 R'
U' R B' L B2 U2
B' U' L R B U2
B' U' R L B U2
B U' R U2 R2 F'
B U' R B U2 R2
U' B R U2 R2 F'
U' B R B U2 R2
U' B' L R B U2
U' B' R L B U2
U' B2 R B L U2
U' L R B L U2 R'
U' L R B L' U2 R'
U' L R B L2 U2 R'
U' L R B U2 R' D
U' L R B U2 R' D'
U' L R B U2 R' D2
U' L R B U2 D R'
U' L R B U2 D' R'
U' L R B U2 D2 R'
U' L R B D U2 R'
U' L R B D' U2 R'
U' L R B D2 U2 R'
U' L R B' L B2 U2
U2 L U R B U2 R'
U L F2 L' D2 F' R
U L F2 D2 L' F' R
U' L B R U2 R2 F'
U' L B R B U2 R2
U' L B' L R B U2
U' L B' R L B U2
U' L B2 R B L U2
U' L' R B L U2 R'
U' L' R B L' U2 R'
U' L' R B L2 U2 R'
U' L' R B U2 R' D
U' L' R B U2 R' D'
U' L' R B U2 R' D2
U' L' R B U2 D R'
U' L' R B U2 D' R'
U' L' R B U2 D2 R'
U' L' R B D U2 R'
U' L' R B D' U2 R'
U' L' R B D2 U2 R'
U' L' R B' L B2 U2
U L' R B' L U2 B
U2 L' U R B U2 R'
U L' U2 R B' L U2
U L' U2 B' L R U2
U L' U2 B' R L U2
U' L' B R U2 R2 F'
U' L' B R B U2 R2
U' L' B' L R B U2
U' L' B' R L B U2
U' L' B2 R B L U2
U' L2 R B L U2 R'
U' L2 R B L' U2 R'
U' L2 R B L2 U2 R'
U' L2 R B U2 R' D
U' L2 R B U2 R' D'
U' L2 R B U2 R' D2
U' L2 R B U2 D R'
U' L2 R B U2 D' R'
U' L2 R B U2 D2 R'
U' L2 R B D U2 R'
U' L2 R B D' U2 R'
U' L2 R B D2 U2 R'
U' L2 R B' L B2 U2
U2 L2 U R B U2 R'
U L2 D2 F' R F' L'
U' L2 B R U2 R2 F'
U' L2 B R B U2 R2
U' L2 B' L R B U2
U' L2 B' R L B U2
U' L2 B2 R B L U2
U' R L B L U2 R'
U' R L B L' U2 R'
U' R L B L2 U2 R'
U' R L B U2 R' D
U' R L B U2 R' D'
U' R L B U2 R' D2
U' R L B U2 D R'
U' R L B U2 D' R'
U' R L B U2 D2 R'
U' R L B D U2 R'
U' R L B D' U2 R'
U' R L B D2 U2 R'
U' R L B' L B2 U2
U' R L' B L U2 R'
U' R L' B L' U2 R'
U' R L' B L2 U2 R'
U' R L' B U2 R' D
U' R L' B U2 R' D'
U' R L' B U2 R' D2
U' R L' B U2 D R'
U' R L' B U2 D' R'
U' R L' B U2 D2 R'
U' R L' B D U2 R'
U' R L' B D' U2 R'
U' R L' B D2 U2 R'
U' R L' B' L B2 U2
U R L' B' L U2 B
U' R L2 B L U2 R'
U' R L2 B L' U2 R'
U' R L2 B L2 U2 R'
U' R L2 B U2 R' D
U' R L2 B U2 R' D'
U' R L2 B U2 R' D2
U' R L2 B U2 D R'
U' R L2 B U2 D' R'
U' R L2 B U2 D2 R'
U' R L2 B D U2 R'
U' R L2 B D' U2 R'
U' R L2 B D2 U2 R'
U' R L2 B' L B2 U2
U' R U2 R2 D2 F' R
U' R U2 D2 R2 F' R
U' R D2 U2 R2 F' R
F R F B U L' R'
F R F B U R' L'
R' U' R B R U2 R2
R2 U' R B R2 U2 R
U' R B L U2 R' D
U' R B L U2 R' D'
U' R B L U2 R' D2
U' R B L U2 D R'
U' R B L U2 D' R'
U' R B L U2 D2 R'
U' R B L D U2 R'
U' R B L D' U2 R'
U' R B L D2 U2 R'
U' R B L' U2 R' D
U' R B L' U2 R' D'
U' R B L' U2 R' D2
U' R B L' U2 D R'
U' R B L' U2 D' R'
U' R B L' U2 D2 R'
U' R B L' D U2 R'
U' R B L' D' U2 R'
U' R B L' D2 U2 R'
U' R B L2 U2 R' D
U' R B L2 U2 R' D'
U' R B L2 U2 R' D2
U' R B L2 U2 D R'
U' R B L2 U2 D' R'
U' R B L2 U2 D2 R'
U' R B L2 D U2 R'
U' R B L2 D' U2 R'
U' R B L2 D2 U2 R'
R2 U' R' U2 D2 F' R
U' R B U' F U' R'
U' R B U' F' U' R'
U' R B U' F2 U' R'
R2 U' R' D2 U2 F' R
U' R B U2 R2 D R
U' R B U2 R2 D' R
U' R B U2 R2 D2 R
U' R B U2 D R' D
U' R B U2 D R' D'
U' R B U2 D R' D2
U' R B U2 D' R' D
U' R B U2 D' R' D'
U' R B U2 D' R' D2
U' R B U2 D2 R' D
U' R B U2 D2 R' D'
U' R B U2 D2 R' D2
U' R B U2 F' R' F
U' R B U2 F2 R' F2
U' R B D L U2 R'
U' R B D L' U2 R'
U' R B D L2 U2 R'
U' R B D U2 R' D
U' R B D U2 R' D'
U' R B D U2 R' D2
U' R B D' L U2 R'
U' R B D' L' U2 R'
U' R B D' L2 U2 R'
U' R B D' U2 R' D
U' R B D' U2 R' D'
U' R B D' U2 R' D2
U' R B D2 L U2 R'
U' R B D2 L' U2 R'
U' R B D2 L2 U2 R'
U' R B D2 U2 R' D
U' R B D2 U2 R' D'
U' R B D2 U2 R' D2
R2 U' R' B U2 F' R'
R2 U' R' B' L U2 F'
