U' L' B' U' R'
U' L' D B' U' R'
U' L' D' B' U' R'
U' L' D2 B' U' R'
U' L' F B' U' R'
U' L' F' B' U' R'
U' L' F2 B' U' R'
U' L' B' U' R' D
U' L' B' U' R' D'
U' L' B' U' R' D2
U' L' B' U' D R'
U' L' B' U' D' R'
U' L' B' U' D2 R'
U' L' B' D U' R'
U' L' B' D' U' R'
U' L' B' D2 U' R'
U' L' B' F U' R'
U' L' B' F' U' R'
U' L' B' F2 U' R'
R' U' L' F' B' U'
R' U' L' B' F' U'
B' R' U' L' F' U'
U' D L' B' U' R'
U' D' L' B' U' R'
D2 U' L' B' U' R'
D' U' L' B' U' R'
D U' L' B' U' R'
U' D2 L' B' U' R'
B' L R' U' L2 F' U'
B' L R' U' F' L2 U'
U2 L F' D L' R2 F2
U2 L F' D L' F2 R2
U2 L F' D R2 L' F2
B' L' R' U' F' U' F
U' L' R' B' R U' R2
B L' R' F' U' L2 B'
U' L' R2 B' R2 U' R
U' L' D F B' U' R'
U' L' D F' B' U' R'
U' L' D F2 B' U' R'
U' L' D B' U' R' D
U' L' D B' U' R' D'
U' L' D B' U' R' D2
U' L' D B' U' D R'
U' L' D B' U' D' R'
U' L' D B' U' D2 R'
U' L' D B' D U' R'
U' L' D B' D' U' R'
U' L' D B' D2 U' R'
U' L' D B' F U' R'
U' L' D B' F' U' R'
U' L' D B' F2 U' R'
U' L' D' F B' U' R'
U' L' D' F' B' U' R'
U' L' D' F2 B' U' R'
U' L' D' B' U' R' D
U' L' D' B' U' R' D'
U' L' D' B' U' R' D2
U' L' D' B' U' D R'
U' L' D' B' U' D' R'
U' L' D' B' U' D2 R'
U' L' D' B' D U' R'
U' L' D' B' D' U' R'
U' L' D' B' D2 U' R'
U' L' D' B' F U' R'
U' L' D' B' F' U' R'
U' L' D' B' F2 U' R'
U' L' D2 F B' U' R'
U' L' D2 F' B' U' R'
U' L' D2 F2 B' U' R'
U' L' D2 B' U' R' D
U' L' D2 B' U' R' D'
U' L' D2 B' U' R' D2
U' L' D2 B' U' D R'
U' L' D2 B' U' D' R'
U' L' D2 B' U' D2 R'
U' L' D2 B' D U' R'
U' L' D2 B' D' U' R'
U' L' D2 B' D2 U' R'
U' L' D2 B' F U' R'
U' L' D2 B' F' U' R'
U' L' D2 B' F2 U' R'
U' L' F D B' U' R'
U' L' F D' B' U' R'
U' L' F D2 B' U' R'
U' L' F B' U' R' D
U' L' F B' U' R' D'
U' L' F B' U' R' D2
U' L' F B' U' D R'
U' L' F B' U' D' R'
U' L' F B' U' D2 R'
U' L' F B' D U' R'
U' L' F B' D' U' R'
U' L' F B' D2 U' R'
U' L' F' D B' U' R'
B L' F' U' L2 B' R'
U' L' F' D' B' U' R'
U' L' F' D2 B' U' R'
U' L' F' B' U' R' D
U' L' F' B' U' R' D'
U' L' F' B' U' R' D2
U' L' F' B' U' D R'
U' L' F' B' U' D' R'
U' L' F' B' U' D2 R'
U' L' F' B' D U' R'
U' L' F' B' D' U' R'
U' L' F' B' D2 U' R'
U' L' F2 D B' U' R'
U' L' F2 D' B' U' R'
U' L' F2 D2 B' U' R'
U' L' F2 B' U' R' D
U' L' F2 B' U' R' D'
U' L' F2 B' U' R' D2
U' L' F2 B' U' D R'
U' L' F2 B' U' D' R'
U' L' F2 B' U' D2 R'
U' L' F2 B' D U' R'
U' L' F2 B' D' U' R'
U' L' F2 B' D2 U' R'
U' L' B' U L U2 R'
U' L' B' U L' U2 R'
U' L' B' U L2 U2 R'
U' L' B' U' R2 D R
U' L' B' U' R2 D' R
U' L' B' U' R2 D2 R
U' L' B' U' D R' D
U' L' B' U' D R' D'
U' L' B' U' D R' D2
U' L' B' U' D' R' D
U' L' B' U' D' R' D'
U' L' B' U' D' R' D2
U' L' B' U' D2 R' D
U' L' B' U' D2 R' D'
U' L' B' U' D2 R' D2
U' L' B' U' F' R' F
U' L' B' U' F2 R' F2
U' L' B' D U' R' D
U' L' B' D U' R' D'
U' L' B' D U' R' D2
U' L' B' D F U' R'
U' L' B' D F' U' R'
U' L' B' D F2 U' R'
U' L' B' D' U' R' D
U' L' B' D' U' R' D'
U' L' B' D' U' R' D2
U' L' B' D' F U' R'
U' L' B' D' F' U' R'
U' L' B' D' F2 U' R'
U' L' B' D2 U' R' D
U' L' B' D2 U' R' D'
U' L' B' D2 U' R' D2
U' L' B' D2 F U' R'
U' L' B' D2 F' U' R'
U' L' B' D2 F2 U' R'
U' L' B' F U' R' D
U' L' B' F U' R' D'
U' L' B' F U' R' D2
U' L' B' F U' D R'
U' L' B' F U' D' R'
U' L' B' F U' D2 R'
U' L' B' F D U' R'
U' L' B' F D' U' R'
U' L' B' F D2 U' R'
U' L' B' F' U' R' D
U' L' B' F' U' R' D'
U' L' B' F' U' R' D2
U' L' B' F' U' D R'
U' L' B' F' U' D' R'
U' L' B' F' U' D2 R'
U' L' B' F' D U' R'
U' L' B' F' D' U' R'
U' L' B' F' D2 U' R'
U' L' B' F2 U' R' D
U' L' B' F2 U' R' D'
U' L' B' F2 U' R' D2
U' L' B' F2 U' D R'
U' L' B' F2 U' D' R'
U' L' B' F2 U' D2 R'
U' L' B' F2 D U' R'
U' L' B' F2 D' U' R'
U' L' B' F2 D2 U' R'
B' L2 R' U' L F' U'
B' L2 R' U' F' L U'
U' L2 F L B' U' R'
U' L2 F' L B' U' R'
U' L2 F2 L B' U' R'
U2 R U L' B' U' R'
R U B U2 L' B' U'
F2 R D' L2 B U L
F2 R D' B L2 U L'
L2 U' L U2 F U R
R' U' L' D F' B' U'
R' U' L' D B' F' U'
R' U' L' D' F' B' U'
R' U' L' D' B' F' U'
R' U' L' D2 F' B' U'
R' U' L' D2 B' F' U'
R' U' L' F' D B' U'
R' U' L' F' D' B' U'
R' U' L' F' D2 B' U'
R' U' L' F' B' U' D
R' U' L' F' B' U' D'
R' U' L' F' B' U' D2
R' U' L' F' B' D U'
R' U' L' F' B' D' U'
R' U' L' F' B' D2 U'
F2 R D2 B U L B
R' U' L' B' D F' U'
R' U' L' B' D' F' U'
R' U' L' B' D2 F' U'
R' U' L' B' F' U' D
R' U' L' B' F' U' D'
R' U' L' B' F' U' D2
R' U' L' B' F' D U'
R' U' L' B' F' D' U'
R' U' L' B' F' D2 U'
L2 U' L' B' L2 U' R'
R' U' L2 F' L B' U'
L U' L' B' L' U' R'
R U' L' B' U' D' R2
R U' L' B' U2 B2 U
R U' L' B' D' U' R2
R U' L' B' D2 F2 U'
F2 R B U L D2 B2
F2 R B U D2 L B2
F2 R B U' F2 U2 L
F2 R B D' L2 U L'
F2 R B D2 U L B2
R' U' D L' F' B' U'
R' U' D L' B' F' U'
R' U' D' L' F' B' U'
R' U' D' L' B' F' U'
R' U' D2 L' F' B' U'
R' U' D2 L' B' F' U'
B' R' L U' L2 F' U'
B' R' L U' F' L2 U'
R2 U' D2 L' F B' U'
R2 U' D2 L' B' F U'
B' R' L' U' F' U' F
U' R' L' B' R U' R2
B' R' L2 U' L F' U'
B' R' L2 U' F' L U'
B R' L' F' U' L2 B'
U2 R' U L' B' U' R'
D2 R' U' L' F' B' U'
D2 R' U' L' B' F' U'
D' R' U' L' F' B' U'
B' R' U' L F' L2 U'
D' R' U' L' B' F' U'
B' R' U' L' D F' U'
B' R' U' L' D' F' U'
B' R' U' L' D2 F' U'
B' R' U' L' F' U' D
B' R' U' L' F' U' D'
B' R' U' L' F' U' D2
B' R' U' L' F' D U'
B' R' U' L' F' D' U'
B' R' U' L' F' D2 U'
B' R' U' L2 F' L U'
R' U' B L' F' B' U'
R' U' B L' B' F' U'
B' R' U' D L' F' U'
B' R' U' D' L' F' U'
B' R' U' D2 L' F' U'
D R' U' L' F' B' U'
D R' U' L' B' F' U'
B R' U' L' F' U' L2
R' U' B' L' F' B' U'
R' U' B' L' B' F' U'
R' U' B2 L' F' B' U'
R' U' B2 L' B' F' U'
B' R' D U' L' F' U'
B' R' D' U' L' F' U'
B' R' D2 U' L' F' U'
B' R' B U' L' F' U'
B' R' B' U' L' F' U'
B' R' B2 U' L' F' U'
U' R2 L' B' R2 U' R
U2 R2 U L' B' U' R'
U R2 F2 R F' U R
R' D U' L' F' B' U'
R' D U' L' B' F' U'
U' D L' D B' U' R'
U' D L' D' B' U' R'
U' D L' D2 B' U' R'
U' D L' F B' U' R'
U' D L' F' B' U' R'
U' D L' F2 B' U' R'
U' D L' B' U' R' D
U' D L' B' U' R' D'
U' D L' B' U' R' D2
U' D L' B' U' D R'
U' D L' B' U' D' R'
U' D L' B' U' D2 R'
U' D L' B' D U' R'
U' D L' B' D' U' R'
U' D L' B' D2 U' R'
U' D L' B' F U' R'
U' D L' B' F' U' R'
U' D L' B' F2 U' R'
B U F U L R F
B U F U R L F
D' U' L' D B' U' R'
U' D' L' D B' U' R'
U' D' L' D' B' U' R'
D' U' L' D' B' U' R'
D2 U' L' D B' U' R'
U' D' L' D2 B' U' R'
D' U' L' D2 B' U' R'
D2 U' L' D' B' U' R'
U' D' L' F B' U' R'
D' U' L' F B' U' R'
D2 U' L' D2 B' U' R'
D' U' L' F' B' U' R'
U' D' L' F' B' U' R'
D2 U' L' F B' U' R'
U' D' L' F2 B' U' R'
D' U' L' F2 B' U' R'
R' D' U' L' F' B' U'
D2 U' L' F' B' U' R'
R' D' U' L' B' F' U'
D2 U' L' F2 B' U' R'
U' D' L' B' U' R' D
U' D' L' B' U' R' D'
U' D' L' B' U' R' D2
D' U' L' B' U' R' D
D' U' L' B' U' R' D'
D' U' L' B' U' R' D2
U' D' L' B' U' D R'
U' D' L' B' U' D' R'
D' U' L' B' U' D R'
D' U' L' B' U' D' R'
D' U' L' B' U' D2 R'
U' D' L' B' U' D2 R'
U' D' L' B' D U' R'
D' U' L' B' D U' R'
D' U' L' B' D' U' R'
U' D' L' B' D' U' R'
U' D' L' B' D2 U' R'
D' U' L' B' D2 U' R'
U' D' L' B' F U' R'
D' U' L' B' F U' R'
U' D' L' B' F' U' R'
D' U' L' B' F' U' R'
U' D' L' B' F2 U' R'
D' U' L' B' F2 U' R'
D2 U' L' B' U' R' D
D2 U' L' B' U' R' D'
D2 U' L' B' U' R' D2
D2 U' L' B' U' D R'
D2 U' L' B' U' D' R'
D2 U' L' B' U' D2 R'
D2 U' L' B' D U' R'
D2 U' L' B' D' U' R'
D2 U' L' B' D2 U' R'
D2 U' L' B' F U' R'
D2 U' L' B' F' U' R'
D2 U' L' B' F2 U' R'
D U' L' D B' U' R'
D U' L' D' B' U' R'
D U' L' D2 B' U' R'
D U' L' F B' U' R'
D U' L' F' B' U' R'
D U' L' F2 B' U' R'
D U' L' B' U' R' D
D U' L' B' U' R' D'
D U' L' B' U' R' D2
D U' L' B' U' D R'
D U' L' B' U' D' R'
D U' L' B' U' D2 R'
D U' L' B' D U' R'
D U' L' B' D' U' R'
D U' L' B' D2 U' R'
D U' L' B' F U' R'
D U' L' B' F' U' R'
D U' L' B' F2 U' R'
B2 U' L' B' U' L R'
B2 U' L' B' U' R' L
B U' L' B' U' L2 R'
B U' L' B' U' R' L2
U' D2 L' D B' U' R'
U' D2 L' D' B' U' R'
U' D2 L' D2 B' U' R'
U' D2 L' F B' U' R'
U' D2 L' F' B' U' R'
U' D2 L' F2 B' U' R'
U' D2 L' B' U' R' D
U' D2 L' B' U' R' D'
U' D2 L' B' U' R' D2
U' D2 L' B' U' D R'
U' D2 L' B' U' D' R'
U' D2 L' B' U' D2 R'
U' D2 L' B' D U' R'
U' D2 L' B' D' U' R'
U' D2 L' B' D2 U' R'
U' D2 L' B' F U' R'
U' D2 L' B' F' U' R'
U' D2 L' B' F2 U' R'
B2 U' B' L' U' L2 R'
B2 U' B' L' U' R' L2
R' D2 U' L' F' B' U'
R' D2 U' L' B' F' U'
R2 D2 U' L' F B' U'
R2 D2 U' L' B' F U'
B U2 L U F L2 U'
B U2 L F' D R2 F2
B U2 L F' D F2 R2
U' F L' B' U' R' F'
B' D R' U' L' F' U'
U' F B' U' R' F' L'
F2 D' L2 R B U L
F2 D' R L2 B U L
B' D' R' U' L' F' U'
F2 D' R B L2 U L'
U F2 R' F' R2 U R'
B' D2 R' U' L' F' U'
F2 D2 R B U L B
U' B L' D F2 B' U'
U' B L' D B' F2 U'
U' B L' D2 B' U' R2
U' B L' B' U L2 U2
R' B L' F' U' L2 B'
U' B L' B' U' D2 R2
U' B L' B' D F2 U'
U' B L' B' D2 U' R2
R' B U' L' F' U' L2
U B U2 L' B' U' R'
D2 B' R' U' L' F' U'
D' B' R' U' L' F' U'
L' B' R' U' F' U' F
D B' R' U' L' F' U'
L B' R' U' L2 F' U'
L B' R' U' F' L2 U'
U B' U2 L' B' U' R'
U' B' F U' R' F' L'
U' B2 L' B' U L U2
U' B2 D L' F B' U'
U' B2 D L' B' F U'
U B2 U2 L' B' U' R'
