B' L' U' R2 D' B2
B' L' U2 L2 U R2
B' L' D' F2 U' B2
B' L' R U' R D' B2
B' L' R U' D' R B2
B' L' R U' D' B2 R
B' L' R U2 L2 U R
B' L' R D' U' R B2
B' L' R D' U' B2 R
B' L' R D2 R2 U' R'
B' L' R' U' R' D' B2
B' L' R' U' D' R' B2
B' L' R' U2 L2 U R'
B L' R B2 R2 U' R'
B L' R' U' R' D L2
B L' R' U' D L2 R'
B L' R' U' D R' L2
B' L' R' D' U' R' B2
B' L' R' D2 R2 U' R
B L' R' D U' L2 R'
B L' R' D U' R' L2
B L' R' B2 U L U2
B' L' R2 D2 R2 U' R2
B L' R2 B2 R U' R'
B' L' U' R D' R B2
B' L' U' R D' B2 R
B' L' U' R' D' R' B2
B' L' U' R2 U' L2 U
B' L' U' R2 D' B2 D
B' L' U' R2 D' B2 D'
B' L' U' R2 D' B2 D2
B' L' U' R2 B D' B2
B' L' U' R2 B' D' B2
B' L' U' R2 B2 D' B2
B' L' U' D' B2 D R2
B' L' U' B R2 D' B2
B' L' U' B' R2 D' B2
B' L' U' B2 R2 D' B2
B' L' U2 L2 U R2 D
B' L' U2 L2 U R2 D'
B' L' U2 L2 U R2 D2
B' L' U2 L2 D B2 U
B' L' U2 L2 B U R2
B' L' U2 L2 B' U R2
B' L' U2 L2 B2 U R2
B' L' U2 B L2 U R2
B' L' U2 B' L2 U R2
B' L' U2 B2 L2 U R2
B' L' D' R F2 U' B2
B' L' D' R' F2 U' B2
B' L' D' R2 F2 U' B2
B' L' D' U' B2 D R2
B' L' D' F2 R U' B2
B' L' D' F2 R' U' B2
B' L' D' F2 R2 U' B2
B' L' D' F2 U' B2 D
B' L' D' F2 U' B2 D'
B' L' D' F2 U' B2 D2
B' L' D' F2 D' R2 U'
B' L' D2 R2 U L2 U2
B' L' D2 R2 U' D2 R2
B' L' D2 R2 D F2 U'
B' L' D2 R2 D2 U' R2
B' L' F U' R2 D' B2
B' L' F U2 L2 U R2
B' L' F D' F2 U' B2
B' L' F' U' R2 D' B2
B' L' F' U2 L2 U R2
B' L' F' D' F2 U' B2
B' L' F2 U' R2 D' B2
B' L' F2 U2 L2 U R2
B' L' F2 D' F2 U' B2
B2 L' B U2 L U R2
B L' B2 U2 L U R2
B' L2 D' F2 L R U'
B' L2 D' F2 R L U'
B' L2 F2 L R U' R
B' L2 F2 R L U' R
B' R L' U' R D' B2
B' R L' U' D' R B2
B' R L' U' D' B2 R
B' R L' U2 L2 U R
B' R L' D' U' R B2
B' R L' D' U' B2 R
B' R L' D2 R2 U' R'
B R L' B2 R2 U' R'
R2 U B L' R' B2 U'
R2 U B R' L' B2 U'
R2 U B R' B2 L' U'
R2 U B' L' U' D' B2
R2 U B' L' U2 L2 U
R2 U B' L' D' U' B2
R2 U B' L' D2 R2 U'
B R B2 L' R2 U' R'
B R B2 R2 L' U' R'
B' R' L' U' R' D' B2
B' R' L' U' D' R' B2
B' R' L' U2 L2 U R'
B' R' L' D' U' R' B2
B' R' L' D2 R2 U' R
B R' L' U' R' D L2
B R' L' U' D L2 R'
B R' L' U' D R' L2
B R' L' D U' L2 R'
B R' L' D U' R' L2
B R' L' B2 U L U2
B R' D L' U' L' R'
B R' D L' U' R' L'
D' R' B' L' F2 U' B2
B R' B2 L' U L2 U2
B R' B2 L' U' D2 R2
B R' B2 L' D F2 U'
B R' B2 L' D2 U' R2
B' R2 L' D2 R2 U' R2
B R2 L' B2 R U' R'
B R2 U L' R B2 U'
B R2 U L' B2 R U'
B R2 U R L' B2 U'
B R2 U R B2 L' U'
B R2 U B2 L' R U'
B R2 U B2 R L' U'
B R2 B2 L' R U' R'
B R2 B2 R L' U' R'
B2 U' L' B U' R2 B2
B2 U' L' B U' B2 R2
B2 U' B L' U' R2 B'
B2 U' B L' U' B' R2
B' U2 L U R2 D F2
B' U2 L U2 L2 U' R2
B' U2 L D B2 U F2
B' D L' U' D' R2 B2
B' D L' U' D' B2 R2
B' D L' U2 L2 B2 U
B' D L' U2 B2 L2 U
B' D L' D' U' R2 B2
B' D L' D' U' B2 R2
B' D L' D2 R2 F2 U'
B' D L' D2 F2 R2 U'
B' D' L' F2 U' D' B2
B' D' L' F2 U2 L2 U
B' D' L' F2 D' U' B2
B' D' L' F2 D2 R2 U'
B' D' L2 F2 L R U'
B' D' L2 F2 R L U'
B' D' F2 U2 L R U
B' D' F2 U2 R L U
R2 B L' R' B2 U' R
R B L' R' B2 U' R2
R2 B R' L' B2 U' R
R2 B R' B2 L' U' R
R B R' L' B2 U' R2
R2 B U L' R' B2 U'
R B R' B2 L' U' R2
R2 B U R' L' B2 U'
R2 B U R' B2 L' U'
U' B' L' U' R2 D' B2
U' B' L' U2 L2 U R2
D' B' L' R' F2 U' B
U' B' L' D' F2 U' B2
D2 B' L' F2 U' R B
D' B' L' F2 R' U' B
U2 B' L' U' R2 D' B2
U2 B' L' U2 L2 U R2
U2 B' L' D' F2 U' B2
R2 B' L' D2 R2 U' R2
U B' L' U' R2 D' B2
U B' L' U2 L2 U R2
U B' L' D' F2 U' B2
R B' L' U' R D' B2
R B' L' U' D' R B2
R B' L' U' D' B2 R
R B' L' U2 L2 U R
D' B' R' L' F2 U' B
R B' L' D' U' R B2
R B' L' D' U' B2 R
R B' L' D2 R2 U' R'
F2 B' U2 L R U R
F2 B' U2 R L U R
B' F2 U2 L R U R
B' F2 U2 R L U R
