R' F' D' L2 B2
R' F' D' B2 L2
F L2 R U R2 F'
F L2 R2 U R F'
F R L2 U R2 F'
R' U' F L2 U F2
F' R' D' L2 F' B2
F' R' D' L2 B2 F'
F' R' D' F' L2 B2
F' R' D' F' B2 L2
F' R' D' B2 L2 F'
F' R' D' B2 F' L2
D' R' F' B2 D' L2
D' R' B2 F' D' L2
F R2 L2 U R F'
R' D' F' B2 D' L2
R' D' B2 F' D' L2
U' F L2 U R' F'
U F L2 R U R2
R F L2 U R2 F'
U F R L2 U R2
R' F' U' L2 F2 U
R' F' U' F2 L2 U
R' F' D' L' B2 L'
R' F' D' L2 B2 D
R' F' D' L2 B2 D'
R' F' D' L2 B2 D2
F' D' L2 R' F' B2
F' D' L2 R' B2 F'
R' F' D' B L2 B
R' F' D' B2 L2 D
R' F' D' B2 L2 D'
R' F' D' B2 L2 D2
F' D' R' L2 F' B2
F' D' R' L2 B2 F'
R' F' B D' L2 B2
R' F' B D' B2 L2
R' F' B D' B2 L2
F' D' R' F' L2 B2
F' D' R' F' B2 L2
F' D' R' B2 L2 F'
F' D' R' B2 F' L2
R' F' B' D' L2 B2
R' F' B' D' B2 L2
R' F' B2 D' L2 B2
R' F' B2 D' B2 L2
R' B F' D' L2 B2
R' B F' D' B2 L2
R' B' F' D' L2 B2
R' B' F' D' B2 L2
R' B2 F' D' L2 B2
R' B2 F' D' B2 L2
L2 R' U B' U' F' B
L2 R' U B' U' B F'
D2 L' R2 U' R F' L'
L2 R' F' U B' U' B
R' L2 U B' U' F' B
R' L2 U B' U' B F'
L2 R2 U2 B' U' R F'
R2 L2 U2 B' U' R F'
F2 L2 R U R2 F' L'
F L2 R U R2 D F'
F L2 R U R2 D' F'
F L2 R U R2 D2 F'
F L2 R U R2 F' D
F L2 R U R2 F' D'
F L2 R U R2 F' D2
F L2 R U F R2 F'
F L2 R U F' R2 F'
F L2 R U F2 R2 F'
F L2 R U' B U2 R2
F' L2 R F2 U R2 F'
F L2 R2 U R D F'
F L2 R2 U R D' F'
F L2 R2 U R D2 F'
F L2 R2 U R F' D
F L2 R2 U R F' D'
F L2 R2 U R F' D2
R' L2 F' U B' U' B
D2 L2 R2 B' U' R F'
F L2 R2 B U R F'
F L2 R2 B' U R F'
F L2 R2 B2 U R F'
F L2 U F R' D' F2
F L2 U2 L U' R' F
F L2 U2 L U' F R'
F L2 D R U R2 F'
F L2 D R2 U R F'
F L2 D' R U R2 F'
F L2 D' R2 U R F'
F L2 D2 R U R2 F'
F L2 D2 R2 U R F'
F2 L2 F' R U R2 F'
F2 L2 F' R2 U R F'
F' L2 F2 R U R2 F'
F' L2 F2 R2 U R F'
R2 U R F' D' L2 B2
R2 U R F' D' B2 L2
R U R2 F' D' L2 B2
R U R2 F' D' B2 L2
R U F L2 U R2 F'
F2 R L2 U R2 F' L'
F' R L2 F2 U R2 F'
F R L2 U R2 D F'
F R L2 U R2 D' F'
F R L2 U R2 D2 F'
F R L2 U R2 F' D
F R L2 U R2 F' D'
F R L2 U R2 F' D2
F R L2 U F R2 F'
F R L2 U F' R2 F'
F R L2 U F2 R2 F'
F R L2 U' B U2 R2
F R U R2 D' F' B2
F R U R2 D' B2 F'
F R U R2 F' D' B2
L2 U B' U' B R' F'
D' R F U R2 F' B2
D' R F U R2 B2 F'
R' U' L2 U2 B' U' F'
U R F L2 R U R
U R F R L2 U R
F' R F2 L2 U R2 F'
R2 U' R F' D' L2 B2
R2 U' R F' D' B2 L2
R U' R2 F' D' L2 B2
R U' R2 F' D' B2 L2
R' U' D' F U F2 B2
R' U' D' F U B2 F2
F R B2 L2 U R2 F
F R B2 L2 U F R2
R' U' F L2 R U F2
R' U' F L2 R' U F2
R' U' F L2 R2 U F2
R' U' F L2 U F2 D
R' U' F L2 U F2 D'
R' U' F L2 U F2 D2
R' U' F L2 D R2 U
R' U' F R L2 U F2
R' U' F R' L2 U F2
R' U' F R2 L2 U F2
R' U' F U F2 D' B2
R' U' F' L2 F2 U F2
R U' F L2 U R2 F'
F' R' U' L2 F2 U F
D' R' U' F U F2 B2
D' R' U' F U B2 F2
U2 R' U' F L2 R U
U2 R' U' F R L2 U
D' R' D F' D' L2 B2
D' R' D F' D' B2 L2
F' R' D' L F' L B2
F' R' D' L' B2 L' F'
F' R' D' L2 F' B2 D
F' R' D' L2 F' B2 D'
F' R' D' L2 F' B2 D2
F' R' D' L2 B2 D F'
F' R' D' L2 B2 D' F'
F' R' D' L2 B2 D2 F'
F' R' D' L2 B2 F' D
F' R' D' L2 B2 F' D'
F' R' D' L2 B2 F' D2
F' R' D' F L2 F2 B2
F' R' D' F L2 B2 F2
F' R' D' F B2 L2 F2
F' R' D' F' L' B2 L'
F' R' D' F' L2 B2 D
F' R' D' F' L2 B2 D'
F' R' D' F' L2 B2 D2
F' R' D' F' B L2 B
F' R' D' F' B2 L2 D
F' R' D' F' B2 L2 D'
F' R' D' F' B2 L2 D2
F' R' D' B L2 F' B
F' R' D' B L2 B F'
F' R' D' B F' L2 B
F2 R' D' F L' F2 B2
F2 R' D' F L' B2 F2
F' R' D' B2 L F' L
F' R' D' B2 L2 D F'
F' R' D' B2 L2 D' F'
F' R' D' B2 L2 D2 F'
F' R' D' B2 L2 F' D
F' R' D' B2 L2 F' D'
F' R' D' B2 L2 F' D2
F2 R' D' F B2 L' F2
F' R' D' B2 F L2 F2
F' R' D' B2 F' L2 D
F' R' D' B2 F' L2 D'
F' R' D' B2 F' L2 D2
D R' D' F' D' L2 B2
D R' D' F' D' B2 L2
F2 R' D' B2 F L' F2
F' R' D2 F' D L2 B2
F' R' D2 F' D B2 L2
D R' D2 F' B2 D' L2
B2 R' F L2 U F2 R
D R' D2 B2 F' D' L2
D' R' F' L B2 D' L2
D' R' F' L' B2 D' L2
U R' F L2 R U R'
D' R' F' L2 B2 D' L2
U R' F R L2 U R'
D' R' F' U' F2 U B2
F' R' F' U' L2 F' U
F' R' F' U' F' L2 U
D' R' F' D' L2 D B2
D' R' F' B D' L2 B
D' R' F' B D' B L2
D' R' F' B' D' B' L2
D' R' F' B2 L D' L2
D' R' F' B2 L' D' L2
D' R' F' B2 L2 D' L2
D' R' F' B2 U' F2 U
D' R' F' B2 D' L2 D
D' R' F' B2 D' L2 D'
D' R' F' B2 D' L2 D2
B2 R' F' D' B2 L2 R'
B2 R' F' D' B2 R' L2
F R' F' U' F L2 U
R2 U2 R F' D' L2 B2
R2 U2 R F' D' B2 L2
F2 R' F2 D' F L' B2
F2 R' F2 D' F B2 L'
F2 R' F2 D' B2 F L'
F R' F2 D' F L2 B2
F R' F2 D' F B2 L2
F R' F2 D' B2 F L2
F' R' B D' L2 F' B2
F' R' B D' L2 B2 F'
F' R' B D' F' L2 B2
F' R' B D' F' B2 L2
F' R' B D' B2 L2 F'
F' R' B D' B2 F' L2
D' R' B F' D' L2 B
D' R' B F' D' B L2
F' R' B' D' L2 F' B2
F' R' B' D' L2 B2 F'
F' R' B' D' F' L2 B2
F' R' B' D' F' B2 L2
F' R' B' D' B2 L2 F'
F' R' B' D' B2 F' L2
D' R' B' F' D' B' L2
R U2 R2 F' D' L2 B2
R U2 R2 F' D' B2 L2
D' R' B2 U' F U F2
D' R' B2 D F' D' L2
D' R' B2 D' F' D' L2
F' R' B2 D' L2 F' B2
F' R' B2 D' L2 B2 F'
F' R' B2 D' F' L2 B2
F' R' B2 D' F' B2 L2
D' R' B2 D2 F' D' L2
F' R' B2 D' B2 L2 F'
F' R' B2 D' B2 F' L2
D' R' B2 F' L D' L2
D' R' B2 F' L' D' L2
D' R' B2 F' L2 D' L2
D' R' B2 F' U' F2 U
D' R' B2 F' D' L2 D
D' R' B2 F' D' L2 D'
D' R' B2 F' D' L2 D2
D2 R2 L' U' R F' L'
R U2 F L2 U R2 F'
D2 R2 L2 B' U' R F'
F R2 L2 U R D F'
F R2 L2 U R D' F'
F R2 L2 U R D2 F'
F R2 L2 U R F' D
F R2 L2 U R F' D'
F R2 L2 U R F' D2
F R2 L2 B U R F'
F R2 L2 B' U R F'
F R2 L2 B2 U R F'
D2 R2 U' R F' D' L2
F R2 U R D' F' B2
F R2 U R D' B2 F'
F R2 U R F' D' B2
F R2 B L2 U R F'
D' R2 B2 R F' D' L2
F R2 B' L2 U R F'
F R2 B2 L2 U R F'
D' U F R U R2 B2
D' U F R U B2 R2
B U F L2 R B U
B U F R L2 B U
B U F R B L2 U
