B L D F' R B
F' R D B L R2
F' R D B R2 L
F' R B L D R2
F' R B D L R2
F' R B D R2 L
F' R' D R2 B L
L D F' R B L
U F R B U' F2
F' D R B L R
F' D R B R L
U2 F' L' D R2 B'
U2 F' L' D B' R2
U2 F' L' B' D R2
U2 F' D L' R2 B'
U2 F' D L' B' R2
U2 F' D R2 L' B'
F' L R D B L R2
F' L R D B R2 L
B L R D' B R' F'
F' L R B L D R2
F' L R B D L R2
F' L R B D R2 L
F' L R' D R2 B L
L R D' B L R' F'
L R D' B R' L F'
L R D' B R' F' L
R L D' B L R' F'
R L D' B R' L F'
R L D' B R' F' L
F' L D R B L R
F' L D R B R L
D2 L D F' R B L
D' L D F' R B L
D L D F' R B L
B L D F' R D B
B L D F' R D' B
B L D F' R D2 B
B L D F' R B D
B L D F' R B D'
B L D F' R B D2
B L D F' D R B
B L D F' D' R B
B L D F' D2 R B
B L D F' B R B
B L D F' B' R B
B L D F' B2 R B
B L D B F' R B
B L D B' F' R B
B L D B2 F' R B
B L D' R B R' F'
B L D' F' R B R'
B L F' R D' B R'
B L F' D' R B R'
B L B D F' R B
B L B' D F' R B
B L B2 D F' R B
F' L' R D B L R2
F' L' R D B R2 L
F' L' R B L D R2
F' L' R B D L R2
F' L' R B D R2 L
F' L' R' D R2 B L
U L' U F' L' B' R'
F' L' D R B L R
F' L' D R B R L
F' L2 R D B L R2
F' L2 R D B R2 L
F' L2 R B L D R2
F' L2 R B D L R2
F' L2 R B D R2 L
F' L2 R' D R2 B L
F' L2 D R B L R
F' L2 D R B R L
U L2 B' U F' L' B'
F' R L D B L R2
F' R L D B R2 L
F' R L B L D R2
F' R L B D L R2
F' R L B D R2 L
B R L D' B R' F'
F' R L' D B L R2
F' R L' D B R2 L
F' R L' B L D R2
F' R L' B D L R2
F' R L' B D R2 L
F' R L2 D B L R2
F' R L2 D B R2 L
F' R L2 B L D R2
F' R L2 B D L R2
F' R L2 B D R2 L
F' R U F2 U' B L
F' R D L B L R2
F' R D L B R2 L
F' R D L' B L R2
F' R D L' B R2 L
F' R D L2 B L R2
F' R D L2 B R2 L
L2 U B' U F' L' B'
F' R D B L R2 D
F' R D B L R2 D'
F' R D B L R2 D2
F' R D B R2 L D
F' R D B R2 L D'
F' R D B R2 L D2
F' R D B R2 D L
F' R D B R2 D' L
F' R D B R2 D2 L
F' R D B2 R2 B' L
F' R D' B D2 L R2
F' R D' B D2 R2 L
F' R B L R D R2
F' R B L R' D R2
F' R B L R2 D R2
F' R B L U F2 U'
F' R B L D R2 D
F' R B L D R2 D'
F' R B L D R2 D2
F' R B L2 D L' R2
F' R B L2 D R2 L'
F' R B R L D R2
F' R B R D L R2
F' R B R D R2 L
F' R B R' L D R2
F' R B R' D L R2
F' R B R' D R2 L
F' R B R2 L D R2
F R F2 D B L R2
F R F2 D B R2 L
F' R B R2 D L R2
F' R B R2 D R2 L
F' R B U F2 U' L
F R F2 B L D R2
F R F2 B D L R2
F R F2 B D R2 L
F' R B D L R2 D
F' R B D L R2 D'
F' R B D L R2 D2
F' R B D R2 L D
F' R B D R2 L D'
F' R B D R2 L D2
F' R B D R2 D L
F' R B D R2 D' L
F' R B D R2 D2 L
F R B L F2 D R2
F' R B D2 L D' R2
F R B F2 L D R2
F R B F2 D L R2
F R B F2 D R2 L
F R B' U' F2 B2 L
F R B' U' B2 L F2
F R B' U' B2 F2 L
F' R' L D R2 B L
F R B2 U' F2 B' L
F R B2 U' B' L F2
F R B2 U' B' F2 L
F' R' L' D R2 B L
F' R' L2 D R2 B L
F' R' D L R2 B L
F' R' D L' R2 B L
F' R' D L2 R2 B L
F' R' D R2 L B L
F' R' D R2 L' B L
F' R' D R2 L2 B L
F' R' D R2 D B L
F' R' D R2 D' B L
F' R' D R2 D2 B L
F' R' D R2 B L D
F' R' D R2 B L D'
F' R' D R2 B L D2
F' R' D R2 B D L
F' R' D R2 B D' L
F' R' D R2 B D2 L
F' R' D B L R2 B
F' R' D B R2 L B
F' R' B L D R2 B
F' R' B D L R2 B
F' R' B D R2 L B
L U2 D F' L' R B'
L U2 D F' L' B' R
L U2 D F' R L' B'
L D L F' R B L
L D L' F' R B L
L D L2 F' R B L
L D U2 F' L' R B'
L D U2 F' L' B' R
L D U2 F' R L' B'
L D F' L R B L
L D F' L' R B L
L D F' L2 R B L
L D F' R L B L
L D F' R L' B L
L D F' R L2 B L
L D F' R D B L
L D F' R D' B L
L D F' R D2 B L
L D F' R B L D
L D F' R B L D'
L D F' R B L D2
L D F' R B D L
L D F' R B D' L
L D F' R B D2 L
L D F' D R B L
L D F' D' R B L
L D F' D2 R B L
L D F' B L R B
L D F' B R L B
L D B L F' R B
D' U F R B U' F2
D2 U F R B U' F2
L D B F' L R B
L D B F' R L B
D U F R B U' F2
