U2 R B2 U B' L
U2 L R B2 U B' L
L' R F' B2 U L' B
L' R F' B2 U B L'
L' R B2 F' U L' B
L' R B2 F' U B L'
B2 L' R F' U B' L'
U2 L' R B2 U B' L
R L' F' B2 U L' B
R L' F' B2 U B L'
F2 L' D2 F2 U' B' L
R L' B2 F' U L' B
R L' B2 F' U B L'
U2 L2 R B2 U B' L
L' U R B2 U B L
U2 R L B2 U B' L
B2 R L' F' U B' L'
U2 R L' B2 U B' L
U2 R L2 B2 U B' L
B2 R F' L U L2 B'
U2 R F B2 U B' L
B2 R F' L2 U L B'
U2 R F' B2 U B' L
U2 R F2 B2 U B' L
R2 U' R' F' L' B2 U
R2 U' R' F' B2 L' U
U R B L F B U
U R B L B F U
R2 U' R' B2 F' L' U
U' R B2 U2 B' R' U'
U2 R B2 U B' L D
U2 R B2 U B' L D'
U2 R B2 U B' L D2
U2 R B2 U B' D L
U2 R B2 U B' D' L
U2 R B2 U B' D2 L
U2 R B2 F U B' L
U2 R B2 F' U B' L
U2 R B2 F2 U B' L
U2 R' D' R2 F2 B L
U2 R' D' R2 B L F2
U2 R' D' R2 B F2 L
U' R' F' L' R2 B2 U
U' R' F' L' B2 R2 U
U' R' F' R2 L' B2 U
U' R' F' R2 B2 L' U
U' R' F' B2 L' R2 U
U' R' F' B2 R2 L' U
U' R' B2 F' L' R2 U
U' R' B2 F' R2 L' U
D' R2 U' R' F' L' U
D' U R U R B L
D2 U F2 L' B' R' U'
R' D' R2 F' L' F' B'
R' D' R2 F' L' B' F'
B U B L R F U
B U B R L F U
R' D' F' L' F' R2 B'
R' D' F' L' F' B' R2
R' D' F' L' B' F' R2
U D' R U R B L
B' U2 R B' U B2 L
U D2 F2 L' B' R' U'
B U2 B R U L B
R' F D' F2 L' R2 B'
R' F D' F2 L' B' R2
R' F D' F2 R2 L' B'
L F D L2 R U2 F'
L F D R L2 U2 F'
R' F' L' D' R2 F2 B'
R' F' L' D' R2 B' F2
R' F' L' D' F2 R2 B'
R' F' L' D' F2 B' R2
R' F' L' D' B' R2 F2
R' F' L' D' B' F2 R2
R F' L B2 U L2 B'
R' F' D' L' R2 F2 B'
R' F' D' L' R2 B' F2
R' F' D' L' F2 R2 B'
R' F' D' L' F2 B' R2
R' F' D' L' B' R2 F2
R' F' D' L' B' F2 R2
R' F' D' R2 L' F2 B'
R' F' D' R2 L' B' F2
D2 F2 L' U' D2 B' L
R F' B2 L U L2 B'
D2 F2 L' D2 U' B' L
R F' B2 L2 U L B'
F D' F2 L' R2 F B'
F D' F2 L' R2 B' F
F D' F2 L' F R2 B'
F D' F2 L' F B' R2
F D' F2 L' B' R2 F
F D' F2 L' B' F R2
F D' F2 R2 L' F B'
F D' F2 R2 L' B' F
F2 D2 L' F2 U' B' L
D2 F2 D2 L' U' B' L
U B L B R F U
B2 F' L2 U L F B'
B2 F' L2 U L B' F
U2 B2 R U B' L B2
U' B2 R' F' L' R2 U
U' B2 R' F' R2 L' U
R B2 L' F' U B' L'
F' B2 L2 U L F B'
F' B2 L2 U L B' F
U2 B2 D' R F' U B
R B2 F' L U L2 B'
R B2 F' L2 U L B'
