L2 R' F' U L' R
L2 R' F' U R L'
F' L2 R' U L R2
F' L2 R' U R2 L
U' L2 R' F' U R
R' L2 F' U L' R
R' L2 F' U R L'
F' R D' L' F2 B2
F' R D' L' B2 F2
F' R D' B2 L' F2
F' R' L2 U L R2
F' R' L2 U R2 L
U' R' L2 F' U R
U' R' F' L2 U R
R' F' L2 U L R
R' F' L2 U R L
L2 F' R' U L' R2
L2 F' R' U R2 L'
U' L R' F' L U R
R' L F' L U L2 R
R' L F' L U R L2
L2 R F' R2 U L' R'
L2 R F' R2 U R' L'
F' L' R U' L' R2 U
F' L' R U' R2 L' U
F L' R U L' R2 U
F L' R U R2 L' U
F' L' U' L' R' U R2
F' L' U' R' L' U R2
L2 R' F U' L' R U2
L2 R' F U' R L' U2
L R' F' L U L2 R
L R' F' L U R L2
L2 R' F' U L' R D
L2 R' F' U L' R D'
L2 R' F' U L' R D2
L2 R' F' U L' D R
L2 R' F' U L' D' R
L2 R' F' U L' D2 R
L2 R' F' U R L' D
L2 R' F' U R L' D'
L2 R' F' U R L' D2
L2 R' F' U R D L'
L2 R' F' U R D' L'
L2 R' F' U R D2 L'
L2 R' F' U D L' R
L2 R' F' U D R L'
L2 R' F' U D' L' R
L2 R' F' U D' R L'
L2 R' F' U D2 L' R
L2 R' F' U D2 R L'
L2 R' F' D U L' R
L2 R' F' D U R L'
L2 R' F' D' U L' R
L2 R' F' D' U R L'
L2 R' F' D2 U L' R
L2 R' F' D2 U R L'
L2 R' F' B U L' R
L2 R' F' B U R L'
L2 R' F' B' U L' R
L2 R' F' B' U R L'
L2 R' F' B2 U L' R
L2 R' F' B2 U R L'
L2 R' B F' U L' R
L2 R' B F' U R L'
L2 R' B' F' U L' R
L2 R' B' F' U R L'
L2 R' B2 F' U L' R
L2 R' B2 F' U R L'
F' L2 R' U L R2 D
F' L2 R' U L R2 D'
F' L2 R' U L R2 D2
F' L2 R' U R2 L D
F' L2 R' U R2 L D'
F' L2 R' U R2 L D2
F' L2 R' U R2 D L
F' L2 R' U R2 D' L
F' L2 R' U R2 D2 L
F' L2 R' F U L R2
F' L2 R' F U R2 L
R' L2 F U' L' R U2
R' L2 F U' R L' U2
F L2 R' U' L R2 U2
F' L2 R' F' U L R2
F' L2 R' F' U R2 L
F L2 R' U' R2 L U2
U' L2 R' F' U R D
U' L2 R' F' U R D'
U' L2 R' F' U R D2
U' L2 R' F' U D R
F2 L2 R' F U L' R
U' L2 R' F' U D' R
U' L2 R' F' U D2 R
F2 L2 R' F U R L'
F' L2 R' F2 U L R2
F' L2 R' F2 U R2 L
U' L2 R' F' D U R
U' L2 R' F' D' U R
U' L2 R' F' D2 U R
U' L2 R' F' B U R
U' L2 R' F' B' U R
U' L2 R' F' B2 U R
U' L2 R' B F' U R
U' L2 R' B' F' U R
U' L2 R' B2 F' U R
R' L2 F' U L' R D
R' L2 F' U L' R D'
R' L2 F' U L' R D2
R' L2 F' U L' D R
R' L2 F' U L' D' R
R' L2 F' U L' D2 R
R' L2 F' U R L' D
R' L2 F' U R L' D'
R' L2 F' U R L' D2
R' L2 F' U R D L'
R' L2 F' U R D' L'
R' L2 F' U R D2 L'
R' L2 F' U D L' R
R' L2 F' U D R L'
R' L2 F' U D' L' R
R' L2 F' U D' R L'
R' L2 F' U D2 L' R
R' L2 F' U D2 R L'
R' L2 F' D U L' R
R' L2 F' D U R L'
F' L2 U L R D' F2
R' L2 F' D' U L' R
R' L2 F' D' U R L'
R' L2 F' D2 U L' R
R' L2 F' D2 U R L'
R' L2 F' B U L' R
R' L2 F' B U R L'
F' L2 U R L D' F2
R' L2 F' B' U L' R
R' L2 F' B' U R L'
F' L2 U R D' L F2
F' L2 U R D' F2 L
R' L2 F' B2 U L' R
R' L2 F' B2 U R L'
R L2 F' R2 U L' R'
R L2 F' R2 U R' L'
R' L2 B F' U L' R
R' L2 B F' U R L'
R' L2 B' F' U L' R
R' L2 B' F' U R L'
F' L2 D R' U L R2
F' L2 D R' U R2 L
U' L2 D R' F' B U
U' L2 D R' B F' U
U2 L2 D R' B U L
R' L2 B2 F' U L' R
R' L2 B2 F' U R L'
F' L2 D' R' U L R2
F' L2 D' R' U R2 L
F' L2 D2 R' U L R2
F' L2 D2 R' U R2 L
F2 L2 F R' U L' R2
F2 L2 F R' U R2 L'
U' L2 F' R' F' U R2
F' R L' U' L' R2 U
F' R L' U' R2 L' U
F R L' U L' R2 U
F R L' U R2 L' U
F' R U' L2 R2 U L
F' R U' R2 L2 U L
F' R D L' D2 F2 B2
F' R D L' D2 B2 F2
F R U2 D' F2 R B2
F R U2 D' F2 B2 R
F R U2 D' B2 F2 R
F R D L' F2 B2 U2
F R D L' B2 F2 U2
F' R D' L F2 L2 B2
F' R D' L F2 B2 L2
F' R D' L B2 L2 F2
F' R D' L B2 F2 L2
F' R D' L' F2 B2 D
F' R D' L' F2 B2 D'
F' R D' L' F2 B2 D2
F' R D' L' B2 F2 D
F' R D' L' B2 F2 D'
F' R D' L' B2 F2 D2
F' R D' L2 F2 L B2
F R D F2 B2 U2 R
F R D B2 L' F2 U2
F R D B2 F2 U2 R
F R D' L' U2 F2 B2
F R D' L' U2 B2 F2
F' R D' B L' F2 B
F' R D' B L' B F2
F' R D' B2 L F2 L2
F' R D' B2 L' F2 D
F' R D' B2 L' F2 D'
F' R D' B2 L' F2 D2
F' R D' B2 L2 F2 L
F R D' U2 F2 R B2
F R D' U2 F2 B2 R
F R D' U2 B2 F2 R
L U' L R' F' U R
F R D' F2 R B2 L
L' U' L' R' F' U R
L' U' R' L' F' U R
F' R F2 D' F2 L' B2
F' R F2 D' F2 B2 L'
F' R F2 D' B2 F2 L'
L U' R' L F' U R
F' R B D' L' F2 B2
F' R B D' L' B2 F2
F' R B D' B2 L' F2
L U' R' F' L U R
F' R B' D' L' F2 B2
F' R B' D' L' B2 F2
F' R B' D' B2 L' F2
F' R B2 D' L' F2 B2
F' R B2 D' L' B2 F2
F' R B2 D' B2 L' F2
U' R' L F' L U R
F' R' L2 U L R2 D
F' R' L2 U L R2 D'
F' R' L2 U L R2 D2
F' R' L2 U R2 L D
F' R' L2 U R2 L D'
F' R' L2 U R2 L D2
F' R' L2 U R2 D L
F' R' L2 U R2 D' L
F' R' L2 U R2 D2 L
F' R' L2 F U L R2
