F L' R U2 B U'
F L' R' F' R2 U
F R L' U2 B U'
F R' L' F' R2 U
F2 R' F' L' R U
F2 R' F' R L' U
F' U2 L' R B' U'
F' U2 L' B' R U'
F' U2 R L' B' U'
R' F L' R F2 U
R2 F L' R F' U
R' F R L' F2 U
R2 F R L' F' U
R' F' U2 L' R U'
R' F' U2 R L' U'
F' L R B L2 F U'
F2 L R' F' L' R U
F2 L R' F' R L' U
F L R' F' L2 R2 U
F L R' F' R2 L2 U
U2 L U2 F L' R U
U2 L U2 F R L' U
R' L F L' R F2 U
R' L F R L' F2 U
R2 L F L' R F' U
R2 L F R L' F' U
R' L F' U2 L' R U'
R' L F' U2 R L' U'
F L' R U2 D B U'
F L' R U2 D' B U'
F L' R U2 D2 B U'
F L' R U2 B U' D
F L' R U2 B U' D'
F L' R U2 B U' D2
F L' R U2 B D U'
F L' R U2 B D' U'
F L' R U2 B D2 U'
F L' R D U2 B U'
F L' R D' U2 B U'
F L' R D2 U2 B U'
F' L' R B U2 B' U
F L' R F U2 B U'
F L' R F' U2 B U'
F L' R F2 U2 B U'
F L' R' D' F' U F'
F2 L' R' F' L' R U
F2 L' R' F' R L' U
F L' R' F R2 F2 U
F L' R' F' R2 U D
F L' R' F' R2 U D'
F L' R' F' R2 U D2
F L' R' F' R2 D U
F L' R' F' R2 D' U
F L' R' F' R2 D2 U
F L' R' F' U D' F2
F L' R' F' D' U F2
F L' R' F2 R2 F U
R' L' F L' R F2 U
L' R' F L' R F2 U
R' L' F R L' F2 U
L' R' F R L' F2 U
R2 L' F L' R F' U
L R' F L' R F2 U
L2 R' F L' R F2 U
R2 L' F R L' F' U
L R' F R L' F2 U
L2 R' F R L' F2 U
R' L' F' U2 L' R U'
R' L' F' U2 R L' U'
L' R' F' U2 L' R U'
L' R' F' U2 R L' U'
L2 R' F' U2 L' R U'
L R' F' U2 L' R U'
L2 R' F' U2 R L' U'
L R' F' U2 R L' U'
F L' D R U2 B U'
F L' D R' F' R2 U
F L' D' R U2 B U'
F L' D' R' F' R2 U
F L' D2 R U2 B U'
F L' D2 R' F' R2 U
F L' F R' F' R U
F L' F2 U2 L' B' U'
R' L2 F L' R F2 U
L' R2 F L' R F' U
R' L2 F R L' F2 U
L' R2 F R L' F' U
L2 R2 F L' R F' U
R2 L2 F L' R F' U
L R2 F L' R F' U
L2 R2 F R L' F' U
F2 L2 R' F' L' R U
F2 L2 R' F' R L' U
R2 L2 F R L' F' U
L R2 F R L' F' U
F L2 R' F' L R2 U
F L2 R' F' R2 L U
R' L2 F' U2 L' R U'
R' L2 F' U2 R L' U'
R2 U D' L F B' L'
R2 U D' L B' F L'
F' R L B L2 F U'
F' R L' B U2 B' U
F R L' U2 D B U'
F R L' U2 D' B U'
F R L' U2 D2 B U'
F R L' U2 B U' D
F R L' U2 B U' D'
F R L' U2 B U' D2
F R L' U2 B D U'
F R L' U2 B D' U'
F R L' U2 B D2 U'
F R L' D U2 B U'
F R L' D' U2 B U'
F R L' D2 U2 B U'
F R L' F U2 B U'
F R L' F' U2 B U'
F R L' F2 U2 B U'
D2 R U2 B L R' U'
D2 R U2 B R' L U'
D' R U2 B L U' B'
F R U2 B U2 L' U
F R D L' U2 B U'
F R D' L' U2 B U'
U' R D' B U2 L B'
F R D2 L' U2 B U'
F' R B L2 F L U'
F R F2 U2 B R U'
U' R B U2 D' L B'
U' R B D' U2 L B'
F2 R' L F' L' R U
F2 R' L F' R L' U
F R' L F' L2 R2 U
F R' L F' R2 L2 U
F2 R' L' F' L' R U
F2 R' L' F' R L' U
F R' L' D' F' U F'
F R' L' F R2 F2 U
F R' L' F' R2 U D
F R' L' F' R2 U D'
F R' L' F' R2 U D2
F R' L' F' R2 D U
F R' L' F' R2 D' U
F R' L' F' R2 D2 U
F R' L' F' U D' F2
F R' L' F' D' U F2
F R' L' F2 R2 F U
F2 R' L2 F' L' R U
F2 R' L2 F' R L' U
F R' L2 F' L R2 U
F R' L2 F' R2 L U
F' R' U2 L' R2 B U'
F' R' U2 R2 L' B U'
F' R' U2 R2 B L' U'
F R' D' L' F' U F'
F2 R' D' F' L' U F
F2 R' F' L' R U D
F2 R' F' L' R U D'
F2 R' F' L' R U D2
F2 R' F' L' R D U
F2 R' F' L' R D' U
F2 R' F' L' R D2 U
F2 R' F' L' D R U
F2 R' F' L' D' R U
F2 R' F' L' D2 R U
F2 R' F' R L' U D
F2 R' F' R L' U D'
F2 R' F' R L' U D2
F2 R' F' R L' D U
F2 R' F' R L' D' U
F2 R' F' R L' D2 U
F2 R' F' R D L' U
F2 R' F' R D' L' U
F2 R' F' R D2 L' U
F2 R' F' D L' R U
F2 R' F' D R L' U
F2 R' F' D' L' R U
F2 R' F' D' R L' U
F2 R' F' D2 L' R U
F2 R' F' D2 R L' U
D R' F' U2 L' U' B
R U2 D' B L U' B'
R U2 D2 B L R' U'
R U2 D2 B R' L U'
F' R2 U2 L' R' B U'
F' R2 U2 R' L' B U'
F' R2 U2 R' B L' U'
R U2 B D' L U' B'
F R2 D2 L' R' F U
F R2 D2 L' F R' U
F R2 D2 R' L' F U
D R2 F R F' U B
F2 R2 F' L' R F' U
F2 R2 F' R L' F' U
D' U L F' B' L' F2
D' U L B' F' L' F2
D' U L2 F' L' F B'
D' U L2 F' L' B' F
U' D R F' B U2 L
U' D R B F' U2 L
U' D R' U2 F' L' B
U' D R' U2 F' B L'
U' D R' U2 B F' L'
D' U F' L F B' L2
D' U F' L B' F L2
F2 U D' F' L' F B'
F2 U D' F' L' B' F
D' U F2 L F B' L'
D' U F2 L B' F L'
U' D B' R' U2 F' B
U' D B' R' U2 B F'
R2 D' U L F B' L'
R2 D' U L B' F L'
U D' L F' B' L' F2
U D' L B' F' L' F2
U' D' R B U2 L B'
D' U' R B U2 L B'
U D' L2 F' L' F B'
U D' L2 F' L' B' F
D U' R F' B U2 L
R D' U2 B L U' B'
D U' R B F' U2 L
D U' R' U2 F' L' B
D U' R' U2 F' B L'
D U' R' U2 B F' L'
U D' F' L F B' L2
U D' F' L B' F L2
U' D' B U2 L F B'
D' U' B U2 L F B'
D' U' B U2 L B' F
U' D' B U2 L B' F
U D' F2 L F B' L'
U D' F2 L B' F L'
D U' B' R' U2 F' B
D U' B' R' U2 B F'
F' U2 L' R D B' U'
F' U2 L' R D' B' U'
F' U2 L' R D2 B' U'
F' U2 L' R B' U' D
F' U2 L' R B' U' D'
F' U2 L' R B' U' D2
F' U2 L' R B' D U'
F' U2 L' R B' D' U'
F' U2 L' R B' D2 U'
F' U2 L' R' B' R2 U'
F' U2 L' D R B' U'
F' U2 L' D B' R U'
F' U2 L' D' R B' U'
F' U2 L' D' B' R U'
F' U2 L' D2 R B' U'
F' U2 L' D2 B' R U'
F' U2 L' B R B2 U'
F' U2 L' B' R U' D
F' U2 L' B' R U' D'
F' U2 L' B' R U' D2
F' U2 L' B' R D U'
F' U2 L' B' R D' U'
F' U2 L' B' R D2 U'
F' U2 L' B' D R U'
F' U2 L' B' D' R U'
F' U2 L' B' D2 R U'
R D2 U2 B L R' U'
R D2 U2 B R' L U'
F' U2 R L' D B' U'
F' U2 R L' D' B' U'
F' U2 R L' D2 B' U'
F' U2 R L' B' U' D
F' U2 R L' B' U' D'
F' U2 R L' B' U' D2
F' U2 R L' B' D U'
F' U2 R L' B' D' U'
F' U2 R L' B' D2 U'
F' U2 R D L' B' U'
F' U2 R D' L' B' U'
F' U2 R D2 L' B' U'
F' U2 R B L' B' U'
F' U2 R B' L' B' U'
F' U2 R B2 L' B' U'
F' U2 R' L' B' R2 U'
F' U2 D L' R B' U'
F' U2 D L' B' R U'
F' U2 D R L' B' U'
R' F L R F2 L2 U
F' U2 D' L' R B' U'
F' U2 D' L' B' R U'
F' U2 D' R L' B' U'
R' F L' R U D' L2
R' F L' R D' U L2
R' F L' R F2 U D
R' F L' R F2 U D'
R' F L' R F2 U D2
R' F L' R F2 D U
R' F L' R F2 D' U
R' F L' R F2 D2 U
F' U2 D2 L' R B' U'
R' F L' R' F2 R2 U
F' U2 D2 L' B' R U'
R2 F L R F' L2 U
R' F L' R2 F2 R' U
F' U2 D2 R L' B' U'
L' F L' R U2 B U'
L' F L' R' F' R2 U
R' F L' D' R U L2
R' F L' F2 U2 L' U'
L2 F L' R U2 B U'
L2 F L' R' F' R2 U
R' F L2 R F2 L U
R2 F L' R D F' U
R2 F L' R D' F' U
R2 F L' R D2 F' U
R2 F L' R F' U D
R2 F L' R F' U D'
R2 F L' R F' U D2
R2 F L' R F' D U
R2 F L' R F' D' U
R2 F L' R F' D2 U
L F L' R U2 B U'
L F L' R' F' R2 U
R' F R L F2 L2 U
R' F R L' U D' L2
R' F R L' D' U L2
R' F R L' F2 U D
R' F R L' F2 U D'
R' F R L' F2 U D2
R' F R L' F2 D U
R' F R L' F2 D' U
R' F R L' F2 D2 U
R2 F L2 R F' L U
R' F R L2 F2 L U
R F L' R2 F' R' U
L' F R L' U2 B U'
R' F R D' L' U L'
D2 F R U2 B R' U'
R' F R F2 U2 R U'
L2 F R L' U2 B U'
R' F R' L' F2 R2 U
R2 F R L F' L2 U
R2 F R L' D F' U
R2 F R L' D' F' U
R2 F R L' D2 F' U
R2 F R L' F' U D
R2 F R L' F' U D'
R2 F R L' F' U D2
R2 F R L' F' D U
R2 F R L' F' D' U
R2 F R L' F' D2 U
R2 F R L2 F' L U
L' F R' L' F' R2 U
R2 F R D L' F' U
R2 F R D' L' F' U
R2 F R D2 L' F' U
L2 F R' L' F' R2 U
F' U2 B L' R B' U'
F' U2 B L' B' R U'
L F R L' U2 B U'
F' U2 B R L' B' U'
R' F R2 L' F2 R' U
R F R D2 L' F U
F' U2 B' L' R B' U'
F' U2 B' L' B' R U'
L F R' L' F' R2 U
F' U2 B' R L' B' U'
F' U2 B2 L' R B' U'
F' U2 B2 L' B' R U'
F' U2 B2 R L' B' U'
R F R2 L' F' R' U
R' F D' L' R U L'
R' F D' R L' U L'
F D L' R U2 B U'
F D L' R' F' R2 U
R2 F D2 L' R F U
F D R L' U2 B U'
R2 F D2 R L' F U
F D R' L' F' R2 U
R' F' L U2 L2 R U'
R' F' L U2 R L2 U'
F' D U2 L' R B' U'
F' D U2 L' B' R U'
F' D U2 R L' B' U'
R' F' L2 U2 L R U'
R' F' L2 U2 R L U'
R' F' R' U2 L' R2 U'
R' F' R' U2 R2 L' U'
R' F' R2 U2 L' R' U'
R' F' R2 U2 R' L' U'
R' F' U2 L' R U' D
R' F' U2 L' R U' D'
