D' R U' B R F'
D' L R U' B R F'
U2 L B2 L2 U F B'
U2 L B2 L2 U B' F
U2 L B2 U' F B' U2
U2 L B2 U' B' F U2
D' L' R U' B R F'
U2 L' R2 B2 U F' B
U2 L' R2 B2 U B F'
U2 L' U D' R2 F' B'
U2 L' U D' R2 B' F'
U2 L' D' U R2 F' B'
U2 L' D' U R2 B' F'
U2 L' B2 L2 U F B
U2 L' B2 L2 U B F
U2 L' B2 U B D2 F2
U2 L' B2 U' B' U2 B2
D' L2 R U' B R F'
D L2 B U' B' R' U'
D' R L U' B R F'
D' R L' U' B R F'
D' R L2 U' B R F'
B2 R U D L2 F B
B2 R U D L2 B F
D' R U' B R D F'
D' R U' B R D' F'
D' R U' B R D2 F'
D' R U' B R F' D
D' R U' B R F' D'
D' R U' B R F' D2
D' R U' B' R F' B2
D' R U' B' R B2 F'
D' R U' B2 R F' B'
D' R U' B2 R B' F'
B2 R D U L2 F B
B2 R D U L2 B F
R2 U' F' R D' R2 B
R2 U' F' R' D' B R2
R U' B R D' F' R
B R' F' U' B' U' R'
U2 R2 L' B2 U F' B
U2 R2 L' B2 U B F'
R U2 B2 R U F' B'
R U2 B2 R U B' F'
D2 R2 F2 R' U' F B
D2 R2 F2 R' U' B F
U2 R2 B2 L' U F' B'
U2 R2 B2 L' U B' F'
L' D' R U' B R F'
L2 D' R U' B R F'
R' D' R' U' F' R' B
L D' R U' B R F'
U2 D' L' U R2 F' B'
U2 D' L' U R2 B' F'
R D' F L' U' B R2
B U' R' B' R' F' U'
B U' R2 F' B' R' U'
B U' R2 B' F' R' U'
R2 D2 L F2 U' F B'
R2 D2 L F2 U' B' F
D' U2 L' U R2 F' B'
D' U2 L' U R2 B' F'
R D2 L' F2 U' F' B
R D2 L' F2 U' B F'
B2 U' B' U' R' B' U'
B U' B' R' U' D' R2
B U' B' R' U2 B2 U
B U' B' R' D' U' R2
B U' B' R' D2 F2 U'
B U' B' U2 B2 L U
B U' B' D' R' U' R'
B U' B' D2 R' F2 U'
B U' B' D2 F2 R' U'
R D2 F2 L' U' F B
R D2 F2 L' U' B F
D' F R U' B R F'
B2 D R U L2 F B
B2 D R U L2 B F
D' F' R U' B R F'
F' D' R U' B R F'
F2 D' R U' B R F'
F D' R U' B R F'
U F' B U L' B U
U F' B U B L' U
D' F2 R U' B R F'
U2 B U B L U L'
D2 B U' F2 B' R' U'
D2 B U' B' R' F2 U'
D2 B U' B' F2 R' U'
D' B U' B' R' U' R'
U B U L' B U B2
U B U B L' U B'
U B F' U L' B U
U B F' U B L' U
