R U D L' U2 F
D' R U L' U2 F'
D R U L' U2 F
D' R U' F2 R F
D' R F2 U' R F
R U' D' F2 R F'
R U' F2 D' R F'
R D U L' U2 F
R D' U' F2 R F'
R D' F2 U' R F'
R F2 U' D' R F'
R F2 D' U' R F'
D' L R U L2 U2 F'
D' L R U' D2 F' R2
D' L R U' F' D2 R2
D L R U L2 U2 F
D L R U B' L2 U2
D' L R D F2 U' F
D' L R D2 U' F' R2
L2 R U D L B' U2
L' R U2 B R' U R
L2 R U2 B2 U R' F'
L R D L' F2 U' F'
R L D L' F2 U' F'
L2 R D U L B' U2
L R D F2 L' U' F
R L D F2 L' U' F
F2 L U' D' R F' B2
F2 L U' D' R B2 F'
F2 L U' D' B2 R F'
L R D2 F L' U' R2
D2 L D R F2 U' F
R L D2 F L' U' R2
B' L D B R F2 U'
F2 L D' U' R F' B2
F2 L D' U' R B2 F'
F2 L D' U' B2 R F'
B' L D2 B R U' R
B' L B R U L2 U2
B' L B R U' D2 R2
B' L B R D F2 U'
B' L B R D2 U' R2
B' L B D R F2 U'
B' L B D2 R U' R
R L' U2 B R' U R
B' L' U' L2 B R U'
B' L' U' B L2 R U'
B' L' U' B R L2 U'
U L' U' D' R U' F'
U L' D' U' R U' F'
R L2 U D L B' U2
R L2 U2 B2 U R' F'
R L2 D U L B' U2
U L' B' U' L R U'
U L' B' U' R L U'
D' L2 R U L U2 F'
R U L' B U R' U
R U L' B' U' L U'
R U L2 D L B' U2
R' U D L' U2 F B2
R' U D L' U2 B2 F
R U D L B' L2 U2
R U D L' U2 D F
R U D L' U2 D' F
R U D L' U2 D2 F
R U D L' U2 F D
R U D L' U2 F D'
R U D L' U2 F D2
R U D L' D U2 F
R U D L' D' U2 F
R U D L' D2 U2 F
R U D L' B U2 F
R U D L' B' U2 F
R U D L' B2 U2 F
R' U D' F2 U2 R F'
R U D B L' U2 F
R U D B' L' U2 F
D' R L U L2 U2 F'
R U D B2 L' U2 F
D' R L U' D2 F' R2
D' R L U' F' D2 R2
D' R L D F2 U' F
D' R L D2 U' F' R2
D R L U L2 U2 F
D R L U B' L2 U2
D' R L2 U L U2 F'
D' R U L' U2 D F'
D' R U L' U2 D' F'
D' R U L' U2 D2 F'
D' R U L' U2 F' D
D' R U L' U2 F' D'
D' R U L' U2 F' D2
D' R U L' D U2 F'
D' R U L' D' U2 F'
D' R U L' D2 U2 F'
D' R U L' B U2 F'
D' R U L' B' U2 F'
D' R U L' B2 U2 F'
D2 R U D' L' U2 F
D' R U D L' U2 F'
D' R U D' L' U2 F'
D R U L B' L2 U2
D R U L' U2 D F
D R U L' U2 D' F
D R U L' U2 D2 F
D R U L' U2 F D
D R U L' U2 F D'
D R U L' U2 F D2
D R U L' D U2 F
D' R U D2 L' U2 F'
D R U L' D' U2 F
D R U L' D2 U2 F
D R U L' B U2 F
D R U L' B' U2 F
D R U L' B2 U2 F
D' R U B L' U2 F'
D' R U B' L' U2 F'
D' R U B2 L' U2 F'
D R U B L' U2 F
D R U B' L' U2 F
D' R U' R' F2 R F'
D R U B2 L' U2 F
D2 R U' D F2 R F'
D' R U' D F2 R F
D' R U' D' F2 R F
D' R U' D2 F2 R F
D' R U' F2 R D F
D' R U' F2 R D' F
D' R U' F2 R D2 F
D' R U' F2 R F D
D' R U' F2 R F D'
D' R U' F2 R F D2
D' R U' F2 R' F R2
D' R U' F2 R2 F R'
D' R U' F2 D R F
D' R U' F2 D' R F
D' R U' F2 D2 R F
D R U' D2 F2 R F'
D R U' F2 D2 R F'
R U B L' U R' U
D' R D U L' U2 F'
R U B' L' U' L2 U'
R U B' L' U2 D F2
R U B' L' D U2 F2
R U B' L' D' B2 U2
D2 R D U' F2 R F'
D' R D U' F2 R F
D2 R D F2 U' R F'
D' R D F2 U' R F
D2 R D' U L' U2 F
D' R D' U L' U2 F'
D' R D' U' F2 R F
D' R D' F2 U' R F
D' R D2 U L' U2 F'
B R D' B' U' F2 R
D' R D2 U' F2 R F
D' R D2 F2 U' R F
D R D2 U' F2 R F'
D2 R F L' F U' R
D R D2 F2 U' R F'
L' U' R B' L U' L'
D2 R F2 U' R' F' R2
D' R F2 U' R D F
D' R F2 U' R D' F
D' R F2 U' R D2 F
D' R F2 U' R F D
D' R F2 U' R F D'
D' R F2 U' R F D2
D' R F2 U' R' F R2
D' R F2 U' R2 F R'
D' R F2 U' D R F
D' R F2 U' D' R F
D' R F2 U' D2 R F
D R F2 L' U' R F
D' R F2 D U' R F
D' R F2 D' U' R F
D' R F2 D2 U' R F
R U' R D' F2 R F'
D R F2 U' D2 R F'
R U' R F2 D' R F'
D R F2 D2 U' R F'
R U' R' D' F2 R F'
R U' R' F2 D' R F'
R U' R2 D' F2 R F'
B R B' U' D' F2 R
R U' R2 F2 D' R F'
B R B' D' U' F2 R
R U' D F2 D2 R F'
R U' D' R F2 R F
R U' D' F' R F' R
R U' D' F2 R D F'
R U' D' F2 R D' F'
R U' D' F2 R D2 F'
R U' D' F2 R F' D
R U' D' F2 R F' D'
R U' D' F2 R F' D2
R U' F D' F R F'
R U' F2 D' R D F'
R U' F2 D' R D' F'
R U' F2 D' R D2 F'
R U' F2 D' R F' D
R U' F2 D' R F' D'
R U' F2 D' R F' D2
L' U' B' L R U' L'
L' U' B' R L U' L'
F2 R' D' F2 R U' F'
D' R' F' R2 U' F' R
D2 R' F2 R2 U' R' F'
D' R' F2 R2 U' F' R'
R U2 B R' U' L' U2
R U2 B2 U' L' B' U2
R D L U L2 U2 F
R D L U B' L2 U2
L D L' R F2 U' F'
D' R2 F' R' U' F' R
L2 D R U L B' U2
D' R2 F2 R' U' F' R2
L D R L' F2 U' F'
R2 D R' U L' U2 F
L D R F2 L' U' F
R' D U L' U2 F B2
R' D U L' U2 B2 F
R D U L B' L2 U2
R D U L' U2 D F
R D U L' U2 D' F
R D U L' U2 D2 F
R D U L' U2 F D
R D U L' U2 F D'
R D U L' U2 F D2
R D U L' D U2 F
R D U L' D' U2 F
R D U L' D2 U2 F
R D U L' B U2 F
R D U L' B' U2 F
R D U L' B2 U2 F
R D U B L' U2 F
R D U B' L' U2 F
R D U B2 L' U2 F
D' U L' U' R U' F'
R D U' F2 D2 R F'
D U L' U' R U' F
U D L' U' R U' F
R D F2 L' U' R F
L D F2 U2 L' U F
R D F2 U' D2 R F'
R D F2 D2 U' R F'
L2 D' R U L U2 F'
L D' R U' D' F' R2
L D' R U' F' D' R2
L D' R U2 B2 U F'
L D' R D' U' F' R2
R2 D' R' U L' B U2
L D' R D2 F2 U' F
R2 D' R' U B L' U2
R' D' U F2 U2 R F'
U D' L' U' R U' F'
R D' U' R F2 R F
R D' U' F' R F' R
R D' U' F2 R D F'
R D' U' F2 R D' F'
R D' U' F2 R D2 F'
R D' U' F2 R F' D
R D' U' F2 R F' D'
R D' U' F2 R F' D2
R2 D' F2 R' U' R2 F'
R D' F' U' R F' R
R D' F' U' F' R F'
R D' F2 L U' R F'
R D' F2 L' U' R F'
R D' F2 L2 U' R F'
R D' F2 U' R D F'
R D' F2 U' R D' F'
R D' F2 U' R D2 F'
R D' F2 U' R F' D
R D' F2 U' R F' D'
R D' F2 U' R F' D2
F' U' F' D' R F' B
F' U' F' D' R B F'
L D2 R U' D R F'
L D2 R D U' R F'
F2 U2 L' U D' R F'
F2 U2 L' D' U R F'
F2 U2 L' B R' U R2
R D2 F L' F U' R
R D2 F2 U' R' F' R2
F2 U2 D L' U R F
F2 U2 D' L' U R F'
F2 U2 B L' R' U R2
F2 U2 B R' L' U R2
R F D' F U' R F'
R F D2 F L' U' R
F2 D U2 L' U R F
D' F' R U' F' R B
D' F' U' R F' B R
D' F' U' R B F' R
D' F' U' F' R F' B
D' F' U' F' R B F'
F' D' L' F R U' F'
R F' U' F' D' R F'
F2 D' U2 L' U R F'
R F2 L U' D' R F'
R F2 L D' U' R F'
R F2 L' U' D' R F'
R F2 L' D' U' R F'
R F2 L2 U' D' R F'
R F2 L2 D' U' R F'
D' F2 U2 L' U R F'
D F2 U2 L' U R F
R F2 U' D' R D F'
R F2 U' D' R D' F'
R F2 U' D' R D2 F'
R F2 U' D' R F' D
R F2 U' D' R F' D'
R F2 U' D' R F' D2
R F2 U2 B R' U R2
R F2 D L' U' R F
R2 F2 D' R' U' R2 F'
R F2 D' L U' R F'
R F2 D' L' U' R F'
R F2 D' L2 U' R F'
R F2 D' U' R D F'
R F2 D' U' R D' F'
R F2 D' U' R D2 F'
R F2 D' U' R F' D
R F2 D' U' R F' D'
R F2 D' U' R F' D2
R F2 B' L B U' R
R B' L D F2 B U'
R B' L D B F2 U'
R B' L D2 B U' R2
U B' L' U' L2 R U'
U B' L' U' R L2 U'
R B' L B U L2 U2
R B' L B U' D2 R2
R B' L B D F2 U'
R B' L B D2 U' R2
L' B' U' L B R U'
R B' F2 L B U' R
