B L D B2 R' F' U
L2 R B U2 L U R
L2 R B' R' B2 U' R2
B L B2 R' F' U R'
L2 R' U2 F' L' U R'
R' L2 U2 F' L' U R'
B' L2 R B R2 U' R'
B2 L2 R B R' U' R2
B' L2 R' U2 F' U R'
R L2 B U2 L U R
L2 R2 B' R' B U' R
R2 L2 B' R' B U' R
R L2 B' R' B2 U' R2
B L2 D' F2 R B U'
L2 U R U2 B L R
L2 U R U2 B R L
B L2 F2 R B U' R
L2 U R' F' U2 L' R'
L2 U R' F' U2 R' L'
U' L2 B U' L R2 B'
U' L2 B U' L B' R2
U' L2 B U' R2 L B'
L2 U F R U2 B R
B' R L2 B R2 U' R'
B2 R L2 B R' U' R2
L2 U F' U2 L' R2 B'
L2 U F' U2 L' B' R2
L2 U F' U2 R2 L' B'
L2 U' L' R2 B L B2
L2 U' L' B L R2 B2
L2 U' L' B L B2 R2
L2 U' L' B R2 L B2
L2 U' L2 R2 B L B'
L2 U' L2 B L R2 B'
L2 U' L2 B L B' R2
L2 U' L2 B R2 L B'
B' R B L2 R2 U' R'
B2 R B L2 R' U' R2
B' R B R2 L2 U' R'
B2 R B R' L2 U' R2
L2 U' R2 L' B L B2
L2 U' R2 L2 B L B'
L2 U' R2 B L' B' L2
L2 U' R2 B2 L' B' L
B' R' L2 U2 F' U R'
L2 U' B L' R2 B' L2
L2 U' B L' B' L2 R2
L2 U' B L' B' R2 L2
L2 U' B R2 L' B' L2
L2 U' B2 L' R2 B' L
L2 U' B2 L' B' L R2
L2 U' B2 L' B' R2 L
L2 U' B2 R2 L' B' L
R U2 L2 B U' R B
R U2 B L2 U' R B
B2 R2 D L F2 B' L
B2 R2 D L B' L F2
B2 R2 D L B' F2 L
B2 R2 D F2 L B' L
B2 R2 D F2 B' L B'
B2 R2 D B' L F2 B'
B2 R2 D B' L B' F2
B2 R2 D B' F2 L B'
R' D2 F' R2 U R B
R' F' D2 R2 U R B
R B L2 U2 L' U R
L2 B U2 L F U R2
R2 B' L2 R' B U' R
L2 B' R B R2 U' R'
R B' L2 R' B2 U' R2
U' B' R2 D F2 L' B'
L2 B' R' U2 F' U R'
R2 B' R' L2 B U' R
R B' R D L2 F2 B2
R B' R D L2 B2 F2
R B' R D F2 L2 B2
R B' R D F2 B2 L2
R B' R D B2 L2 F2
R B' R D B2 F2 L2
R2 B' R' B L2 U' R
R B' R' L2 B2 U' R2
R2 B' U L2 R' B U'
R B' R' B2 L2 U' R2
R2 B' U R' L2 B U'
R2 B' U R' B L2 U'
L2 B2 R B R' U' R2
R2 B2 D L F2 B' L
R2 B2 D L B' L F2
R2 B2 D L B' F2 L
R2 B2 D F2 L B' L
R2 B2 D F2 B' L B'
R2 B2 D B' L F2 B'
R2 B2 D B' L B' F2
R2 B2 D B' F2 L B'
