B' L F' R' D' L2 F2
B' L F' R' D' F2 L2
F L' D2 B' U' R' B
D2 L' B' L U' R' B'
F L' B' U' D2 R' B
F L' B' D2 U' R' B
F' R B2 U B L R'
F' R B2 U B R' L
B' R' U' F' R U L'
F' U R B U L B2
L2 D' L2 B' L R' F
L2 D' L2 B' L F R'
L2 D' L2 B' R' L F
B' U' F' R U L' R2
B' U' F' R U R2 L'
L' D2 B' L U' R' B
U' F' R U B' L' R'
U' F' R U B' R' L'
U F' R B U L B2
B' F L' B' U' B R'
B2 F L' B' U' B2 R'
F2 B U' B2 R' F' L'
F B' L' B' U' B R'
F B2 L' B' U' B2 R'
D2 B2 U B L R' F'
D2 B2 U B R' L F'
D2 B2 U B R' F' L
B2 F2 U B L R' F
B2 F2 U B L F R'
B2 F2 U B R' L F
F2 B2 U B L R' F
F2 B2 U B L F R'
F2 B2 U B R' L F
B2 F2 U' B R' F' L'
F2 B2 U' B R' F' L'
B F2 U' B2 R' F' L'
