U L U2 F L U
U' L2 U2 L' B' U'
L2 U L' B' U' B
B2 U' L2 R' F' U
B2 U' R' L2 F' U
B2 U' R' F' L2 U
D2 F' L' D F2 B2
D2 F' L' D B2 F2
D' F' L' B2 D F2
F' D' L' B2 D F2
F' D2 L' D F2 B2
F' D2 L' D B2 F2
D' B2 U' R' F' U
U L R U2 F L U
U L R' U2 F L U
U L R2 U2 F L U
D2 L R2 F' U' L' R2
D2 L R2 F' U' R2 L'
B2 L U' L R' F' U
B2 L U' R' L F' U
B2 L U' R' F' L U
U L U2 D F L U
U L U2 D' F L U
U L U2 D2 F L U
U L U2 F L U D
U L U2 F L U D'
U L U2 F L U D2
U L U2 F L D U
U L U2 F L D' U
U L U2 F L D2 U
U L U2 F D L U
U L U2 F D' L U
U L U2 F D2 L U
U L U2 F' L F2 U
U L U2 F2 L F' U
U L D U2 F L U
U L D' U2 F L U
F' L D' B2 R' U' R
U L D2 U2 F L U
D2 L F' R2 U' L' R2
D2 L F' R2 U' R2 L'
F' L B2 R' U' L2 R
F' L B2 R' U' R L2
U L B2 R' U2 F U
F' L' U L2 U2 L U
F' L' U' L' U2 L' U'
B2 L' U' L' R' F' U
F' L' U' D L' U F2
B2 L' U' R' L' F' U
F' L' U' D2 L' R2 U
F' L' U' D2 R2 L' U
F' L' D U' L' U F2
D2 L' D F' L' F' B2
D2 L' D F' L' B2 F'
D2 L' D F' B2 L' F'
F' L' D F2 U R U'
D2 L' D B2 F' L' F'
F' L' D2 U' L' R2 U
F' L' D2 U' R2 L' U
D2 L' F D F2 L' B2
D2 L' F D F2 B2 L'
D2 L' F D B2 F2 L'
D' L' F B2 D F2 L'
D2 L' F' D L' F2 B2
D2 L' F' D L' B2 F2
D2 L' F' D B2 L' F2
D' L' F' B2 D L' F2
F' L' F2 U L2 R U'
F' L' F2 U R L2 U'
U L' B L2 B2 R' U'
U L' B' L2 U2 L U
D' L' B2 D F' L' F'
D' L' B2 F D F2 L'
D' L' B2 F' D L' F2
U' L2 R U2 L' B U'
U' L2 R U2 B L' U'
U' L2 R' F2 R F U
U' L2 R2 F2 R F' U
D2 L2 U L' R2 B' U'
D2 L2 U L' B' R2 U'
D' L2 U L' B' U' B'
D2 L2 U R2 L' B' U'
U' L2 U F' D' L' F
U' L2 U2 L' D B' U'
U' L2 U2 L' D' B' U'
U' L2 U2 L' D2 B' U'
U' L2 U2 L' B' U' D
U' L2 U2 L' B' U' D'
U' L2 U2 L' B' U' D2
U' L2 U2 L' B' D U'
U' L2 U2 L' B' D' U'
U' L2 U2 L' B' D2 U'
U' L2 U2 D L' B' U'
U' L2 U2 D' L' B' U'
U' L2 U2 D2 L' B' U'
U' L2 U2 B L' B' U'
U' L2 U2 B' L' B' U'
U' L2 U2 B2 L' B' U'
U' L2 D U2 L' B' U'
U' L2 D' U2 L' B' U'
U' L2 D2 U2 L' B' U'
L2 U L' R B' U' B
L2 U L' R' B' U' B
L2 U L' R2 B' U' B
L2 U L' D B' U' B
L2 U L' D' B' U' B
L2 U L' D2 B' U' B
L2 U L' B' U' D B
L2 U L' B' U' D' B
L2 U L' B' U' D2 B
L2 U L' B' U' B D
L2 U L' B' U' B D'
L2 U L' B' U' B D2
L2 U L' B' D U' B
L2 U L' B' D' U' B
L2 U L' B' D2 U' B
U' L2 F' R' F' R U
B2 L2 F' R' U L' R
B2 L2 F' R' U R L'
L2 U R L' B' U' B
D' L2 F' B2 D' L' F
F' L2 F2 R U L R'
F' L2 F2 R U R' L
U' L2 F2 R U2 B U'
U' L2 F2 R' F' R2 U
F L2 F2 R U L' R'
F L2 F2 R U R' L'
L2 U R' L' B' U' B
L2 U R2 L' B' U' B
L2 U D L' B' U' B
D' L2 B2 U L' B' U'
L2 U D' L' B' U' B
D' L2 B2 F' D' L' F
L2 U D2 L' B' U' B
U R L U2 F L U
U' R L2 U2 L' B U'
U' R L2 U2 B L' U'
L2 U B' L' B' U' B2
L2 U B2 L' B' U' B'
L U' L R' F' U F
L U' L F U F' L'
L' U' L' U2 L' B' U'
L U' R' L F' U F
U R' L U2 F L U
L U' F L U F' L'
U' R' L2 F2 R F U
B R' D' R F' L' B2
B R' D' R F' B2 L'
B R' D' R B2 F' L'
B R' D' B2 R F' L'
U' R' F L2 F2 R U
U' R' F' L2 U2 L' U'
D2 R2 L F' U' L' R2
D2 R2 L F' U' R2 L'
U R2 L U2 F L U
U' R2 L2 F2 R F' U
D2 R2 F' L U' L2 R2
D2 R2 F' L U' R2 L2
L2 D U L' B' U' B
D2 U L R2 U2 F U
D' U L U2 F U B2
F' U L U2 L U L
F' U L D' B2 R' U'
F' U L B2 R' U' L2
D2 U L' R2 B' L2 U'
D2 U L' B' L2 R2 U'
D2 U L' B' R2 L2 U'
D2 U R2 L U2 F U
D2 U R2 L' B' L2 U'
F' U D' L U' L2 B2
F' U D' L U' B2 L2
F2 U D' L B' U' B'
F' U D2 L R2 U' L2
F' U D2 R2 L U' L2
U D' L U2 F U B2
L2 D' U L' B' U' B
B2 U' L R' F' L U
B' U' L2 U F' L' F
F' U' L2 U L D F2
B2 U' L2 R' D F' U
B2 U' L2 R' D' F' U
B2 U' L2 R' D2 F' U
B2 U' L2 R' F' U D
B2 U' L2 R' F' U D'
B2 U' L2 R' F' U D2
B2 U' L2 R' F' D U
B2 U' L2 R' F' D' U
B2 U' L2 R' F' D2 U
F' U' L2 U2 L' U' L2
B2 U' L2 D R' F' U
B2 U' L2 D' R' F' U
F' U' L2 F U L F
B2 U' L2 D2 R' F' U
F' U' L2 F2 R U L
B2 U' L2 F R' F' U
B2 U' L2 F' R' F' U
B2 U' L2 F2 R' F' U
F U' L2 F2 R U L'
B2 U' R' L F' L U
B2 U' R' L2 D F' U
B2 U' R' L2 D' F' U
B2 U' R' L2 D2 F' U
B2 U' R' L2 F' U D
B2 U' R' L2 F' U D'
B2 U' R' L2 F' U D2
B2 U' R' L2 F' D U
B2 U' R' L2 F' D' U
B2 U' R' L2 F' D2 U
B2 U' R' D' F' U B2
B2 U' R' F L2 F2 U
B2 U' R' F' L2 U D
B2 U' R' F' L2 U D'
B2 U' R' F' L2 U D2
B2 U' R' F' L2 D U
B2 U' R' F' L2 D' U
B2 U' R' F' L2 D2 U
B2 U' R' F' U D' B2
B2 U' R' F' D' U B2
B2 U' D' R' F' U B2
B2 U' F L2 R' F' U
B2 U' F R' L2 F' U
B2 U' F R' F' L2 U
B2 U' F' L2 R' F' U
B2 U' F' R' L2 F' U
B2 U' F' R' F' L2 U
B2 U' F2 L2 R' F' U
B2 U' F2 R' L2 F' U
B2 U' F2 R' F' L2 U
U D2 L R2 U2 F U
U D2 L' R2 B' L2 U'
U D2 L' B' L2 R2 U'
U D2 L' B' R2 L2 U'
L2 D2 U L' B' U' B
U D2 R2 L U2 F U
U D2 R2 L' B' L2 U'
D2 F L' D F2 L' B2
D2 F L' D F2 B2 L'
D2 F L' D B2 F2 L'
D' F L' B2 D F2 L'
U' F L2 U2 L' B' U'
D F L' D F2 L' B'
F' D L' D F2 D B2
F' D L' D2 B2 D' F2
D2 F' L R2 U' L2 R2
D2 F' L R2 U' R2 L2
D' F' L B2 L2 D F2
D' F' L' U L2 U' B2
D2 F' L' U L2 R2 U'
D2 F' L' U R2 L2 U'
D' F' L' D F2 D' B2
D2 F' L' D F2 B2 D
D2 F' L' D F2 B2 D'
D2 F' L' D F2 B2 D2
D2 F' L' D B2 F2 D
D2 F' L' D B2 F2 D'
D2 F' L' D B2 F2 D2
D2 F' L' F D F2 B2
D2 F' L' F D B2 F2
D' F' L' F B2 D F2
D2 F' L' F' D F2 B2
D2 F' L' F' D B2 F2
D' F' L' F' B2 D F2
D2 F' L' F2 D F2 B2
D2 F' L' F2 D B2 F2
D' F' L' F2 B2 D F2
D' F' L' B D F2 B
D' F' L' B D B F2
D2 F' L' B D F2 B2
D2 F' L' B D B2 F2
D2 F' L' B' D F2 B2
D' F' L' B' D F2 B'
D2 F' L' B' D B2 F2
D' F' L' B' D B' F2
D' F' L' B2 U L2 U'
D2 F' L' B2 D F2 B2
D' F' L' B2 D F2 D
D' F' L' B2 D F2 D'
D' F' L' B2 D F2 D2
D2 F' L' B2 D B2 F2
D' F' L' B2 F D F2
D' F' L' B2 F' D F2
D' F' L' B2 F2 D F2
U' F' L2 U2 L' B' U'
B D F' L' F D2 B2
D2 F' R2 L U' L2 R2
D2 F' R2 L U' R2 L2
D2 F' U L R2 U' L2
D' F' U L U' L2 B2
D' F' U L U' B2 L2
D2 F' U R2 L U' L2
F' D' L B2 L2 D F2
F' D' L' U L2 U' B2
D2 F' D L' B2 D F2
F' D' L' D F2 D' B2
F' D' L' F B2 D F2
F' D' L' F' B2 D F2
F' D' L' F2 B2 D F2
F' D' L' B D F2 B
F' D' L' B D B F2
F' D' L' B' D F2 B'
F' D' L' B' D B' F2
F' D' L' B2 U L2 U'
F' D' L' B2 D F2 D
F' D' L' B2 D F2 D'
F' D' L' B2 D F2 D2
F' D' L' B2 F D F2
F' D' L' B2 F' D F2
F' D' L' B2 F2 D F2
D' F' D' L' D F2 B2
D' F' D' L' D B2 F2
L' F' D' L B' L2 F
F D' L' B2 D F2 L'
B D' R F' L' R' B2
B D' R F' R' L' B2
B D' R F' R' B2 L'
D2 F' B D L' F B2
D2 F' B D L' B2 F
D' F' B D L' F B
D' F' B D L' B F
D2 F' B D B2 L' F
D' F' B D B L' F
F' D' U L U' L2 B2
F' D' U L U' B2 L2
D' F' B2 L' U' R' U
F2 D' U L B' U' B'
D' F' B2 U' R' U L'
B2 D' U' R' F' U B2
L F' B2 R' U' L' R
L F' B2 R' U' R L'
U' F2 L2 U2 L' B' U'
B' D' F' B2 D L' F
B2 D' F' B2 L' D F2
L2 F2 R F U L' R'
L2 F2 R F U R' L'
B D' F' B2 D2 L' F
F' D' B D L' F B
F' D' B D L' B F
F' D' B D B L' F
F D' F2 L' B2 D F2
F' D' B2 L' U' R' U
B' D' B2 D F' L' F
F' D' B2 U' R' U L'
B' D' B2 F' D L' F
B2 D' B2 F' L' D F2
F' D2 L R2 U' L2 R2
F' D2 L R2 U' R2 L2
B D' B2 R F' L' R'
B D' B2 R F' R' L'
B D' B2 D2 F' L' F
B D' B2 F' D2 L' F
F' D2 L' U L2 R2 U'
F' D2 L' U R2 L2 U'
F' D2 L' D F2 B2 D
F' D2 L' D F2 B2 D'
F' D2 L' D F2 B2 D2
F' D2 L' D B2 F2 D
F' D2 L' D B2 F2 D'
F' D2 L' D B2 F2 D2
F' D2 L' F D F2 B2
F' D2 L' F D B2 F2
F' D2 L' F' D F2 B2
F' D2 L' F' D B2 F2
F' D2 L' F2 D F2 B2
F' D2 L' F2 D B2 F2
F' D2 L' B D F2 B2
F' D2 L' B D B2 F2
F' D2 L' B' D F2 B2
F' D2 L' B' D B2 F2
F' D2 L' B2 D F2 B2
F' D2 L' B2 D B2 F2
L2 F2 D R F' U R'
F D2 L' D F2 L' B2
F D2 L' D F2 B2 L'
F D2 L' D B2 F2 L'
F' D2 R2 L U' L2 R2
F' D2 R2 L U' R2 L2
F' D2 U L R2 U' L2
F' D2 U R2 L U' L2
F' D2 B D L' F B2
F' D2 B D L' B2 F
F' D2 B D B2 L' F
F D2 F2 L' D F2 B2
F D2 F2 L' D B2 F2
L2 B U L' B' U' B
D2 B D F' L' F B2
D2 B D F' L' B2 F
D2 B D F' B2 L' F
D' B D F' L' F B
D' B D F' L' B F
D' B D F' B L' F
D' B D B F' L' F
D2 B D B2 F' L' F
R' B D' R F' L' B2
R' B D' R F' B2 L'
R' B D' R B2 F' L'
R' B D' B2 R F' L'
D2 B F' D L' F B2
D2 B F' D L' B2 F
D2 B F' D B2 L' F
D' B F' D L' F B
D' B F' D L' B F
D' B F' D B L' F
F' B D L' D2 F B2
F' B D L' D2 B2 F
