L2 R' B' R' U B L
R' L2 B' R' U B L
D2 R2 F U' B L F
B R2 F L B' U' B2
F' U' L F2 B' U' F'
F' U' L B' F2 U' F'
F' U' F2 L B' U' F
D F U F2 R B U2
D F U' L F L2 B'
R2 F B L B' U' B
F D R2 U' L F L'
F D2 R' B L U' B
R2 B U F L B' U'
B F L D R2 B' U'
B F L D B' R2 U'
B F L D2 B' U' B'
B F L B' U F2 U2
B F L B' U' D2 B2
B F L B' D R2 U'
B F L B' D2 U' B2
F B L D R2 B' U'
F B L D B' R2 U'
F B L D2 B' U' B'
F B L B' U F2 U2
F B L B' U' D2 B2
F B L B' D R2 U'
F B L B' D2 U' B2
R2 B F L B' U' B
F' B U' L F2 B' U'
F' B U' L B' F2 U'
F' B U' F2 L B' U'
B F' U' L F2 B' U'
B F' U' L B' F2 U'
B F' U' F2 L B' U'
