D R' B L U L'
U' L R' U' F L' U2
D L R' B L U L2
B L U L' R' F' R
B L U R' L' F' R
R' L' F' U L R B
R' L' F' U R L B
L' R' F' U L R B
L' R' F' U R L B
L2 R' F' U L2 R B
L2 R' F' U R L2 B
L2 R' F' U R B L2
U' L' D R' B U B2
D L2 R' B L U L
R' L2 F' U L2 R B
R' L2 F' U R L2 B
R' L2 F' U R B L2
U' L2 D2 R' U B R'
F' R U' L' R2 U B'
F' R U' R2 L' U B'
U R D2 L2 U' B R'
F' R B U' L R2 U
F' R B U' R2 L U
U' R' L U' F L' U2
D R' L B L U L2
D R' L2 B L U L
U R' U F' U2 R F
D R' D B L U L'
D R' D' B L U L'
D R' D2 B L U L'
D R' F B L U L'
D R' F' B L U L'
D2 R' B L U L' R'
D2 R' B L U R' L'
D' R' B L B' U L'
F' R' B L U L' R2
F' R' B L U R2 L'
D R' F2 B L U L'
D R' B L U L' D
D R' B L U L' D'
D R' B L U L' D2
D R' B L U D L'
D R' B L U D' L'
D R' B L U D2 L'
D R' B L D U L'
D R' B L D' U L'
D R' B L D2 U L'
D R' B D L U L'
D R' B D' L U L'
D R' B D2 L U L'
D R' B F L U L'
D R' B F' L U L'
D R' B F2 L U L'
L2 D R' F2 B L U
L2 D R' B L F2 U
L2 D R' B F2 L U
L D R' B L U L2
U' D L' R' B U B2
L2 D F2 R' B L U
U' D R' L' B U B2
U' D R' B L' U B'
D U' L' R' B U B2
F' U' L' R' U R2 B'
F' U' L' R' U B' R2
B U' L U F' R F2
D U' R' L' B U B2
D U' R' B L' U B'
R' D' B L B' U L'
F' U' R' L' U R2 B'
F' U' R' L' U B' R2
B U' D' L B' U F
R' D2 B L U L' R'
R' D2 B L U R' L'
D F R' B L U L'
R' F' L U L' R B
R' F' L U R L' B
R' F' L U R B L'
R' F' L' U L R B
R' F' L' U R L B
R' F' L2 U L2 R B
R' F' L2 U R L2 B
R' F' L2 U R B L2
D F' R' B L U L'
U2 F' U L' R' U R2
U2 F' U R' L' U R2
B D' L B' R' U L'
B' D' R D F' R B2
B' D' R D F' B2 R
B' D' R D B2 F' R
R' F' B L U L' R
R' F' B L U R L'
B D' U' L B' U F
D F2 R' B L U L'
D2 B L U L' R' F'
D2 B L U R' L' F'
D' B L B' R' U L'
D2 B R' U' L U F
D2 B U' L U R' F
D2 B U' L U F R'
D' B U' L B' U F
R' B D' L B' U L'
F' B R U' L U F
R' B F' L U L' R
R' B F' L U R L'
F' B U' L U R F
F2 B U' L U F R
B F' R U' L U F
B F' U' L U R F
B' F' D' R D F' B2
B' F' D' R D B2 F'
B' F' D' R F' D B2
F' B' D' R D F' B2
F' B' D' R D B2 F'
F' B' D' R F' D B2
B F2 U' L U F R
