D L' F U' F B'
D L' F U' B' F
L2 U' B D2 R' B
L2 R U' B D2 R' B
D L D' L2 F U' B'
B' L F U' L B U'
L2 R' U' B D2 R' B
D L' R F U' F B'
D L' R F U' B' F
D L' R' F U' F B'
D L' R' F U' B' F
D L' R2 F U' F B'
D L' R2 F U' B' F
D L' F R U' F B'
D L' F R U' B' F
D L' F R' U' F B'
D L' F R' U' B' F
D L' F R2 U' F B'
D L' F R2 U' B' F
D L' F U' D F B'
D L' F U' D B' F
D L' F U' D' F B'
D L' F U' D' B' F
D L' F U' D2 F B'
D L' F U' D2 B' F
D L' F U' F D B'
D L' F U' F D' B'
D L' F U' F D2 B'
D L' F U' F B' D
D L' F U' F B' D'
D L' F U' F B' D2
D L' F U' B' D F
D L' F U' B' D' F
D L' F U' B' D2 F
D L' F U' B' F D
D L' F U' B' F D'
D L' F U' B' F D2
D L' F D U' F B'
D L' F D U' B' F
D L' F D' U' F B'
D L' F D' U' B' F
D L' F D2 U' F B'
D L' F D2 U' B' F
R' L2 U' B D2 R' B
L2 R2 U' B D2 R' B
R2 L2 U' B D2 R' B
R L2 U' B D2 R' B
B2 L' B2 L' U' B R'
U' L2 U' L2 R B R'
U' L2 U' R L2 B R'
U' L2 U' R B L2 R'
U' L2 U' R B R' L2
F' L2 U' B D2 R' B
F2 L2 U' B D2 R' B
F L2 U' B D2 R' B
L2 U L U2 B R' B2
L2 U L' D2 F L' U2
L2 U L2 U2 R B R'
B' L2 B U L' F U2
D R L' F U' F B'
D R L' F U' B' F
U2 R U B R' D F2
U2 R U B D R' F2
U2 R U B D F2 R'
U2 R U2 L2 U' B R'
L2 U B' L B U2 B2
L2 U' L B L' R' B2
L2 U' L B R' L' B2
L2 U' L B R' B2 L'
L2 U' L B' L' D2 R2
L2 U' R B D2 R' B
L2 U' R' B D2 R' B
L2 U' R2 B D2 R' B
L2 U' D2 R' D2 B R'
D R' L' F U' F B'
D R' L' F U' B' F
B R' U B' L2 R' U'
B R' U B' R' L2 U'
L2 U' B L R' B' L'
L2 U' B R' L B' L'
L2 U' B D2 R' D B
L2 U' B D2 R' D' B
L2 U' B D2 R' D2 B
L2 U' B D2 R' B D
L2 U' B D2 R' B D'
L2 U' B D2 R' B D2
L2 U' B' U2 L U2 B'
L2 U' B' D2 B2 R' B
L2 U' B2 L B' L' R'
L2 U' B2 L B' R' L'
L2 U' B2 D2 B' R' B
L2 U2 L U B R' B2
L2 U2 L B U R' B2
D R2 L' F U' F B'
D R2 L' F U' B' F
L2 U2 B L U R' B'
L2 U2 B U D2 R' B
L2 U2 B D2 U R' B
L2 U2 B' U' L U2 B'
R' D L' F U' F B'
R' D L' F U' B' F
R2 D L' F U' F B'
R2 D L' F U' B' F
R D L' F U' F B'
R D L' F U' B' F
L2 D F' D2 R F' U'
L2 D' R D2 F' R U'
L2 D2 R U F' U2 R
L2 D2 R' U' D2 B R'
L2 D2 R' D2 U' B R'
L2 D2 R' F' U' B R
L2 D2 U' R' D2 B R'
L2 D2 F' R' U' B R2
L2 D2 F' U' R' B R2
L' F U' B R' F' B2
L' F U' B R' B2 F'
L2 F U' B D2 R' B
F' D L' F U' F B'
F' D L' F U' B' F
F2 D L' F U' F B'
F2 D L' F U' B' F
B2 D L' B' L' R' F2
B2 D L' B' L' F2 R'
B2 D L' B' R' L' F2
F D L' F U' F B'
F D L' F U' B' F
U' F B R' D F2 B2
U' F B R' D B2 F2
D F' L' F U' F2 B'
D F' L' F U' B' F2
B2 D F2 L' B' L' R'
B2 D F2 L' B' R' L'
D2 F' U2 R2 U R' B
L2 F' U' B D2 R' B
L F2 L R2 U' B R'
L F2 L U' R2 B R'
D F2 L' F U' F' B'
D F2 L' F U' B' F'
L F2 R2 L U' B R'
L2 F2 U' B D2 R' B
U' F2 B D R' F2 B
U' F2 B D R' B F2
U' F2 B D F2 R' B
U' B D F2 D R' B
U' B F R' D F2 B2
U' B F R' D B2 F2
U' B F2 D R' F2 B
U' B F2 D R' B F2
U' B F2 D F2 R' B
U B' L U' L R' U'
U B' L U' R' L U'
