F2 L' R' B' U
F2 R' L' B' U
F2 L' R B' R2 U
F2 L' R' D B' U
F2 L' R' D' B' U
F2 L' R' D2 B' U
F2 L' R' B' U D
F2 L' R' B' U D'
F2 L' R' B' U D2
F2 L' R' B' D U
F2 L' R' B' D' U
F2 L' R' B' D2 U
F2 L' R2 B' R U
F2 L' D R' B' U
F2 L' D' R' B' U
F2 L' D2 R' B' U
F2 R L' B' R2 U
F2 R' L' D B' U
F2 R' L' D' B' U
F2 R' L' D2 B' U
F2 R' L' B' U D
F2 R' L' B' U D'
F2 R' L' B' U D2
F2 R' L' B' D U
F2 R' L' B' D' U
F2 R' L' B' D2 U
F2 R' D L' B' U
F2 R' D' L' B' U
F2 R' D2 L' B' U
F R' F L' B' U
F2 R' B L' B' U
F2 R' B' L' B' U
F2 R' B2 L' B' U
F2 R' B2 L' B' U
F2 R2 L' B' R U
F2 D L' R' B' U
F2 D R' L' B' U
F2 D' L' R' B' U
F2 D' R' L' B' U
L' F2 R' B' L' U
F2 D2 L' R' B' U
F2 D2 R' L' B' U
F2 B L' B' R' U
D2 B2 L R F U'
D2 B2 R L F U'
B F2 L' B' R' U
B2 L R D' F U' L2
B2 L R D2 F B2 U'
B2 L R D2 B2 F U'
B2 L R F U2 F U
F2 L R' B L2 B' U
F2 L R' B' L2 B' U
F2 L R' B2 L2 B' U
L' R U2 R2 F2 B' U
L' R U2 R2 B' F2 U
L' R U2 F2 R2 B' U
L' R U2 F2 B' R2 U
L' R U2 B' R2 F2 U
L' R U2 B' F2 R2 U
L R U2 F2 R2 B U
R L U2 F2 R2 B U
L R D' F U' F L2
R L D' F U' F L2
L' R D2 L2 F B2 U'
L' R D2 L2 B2 F U'
L R D2 F L2 B2 U'
L R D2 F B2 L2 U'
R L D2 F L2 B2 U'
R L D2 F B2 L2 U'
L R D2 B2 F L2 U'
R L D2 B2 F L2 U'
L R F U2 R2 F U
L R F U2 F R2 U
R L F U2 R2 F U
R L F U2 F R2 U
B2 L D' R F U' L2
L R F D2 L2 B' U'
R L F D2 L2 B' U'
B2 L D2 R F B2 U'
B2 L D2 R B2 F U'
R' L F2 U2 F' R2 U'
B2 L D2 B2 R F U'
B2 L F U2 F L' U
F2 L B L2 B' R' U
D2 L B2 R F L U'
R L' U2 R2 F2 B' U
R L' U2 R2 B' F2 U
R L' U2 F2 R2 B' U
F2 L' R D' B' U F2
R L' U2 F2 B' R2 U
R L' U2 B' R2 F2 U
R L' U2 B' F2 R2 U
F2 L' R B R2 B2 U
F2 L' R B' R2 U D
F2 L' R B' R2 U D'
F2 L' R B' R2 U D2
F2 L' R B' R2 D U
F2 L' R B' R2 D' U
F2 L' R B' R2 D2 U
F2 L' R B' U D' F2
F2 L' R B' D' U F2
F2 L' R' D B' U D
F2 L' R' D B' U D'
F2 L' R' D B' U D2
F2 L' R' D B' D U
F2 L' R' D B' D' U
F2 L' R' D B' D2 U
F2 L' R' D' B' U D
F2 L' R' D' B' U D'
F2 L' R' D' B' U D2
F2 L' R' D' B' D U
F2 L' R' D' B' D' U
F2 L' R' D' B' D2 U
F2 L' R' D2 B' U D
F2 L' R' D2 B' U D'
F2 L' R' D2 B' U D2
F2 L' R' D2 B' D U
F2 L' R' D2 B' D' U
F2 L' R' D2 B' D2 U
F2 L' R' B U D' R2
F2 L' R' B D' U R2
F2 L' R' B2 D B U
F2 L' R' B2 D' B U
F2 L' R' B2 D2 B U
F2 L' R2 D R B' U
F2 L' R2 D B' R U
F2 L' R2 D' R B' U
F2 L' R2 D' B' R U
F2 L' R2 D2 R B' U
F2 L' R2 D2 B' R U
F2 L' R2 B R B2 U
F2 L' R2 B' R U D
F2 L' R2 B' R U D'
F2 L' R2 B' R U D2
F2 L' R2 B' R D U
F2 L' R2 B' R D' U
F2 L' R2 B' R D2 U
F2 L' R2 B' D R U
F2 L' R2 B' D' R U
F2 L' R2 B' D2 R U
R L' D2 L2 F B2 U'
R L' D2 L2 B2 F U'
R' L' D2 B' L2 F U
L' R' D2 B' L2 F U
F2 L' D R B' R2 U
F2 L' D R' D B' U
F2 L' D R' D' B' U
F2 L' D R' D2 B' U
F2 L' D R' B' U D
F2 L' D R' B' U D'
F2 L' D R' B' U D2
F2 L' D R' B' D U
F2 L' D R' B' D' U
F2 L' D R' B' D2 U
R' L' F2 D B' U B'
F2 L' D R2 B' R U
L' R' F2 D B' U B'
R' L' F2 D2 B' L2 U
L' R' F2 D2 B' L2 U
R' L' F2 B' U D B2
R' L' F2 B' U2 R2 U'
R' L' F2 B' D U B2
L R' F2 U2 F' R2 U'
R' L' F2 B' D2 L2 U
L' R' F2 B' U D B2
L' R' F2 B' U2 R2 U'
L' R' F2 B' D U B2
L' R' F2 B' D2 L2 U
F2 L' D' R B' R2 U
F2 L' D' R' D B' U
F2 L' D' R' D' B' U
F2 L' D' R' D2 B' U
F2 L' D' R' B' U D
F2 L' D' R' B' U D'
F2 L' D' R' B' U D2
F2 L' D' R' B' D U
F2 L' D' R' B' D' U
F2 L' D' R' B' D2 U
F2 L' D' R2 B' R U
F2 L' D2 R B' R2 U
F2 L' D2 R' D B' U
F2 L' D2 R' D' B' U
F2 L' D2 R' D2 B' U
F2 L' D2 R' B' U D
F2 L' D2 R' B' U D'
F2 L' D2 R' B' U D2
F2 L' D2 R' B' D U
F2 L' D2 R' B' D' U
F2 L' D2 R' B' D2 U
F2 L' D2 R2 B' R U
R' L' B' F2 U D B2
R' L' B' F2 U2 R2 U'
R' L' B' F2 D U B2
R' L' B' F2 D2 L2 U
L' R' B' F2 U D B2
L' R' B' F2 U2 R2 U'
L' R' B' F2 D U B2
L' R' B' F2 D2 L2 U
F' L' F' R' B' L' U
F2 L' F' R' F B' U
F2 L' F' R' B' F U
F2 L' F2 R' F2 B' U
F2 L' F2 R' B' F2 U
B L' F2 B' L' R' U
B L' F2 B' R' L' U
F2 L' B' D' R U F'
