R U B U2 R
R U' R2 F' R'
L' R U B U2 R
L R U B U2 R
L' R U' R2 F' R'
L2 R U B U2 R
R L U B U2 R
L R U' R2 F' R'
L2 R U' R2 F' R'
R L U' R2 F' R'
R L' U B U2 R
R L' U' R2 F' R'
R L2 U B U2 R
R L2 U' R2 F' R'
R U L B U2 R
R U L' B U2 R
R U L2 B U2 R
R U D B U2 R
R U D' B U2 R
R U D2 B U2 R
D2 R U L2 B U2
D2 R U B L2 U2
D' R U' D R2 F'
D2 R U' D2 R2 F'
D R U' D' R2 F'
R U B L U2 R
R U B L' U2 R
R U B L2 U2 R
R U B U2 R D
R U B U2 R D'
R U B U2 R D2
R U B U2 D R
R U B U2 D' R
R U B U2 D2 R
R U B D U2 R
R U B D' U2 R
R U B D2 U2 R
D' R D U' R2 F'
D R D' U' R2 F'
D2 R D2 U' R2 F'
D' R F2 U B U2
R' U' D F' R' B2
R U' R2 D F' R'
R U' R2 D' F' R'
R U' R2 D2 F' R'
R U' R2 F R' F2
R U' R2 F' R' D
R U' R2 F' R' D'
R U' R2 F' R' D2
R U' R2 F' D R'
R U' R2 F' D' R'
R U' R2 F' D2 R'
R U' R2 F2 R' F
R U' D R2 F' R'
R U' D' R2 F' R'
R U' D2 R2 F' R'
R' U' F' D R' B2
R U' F R2 F' R
D' R' F2 R2 U' F
R U2 R2 U F' R'
U' R2 U R' U' F'
R' D U' F' R' B2
R D U B U2 R
R D U' R2 F' R'
R D' U B U2 R
R D' U' R2 F' R'
R D2 U B U2 R
R D2 U' R2 F' R'
R' F R2 U' R F2
R F U' R2 F' R
R' F2 R2 U' R F
R F2 U L' B U2
R F2 U B L' U2
L' R U L B U2 R
L' R U L' B U2 R
D2 L R U L B U2
L' R U L2 B U2 R
L2 R U L B U2 R
D' L R U' D R2 F'
L R U L B U2 R
L2 R U L' B U2 R
L R U L' B U2 R
D L R U' D' R2 F'
L2 R U L2 B U2 R
D' L R D U' R2 F'
L R U L2 B U2 R
L' R U D B U2 R
R L U L B U2 R
L' R U D' B U2 R
R L U L' B U2 R
L' R U D2 B U2 R
D L R D' U' R2 F'
R L U L2 B U2 R
L2 R U D B U2 R
L R U D B U2 R
L2 R U D' B U2 R
L R U D' B U2 R
D' L R F2 U B U2
L2 R U D2 B U2 R
L' R U B L U2 R
L' R U B L' U2 R
L' R U B L2 U2 R
L R U D2 B U2 R
L' R U B U2 R D
L' R U B U2 R D'
L' R U B U2 R D2
L' R U B U2 D R
L' R U B U2 D' R
L' R U B U2 D2 R
L' R U B D U2 R
L' R U B D' U2 R
L' R U B D2 U2 R
R L U D B U2 R
R L U D' B U2 R
R L U D2 B U2 R
L2 R U B L U2 R
L2 R U B L' U2 R
L2 R U B L2 U2 R
L R U B L U2 R
L R U B L' U2 R
L R U B L2 U2 R
L2 R U B U2 R D
L2 R U B U2 R D'
L2 R U B U2 R D2
L2 R U B U2 D R
L2 R U B U2 D' R
L2 R U B U2 D2 R
L2 R U B D U2 R
L R U B U2 R D
L R U B U2 R D'
L R U B U2 R D2
L R U B U2 D R
L R U B U2 D' R
L R U B U2 D2 R
L2 R U B D' U2 R
L R U B D U2 R
L2 R U B D2 U2 R
L R U B D' U2 R
L R U B D2 U2 R
R L U B L U2 R
R L U B L' U2 R
R L U B L2 U2 R
R L U B U2 R D
R L U B U2 R D'
R L U B U2 R D2
R L U B U2 D R
R L U B U2 D' R
R L U B U2 D2 R
R L U B D U2 R
R L U B D' U2 R
R L U B D2 U2 R
L' R U' R2 D F' R'
L' R U' R2 D' F' R'
L' R U' R2 D2 F' R'
L' R U' R2 F R' F2
L' R U' R2 F' R' D
L' R U' R2 F' R' D'
L' R U' R2 F' R' D2
L' R U' R2 F' D R'
L' R U' R2 F' D' R'
L' R U' R2 F' D2 R'
L' R U' R2 F2 R' F
L' R U' D R2 F' R'
L' R U' D' R2 F' R'
R' L U' D F' R' B2
L' R U' D2 R2 F' R'
D' L R' F2 R2 U' F
L2 R U' R2 D F' R'
L' R U' F R2 F' R
L2 R U' R2 D' F' R'
L R U' R2 D F' R'
L2 R U' R2 D2 F' R'
L R U' R2 D' F' R'
L2 R U' R2 F R' F2
L R U' R2 D2 F' R'
L2 R U' R2 F' R' D
L2 R U' R2 F' R' D'
L2 R U' R2 F' R' D2
L2 R U' R2 F' D R'
L2 R U' R2 F' D' R'
L2 R U' R2 F' D2 R'
L R U' R2 F R' F2
L2 R U' R2 F2 R' F
L R U' R2 F' R' D
L R U' R2 F' R' D'
L R U' R2 F' R' D2
L R U' R2 F' D R'
L R U' R2 F' D' R'
L R U' R2 F' D2 R'
L R U' R2 F2 R' F
L2 R U' D R2 F' R'
L R U' D R2 F' R'
L2 R U' D' R2 F' R'
L R U' D' R2 F' R'
L2 R U' D2 R2 F' R'
L R U' D2 R2 F' R'
R' L U' F' D R' B2
R L U' R2 D F' R'
R L U' R2 D' F' R'
R L U' R2 D2 F' R'
R L U' R2 F R' F2
R L U' R2 F' R' D
R L U' R2 F' R' D'
R L U' R2 F' R' D2
R L U' R2 F' D R'
R L U' R2 F' D' R'
R L U' R2 F' D2 R'
R L U' R2 F2 R' F
L R U' F R2 F' R
L2 R U' F R2 F' R
R L U' D R2 F' R'
R L U' D' R2 F' R'
R L U' D2 R2 F' R'
R L U' F R2 F' R
L' R U2 R2 U F' R'
L2 R U2 R2 U F' R'
L R U2 R2 U F' R'
R L U2 R2 U F' R'
L' R D U B U2 R
L' R D U' R2 F' R'
R' L D U' F' R' B2
L2 R D U B U2 R
L R D U B U2 R
L2 R D U' R2 F' R'
L R D U' R2 F' R'
R L D U B U2 R
R L D U' R2 F' R'
L' R D' U B U2 R
L' R D' U' R2 F' R'
L2 R D' U B U2 R
L R D' U B U2 R
L2 R D' U' R2 F' R'
L R D' U' R2 F' R'
R L D' U B U2 R
R L D' U' R2 F' R'
U2 L U2 R U' R F
L' R D2 U B U2 R
L' R D2 U' R2 F' R'
L R D2 U B U2 R
L2 R D2 U B U2 R
L R D2 U' R2 F' R'
L2 R D2 U' R2 F' R'
R L D2 U B U2 R
R L D2 U' R2 F' R'
R' L F R2 U' R F2
L' R F U' R2 F' R
L R F U' R2 F' R
L2 R F U' R2 F' R
R L F U' R2 F' R
R' L F2 R2 U' R F
L' R F2 U L' B U2
L' R F2 U B L' U2
L R F2 U L' B U2
L2 R F2 U L' B U2
L R F2 U B L' U2
L2 R F2 U B L' U2
R L F2 U L' B U2
R L F2 U B L' U2
R L' U L B U2 R
R L' U L' B U2 R
R L' U L2 B U2 R
R L' U D B U2 R
R L' U D' B U2 R
R L' U D2 B U2 R
R L' U B L U2 R
