U' L2 F R U' F2
L' U2 D F' R B'
L' U2 D F' B' R
L' U2 D B' F' R
L' U2 B' D F' R
L' D U2 F' R B'
L' D U2 F' B' R
L' D U2 B' F' R
B2 U B L U F'
U2 F' R B D' R2
U B L B2 U F'
U' L U' F R F2 B
U' L U' F R B F2
B L D L2 U2 F' B'
B L D L2 U2 B' F'
B L D F L2 U2 F2
B L D' F U2 R2 F2
B L D' F U2 F2 R2
B2 L F U B U F2
B' L F U2 F2 D R2
B L F U B2 U F2
B L F U2 F2 D' R2
U L' U D F' R B
B2 L' U B U F' B2
B2 L' U B U B2 F'
B L' U B2 U F' B
B L' U B2 U B F'
U' L' U' D F' R B
D2 L' U2 D F' R B'
D2 L' U2 D F' B' R
D2 L' U2 D B' F' R
D' L' U2 D F' R B'
D' L' U2 D F' B' R
D' L' U2 D B' F' R
D L' U2 D F' R B'
D L' U2 D F' B' R
D L' U2 D B' F' R
B L' U2 D' F' R2 B'
B L' U2 D' F' B' R2
B L' U2 D' B' F' R2
D2 L' U2 B' D F' R
D' L' U2 B' D F' R
B2 L' U2 F' B' D' R2
B L' U2 F' D' R2 B'
B L' U2 F' D' B' R2
B2 L' U2 B' D' F' R2
B2 L' U2 B' F' D' R2
D L' U2 B' D F' R
U2 L' D L F' R B
B L' D L2 F U2 F2
D2 L' D U2 F' R B'
D2 L' D U2 F' B' R
D2 L' D U2 B' F' R
D' L' D U2 F' R B'
D' L' D U2 F' B' R
D' L' D U2 B' F' R
U' L' D U' F' R B
D L' D U2 F' R B'
D L' D U2 F' B' R
U2 L' D F' L R B
D L' D U2 B' F' R
U2 L' D F' R L B
U L' D U F' R B
B L' D' U2 F' R2 B'
B L' D' U2 F' B' R2
B L' D' U2 B' F' R2
U L' B L B' U F'
U' L2 R' F R U' F'
U L2 U2 F R U' F2
U' L2 D F R U' F2
U' L2 D' F R U' F2
U' L2 D2 F R U' F2
U' L2 F L R U' F2
U' L2 F L' R U' F2
U' L2 F L2 R U' F2
U' L2 F R L U' F2
U' L2 F R L' U' F2
U' L2 F R L2 U' F2
U' L2 F R U' F2 D
U' L2 F R U' F2 D'
U' L2 F R U' F2 D2
U' L2 F R D' L2 U'
U' L2 F D' L2 R U'
U' L2 F D' R L2 U'
U2 R U' B' R' U B2
U2 R B R D' R2 F'
U2 R B R' D' F' R2
U2 R B R' F' D' R2
U2 R B D' R' F' R'
L2 U' F L U' F2 B'
L2 U' F L U' B' F2
U' R' L2 F R U' F'
L' U2 D F' R D B'
L' U2 D F' R D' B'
L' U2 D F' R D2 B'
L' U2 D F' R B' D
L' U2 D F' R B' D'
L' U2 D F' R B' D2
L' U2 D F' R' B' R2
L' U2 D F' D R B'
L' U2 D F' D B' R
L' U2 D F' D' R B'
L' U2 D F' D' B' R
L' U2 D F' D2 R B'
L' U2 D F' D2 B' R
L' U2 D F' B R B2
L' U2 D F' B' R D
L' U2 D F' B' R D'
L' U2 D F' B' R D2
L' U2 D F' B' D R
L' U2 D F' B' D' R
L' U2 D F' B' D2 R
L' U2 D B F' R B2
L' U2 D B' F' R D
L' U2 D B' F' R D'
L' U2 D B' F' R D2
L' U2 D B' F' D R
L' U2 D B' F' D' R
L' U2 D B' F' D2 R
L' U2 D' F' B R' B2
L' U2 D' B F' R' B2
L' U2 D2 B' D' F' R
L' U2 F' D' B R' B2
L' U2 F' B2 D' B R'
L' U2 B' D F' R D
L' U2 B' D F' R D'
L' U2 B' D F' R D2
L' U2 B' D F' D R
L' U2 B' D F' D' R
L' U2 B' D F' D2 R
L' U2 B2 D F' B R
L' U2 B2 D B F' R
L' U2 B2 D' F' B R'
L' U2 B2 D' B F' R'
L' U2 B2 F' D' B R'
L' D L U2 F' R B
L' D L2 F L' U2 F2
L' D L2 F U2 F2 R
L' D U2 F' R D B'
L' D U2 F' R D' B'
L' D U2 F' R D2 B'
L' D U2 F' R B' D
L' D U2 F' R B' D'
L' D U2 F' R B' D2
L' D U2 F' R' B' R2
L' D U2 F' D R B'
L' D U2 F' D B' R
L' D U2 F' D' R B'
L' D U2 F' D' B' R
L' D U2 F' D2 R B'
L' D U2 F' D2 B' R
L' D U2 F' B R B2
L' D U2 F' B' R D
L' D U2 F' B' R D'
L' D U2 F' B' R D2
L' D U2 F' B' D R
L' D U2 F' B' D' R
L' D U2 F' B' D2 R
L' D U2 B F' R B2
L' D U2 B' F' R D
L' D U2 B' F' R D'
L' D U2 B' F' R D2
L' D U2 B' F' D R
L' D U2 B' F' D' R
L' D U2 B' F' D2 R
B2 U L B L U F'
L' D F U2 F2 R B'
L' D F U2 F2 B' R
L' D F U2 B' F2 R
B2 U L' B L U F'
L' D F' R B2 L B
U' D L2 F R U' F2
L' D F' B R B2 L
B2 U L2 B L U F'
L' D F2 U2 F B' R'
L' D F2 U2 B' R' F
L' D F2 U2 B' F R'
B' U R' U R F' B
B' U R' U R B F'
L' D B U2 F' R B2
L' D B U2 F' B2 R
L' D B U2 B2 F' R
L' D B F' R B2 L
L' D B2 U2 F' B R
L' D B2 U2 B F' R
B2 U D B L U F'
B2 U D' B L U F'
U2 D F' R B D' R2
B2 U D2 B L U F'
D' U B L B2 U F'
D2 U B L B2 U F'
D U B L B2 U F'
U D B L B2 U F'
B2 U B L U D F'
B2 U B L U D' F'
B2 U B L U D2 F'
B2 U B L U F' D
B2 U B L U F' D'
B2 U B L U F' D2
B2 U B L D U F'
B2 U B L D' U F'
B2 U B L D2 U F'
B2 U B D L U F'
B2 U B D' L U F'
B2 U B D2 L U F'
B U B L B U F'
F U B L B2 U F2
F2 U B' U2 R' U' F
U' D' L2 F R U' F2
F U B' U2 R' U' F2
D' U' L2 F R U' F2
D2 U' L2 F R U' F2
L' D' U2 F' B R' B2
L' D' U2 B F' R' B2
D U' L2 F R U' F2
F U' L2 F R U' F
L' D' B U2 F' R' B2
U2 D' F' R B D' R2
U D' B L B2 U F'
F U' D' L2 F R U'
U' D2 L2 F R U' F2
L' D2 U2 B' D' F' R
D' U2 F' R B D' R2
D2 U2 F' R B D' R2
U2 D2 F' R B D' R2
D U2 F' R B D' R2
B2 U2 R D B R' F'
F2 U2 R F B D' R2
F2 U2 R B D' R2 F
F2 U2 R B D' F R2
F2 U2 R B F D' R2
F U2 R F2 B D' R2
F U2 R B F2 D' R2
U D2 B L B2 U F'
B U2 D' F' R B R
U' F L2 R F U' F
L F L U' F U' F
F2 U2 F R B D' R2
U' F R L2 F U' F
B' U2 F' U F R U'
L F L' U B' U F2
B2 U2 F' R D B R'
U' F R U2 B' U F2
U' F R D' L2 F U'
B2 U2 F' U' B L U
B U2 F' R D' B R2
B U2 F' R' D' R2 B
U2 F R F2 B D' R2
B U2 F' D' R B R
U2 F R B F2 D' R2
F U2 F2 R B D' R2
L F U B' U R' F2
L F U B' U F2 R'
B D L F L U2 F2
L F U' F U' R F
U' F D' L2 R F U'
U' F D' R L2 F U'
B2 D U B L U F'
U2 F' R U' B' U B2
U2 F' R D B D' R2
U2 F' R D' B D' R2
U2 F' R D2 B D' R2
U2 F' R B R D' R2
U2 F' R B R' D' R2
U2 F' R B R2 D' R2
U2 F' R B U' B2 U
U2 F' R B D' R2 D
U2 F' R B D' R2 D'
U2 F' R B D' R2 D2
U2 F' R' B D' R2 B
U' F' U' B' L' U L
U2 F' U' B L B2 U
U2 F' U' B' U2 R' U'
B D' L F U2 R2 F2
B D' L F U2 F2 R2
U2 F' D R B D' R2
B D' L' U2 F' R2 B'
B D' L' U2 F' B' R2
B D' L' U2 B' F' R2
U2 F' D' R B D' R2
U2 F' D2 R B D' R2
U2 F' B R D' B R2
U2 F' B R' D' R2 B
U2 F' B D' R B R
B2 D' U B L U F'
U2 F' B2 R D B R'
U2 F' B2 U' B L U
F D' U' L2 F R U'
B D' U2 F' R B R
U2 F2 R F B D' R2
U2 F2 R B D' R2 F
U2 F2 R B D' F R2
U2 F2 R B F D' R2
B2 D2 U B L U F'
U B L U D' F' R2
U B L U F' D' R2
U B L D' U F' R2
U B L B2 U D F'
U B L B2 U D' F'
U B L B2 U D2 F'
U B L B2 U F' D
U B L B2 U F' D'
U B L B2 U F' D2
U B L B2 D U F'
U B L B2 D' U F'
U B L B2 D2 U F'
U B L' B2 L2 U F'
U B L2 B2 L' U F'
F D2 B2 U B L U
L' B U2 B2 D F' R
U2 B D' F' R B R
U B D' L U F' R2
U2 B F' R D' B R2
U2 B F' R' D' R2 B
U2 B F' D' R B R
B2 F U B L U F2
U B' U F' U R' U'
U2 B2 R D B R' F'
D2 B2 U B L U F'
D' B2 U B L U F'
D B2 U B L U F'
L' B2 U2 D F' B R
L' B2 U2 D B F' R
U2 B2 U' B L U F'
L' B2 U2 D' F' B R'
L' B2 U2 D' B F' R'
L' B2 U2 F' D' B R'
L' B2 U2 B D F' R
L' B2 D U2 F' B R
L' B2 D U2 B F' R
L' B2 D' U2 F' B R'
L' B2 D' U2 B F' R'
F B2 U B L U F2
U2 B2 F' R D B R'
U2 B2 F' U' B L U
