F' U L' R' D F2
F' U L' D R' F2
F' U L' D F2 R'
F' U R' L' D F2
F' U2 L U' L2 R'
F' U2 L U' R' L2
U L R' U' F U F'
U L U' F U F' R'
F' L U2 L' U L' R'
F' L U2 L' U R' L'
U2 L U2 F' U L' R'
U2 L U2 F' U R' L'
F' L F2 R U' L2 R2
F' L F2 R U' R2 L2
F L F2 R U' L' R2
F L F2 R U' R2 L'
U L' R' U B' L2 U'
L2 R' F' D' L' F B2
L2 R' F' D' L' B2 F
L2 R' F' D' B2 L' F
U L' B' L2 U' B R'
R' L2 F' D' L' F B2
R' L2 F' D' L' B2 F
R' L2 F' D' B2 L' F
R' U L' B' L2 U' B
F' R U L' R2 D F2
F' R U R2 L' D F2
U' R U' L B U' R2
F' R U2 L U' L2 R2
F' R U2 L U' R2 L2
F R U2 L U' L' R2
F R U2 L U' R2 L'
F' R D B2 R' U L'
L U' R' U' L' F' U
F' R B2 R' U L' R'
F' R B2 R' U R' L'
U R' L U' F U F'
U R' L' U B' L2 U'
U2 R' U L R B U'
U2 R' U R L B U'
U R' U L B U' L
R2 U2 L B U' L R
R2 U2 L B U' R L
R U2 L B U' L R2
R U2 L B U' R2 L
B2 R' F U' L R U2
B2 R' F U' R L U2
B2 R' F' U L' D2 R2
B2 R' F' U' L U2 L2
B2 R' F' B2 U L' R'
B2 R' F' B2 U R' L'
F' R' B2 R' U L' R
F' R' B2 R' U R L'
B2 R' B2 F' U L' R'
B2 R' B2 F' U R' L'
F' R2 U L' R D F2
F' R2 U L' D R F2
F' R2 U R L' D F2
F' R2 U2 L U' L2 R
F' R2 U2 L U' R L2
F' R2 B2 R' U L' R2
F' R2 B2 R' U R2 L'
F R2 B2 R' U L R2
F R2 B2 R' U R2 L
F' U L' R' U L2 U'
F' U L' R' D F2 D
F' U L' R' D F2 D'
F' U L' R' D F2 D2
F' U L' R' F D F2
F' U L' R' F' D F2
F' U L' R' F2 D F2
F' U L' R2 D R F2
F' U L' U L2 U' R'
F' U L' D R F2 R2
F' U L' D R' F2 D
F' U L' D R' F2 D'
F' U L' D R' F2 D2
F' U L' D F R' F
F' U L' D F2 R' D
F' U L' D F2 R' D'
F' U L' D F2 R' D2
F' U L' D F2 D R'
F' U L' D F2 D' R'
F' U L' D F2 D2 R'
F' U L' D' R' D2 F2
F' U L' F R' D F2
F' U L' F D R' F2
F' U L' F D F2 R'
F' U L' F' R' D F2
F' U L' F' D R' F2
F' U L' F' D F2 R'
F' U L' F2 R' D F2
F' U L' F2 D R' F2
F' U L' F2 D F2 R'
F U L' D F2 L' R'
F U L' D F2 R' L'
F' U R' L' U L2 U'
F' U R' L' D F2 D
F' U R' L' D F2 D'
F' U R' L' D F2 D2
F' U R' L' F D F2
F' U R' L' F' D F2
F' U R' L' F2 D F2
F' U R' U L U' L2
R D F' B2 R' U L'
F' U R' D L' D F2
F' U R' D' L' D F2
F' U R' D2 L' D F2
F2 U R' F L' D F2
F' U R2 L' D R F2
F' U D L' R' D F2
F' U D L' D R' F2
F' U D L' D F2 R'
F' U D R' L' D F2
F' U D' L' R' D F2
F' U D' L' D R' F2
F' U D' L' D F2 R'
F' U D' R' L' D F2
F' U D2 L' R' D F2
F' U D2 L' D R' F2
F' U D2 L' D F2 R'
R D B2 R' F' U L'
F' U D2 R' L' D F2
R D B2 F' R' U L'
F2 U F L' R' D F2
F2 U F L' D R' F2
F2 U F L' D F2 R'
F2 U F R' L' D F2
F U F2 L' R' D F2
F U F2 L' D R' F2
F U F2 L' D F2 R'
F U F2 R' L' D F2
F U' R U' L U' R2
F' U2 L U' L2 R' D
F' U2 L U' L2 R' D'
F' U2 L U' L2 R' D2
F' U2 L U' L2 D R'
F' U2 L U' L2 D' R'
F' U2 L U' L2 D2 R'
F' U2 L U' R' L2 D
F' U2 L U' R' L2 D'
F' U2 L U' R' L2 D2
F' U2 L F U' L2 R'
F' U2 L F U' R' L2
F' U2 L F' U' L2 R'
F' U2 L F' U' R' L2
F' U2 L F2 U' L2 R'
F' U2 L F2 U' R' L2
F2 U2 L F U' L' R'
F2 U2 L F U' R' L'
F U2 L U R U2 R2
F U2 L U' R' D2 L2
F U2 L F2 U' L' R'
F U2 L F2 U' R' L'
F' U2 D L U' L2 R'
F' U2 D L U' R' L2
F' U2 D' L U' L2 R'
F' U2 D' L U' R' L2
F' U2 D2 L U' L2 R'
F' U2 D2 L U' R' L2
F2 U2 F L U' L2 R'
F2 U2 F L U' R' L2
B' U2 B U' L R' F'
B' U2 B U' R' L F'
B' U2 B U' R' F' L
