L' F' U R' U2 B
L' R U F' L' R2 U2
L' R U F' R2 L' U2
B2 L R' D F2 B R'
B2 L R' D B R' F2
B2 L R' D B F2 R'
R' L U2 D F2 B R'
R' L U2 D B R' F2
R' L U2 D B F2 R'
R' L D U2 F2 B R'
R' L D U2 B R' F2
R' L D U2 B F2 R'
R' L D B R' F2 L'
R L' U F' L' R2 U2
R L' U F' R2 L' U2
L R' U2 D F2 B R'
L R' U2 D B R' F2
L R' U2 D B F2 R'
L R' D U2 F2 B R'
L R' D U2 B R' F2
L R' D U2 B F2 R'
L R' D B R' F2 L'
B2 L' D' F' R B2 U'
B2 L' D' F' B2 R U'
B2 L' D' B2 F' R U'
D' L' F' R U R2 U2
D' L' F' R U' D2 L2
D' L' F' R D B2 U'
D' L' F' R D2 U' L2
D2 L' F' U R' F2 U2
D2 L' F' U F2 R' U2
D2 L' F' U' D2 B2 L
U' L' F' U R' U2 B
B2 L' F' R' U' L2 B
B2 L' F' R' U' B L2
U2 L' F' U R' U2 B
D2 L' F' D2 U' B2 L
D' L' F' B2 R U' L
U L' F' U R' U2 B
D' L' B2 F' R U' L
L' U R' U2 D B R'
L' U R' D U2 B R'
R' U' L' U' D B R'
R' U' L' D U' B R'
R' U' D L' U' B R'
R' U' D2 L' F U' B
B2 R' L D F2 B R'
B2 R' L D B R' F2
B2 R' L D B F2 R'
R' D U' L' U' B R'
L' D' F' R U R2 U2
L' D' F' R U' D2 L2
L' D' F' R D B2 U'
L' D' F' R D2 U' L2
L' D' F' B2 R U' L
L' D' B2 F' R U' L
R' D2 U' L' F U' B
L' D2 F' U' B2 L B'
L' D2 F' B2 U' L B'
L' D2 B2 F' U' L B'
L2 F' L U R' U2 B
L' F' R U R2 U2 B
L' F' R U F' R2 U2
L F' L2 U R' U2 B
L' F' U R F' R2 U2
L' F' U R' U2 D B
L' F' U R' U2 D' B
L' F' U R' U2 D2 B
L' F' U R' U2 B D
L' F' U R' U2 B D'
L' F' U R' U2 B D2
L' F' U R' D U2 B
L' F' U R' D' U2 B
L' F' U R' D2 U2 B
L' F' U R' F U2 B
L' F' U R' F' U2 B
L' F' U R' F2 U2 B
L' F' U F R' U2 B
L' F' U F' R' U2 B
L' F' U F2 R' U2 B
L' F' U' D2 B2 L B'
L' F' U' B2 D2 L B'
B2 D' L' F' R U' L2
L' F' D2 U' B2 L B'
L' F' D2 B2 U' L B'
L' F' B2 R' U' L B
L' F' B2 U' D2 L B'
L' F' B2 D2 U' L B'
R2 F2 B R U L' B
R2 F2 B R U B L'
F' D2 B' L U' B' L
F' D2 B2 U' L F B'
F' D2 B2 U' L B' F
F D2 B2 U L F B'
F D2 B2 U L B' F
R2 B F2 R U L' B
R2 B F2 R U B L'
D' B2 L' F' R U' L2
L' B2 D' F' R U' L
L' B2 D2 F' U' L B'
L' B2 F' R' U' L B
L' B2 F' U' D2 L B'
L' B2 F' D2 U' L B'
