B' L B2 R' F' D' L2
L2 U L2 U B L F
L2 U' B L B' U' B
L2 U2 L F B D L2
L2 U2 L B D F L2
L2 U2 L B F D L2
L2 U2 D L F L' B
L2 U2 D L F B L'
L2 U2 D L B F L'
L2 U2 D B L F L'
L2 U2 D' B' L F B2
L2 U2 D' B' L B2 F
L2 U2 B D L F L'
L2 U2 B2 D' B' L F
L2 D R2 F' R U2 F'
L2 D U2 L F L' B
L2 D U2 L F B L'
L2 D U2 L B F L'
L2 D U2 B L F L'
L2 D F2 U2 B L F
D' U B2 U B' L F
L2 D' R B R' U2 B
L2 D' U2 B' L F B2
L2 D' U2 B' L B2 F
L2 D' B' U2 L F B2
L2 D' B' U2 L B2 F
U D' B2 U B' L F
U' F' B L' D F2 R
U' B F' L' D F2 R
L B2 R' F' D' B' L2
L B2 R' F' B' D' L2
L B2 R' B' F' D' L2
L2 B2 U2 D' B' L F
L2 B2 D' U2 B' L F
