U L' R' F B R
U L' R' B F R
U L' R2 F R B
L' R' F D B R2
L' R' F B D R2
R' L' F D B R2
R' L' F B D R2
L' R' B F D R2
R' L' B F D R2
U L' F R' B R2
U' L' F B' R' B
U' L' B' R' F B
U' L' B' R' B F
U' L' B' F R' B
U R' L' F B R
U R' L' B F R
U R' B L' F R
U R2 L' F R B
R' B L' F D R2
U' B' L' R' F B
U' B' L' R' B F
U' B' L' F R' B
U' B' R' L' F B
U' B' R' L' B F
U' B' R' B L' F
R' L F' U' L2 F B
R' L F' U' L2 B F
L' R B' D' R2 F B
L' R B' D' R2 B F
L' R' U F' U' F2 B
L' R' U F' U' B F2
R' L' U F' U' F2 B
R' L' U F' U' B F2
U' L B' R' B L2 F
U' L B' U2 L2 R' B
U' L B' U2 R' L2 B
U' L B' U2 R' B L2
U L' R F R D2 B2
U L' R F D2 R B2
U L' R F D2 B2 R
R2 L' D R F B R'
R2 L' D R B R' F
R2 L' D R B F R'
R' L' D F D B R2
R' L' D F B D R2
L' R' D F D B R2
L' R' D F B D R2
R' L' D B F D R2
R2 L' D F R B R'
L' R' D B F D R2
B' L' R' F D B R2
B' L' R' F B D R2
U' L' R' F B' R' B2
U L' R' D F B R
U2 L' R' F B D' R2
U L' R' D B F R
B2 L' R' F D B R2
B2 L' R' F B D R2
U L' R' D' F B R
U L' R' D' B F R
B' L' R' B F D R2
B L' R' F D B R2
U L' R' D2 F B R
B L' R' F B D R2
U L' R' D2 B F R
U' L' R' B' R' F B2
U' L' R' B' R' B2 F
U2 L' R' B D' R2 F
U2 L' R' B D' F R2
U L' R' F D B R
U2 L' R' B F D' R2
U L' R' F D' B R
U' L' R' B' F R' B2
U L' R' F D2 B R
U L' R' F B R D
U L' R' F B R D'
U L' R' F B R D2
U L' R' F B D R
U L' R' F B D' R
U L' R' F B D2 R
U L' R' F B' R B2
U L' R' F B2 R B'
B2 L' R' B F D R2
B L' R' B F D R2
U L' R' B R F R
U L' R' B R' F R
U L' R' B R2 F R
U L' R' B D F R
U L' R' B D' F R
U L' R' B D2 F R
U L' R' B F R D
U L' R' B F R D'
U L' R' B F R D2
U L' R' B F D R
U L' R' B F D' R
U L' R' B F D2 R
R' L' D' F D B R2
U L' R' B' F R B2
R' L' D' F B D R2
L' R' D' F D B R2
L' R' D' F B D R2
U L' R' B2 F R B'
R' L' D' B F D R2
L' R' D' B F D R2
U L' R2 D F R B
R2 L' D' F' R F2 B
R2 L' D' F' R B F2
U L' R2 D' F R B
U L' R2 D2 F R B
U L' R2 F R D B
U L' R2 F R D' B
U L' R2 F R D2 B
U L' R2 F R B D
U L' R2 F R B D'
U L' R2 F R B D2
U L' R2 F D R B
U L' R2 F D' R B
U L' R2 F D2 R B
U L' R2 F B R B
U L' R2 F B' R B
U L' R2 F B2 R B
U L' R2 B F R B
U L' R2 B' F R B
U L' R2 B2 F R B
R' L' D2 F D B R2
R' L' D2 F B D R2
L' R' D2 F D B R2
L' R' D2 F B D R2
R' L' D2 B F D R2
L' R' D2 B F D R2
R' L' F R2 D R2 B
L' R' F R2 D R2 B
R' L' F U F2 U' B
L' R' F U F2 U' B
R' L' F D B R2 D
R' L' F D B R2 D'
R' L' F D B R2 D2
R' L' F D B' R2 B2
R' L' F D B2 R2 B'
L' R' F D B R2 D
L' R' F D B R2 D'
L' R' F D B R2 D2
L' R' F D B' R2 B2
L' R' F D B2 R2 B'
R' L' F D' B D2 R2
L' R' F D' B D2 R2
R' L' F B R D R2
R' L' F B R D R2
R' L' F B R' D R2
R' L' F B R2 D R2
R' L' F B U F2 U'
R' L' F B D R2 D
R' L' F B D R2 D'
R' L' F B D R2 D2
L' R' F B R D R2
L' R' F B R' D R2
L' R' F B R2 D R2
L' R' F B U F2 U'
L' R' F B D R2 D
L' R' F B D R2 D'
L' R' F B D R2 D2
R2 L' F D R B R'
R' L' F B2 D R2 B'
R' L' F B2 D B' R2
L' R' F B2 D R2 B'
L' R' F B2 D B' R2
L R' F' U' L2 F B
L R' F' U' L2 B F
R2 L' F2 D' F' R B
R' L' B U F' U' F2
L' R' B U F' U' F2
R' L' B D F D R2
L' R' B D F D R2
R' L' B D' F D R2
L' R' B D' F D R2
R' L' B D2 F D R2
R' L' B F R D R2
R' L' B F R' D R2
R' L' B F R2 D R2
R' L' B F U F2 U'
L' R' B D2 F D R2
R' L' B F D R2 D
R' L' B F D R2 D'
R' L' B F D R2 D2
L' R' B F R D R2
L' R' B F R' D R2
L' R' B F R2 D R2
L' R' B F U F2 U'
L' R' B F D R2 D
L' R' B F D R2 D'
L' R' B F D R2 D2
R L' B' D' R2 F B
R L' B' D' R2 B F
U' L' F R' B' R' B2
U2 L' F R' B D' R2
U L' F R U2 F' U2
R' L' B2 F D R2 B'
R' L' B2 F D B' R2
L' R' B2 F D R2 B'
L' R' B2 F D B' R2
U L' F R' B R2 D
U L' F R' B R2 D'
U L' F R' B R2 D2
U L' F R' B' R2 B2
U L' F R' B2 R2 B'
U' L' F B' R' D B
U' L' F B' R' D' B
U' L' F B' R' D2 B
U' L' F B' R' B D
U' L' F B' R' B D'
U' L' F B' R' B D2
U' L' F B2 R' B R'
U L' F B R' B R2
U L' F B' R' B R2
U L' F B2 R' B R2
U L' F' R' F2 B R
U L' F' R' B F2 R
U L' F' R2 F2 R B
U' L' F' B' R' F2 B
U' L' F' B' R' B F2
U L' B R' F B R
U L' B R' B F R
U L' B R2 F R B
L' R2 D R F B R'
L' R2 D R B R' F
L' R2 D R B F R'
U L' B F R' B R2
U' L' B' R' D F B
U' L' B' R' D B F
U' L' B' R' D' F B
U' L' B' R' D' B F
U' L' B' R' D2 F B
U' L' B' R' D2 B F
U' L' B' R' F D B
U' L' B' R' F D' B
U' L' B' R' F D2 B
U' L' B' R' F B D
U' L' B' R' F B D'
U' L' B' R' F B D2
U' L' B' R' B D F
U' L' B' R' B D' F
U' L' B' R' B D2 F
U' L' B' R' B F D
U' L' B' R' B F D'
U' L' B' R' B F D2
L' R2 D F R B R'
U L' B' R' F B R
U L' B' R' B F R
U L' B' R2 F R B
U' L' B' F R' D B
U' L' B' F R' D' B
U' L' B' F R' D2 B
U' L' B' F R' B D
U' L' B' F R' B D'
U' L' B' F R' B D2
U' L' B' F' R' F2 B
U' L' B' F' R' B F2
U L' B' F R' B R2
U' L' B2 R' F B R'
U' L' B2 R' B R' F
U' L' B2 R' B F R'
L' R2 D' F' R F2 B
L' R2 D' F' R B F2
U L' B2 R' F B R
U L' B2 R' B F R
U L' B2 R2 F R B
U' L' B2 F R' B R'
U L' B2 F R' B R2
L' R2 F D R B R'
L' R2 F2 D' F' R B
U' L2 D2 L F B' R'
U' L2 D2 L B' R' F
U' L2 D2 L B' F R'
U L2 D2 L F R B'
U L2 D2 L F B' R
U L2 D2 L B' F R
R' U L' F D B R2
R' U L' F B D R2
R' U L' B F D R2
L U L2 R' F B R
L U L2 R' B F R
L U L2 R2 F R B
L U L2 F R' B R2
L U R' L2 F B R
L U R' L2 B F R
L U R2 L2 F R B
U' L2 B' R' B L F
U R L' F R D2 B2
U R L' F D2 R B2
U R L' F D2 B2 R
R' U B L' F D R2
R' U' L' F D B R2
R' U' L' F B D R2
R' U' L' B F D R2
L U' L2 F B' R' B
U R F' L' U2 F L'
L U' L2 B' R' F B
L U' L2 B' R' B F
L U' L2 B' F R' B
B' R' L' F D B R2
B' R' L' F B D R2
U' R' L' F B' R' B2
B2 R' L' F D B R2
B2 R' L' F B D R2
B' R' L' B F D R2
U' R' L' B' R' F B2
U' R' L' B' R' B2 F
U' R' L' B' F R' B2
U2 R' L' F B D' R2
B2 R' L' B F D R2
U2 R' L' B D' R2 F
U2 R' L' B D' F R2
B R' L' F D B R2
U2 R' L' B F D' R2
B R' L' F B D R2
U R' L' D F B R
U R' L' D B F R
U R' L' D' F B R
U R' L' D' B F R
B R' L' B F D R2
U R' L' D2 F B R
U R' L' D2 B F R
U R' L' F D B R
U R' L' F D' B R
U R' L' F D2 B R
U R' L' F B R D
U R' L' F B R D'
U R' L' F B R D2
U R' L' F B D R
U R' L' F B D' R
U R' L' F B D2 R
U R' L' F B' R B2
U R' L' F B2 R B'
U R' L' B R F R
U R' L' B R' F R
U R' L' B R2 F R
U R' L' B D F R
U R' L' B D' F R
U R' L' B D2 F R
U R' L' B F R D
U R' L' B F R D'
