U' L R U' L F
U2 L F D' L B'
U' R L U' L F
U' R U' L F L
U' R B L U' L
R' U2 L2 D F' B2
R' U2 L2 D B2 F'
R' U2 L2 F' D B2
R' U2 F' L2 D B2
U' B L R U' L
U' B R L U' L
R B U2 L2 D' B2
L' R U L B U2 L2
U' L R U' L D F
U' L R U' L D' F
U' L R U' L D2 F
U' L R U' L F D
U' L R U' L F D'
U' L R U' L F D2
U' L R U' D L F
U' L R U' D' L F
U' L R U' D2 L F
U' L R U' F L F
U2 L R U' R' F L
U' L R U' F' L F
U' L R U' F2 L F
U2 L R U' F L R'
U2 L R U' F R' L
L R U L' B U2 L2
U' L R D U' L F
U' L R D' U' L F
U' L R D2 U' L F
R L U L' B U2 L2
L' R U' L' D2 R2 F'
L R U' L D2 R2 F'
R L U' L D2 R2 F'
U2 L U R U' F L
U L U2 R U' L F
L2 R D2 R2 D F' B2
L2 R D2 R2 D B2 F'
L2 R D2 R2 F' D B2
U' L D R U' L F
U2 L D F D' L B'
U' L D' R U' L F
U2 L D' F D' L B'
U' L D2 R U' L F
U2 L D2 F D' L B'
U2 L F D' L D B'
U2 L F D' L D' B'
U2 L F D' L D2 B'
U2 L F D' L B' D
U2 L F D' L B' D'
U2 L F D' L B' D2
U2 L F2 L D' F' B2
U2 L F2 L D' B2 F'
U2 L F2 L F' D' B2
R L' U L B U2 L2
R L' U' L' D2 R2 F'
U' L' R U' L F L2
U' L' R B L U' L2
R' L' D B2 L' F' R'
L' R' D B2 L' F' R'
L2 R' D B2 D F' R2
L2 R' D' F' D' R2 B
L2 R' D2 F' R2 D' B2
L2 R' F' D B2 D R2
L2 R' F' D2 R2 D' B2
U' L' B L R U' L2
U' L' B R L U' L2
R' L2 D B2 D F' R2
D' L' B2 R U' R2 F'
R' L2 D' F' D' R2 B
R' L2 D2 F' R2 D' B2
U' L2 R B L U' L'
R L2 D2 R2 D F' B2
R L2 D2 R2 D B2 F'
R L2 D2 R2 F' D B2
R' L2 F' D B2 D R2
R' L2 F' D2 R2 D' B2
U2 L2 U L' R U' F
U2 L2 U R L' U' F
U2 L2 U D2 R U' F'
U2 L2 D2 U R U' F'
U2 L2 F2 U' L' U F
U' L2 B L R U' L'
U' L2 B R L U' L'
R' U D F2 U F B2
R' U D F2 U B2 F
U' R L U' L D F
U' R L U' L D' F
U' R L U' L D2 F
U' R L U' L F D
U' R L U' L F D'
U' R L U' L F D2
U' R L U' D L F
U' R L U' D' L F
U' R L U' D2 L F
U' R L U' F L F
U' R L U' F' L F
U' R L U' F2 L F
U' R L D U' L F
U' R L D' U' L F
U2 R L U' R' F L
U2 R L U' F L R'
U2 R L U' F R' L
U' R L D2 U' L F
U' R L' U' L F L2
U' R L' B L U' L2
U' R L2 B L U' L'
U' R U R B U2 L2
U' R U R' U2 L2 F'
U' R U R' U2 F' L2
U' R U' L D F L
U' R U' L D' F L
U' R U' L D2 F L
U' R U' L F L D
U' R U' L F L D'
U' R U' L F L D2
U' R U' L F D L
U' R U' L F D' L
U' R U' L F D2 L
U' R U' L F' L F2
U' R U' L F2 L F'
U' R U' F L F L
U' R U' F' L F L
U' R U' F2 L F L
U' R U2 F R U L2
R U B U B' U L2
U' R D' B L B U'
R U' L2 F2 D R2 F'
U' R B L U' L D
U' R B L U' L D'
U' R B L U' L D2
U' R B L U' D L
U' R B L U' D' L
U' R B L U' D2 L
U' R B L D U' L
U' R B L D' U' L
U' R B L D2 U' L
D2 R B R U' R' U'
R2 U' R' U B U2 L2
D' R B U' B U' B'
B' R B U2 L2 D' B2
R' U' R2 U B U2 L2
F2 R B U L' U L'
U' R B D' L B2 U'
B2 R B U2 L2 D' B2
R2 U' R' B2 U' L2 F
B R B U2 L2 D' B2
R' U' R2 B2 U' L2 F
U' R B' U2 R' U L2
U' R B' D' B2 L U'
F2 R' U L' U L' F'
R U' F2 L2 D R2 F'
B' R' U2 L2 D F' B2
B' R' U2 L2 D B2 F'
B' R' U2 L2 F' D B2
D' R' U2 D L2 F' B2
D' R' U2 D L2 B2 F'
D' R' U2 D F' L2 B2
D2 R' U2 D F' B2 L
D' R' U2 D F' B2 L2
D2 R' U2 D B2 L F'
D' R' U2 D B2 L2 F'
D2 R' U2 D B2 F' L
D' R' U2 D B2 F' L2
B2 R' U2 L2 D F' B2
B2 R' U2 L2 D B2 F'
B2 R' U2 L2 F' D B2
D' R' U2 F' D L2 B2
D2 R' U2 F' D B2 L
D' R' U2 F' D B2 L2
B' R' U2 F' L2 D B2
B R' U2 L2 D F' B2
B R' U2 L2 D B2 F'
B R' U2 L2 F' D B2
B2 R' U2 F' L2 D B2
B R' U2 F' L2 D B2
D' R' D U2 L2 F' B2
D' R' D U2 L2 B2 F'
D2 R' D U2 F' B2 L
D' R' D U2 F' L2 B2
D' R' D U2 F' B2 L2
D2 R' D U2 B2 L F'
D2 R' D U2 B2 F' L
D' R' D U2 B2 L2 F'
D' R' D U2 B2 F' L2
D R' D R2 B U2 B
D' R' D' R2 F2 B U2
D' R' D' R2 B F2 U2
D2 R' D' F2 R' U2 F
D' R' D' F2 R2 U2 F
R' U2 L D L F' B2
R' U2 L D L B2 F'
R' U2 L D F' L B2
R U' B2 U' L2 F B2
R U' B2 U' L2 B2 F
R' U2 L F' L D B2
R' U2 L F' D L B2
D R' D' F2 U2 F L2
R' U2 L' D L' F' B2
R' U2 L' D L' B2 F'
R' U2 L' D B2 L' F'
R' U2 L2 D F' B2 D
R' U2 L2 D F' B2 D'
R' U2 L2 D F' B2 D2
R' U2 L2 D B2 D F'
R' U2 L2 D B2 D' F'
R' U2 L2 D B2 D2 F'
R' U2 L2 D B2 F' D
R' U2 L2 D B2 F' D'
R' U2 L2 D B2 F' D2
R' U2 L2 D2 F' D' B2
R' U2 L2 F' U R2 U'
R' U2 L2 F' D B2 D
R' U2 L2 F' D B2 D'
R' U2 L2 F' D B2 D2
R' U2 L2 F' B D B2
R' U2 L2 F' B' D B2
R' U2 L2 F' B2 D B2
R' U2 L2 F2 D F B2
