D L2 F' B2 U' B
D L2 B2 F' U' B
B2 R2 F U B U
F R2 B2 U' F2 U'
F R2 B2 U2 D R2
F R2 B2 D U2 R2
F R2 B2 D' L2 U2
F' U R2 F2 B2 U2
F' U R2 B2 F2 U2
F' U F2 R2 B2 U2
F' U F2 B2 R2 U2
F' U B2 R2 F2 U2
F' U B2 F2 R2 U2
F' U' D2 L2 F2 B2
F' U' D2 L2 B2 F2
F' U' D2 F2 L2 B2
F' U' D2 F2 B2 L2
F' U' D2 B2 L2 F2
F' U' D2 B2 F2 L2
F' D L2 R2 B2 U'
F' D L2 B2 R2 U'
F' D R2 L2 B2 U'
F' D R2 B2 L2 U'
R2 F B2 U B' U
F' D B2 L2 R2 U'
F' D B2 R2 L2 U'
F' D2 U' L2 F2 B2
F' D2 U' L2 B2 F2
F' D2 U' F2 L2 B2
F' D2 U' F2 B2 L2
F' D2 U' B2 L2 F2
F' D2 U' B2 F2 L2
B2 F R2 U' F2 U'
B2 F R2 U2 D R2
B2 F R2 D U2 R2
B2 F R2 D' L2 U2
D B2 L2 F' U' B'
F B2 R2 U' F2 U'
F B2 R2 U2 D R2
F B2 R2 D U2 R2
F B2 R2 D' L2 U2
R2 B2 F U B' U
F L R2 B2 U' F2 U'
F L R2 B2 U2 D R2
F L R2 B2 D U2 R2
F L R2 B2 D' L2 U2
F' L U R2 F2 B2 U2
F' L U R2 B2 F2 U2
F' L U F2 R2 B2 U2
F' L U F2 B2 R2 U2
F' L U B2 R2 F2 U2
F' L U B2 F2 R2 U2
F' L U' D2 L2 F2 B2
F' L U' D2 L2 B2 F2
F' L U' D2 F2 L2 B2
F' L U' D2 F2 B2 L2
F' L U' D2 B2 L2 F2
F' L U' D2 B2 F2 L2
F' L D L2 R2 B2 U'
F' L D L2 B2 R2 U'
F' L D R2 L2 B2 U'
F' L D R2 B2 L2 U'
F' L D B2 L2 R2 U'
F' L D B2 R2 L2 U'
F' L D2 U' L2 F2 B2
F' L D2 U' L2 B2 F2
F' L D2 U' F2 L2 B2
F' L D2 U' F2 B2 L2
F' L D2 U' B2 L2 F2
F' L D2 U' B2 F2 L2
D L F' L B2 U' B
D2 L F' U' L F' B'
D2 L F' U' L B' F'
D2 L F' U' F' L B'
F L B2 R2 U' F2 U'
F L B2 R2 U2 D R2
F L B2 R2 D U2 R2
F L B2 R2 D' L2 U2
B2 L' R2 U B L U
F L' R2 B2 U' F2 U'
F L' R2 B2 U2 D R2
F L' R2 B2 D U2 R2
F L' R2 B2 D' L2 U2
F' L' U R2 F2 B2 U2
F' L' U R2 B2 F2 U2
F' L' U F2 R2 B2 U2
F' L' U F2 B2 R2 U2
F' L' U B2 R2 F2 U2
F' L' U B2 F2 R2 U2
F' L' U' D2 L2 F2 B2
F' L' U' D2 L2 B2 F2
F' L' U' D2 F2 L2 B2
F' L' U' D2 F2 B2 L2
F' L' U' D2 B2 L2 F2
F' L' U' D2 B2 F2 L2
F' L' D L2 R2 B2 U'
F' L' D L2 B2 R2 U'
F' L' D R2 L2 B2 U'
F' L' D R2 B2 L2 U'
F' L' D B2 L2 R2 U'
F' L' D B2 R2 L2 U'
F' L' D2 U' L2 F2 B2
F' L' D2 U' L2 B2 F2
F' L' D2 U' F2 L2 B2
F' L' D2 U' F2 B2 L2
F' L' D2 U' B2 L2 F2
F' L' D2 U' B2 F2 L2
D L' B2 L' F' U' B'
F L' B2 R2 U' F2 U'
F L' B2 R2 U2 D R2
F L' B2 R2 D U2 R2
F L' B2 R2 D' L2 U2
B2 L2 R2 U B U B2
B2 L2 R2 U2 B' D' R2
D2 L2 R2 F2 B' D' R2
D' L2 R2 F2 B U B2
D' L2 R2 B F2 U B2
D2 L2 R2 B' F2 D' R2
F' L2 U R2 F2 B2 U2
F' L2 U R2 B2 F2 U2
F L2 R2 B2 U' F2 U'
F L2 R2 B2 U2 D R2
F L2 R2 B2 D U2 R2
F L2 R2 B2 D' L2 U2
D2 L2 U F' U' F' B'
D2 L2 U F' U' B' F'
F' L2 U F2 R2 B2 U2
F' L2 U F2 B2 R2 U2
F' L2 U B2 R2 F2 U2
F' L2 U B2 F2 R2 U2
F' L2 U' D2 L2 F2 B2
F' L2 U' D2 L2 B2 F2
F' L2 U' D2 F2 L2 B2
F' L2 U' D2 F2 B2 L2
F' L2 U' D2 B2 L2 F2
F' L2 U' D2 B2 F2 L2
F' L2 D L2 R2 B2 U'
F' L2 D L2 B2 R2 U'
F' L2 D R2 L2 B2 U'
F' L2 D R2 B2 L2 U'
F' L2 D B2 L2 R2 U'
F' L2 D B2 R2 L2 U'
D L2 D F' U' B' L2
L2 R2 B2 U B' U B2
R2 L2 B2 U B' U B2
L2 R2 B2 U2 B D' R2
R2 L2 B2 U2 B D' R2
F' L2 D2 U' L2 F2 B2
F' L2 D2 U' L2 B2 F2
F' L2 D2 U' F2 L2 B2
F' L2 D2 U' F2 B2 L2
F' L2 D2 U' B2 L2 F2
F' L2 D2 U' B2 F2 L2
D2 L2 F D R2 F B'
D2 L2 F D R2 B' F
D2 L2 F D F R2 B'
D2 L2 F D F B' R2
D2 L2 F D B' R2 F
D2 L2 F D B' F R2
D2 L2 F B' D R2 F
D2 L2 F B' D F R2
D L2 F' R B2 U' B
D L2 F' R' B2 U' B
D L2 F' R2 B2 U' B
D L2 F' U' D B' L2
D L2 F' D U' B' L2
D L2 F' B2 U' D B
D L2 F' B2 U' D' B
D L2 F' B2 U' D2 B
D L2 F' B2 U' B D
D L2 F' B2 U' B D'
D L2 F' B2 U' B D2
D L2 F' B2 D U' B
D2 L2 F2 U F U' B'
D L2 F' B2 D' U' B
D L2 F' B2 D2 U' B
R U R F B2 U2 R
D2 L2 F2 B' U F U'
R U R B2 F U2 R
D2 L2 B' U F' U' F'
D2 L2 B' F D R2 F
D2 L2 B' F D F R2
D2 L2 B' F2 U F U'
F L2 B2 R2 U' F2 U'
F L2 B2 R2 U2 D R2
F L2 B2 R2 D U2 R2
F L2 B2 R2 D' L2 U2
D L2 B2 D F' U' B
D L2 B2 D' F' U' B
D L2 B2 D2 F' U' B
D L2 B2 F' U' D B
D L2 B2 F' U' D' B
D L2 B2 F' U' D2 B
D L2 B2 F' U' B D
D L2 B2 F' U' B D'
D L2 B2 F' U' B D2
D L2 B2 F' D U' B
D L2 B2 F' D' U' B
D L2 B2 F' D2 U' B
F' R U R F2 B2 U2
F' R U R B2 F2 U2
F' R U F2 B2 U2 L'
F' R U B2 R F2 U2
F' R U B2 F2 U2 L'
D2 R U' L2 F2 B' R'
D2 R U' L2 B' R' F2
D2 R U' L2 B' F2 R'
F' R U' D2 F2 L' B2
F' R U' D2 F2 B2 L'
F' R U' D2 B2 F2 L'
R2 U B U' F B U2
R2 U B U' B F U2
R U B2 R F U2 R
F' R D2 U' F2 L' B2
F' R D2 U' F2 B2 L'
F' R D2 U' B2 F2 L'
D R B2 L2 U' B' R'
F R B2 R U' F2 U'
F R B2 R U2 D R2
F R B2 R D U2 R2
F R B2 R D' L2 U2
F R B2 U' F2 U' L'
F R B2 D R U2 R
F R B2 D' L2 R U2
F R B2 D' R L2 U2
F' R' U R' F2 B2 U2
F' R' U R' B2 F2 U2
F' R' U F2 R' B2 U2
F' R' U F2 B2 U2 L
F' R' U B2 F2 U2 L
F' R' U' D2 F2 B2 L
F' R' U' D2 B2 L F2
F' R' U' D2 B2 F2 L
B2 R' D' R' F L' U2
B2 R' D' F L' R' U2
B2 R' D' F R' L' U2
F' R' D2 U' F2 B2 L
F' R' D2 U' B2 L F2
F' R' D2 U' B2 F2 L
B2 R' F R' U B U
F R' B2 U' F2 U' L
F R' B2 U2 L D R2
F R' B2 U2 D L R2
F R' B2 U2 D R2 L
F R' B2 D U2 L R2
F R' B2 D U2 R2 L
F R' B2 D' L2 U2 L'
B2 R2 L' U B L U
F R2 L B2 U' F2 U'
F R2 L B2 U2 D R2
F R2 L B2 D U2 R2
F R2 L B2 D' L2 U2
B2 R2 L2 U B U B2
B2 R2 L2 U2 B' D' R2
D2 R2 L2 F2 B' D' R2
D' R2 L2 F2 B U B2
D' R2 L2 B F2 U B2
D2 R2 L2 B' F2 D' R2
F R2 L' B2 U' F2 U'
F R2 L' B2 U2 D R2
F R2 L' B2 D U2 R2
F R2 L' B2 D' L2 U2
B2 R2 U L2 B U B2
F R2 L2 B2 U' F2 U'
F R2 L2 B2 U2 D R2
F R2 L2 B2 D U2 R2
F R2 L2 B2 D' L2 U2
B2 R2 U B L2 U B'
B2 R2 U B U' F U2
F R2 U D2 B2 U F2
F R2 U' D L2 U' R2
F R2 U' F2 U B2 U2
F R2 U' F2 U' D2 F2
F R2 U' F2 D L2 U'
F R2 U' F2 D2 U' F2
F R2 U2 D R2 D F2
F R2 U2 D2 F2 D' R2
B2 R2 D F U B U
F R2 D U' L2 U' R2
F R2 D U2 R2 D F2
D' R2 D' B U L2 B'
B2 R2 D' F U B U
F R2 D' L2 U R2 U
F R2 D' L2 U2 D' F2
F R2 D' L2 D B2 U2
F R2 D' L2 D' U2 F2
B2 R2 D2 F U B U
B2 R2 F L U B U
B2 R2 F L' U B U
B2 R2 F L2 U B U
F R2 D2 U B2 U F2
F R2 D2 U2 F2 D' R2
B2 R2 F U D B U
B2 R2 F U D' B U
B2 R2 F U D2 B U
B2 R2 F U B U D
B2 R2 F U B U D'
B2 R2 F U B U D2
B2 R2 F U B D U
B2 R2 F U B D' U
B2 R2 F U B D2 U
B2 R2 F D U B U
B' R2 F B' U B2 U
B' R2 F B' U2 D' R2
B' R2 F B' D L2 U2
B' R2 F B' D' U2 R2
B2 R2 F D' U B U
U' R2 F B2 U B' U
B2 R2 F D2 U B U
B R2 F U B U F2
U2 R2 F B2 U B' U
U R2 F B2 U B' U
L D L2 F' R B2 U'
L D L2 F' B2 R U'
L D L2 B2 F' R U'
D' R2 F2 B U' F' U2
F' R2 F2 B2 U' F2 U'
F' R2 F2 B2 U2 D R2
F' R2 F2 B2 D U2 R2
F' R2 F2 B2 D' L2 U2
D' R2 B L2 F2 U B'
D2 R2 B U L2 F2 B'
D2 R2 B U L2 B' F2
D' R2 B U D' L2 B'
D' R2 B D' U L2 B'
D' R2 B F2 U' F' U2
B' R2 B' D L2 U2 B'
F R2 B U2 D R2 F'
B' R2 B' D F L2 U2
F R2 B D U2 R2 F'
B' R2 B' D' F U2 R2
F R2 B D B U2 R2
F R2 B D' L2 B U2
F R2 B D' B L2 U2
B' R2 B' F U B2 U
B' R2 B' F U2 D' R2
B' R2 B' F D L2 U2
B' R2 B' F D' U2 R2
F R2 B' D B' U2 R2
F R2 B' D' L2 U2 F
F R2 B' D' B' L2 U2
U' R2 B2 F U B' U
F2 R2 B2 U' F U' B'
F' R2 B2 F2 U' F2 U'
F' R2 B2 F2 U2 D R2
D R2 B2 L2 F U' B'
F' R2 B2 F2 D U2 R2
F' R2 B2 F2 D' L2 U2
F R2 B2 L U' F2 U'
F R2 B2 L U2 D R2
F R2 B2 L D U2 R2
F R2 B2 L D' L2 U2
F R2 B2 L' U' F2 U'
F R2 B2 L' U2 D R2
F R2 B2 L' D U2 R2
F R2 B2 L' D' L2 U2
F R2 B2 L2 U' F2 U'
F R2 B2 L2 U2 D R2
F R2 B2 L2 D U2 R2
F R2 B2 L2 D' L2 U2
U2 R2 B2 F U B' U
F R2 B2 U D2 B2 U
F R2 B2 U' F2 U' D
F R2 B2 U' F2 U' D'
F R2 B2 U' F2 U' D2
F R2 B2 U' F2 D U'
F R2 B2 U' F2 D' U'
F R2 B2 U' F2 D2 U'
F R2 B2 U2 R D R2
F R2 B2 U2 R' D R2
F R2 B2 U2 R2 D R2
F R2 B2 U2 D R2 D
F R2 B2 U2 D R2 D'
F R2 B2 U2 D R2 D2
F R2 B2 D L U2 R2
F R2 B2 D L' U2 R2
F R2 B2 D L2 U2 R2
F R2 B2 D U2 R2 D
F R2 B2 D U2 R2 D'
F R2 B2 D U2 R2 D2
F R2 B2 D' L2 U2 D
F R2 B2 D' L2 U2 D'
F R2 B2 D' L2 U2 D2
F R2 B2 D' L2 D U2
F R2 B2 D' L2 D' U2
F R2 B2 D' L2 D2 U2
F R2 B2 D2 U B2 U
U R2 B2 F U B' U
U' D L2 F' B2 U' B
U' D L2 B2 F' U' B
U2 D L2 F' B2 U' B
U2 D L2 B2 F' U' B
L D F' L2 R B2 U'
L D F' L2 B2 R U'
L D F' R L2 B2 U'
L2 D F' B2 L2 U' B
D U L2 F' B2 U' B
L D F' R B2 L2 U'
F' U R F2 B2 U2 L'
D U L2 B2 F' U' B
F' U R B2 R F2 U2
U D L2 F' B2 U' B
F' U R B2 F2 U2 L'
L D F' B2 L2 R U'
L D F' B2 R L2 U'
U D L2 B2 F' U' B
F' U R' F2 R' B2 U2
F' U R' F2 B2 U2 L
F' U R' B2 F2 U2 L
F' U R2 U2 D2 F2 B2
F' U R2 U2 D2 B2 F2
F' U R2 D2 U2 F2 B2
F' U R2 D2 U2 B2 F2
F' U R2 F2 U2 D2 F2
F' U R2 F2 D2 U2 F2
F' U R2 F2 B2 U2 D
F' U R2 F2 B2 U2 D'
F' U R2 F2 B2 U2 D2
F' U R2 F2 B2 D U2
F' U R2 F2 B2 D' U2
F' U R2 F2 B2 D2 U2
F' U R2 B2 U2 D2 B2
F' U R2 B2 D2 U2 B2
F' U R2 B2 F2 U2 D
F' U R2 B2 F2 U2 D'
F' U R2 B2 F2 U2 D2
F' U R2 B2 F2 D U2
F' U R2 B2 F2 D' U2
F' U R2 B2 F2 D2 U2
L2 D B2 L2 F' U' B
L2 D B2 F' L2 U' B
L D B2 L2 F' R U'
L D B2 F' L2 R U'
L D B2 F' R L2 U'
F' U F R2 F B2 U2
F' U F R2 B2 F U2
F' U F B2 R2 F U2
F U D2 B2 U L2 F2
F U D2 B2 U F2 L2
F' U F' R2 B2 U2 B'
F' U F' B2 R2 U2 B
F' U F2 R B2 R U2
F' U F2 R' B2 U2 L
F' U F2 R2 U2 D2 F2
F' U F2 R2 D2 U2 F2
F' U F2 R2 B2 U2 D
F' U F2 R2 B2 U2 D'
F' U F2 R2 B2 U2 D2
F' U F2 R2 B2 D U2
F' U F2 R2 B2 D' U2
F' U F2 R2 B2 D2 U2
U' D B2 L2 F' U' B'
F' U F2 U2 D2 L2 F2
F' U F2 U2 D2 F2 L2
F' U F2 D2 U2 L2 F2
F' U F2 D2 U2 F2 L2
F' U F2 B R2 U2 F'
F' U F2 B' R2 B' U2
F' U F2 B2 R2 U2 D
F' U F2 B2 R2 U2 D'
F' U F2 B2 R2 U2 D2
F' U F2 B2 R2 D U2
F' U F2 B2 R2 D' U2
F' U F2 B2 R2 D2 U2
F' U F2 B2 U2 D2 L2
F' U F2 B2 D2 U2 L2
U2 D B2 L2 F' U' B'
F' U B R2 F2 U2 F
D U B2 L2 F' U' B'
F' U B F2 R2 U2 F'
U D B2 L2 F' U' B'
F' U B' R2 F2 B' U2
F' U B' R2 B' F2 U2
L2 D' R2 F2 B U B2
L2 D' R2 B F2 U B2
F' U B' F2 R2 B' U2
F' U B2 R F2 U2 L'
F' U B2 R' F2 R' U2
F' U B2 R2 U2 D2 B2
F' U B2 R2 D2 U2 B2
F' U B2 R2 F2 U2 D
F' U B2 R2 F2 U2 D'
F' U B2 R2 F2 U2 D2
F' U B2 R2 F2 D U2
F' U B2 R2 F2 D' U2
F' U B2 R2 F2 D2 U2
F' U B2 U2 D2 L2 B2
F' U B2 U2 D2 B2 L2
F' U B2 D2 U2 L2 B2
F' U B2 D2 U2 B2 L2
F' U B2 F R2 F U2
F' U B2 F' R2 U2 B
F' U B2 F2 R2 U2 D
F' U B2 F2 R2 U2 D'
F' U B2 F2 R2 U2 D2
F' U B2 F2 R2 D U2
F' U B2 F2 R2 D' U2
F' U B2 F2 R2 D2 U2
F' U B2 F2 U2 D2 L2
F' U B2 F2 D2 U2 L2
F' U' L D2 L2 F2 B2
F' U' L D2 L2 B2 F2
F' U' L D2 F2 L2 B2
F' U' L D2 F2 B2 L2
F' U' L D2 B2 L2 F2
F' U' L D2 B2 F2 L2
D U' L2 F' B2 U' B
