U R F L2 R B
U R F R L2 B
U R F R B L2
U R2 F L2 B R
U R2 F B L2 R
U R2 F B R L2
U R2 B F L2 R
U R2 B F R L2
F2 U' L2 F' B' R'
F2 U' L2 B' F' R'
R2 F L2 D B R'
U F L2 R D2 B2
U F L2 D2 R B2
U F L2 D2 B2 R
U F R L2 D2 B2
U F' L' U2 L' F2
U F' U2 F2 L2 R
U F' U2 F2 R L2
U' F2 L2 F' B' R'
U' F2 L2 B' F' R'
U F2 L2 F' R B'
U F2 L2 F' B' R
U F2 L2 B' F' R
F2 L U' L F' B' R'
F2 L U' L B' F' R'
F2 L U' F' L B' R'
U L F' L' U2 F L2
L2 R2 D B R' D2 F2
R2 L2 D B R' D2 F2
L2 R2 D B D2 R' F2
L2 R2 D B D2 F2 R'
R2 L2 D B D2 R' F2
R2 L2 D B D2 F2 R'
U' L2 U2 F' B' L' U2
U' L2 U2 B' F' L' U2
U L2 U2 F' B' U2 R'
U L2 U2 B' F' U2 R'
F2 L2 F' R B' D' R2
U L2 F' B' L' U2 L
U' L2 B2 R2 F' B R'
U' L2 B2 R2 B F' R'
U L2 B' F' L' U2 L
R2 U F L2 D B R'
L U F' L' U2 F L2
F' R U B U L2 F2
F' R U B U F2 L2
U R F L' R B L'
U R F L2 R D B
U R F L2 R D' B
U R F L2 R D2 B
U R F L2 R B D
U R F L2 R B D'
U R F L2 R B D2
U R F L2 D R B
U R F L2 D' R B
U R F L2 D2 R B
U R F L2 B R B
U R F L2 B' R B
U R F L2 B2 R B
U R F R L' B L'
U R F R L2 D B
U R F R L2 D' B
U R F R L2 D2 B
U R F R L2 B D
U R F R L2 B D'
U R F R L2 B D2
U R F R B L2 D
U R F R B L2 D'
U R F R B L2 D2
U R F R B' L2 B2
U R F B L2 R B
U R F B R L2 B
U R F B R B L2
U R F B' L2 R B
U R F B' R L2 B
U R F B' R B L2
U R F B2 L2 R B
U R F B2 R L2 B
U R F B2 R B L2
U R F2 L2 F' R B
U R B F L2 R B
U R B F R L2 B
U R B F R B L2
U R B' F L2 R B
U R B' F R L2 B
U R B' F R B L2
U R B2 F L2 R B
U R B2 F R L2 B
U R B2 F R B L2
R2 U' F L2 D B R'
F' R' U' F' U' L2 F'
F' R' U' F' U' F' L2
U' R' F L2 B' R' B
U' R' F B' L2 R' B
U' R' F B' R' L2 B
U' R' F B' R' B L2
U R' F L2 R' B R2
U R' F R' L2 B R2
U R' F R' B L2 R2
U R' F R' B R2 L2
F' R' F' U' L2 F' B'
F' R' F' U' L2 B' F'
U' R' B' R' F L2 B
U' R' B' R' F B L2
U' R' B' R' B F L2
U' R' B' F L2 R' B
U' R' B' F R' L2 B
U' R' B' F R' B L2
R2 U2 F L2 D B R'
U2 R2 U' F L2 B R
U2 R2 U' F B L2 R
U2 R2 U' F B R L2
U2 R2 U' B F L2 R
U2 R2 U' B F R L2
D2 R2 U2 D F B R'
D2 R2 U2 D B R' F
D2 R2 U2 D B F R'
D2 R2 U2 F D B R'
U' R2 U2 F L2 B R
U' R2 U2 F B L2 R
U' R2 U2 F B R L2
U' R2 U2 B F L2 R
U' R2 U2 B F R L2
D2 R2 D U2 F B R'
D2 R2 D U2 B R' F
D2 R2 D U2 B F R'
D' R2 D F L2 B R'
D' R2 D F B L2 R'
D' R2 D F B R' L2
D' R2 D B R' F L2
D' R2 D B F L2 R'
D' R2 D B F R' L2
B' R2 F L2 D B R'
U' R2 F L2 B' R' B2
B2 R2 F L2 D B R'
D' R2 F D L2 B R'
U2 R2 F L2 D' B R'
D' R2 F D B L2 R'
D' R2 F D B R' L2
B R2 F L2 D B R'
U' R2 F B' L2 R' B2
U' R2 F B' R' L2 B2
U' R2 F B' R' B2 L2
U R2 F L' B L' R
U R2 F L' B R L'
U R2 F L2 D B R
U R2 F L2 D' B R
U R2 F L2 D2 B R
U R2 F L2 B R D
U R2 F L2 B R D'
U R2 F L2 B R D2
U R2 F L2 B D R
U R2 F L2 B D' R
U R2 F L2 B D2 R
U R2 F L2 B' R B2
U R2 F L2 B2 R B'
U' R2 F' B L2 F2 R
U R2 F B L2 R D
U R2 F B L2 R D'
U R2 F B L2 R D2
U R2 F B L2 D R
U R2 F B L2 D' R
U R2 F B L2 D2 R
U R2 F B R L2 D
U R2 F B R L2 D'
U R2 F B R L2 D2
U R2 F B' L2 R B2
U R2 F B' L2 B2 R
U R2 F B' R L2 B2
U R2 F B' R B2 L2
U R2 F B2 R B' L2
U R2 F2 L2 F' B R
U R2 F2 L2 B F' R
U' R2 B F' L2 F2 R
U R2 F2 B L2 F' R
U' R2 B' R' F L2 B2
U' R2 B' R' F B2 L2
U' R2 B' R' B2 F L2
U R2 B R F L2 R
U R2 B R F R L2
U R2 B R' F L2 R
U R2 B R' F R L2
U R2 B R2 F L2 R
U R2 B R2 F R L2
U' R2 B' F L2 R' B2
U' R2 B' F R' L2 B2
U' R2 B' F R' B2 L2
U R2 B F L2 R D
U R2 B F L2 R D'
U R2 B F L2 R D2
U R2 B F L2 D R
U R2 B F L2 D' R
U R2 B F L2 D2 R
U R2 B F R L2 D
U R2 B F R L2 D'
U R2 B F R L2 D2
U R2 B F2 L2 F' R
U R2 B' F L2 R B2
U R2 B' F L2 B2 R
U R2 B' F R L2 B2
U R2 B' F R B2 L2
U R2 B2 F R B' L2
F2 U L2 F R F2 B'
F2 U L2 F R B' F2
F2 U L2 F B' R F2
F2 U L2 B' F R F2
B' U R F L2 R B
B' U R F R L2 B
B' U R F R B L2
B2 U R F L2 R B
B2 U R F R L2 B
B2 U R F R B L2
R2 D F2 U F' B R'
R2 D F2 U B F' R'
B U R F L2 R B
B U R F R L2 B
B U R F R B L2
R2 D B R' D' F L2
R2 D B D' R' F L2
R2 D B D' F L2 R'
R2 D B D' F R' L2
B' U R2 F L2 B R
B' U R2 F B L2 R
B' U R2 F B R L2
B2 U R2 F L2 B R
B' U R2 B F L2 R
B' U R2 B F R L2
B2 U R2 F B L2 R
B2 U R2 F B R L2
B2 U R2 B F L2 R
B2 U R2 B F R L2
B U R2 F L2 B R
B U R2 F B L2 R
B U R2 F B R L2
B U R2 B F L2 R
B U R2 B F R L2
D2 U F D2 L2 R B2
D2 U F D2 L2 B2 R
D2 U F D2 R L2 B2
D2 U F D2 R B2 L2
D2 U F D2 B2 L2 R
D2 U F D2 B2 R L2
D2 U F' L' R2 U2 F2
D2 U F' R2 L' U2 F2
D2 U F' R2 U2 F2 R
B' U F L2 R D2 B2
B' U F L2 D2 R B2
B' U F L2 D2 B2 R
B' U F R L2 D2 B2
B2 U F L2 R D2 B2
B2 U F L2 D2 R B2
B2 U F L2 D2 B2 R
F' U F U R F L2
B2 U F R L2 D2 B2
F2 U F U2 L2 R F2
F2 U F U2 R L2 F2
F2 U F U2 R F2 L2
B U F L2 R D2 B2
B U F L2 D2 R B2
B' U F' L' U2 L' F2
B U F L2 D2 B2 R
B U F R L2 D2 B2
B2 U F' L' U2 L' F2
F2 U F' L2 D2 B2 R'
B' U F' U2 F2 L2 R
B' U F' U2 F2 R L2
F U F U' L2 R B'
F U F U' L2 B' R
F U F U' R L2 B'
B2 U F' U2 F2 L2 R
B2 U F' U2 F2 R L2
B U F' L' U2 L' F2
B' U F2 L2 F' R B'
B' U F2 L2 F' B' R
B' U F2 L2 B' F' R
B2 U F2 L2 F' R B'
B2 U F2 L2 F' B' R
B2 U F2 L2 B' F' R
B U F' U2 F2 L2 R
B U F' U2 F2 R L2
B U F2 L2 F' R B'
B U F2 L2 F' B' R
B U F2 L2 B' F' R
F2 U' L F' L B' R'
R' D' F' R B2 U' F2
F2 U' L2 R B' R' F'
R' D' F' B2 R U' F2
D2 U' R2 U2 F B R
D2 U' R2 U2 B F R
F2 U' L2 D F' B' R'
F2 U' L2 D B' F' R'
F2 U' L2 D' F' B' R'
F2 U' L2 D' B' F' R'
F2 U' L2 D2 F' B' R'
F2 U' L2 D2 B' F' R'
F2 U' L2 F B' R' F2
F2 U' L2 F' R B' R'
F2 U' L2 F' R' B' R'
F2 U' L2 F' R2 B' R'
F2 U' L2 F' D B' R'
F2 U' L2 F' D' B' R'
F2 U' L2 F' D2 B' R'
F2 U' L2 F' B' R' D
F2 U' L2 F' B' R' D'
F2 U' L2 F' B' R' D2
F2 U' L2 F' B' D R'
F2 U' L2 F' B' D' R'
F2 U' L2 F' B' D2 R'
F2 U' L2 F2 B' R' F
F2 U' L2 B' D F' R'
F2 U' L2 B' D' F' R'
F2 U' L2 B' D2 F' R'
F2 U' L2 B' F R' F2
F2 U' L2 B' F' R' D
F2 U' L2 B' F' R' D'
F2 U' L2 B' F' R' D2
F2 U' L2 B' F' D R'
F2 U' L2 B' F' D' R'
F2 U' L2 B' F' D2 R'
F2 U' L2 B' F2 R' F
F2 U' R L2 B' R' F'
R' D' B2 F' R U' F2
B' U' F2 L2 F' B' R'
B' U' F2 L2 B' F' R'
B2 U' F2 L2 F' B' R'
B2 U' F2 L2 B' F' R'
B U' F2 L2 F' B' R'
B U' F2 L2 B' F' R'
F' U' B U' L2 F2 R
F2 U' B' L2 F' R' B'
F' U' B' U' L2 R' F2
F' U' B' U' L2 F2 R'
F' U' B' U' R' L2 F2
F' U' B' U' R' F2 L2
F' U' B' U' F2 L2 R'
F' U' B' U' F2 R' L2
U' D2 R2 U2 F B R
U' D2 R2 U2 B F R
F2 U2 L2 D F' R B'
F2 U2 L2 D F' B' R
F' U2 L2 F' D F' R
F2 U2 L2 D B' F' R
U D2 F D2 L2 R B2
U D2 F D2 L2 B2 R
U D2 F D2 R L2 B2
U D2 F D2 R B2 L2
F2 U2 L2 B' D F' R
U D2 F D2 B2 L2 R
U D2 F D2 B2 R L2
U D2 F' L' R2 U2 F2
U D2 F' R2 L' U2 F2
U D2 F' R2 U2 F2 R
R2 F L D L B R'
U F L R D2 L B2
R' F L2 R D R2 B
R' F L2 R' D B R2
R' F L2 R' B D R2
U F L D2 L R B2
U F L D2 L B2 R
U F L D2 R L B2
U' F L2 D2 B' R' B'
R2 F L' D L' B R'
R2 F L' D B L' R'
R2 F L' D B R' L'
U' F L2 B D2 B2 R'
U F L' R D2 L' B2
U F L' R D2 B2 L'
U' F L2 B' R' D2 B2
U' F L2 B' D2 R' B2
F' U2 F' L2 D F' R
R' F R L2 D R2 B
U F L' D2 L' R B2
U F L' D2 L' B2 R
U F L' D2 R L' B2
U F L' D2 R B2 L'
U F L' D2 B2 L' R
U F L' D2 B2 R L'
R2 F L2 D B R' D
R2 F L2 D B R' D'
R2 F L2 D B R' D2
R2 F L2 D B D R'
R2 F L2 D B D' R'
R2 F L2 D B D2 R'
U F L2 R U2 F2 U2
U F L2 R D2 B2 D
U F L2 R D2 B2 D'
U F L2 R D2 B2 D2
U F L2 R B D2 B2
U F L2 R B' D2 B2
U F L2 R B2 D2 B2
U F L2 R2 D2 R' B2
R F L2 R D B R'
R' F R' L2 D B R2
U F L2 U2 F2 L' U2
R' F R' L2 B D R2
U F L2 D' R D' B2
U F L2 D2 R B2 D
U F L2 D2 R B2 D'
U F L2 D2 R B2 D2
U F L2 D2 R' B2 R2
R F L2 U' B L U
U F L2 D2 B' R B'
U F L2 D2 B2 R D
U F L2 D2 B2 R D'
U F L2 D2 B2 R D2
U F L2 D2 B2 D R
U F L2 D2 B2 D' R
U F L2 D2 B2 D2 R
U F L2 B R D2 B2
U F L2 B D2 R B2
U F L2 B D2 B2 R
U F L2 B' R D2 B2
U F L2 B' D2 R B2
U F L2 B' D2 B2 R
U F L2 B2 R D2 B2
U F L2 B2 D2 R B2
U F L2 B2 D2 B2 R
R' F R' B L2 D R2
U F R L D2 L B2
U F R L' D2 L' B2
U F R L' D2 B2 L'
U F R L2 U2 F2 U2
U F R L2 D2 B2 D
U F R L2 D2 B2 D'
U F R L2 D2 B2 D2
U F R L2 B D2 B2
U F R L2 B' D2 B2
U F R L2 B2 D2 B2
U F R U2 F2 U2 L2
R F R L2 D B R'
U F R D2 B2 D2 L2
U F R F L2 F' B'
U F R F L2 B' F'
U F R B L2 D2 B2
U F R B' L2 D2 B2
U F R B2 L2 D2 B2
U F R2 L2 D2 R' B2
U F R2 D2 R' B2 L
R F U' B L U L
U F U2 F2 L' U2 L'
R2 F D B R' D' L2
R2 F D B D' L2 R'
R2 F D B D' R' L2
U' F B' L2 R' D2 B2
U' F B' L2 D2 R' B2
U' F B' R' L2 D2 B2
U F D2 R' B2 L R2
U F D2 R' B2 R2 L
U' F B' D2 R' B2 L
U F D2 B2 D2 L2 R
U F D2 B2 D2 R L2
U F B L2 R D2 B2
U F B L2 D2 R B2
U F B L2 D2 B2 R
U F B R L2 D2 B2
U F B' L2 R D2 B2
U F B' L2 D2 R B2
U F B' L2 D2 B2 R
U F B' R L2 D2 B2
U F B2 L2 R D2 B2
U F B2 L2 D2 R B2
U F B2 L2 D2 B2 R
U F B2 R L2 D2 B2
U F' L' R U2 L' F2
U F' L' R' U2 L' F2
U F' L' R2 U2 L' F2
U F' L' U2 L F2 L2
U F' L' U2 L' F2 D
U F' L' U2 L' F2 D'
U F' L' U2 L' F2 D2
U F' L' U2 L2 F2 L
R' F' R U' F2 L2 B'
U F' L' D2 B2 U2 L'
U F' L' B U2 L' F2
U F' L' B' U2 L' F2
U F' L' B2 U2 L' F2
R2 F' L2 F2 D B R'
R' F' R' U' L2 F2 B
R' F' R' U' L2 B F2
R' F' R' U' F2 L2 B
R' F' R' U' F2 B L2
R' F' R' U' B L2 F2
R' F' R' U' B F2 L2
U F' L2 F2 D2 B2 R'
U F' R L' U2 L' F2
U F' R U2 F2 L2 R
U F' R U2 F2 R L2
U F' R' L' U2 L' F2
U F' R' U2 F2 L2 R
U F' R' U2 F2 R L2
U F' R2 L' U2 L' F2
U F' R2 U2 F2 L2 R
U F' R2 U2 F2 R L2
U' F' U2 L2 F R F
U' F' U2 F R F L2
U F' U2 R F2 L2 R
U F' U2 R F2 R L2
U F' U2 R' F2 L2 R
U F' U2 R' F2 R L2
U F' U2 R2 F2 L2 R
U F' U2 R2 F2 R L2
U F' U2 F' L2 F' R
U F' U2 F2 L2 R D
U F' U2 F2 L2 R D'
U F' U2 F2 L2 R D2
U F' U2 F2 L2 D R
U F' U2 F2 L2 D' R
U F' U2 F2 L2 D2 R
U F' U2 F2 R L2 D
U F' U2 F2 R L2 D'
U F' U2 F2 R L2 D2
U' F' B L U2 L F2
U' F' B L U2 F2 L
U' F' B U2 L2 F2 R
U F' D2 L' R2 B2 U2
U F' D2 L' B2 R2 U2
U' F' B' U2 L2 R' F2
U' F' B' U2 L2 F2 R'
U' F' B' U2 R' L2 F2
U' F' B' U2 R' F2 L2
U' F' B' U2 F2 L2 R'
U' F' B' U2 F2 R' L2
U F' D2 R2 L' B2 U2
U F' D2 R2 B2 L' U2
U F' D2 B2 L' R2 U2
U F' D2 B2 R2 L' U2
U F' B L' U2 L' F2
U F' B U2 F2 L2 R
U F' B U2 F2 R L2
U F' B' L' U2 L' F2
U' F2 L F' L B' R'
U F' B' U2 F2 L2 R
U F' B' U2 F2 R L2
U F' B2 L' U2 L' F2
U F' B2 U2 F2 L2 R
U F' B2 U2 F2 R L2
U' F2 L2 R B' R' F'
U' F2 L2 D F' B' R'
U' F2 L2 D B' F' R'
U' F2 L2 D' F' B' R'
U' F2 L2 D' B' F' R'
U' F2 L2 D2 F' B' R'
U' F2 L2 D2 B' F' R'
U' F2 L2 F B' R' F2
U' F2 L2 F' R B' R'
U' F2 L2 F' R' B' R'
U' F2 L2 F' R2 B' R'
U' F2 L2 F' D B' R'
