R D R F' U R
F L R2 B' L' U L'
R2 L D' B' L' F U
R2 L D2 B' L' U L2
R2 L F B' U L' B'
R2 L B' L' F U L'
R2 L B' D' L' F U
R2 L B' F U L' B'
F L B' L' R2 U L'
F L B' R2 L' U L'
U2 L' F U' L' D' F2
U2 L' F U' D' L' F2
U2 L' F U2 R2 U L'
U2 L' F D' U' L' F2
U2 L' F D2 L2 U' L
L R2 D' B' L' F U
L R2 D2 B' L' U L2
L R2 F B' U L' B'
L R2 B' L' F U L'
L R2 B' D' L' F U
L R2 B' F U L' B'
R2 U L' U F U' L'
R2 U F L' F' D R2
R2 U F D L' F' R
B' R D R F' U R
B2 R D R F' U R
B R D R F' U R
R2 U' L' U' F U' L'
D R F' U R D2 F2
D R F' U D2 R F2
D R F' U' B2 U2 R
D R F' D' R2 U R'
D R F' D2 U R F2
F' R' D2 R' B U L2
F R' D2 R' B U L'
R2 U2 L' F L U' L2
F R2 L B' L' U L'
F R2 U L' U F U'
F2 R2 D F' U L' R
F2 R2 D F' U R L'
F R2 D' B U L' R'
F R2 D' B U R' L'
R' D R F' R2 U R'
R2 D R F' R' U R2
R D R F' U R D
R D R F' U R D'
R D R F' U R D2
R D R F' U D R
R D R F' U D' R
R D R F' U D2 R
R D R F' D U R
R D R F' D' U R
R D R F' D2 U R
R D R F' B U R
R D R F' B' U R
R D R F' B2 U R
R D R B F' U R
R D R B' F' U R
R D R B2 F' U R
R D B R F' U R
R D B' R F' U R
R D B2 R F' U R
L D' B' L' F U F
R' D2 R' B U' R' U2
R2 F L B' L' U L'
R2 F U L' U F U'
L' F U' L' D' F2 B2
L' F U' L' D' B2 F2
L F R2 B' U L' B'
L' F U2 L R2 U L2
L' F U2 R2 L U L2
R' F D2 R' B U L'
R2 F D' B U L' R'
R2 F D' B U R' L'
L F B' R2 U L' B'
F' D' B U F2 L' R'
F' D' B U F2 R' L'
F D' B U L' R' F2
F D' B U L' F2 R'
F D' B U R' L' F2
R2 F2 D F' U L' R
R2 F2 D F' U R L'
D B R F' U R F'
D B R2 U F' L' R
D B R2 U F' R L'
R B D R F' U R
L B' L' R2 F U L'
L B' L' F R2 U L'
L B' R2 L' F U L'
L B' R2 D' L' F U
L B' R2 F U L' B'
R B' D R F' U R
L B' D' L' F U F
L B' F R2 U L' B'
R B2 D R F' U R
