F2 L' F U' L B' L2
D R F' U R B' L'
D R F' U B' L' R
D R F' U B' R L'
L U2 R B' U B2 L
R D F' U R B' L'
R D F' U B' L' R
R D F' U B' R L'
B' U F2 L' F B' U'
B' U F2 L' B' F U'
F D R U2 F' R B'
F D R U2 F' B' R
F D R U2 B' F' R
F D F' R F' B' L'
F D F' R B' F' L'
F D F' B' R F' L'
F D B' F' R F' L'
F2 B L' F U' L' B2
F2 B L' F U' B2 L'
B' F D F' R F' L'
R2 B' D F' L' R F
R2 B' D F' R L' F
F2 B' U L' F U' L'
F B' D F' R F' L'
B2 F2 L' F U' L' B
B2 F2 L' F U' B L'
F2 B2 L' F U' L' B
F2 B2 L' F U' B L'
B F2 L' F U' L' B2
B F2 L' F U' B2 L'
B' F2 U L' F U' L'
