B2 L D B R' F' U2
L2 R F B R2 D' L2
L2 R F' U F2 B R2
L2 R F' U B R2 F2
L2 R F' U B F2 R2
L2 R B F R2 D' L2
D' L2 R F L' B R2
D' L2 R F B L' R2
D' L2 R F B R2 L'
D' L2 R B R2 F L'
D' L2 R B F L' R2
D' L2 R B F R2 L'
D' L2 R' F L' D2 B2
D' L2 R' F D2 L' B2
D' L2 R' F D2 B2 L'
R L2 F B R2 D' L2
R L2 F' U F2 B R2
R L2 F' U B R2 F2
R L2 F' U B F2 R2
D' L2 U2 R' F L' B'
D' L2 U2 F L' R' B'
D' L2 U2 F R' L' B'
R L2 B F R2 D' L2
D' L2 F L' R B R2
D' L2 F R L' B R2
D' L2 F R B L' R2
D' L2 F R B R2 L'
D' R L2 F L' B R2
D' R L2 F B L' R2
D' R L2 F B R2 L'
D' R L2 B R2 F L'
D' R L2 B F L' R2
D' R L2 B F R2 L'
B' R U F' U B R'
R' U B U F' B2 U2
R' U B U B2 F' U2
D R B R2 D2 F2 L'
D R B' U2 L R2 B2
D R B' U2 L B2 R2
D R B' U2 R2 L B2
D' R' L2 F L' D2 B2
D' R' L2 F D2 L' B2
D' R' L2 F D2 B2 L'
D' R' U2 F' R B' U2
D' R' U2 F' B' R U2
D' R' U2 B' F' R U2
D R' U2 F' B' U2 L
R2 U' B' R' U2 B R2
D R' U2 B' F' U2 L
B' R' F' U' B U' R'
D' R' F' B' R U2 R'
D R' F2 L2 F B' L
D R' F2 L2 B' F L
D' R' B' F' R U2 R'
L2 U2 D' R' F L' B'
L2 U2 D' F L' R' B'
L2 U2 D' F R' L' B'
R' U2 F' B' U' B2 U'
R' U2 F' B' U2 D L2
R' U2 F' B' D U2 L2
R' U2 F' B' D' R2 U2
R' U2 B' D F' U2 L2
R' U2 B' D' R2 U2 B
R' U2 B' D' F' R2 U2
R' U2 B' F' U' B2 U'
R' U2 B' F' U2 D L2
R' U2 B' F' D U2 L2
R' U2 B' F' D' R2 U2
L2 D' R F L' B R2
L2 D' R F B L' R2
L2 D' R F B R2 L'
L2 D' R B R2 F L'
L2 D' R B F L' R2
L2 D' R B F R2 L'
L2 D' R' F L' D2 B2
L2 D' R' F D2 L' B2
L2 D' R' F D2 B2 L'
L2 D' U2 R' F L' B'
L2 D' U2 F L' R' B'
L2 D' U2 F R' L' B'
L2 D' F L' R B R2
L2 D' F R L' B R2
L2 D' F R B L' R2
L2 D' F R B R2 L'
B2 D L B R' F' U2
D' F' R B' U2 R2 B2
D' F' R B' U2 B2 R2
R F' L2 U F B R2
R F' L2 U B R2 F
R F' L2 U B F R2
R F' U B R2 D2 F2
R F' U B2 R2 F' B'
R F' U B2 R2 B' F'
R F' U' B' U2 R2 B2
R F' U' B' U2 B2 R2
D' F' B' R U2 B R'
R' F' B' D' R2 U2 R2
R F' B2 U R2 F' B'
R F' B2 U R2 B' F'
R' F2 L2 F B' D L2
R' F2 L2 B' D F L2
R' F2 L2 B' F D L2
R' B R2 U' B R2 F'
D B' R U2 L B R'
U' B' U' R' B U' R'
R B' U F' U R2 B2
R B' U F' U B2 R2
R' B' D' R2 U2 B R2
R' B' D' F' R2 U2 R2
D' B' F' R U2 B R'
R' B' F' D' R2 U2 R2
R B2 R2 F' B' D L2
R B2 R2 B' D L2 F'
R B2 R2 B' D F' L2
R B2 R2 B' F' D L2
R B2 F' U R2 F' B'
R B2 F' U R2 B' F'
