R2 L' F' B2 U' B
R2 L' B2 F' U' B
L' R2 F' B2 U' B
L' R2 B2 F' U' B
B2 L2 F L U' B'
R' B2 L' U' B' R'
R2 B2 L' F' U' B'
L B2 L2 F U' B'
L' B2 U' B D' R2
L' B2 U2 B' U B2
B L U2 L2 B U' B2
B L U2 B L2 U' B'
R' L B2 L2 U' B' R'
R2 L B2 L2 F' U' B'
L' R B2 U' D B R'
L' R B2 D U' B R'
B L B L2 F U' B'
R' L' U' D B' L2 R'
R' L' U' D B' R' L2
L' R' U' D B' L2 R'
L' R' U' D B' R' L2
U' L B2 L2 F R U'
R' L' D U' B' L2 R'
R' L' D U' B' R' L2
L' R' D U' B' L2 R'
L' R' D U' B' R' L2
D L' R' U' B' L' R'
D L' R' U' B' R' L'
R2 L' D F' U' B' L2
B' L' U' D' R2 B' L
B' L' U' D' B' L R2
B' L' U' D' B' R2 L
B2 L' U' D' B R' B2
D2 L' U' B' D' L2 R2
D2 L' U' B' D' R2 L2
D L' U' B' L' D' R2
D L' U' B' D' L' R2
D L' U' B' D' R2 L'
B2 L' U' B2 D' B R'
R2 L' F' R B2 U' B
R2 L' F' R' B2 U' B
R2 L' F' R2 B2 U' B
R2 L' F' U' D B' L2
D2 L' U2 F2 B U B2
R2 L' F' D U' B' L2
D2 L' U2 B F2 U B2
D L' U2 B U L' B2
D L' U2 B U B2 L'
R2 L' F' B2 U' D B
R2 L' F' B2 U' D' B
R2 L' F' B2 U' D2 B
R2 L' F' B2 U' B D
R2 L' F' B2 U' B D'
R2 L' F' B2 U' B D2
R2 L' F' B2 D U' B
R2 L' F' B2 D' U' B
R2 L' F' B2 D2 U' B
B2 L' D F' U' R B'
B2 L' D F' U' B' R
B' L' D' U' R2 B' L
B' L' D' U' B' L R2
B' L' D' U' B' R2 L
B2 L' D' U' B R' B2
B2 L' D2 R F' U' B'
B2 L' D2 R2 U' B' R'
L R' B2 L2 U' B' R'
R' L' B2 U' B' R' B2
L' R' B2 U' B' R' B2
R2 L' B2 D F' U' B
R L' B2 U' D B R'
R2 L' B2 D' F' U' B
R2 L' B2 D2 F' U' B
R L' B2 D U' B R'
R2 L' B2 F' U' D B
R2 L' B2 F' U' D' B
R2 L' B2 F' U' D2 B
R2 L' B2 F' U' B D
R2 L' B2 F' U' B D'
R2 L' B2 F' U' B D2
R2 L' B2 F' D U' B
R2 L' B2 F' D' U' B
R2 L' B2 F' D2 U' B
D L' B U' L' B2 R'
B L' B U2 B' U B'
L' R2 D F' U' B' L2
U L' B2 U2 B' L U
B2 L2 R F L U' B'
B2 L2 R' F L U' B'
L' R2 F' R B2 U' B
L' R2 F' R' B2 U' B
B2 L2 R2 F L U' B'
L2 R2 F' L B2 U' B
L' R2 F' R2 B2 U' B
R2 L2 F' L B2 U' B
L' R2 F' U' D B' L2
L' R2 F' D U' B' L2
L' R2 F' B2 U' D B
L' R2 F' B2 U' D' B
L' R2 F' B2 U' D2 B
L' R2 F' B2 U' B D
L' R2 F' B2 U' B D'
L' R2 F' B2 U' B D2
L' R2 F' B2 D U' B
L' R2 F' B2 D' U' B
L' R2 F' B2 D2 U' B
B L2 U2 L B U' B2
L' R2 B2 D F' U' B
L R2 B2 L2 F' U' B'
L' R2 B2 D' F' U' B
L' R2 B2 D2 F' U' B
L' R2 B2 F' U' D B
L' R2 B2 F' U' D' B
L' R2 B2 F' U' D2 B
L' R2 B2 F' U' B D
L' R2 B2 F' U' B D'
L' R2 B2 F' U' B D2
L' R2 B2 F' D U' B
L' R2 B2 F' D' U' B
L' R2 B2 F' D2 U' B
B2 L2 F L R U' B'
B2 L2 F L R' U' B'
B2 L2 F L R2 U' B'
B2 L2 F L U' D B'
B2 L2 F L U' D' B'
B2 L2 F L U' D2 B'
B2 L2 F L U' B' D
B2 L2 F L U' B' D'
B2 L2 F L U' B' D2
B2 L2 F L D U' B'
B2 L2 F L D' U' B'
B2 L2 F L D2 U' B'
B2 L2 F R L U' B'
B2 L2 F R' L U' B'
B2 L2 F R2 L U' B'
B2 L2 F' L F2 U' B'
B2 L2 F2 L F' U' B'
B2 R L2 F L U' B'
L U B2 L2 F U' B'
L' U' D B' L2 D' R2
L' U' D2 B' D' L2 R2
L' U' D2 B' D' R2 L2
D R' L' U' B' L' R'
D R' L' U' B' R' L'
B2 R' L2 F L U' B'
L U' B2 L2 F U' B'
L' U2 D B U L2 B2
L' U2 D B U B2 L2
L' U2 D2 F2 B U B2
L' U2 D2 B F2 U B2
B2 R2 L2 F L U' B'
L' U2 B U2 B U' B
L U2 B2 L2 F U' B'
R' D L' U' B' L' R'
R' D L' U' B' R' L'
F R2 F' L' B2 U' B
L D L2 F2 B' D' R2
L D L2 B' F2 D' R2
L' D R' U' B' L2 R'
L' D R' U' B' R' L2
F R2 F' B2 L' U' B'
L' D R2 F' U' B' L2
L' D U' B' L2 D' R2
L' D U2 B U L2 B2
L' D U2 B U B2 L2
F R2 B2 F' L' U' B'
L D B U L2 F2 B'
L D B U L2 B' F2
D2 U F2 B L R U
D2 U F2 B R L U
D2 U B F2 L R U
D2 U B F2 R L U
L' D2 U' B' D' L2 R2
L' D2 U' B' D' R2 L2
L' D2 U2 F2 B U B2
L' D2 U2 B F2 U B2
B U2 L' B R U' B
D2 U2 F2 B R U B
U2 D2 F2 B R U B
D2 U2 B F2 R U B
U D2 F2 B L R U
U D2 F2 B R L U
U2 D2 B F2 R U B
L D2 F2 B R2 U B
U D2 B F2 L R U
U D2 B F2 R L U
L D2 B F2 R2 U B
B U2 B L' R U' B
L' F R2 F' B2 U' B
B U2 B R L' U' B
L' F R2 B2 F' U' B
B2 U2 B' U2 L' U' B'
L F U' B2 L2 F U'
B2 D L2 F L U' B'
L' F B2 U' B D' R2
L' F B2 U2 B' U B2
L' F' R2 F' B2 U' B
L' F' R2 B2 F' U' B
B2 D' L2 F L U' B'
L' F' B2 U' B D' R2
L' F' B2 U2 B' U B2
D2 F2 L' B R U B2
B' D' B' L' U' R2 B'
B' D' B' L' U' B' R2
B' D' B' L' U' B' R2
L' F2 R2 F' B2 U' B
L' F2 R2 B2 F' U' B
B2 D2 L2 F L U' B'
D2 F2 B L' R U B'
D2 F2 B R L' U B'
L' F2 B2 U' B D' R2
L' F2 B2 U2 B' U B2
U B L U2 L2 B U'
U B L U2 B L2 U'
U B L D2 R2 F' U
R2 B L' F' B U' B2
R2 B L' B F' U' B2
B' D2 B' L' F2 U' B'
U2 B U2 L' B U' B2
U2 B U2 B L' U' B'
L B U2 L2 B U' B2
L B U2 B L2 U' B'
D2 B F2 L' R U B'
D2 B F2 R L' U B'
L' B' D' B' U' B R2
L' B' D2 F2 B' U' B
L' B' D2 B' F2 U' B
R' B2 L' R' F' U' B'
R' B2 L' U' R B' R'
R' B2 L' U' R' B' R'
R' B2 L' U' R2 B' R'
R' B2 L' U' D B' R'
R' B2 L' U' D' B' R'
R' B2 L' U' D2 B' R'
R' B2 L' U' B' R' D
R' B2 L' U' B' R' D'
R' B2 L' U' B' R' D2
R' B2 L' U' B' D R'
R' B2 L' U' B' D' R'
R' B2 L' U' B' D2 R'
R' B2 L' D U' B' R'
R' B2 L' D' U' B' R'
R' B2 L' D2 U' B' R'
R' B2 L' F U' B' R'
R' B2 L' F' U' B' R'
R' B2 L' F2 U' B' R'
U' B2 L2 F L R U'
U' B2 L2 F R L U'
R2 B2 L' R U' B' R'
L' B2 L2 F L2 U' B
R2 B2 L' D F' U' B'
R2 B2 L' D' F' U' B'
R2 B2 L' D2 F' U' B'
R2 B2 L' F' R U' B'
R2 B2 L' F' R' U' B'
R2 B2 L' F' R2 U' B'
R2 B2 L' F' U' D B'
R2 B2 L' F' U' D' B'
R2 B2 L' F' U' D2 B'
R2 B2 L' F' U' B' D
R2 B2 L' F' U' B' D'
R2 B2 L' F' U' B' D2
R2 B2 L' F' D U' B'
R2 B2 L' F' D' U' B'
R2 B2 L' F' D2 U' B'
R B2 L' R F' U' B'
R B2 L' R2 U' B' R'
R' B2 R' L' F' U' B'
R2 B2 L2 F' L U' B'
L B2 L2 R F U' B'
L B2 L2 R' F U' B'
L B2 L2 R2 F U' B'
R2 B2 R L' U' B' R'
L B2 L2 D F U' B'
L B2 L2 D' F U' B'
L B2 L2 D2 F U' B'
L B2 L2 F R U' B'
L B2 L2 F R' U' B'
L B2 L2 F R2 U' B'
L B2 L2 F U' D B'
L B2 L2 F U' D' B'
L B2 L2 F U' D2 B'
L B2 L2 F U' B' D
L B2 L2 F U' B' D'
L B2 L2 F U' B' D2
