F L B' R2 D L2
R2 F L D' B' L2
R2 F L B' D' L2
R2 F L' D' L2 B'
D' B R' F2 U' F'
F L R D R B' L
F L R D B' L R
F L R D B' R L
F L R2 U' F' U B'
F L R2 B' U' F' U
F L U B U' R2 B2
F L U B U' B2 R2
F L D' B' D L2 R2
F L D' B' D R2 L2
R2 L B' L' F D' L2
F2 L F' B' R2 D L2
F' L F2 B' R2 D L2
F' L B U' R2 F2 B2
F' L B U' R2 B2 F2
F' L B U' F2 R2 B2
F' L B U' F2 B2 R2
F' L B U' B2 R2 F2
F' L B U' B2 F2 R2
F L B R2 B2 D L2
F2 L B U' F' R2 B2
F2 L B U' F' B2 R2
F2 L B U' B2 F' R2
F L B' L R2 D L2
F L B' L' R2 D L2
F L B' L2 R2 D L2
F' L B' R2 F2 D L2
F L B' R D L2 R
F L B' R D R L2
F L B' R' D L2 R'
F L B' R' D R' L2
F L B' R2 L D L2
F L B' R2 L' D L2
F L B' R2 L2 D L2
F L B' R2 U B2 U'
F L B' R2 D L2 D
F L B' R2 D L2 D'
F L B' R2 D L2 D2
F L B' U B2 U' R2
F L B' D L2 D' R2
F' L B' F2 R2 D L2
F2 L B' F' R2 D L2
F' L' B U' F2 R2 B
F L' B' R2 D L2 B'
F L2 R2 U' F' L' U
L R2 B' L' F D' L2
F R L D R B' L
F R L D B' L R
F R L D B' R L
R' U' R' F B L B'
R' U' R' B F L B'
R' U' D2 R' F B L
R' U' D2 R' B F L
R' U' D2 F R' B L
R' U' F R' B L B'
R' U' F D2 R' B L
R' U' F B L B' R'
R2 U' F' L U F2 B'
R2 U' F' L U B' F2
R' U' B F L B' R'
B R' U' D2 R' F B
B R' U' D2 R' B F
B R' U' D2 F R' B
B R' U' F D2 R' B
B R' D2 U' R' F B
B R' D2 U' R' B F
B R' D2 U' F R' B
F R2 L U' F' U B'
F R2 L B' U' F' U
F R2 L2 U' F' L' U
F R2 U' L F' U B'
F R2 U' F' L U B'
U' R2 F L D' B' L2
B' R2 F L D B' L2
U' R2 F L B' D' L2
U' R2 F L' D' L2 B'
B' R2 F L' D L2 B'
U2 R2 F L D' B' L2
U2 R2 F L B' D' L2
U2 R2 F L' D' L2 B'
U R2 F L D' B' L2
U R2 F L B' D' L2
U R2 F L' D' L2 B'
F' R2 F2 L D' B' L
R2 D F L D' L2 B2
R2 D F L D' B2 L2
R2 D F U' L' F2 U
F U D' F2 B R' U'
F U D' B R' F2 U'
F U D' B F2 R' U'
D' U B R' F2 U' F'
B U' L R2 B' L' F
B U' L B' L' R2 F
B U' L B' L' F R2
B U' L B' R2 L' F
B U' R' D2 R' F B
B U' R' D2 R' B F
B U' R' D2 F R' B
B U' R' F D2 R' B
B U' R2 L B' L' F
U' D' B R' F2 U' F'
D' U' B R' F2 U' F'
B U' R2 F L B' L'
U2 D' B R' F2 U' F'
U D' B R' F2 U' F'
B U' F L R2 B' L'
B U' F L B' L' R2
B U' F L B' R2 L'
B U' F R' D2 R' B
B U' F R2 L B' L'
R' D2 R' F D' L2 B
R' D2 R' F D' B L2
R' D2 R' F B D' L2
R' D2 R' B F D' L2
R' D2 U' R' F B L
R' D2 U' R' B F L
R' D2 U' F R' B L
D' U2 B R' F2 U' F'
U' F L B' R2 D L2
R2 F L U' F2 U B'
R2 F L D B' D2 L2
R2 F L D' B L2 B2
R2 F L D' B' L2 D
R2 F L D' B' L2 D'
R2 F L D' B' L2 D2
R2 F L D' B2 L2 B
U2 F L B' R2 D L2
R2 F L B' L D' L2
R2 F L B' L' D' L2
R2 F L B' L2 D' L2
R2 F L B' U' F2 U
R2 F L B' D' L2 D
R2 F L B' D' L2 D'
R2 F L B' D' L2 D2
R2 F L B2 D' L2 B
R2 F L B2 D' B L2
R2 F L' D' L2 D B'
R2 F L' D' L2 D' B'
R2 F L' D' L2 D2 B'
R2 F L' D' L2 B' D
R2 F L' D' L2 B' D'
R2 F L' D' L2 B' D2
R2 F L' D' B L2 B'
R2 F L' D' B' L2 B'
R2 F L' D' B2 L2 B'
U F L B' R2 D L2
R2 F L' B D' L2 B'
R2 F L' B' D' L2 B'
R2 F L' B2 D' L2 B'
R2 F L2 D' L' B' L'
D' F U F B R' U'
D' F U B R' F U'
D' F U B F R' U'
R2 F U' L F2 U B'
R2 F U' F2 L U B'
R2 F D' L D L B'
D' F B R' F U' F'
R2 F B L D' B' L2
R2 F B L B' D' L2
R2 F B L' D' L2 B'
R2 F B' L D' B' L2
R2 F B' L B' D' L2
R2 F B' L' D' L2 B'
R2 F B2 L D' B' L2
R2 F B2 L B' D' L2
R2 F B2 L' D' L2 B'
R2 F' L F2 D' B' L2
R2 F' L F2 B' D' L2
R2 F' L B' F2 D' L2
F' D' L2 F2 B R' U'
F' D' L2 B R' F2 U'
F' D' L2 B F2 R' U'
F D' U F2 B R' U'
F D' U B R' F2 U'
F D' U B F2 R' U'
R2 F2 L D' F' B' L
R2 F2 L D' B' L F'
R2 F2 L D' B' F' L
R2 F2 L F' D' B' L
F' D' F2 L2 B R' U'
F' D' F2 B L2 R' U'
F' D' F2 B R' L2 U'
F' D' B L2 R' F2 U'
F' D' B L2 F2 R' U'
F2 D' F2 B R' U' F
F' D' B R' L2 F2 U'
F' D' B R' F2 L2 U'
F' D' B F2 L2 R' U'
F' D' B F2 R' L2 U'
F2 D' B F2 R' U' F
F D' F2 B R' U' F2
F D' B R' F2 U' F2
F D' B F2 R' U' F2
L B L U' B2 R2 F'
L B L' U' R2 F B2
L B L' U' R2 B2 F
L B L' U' F R2 B2
L B L' U' F B2 R2
L B L' U' B2 R2 F
L B L' U' B2 F R2
D' B R' U' D R2 F
D' B R' U' D F R2
D' B R' D U' R2 F
D' B R' D U' F R2
D' B R' F2 L U' F'
D' B R' F2 L' U' F'
D' B R' F2 L2 U' F'
D' B R' F2 U' D F'
D' B R' F2 U' D' F'
D' B R' F2 U' D2 F'
D' B R' F2 U' F' D
D' B R' F2 U' F' D'
D' B R' F2 U' F' D2
D' B R' F2 D U' F'
D' B R' F2 D' U' F'
D' B R' F2 D2 U' F'
D B R2 F' R U' F2
B' F L R2 D B' L2
F' B L U' R2 F2 B'
F' B L U' R2 B' F2
F' B L U' F2 R2 B'
F' B L U' F2 B' R2
F' B L U' B' R2 F2
F' B L U' B' F2 R2
F2 B L U' F' R2 B'
F2 B L U' F' B' R2
F2 B L U' B' F' R2
B' F L' R2 D L2 B'
F' B L' U' F2 R2 B
D' B D R' U' R' F
D' B D R' U' F R'
D' B F R' F U' F'
B' F R2 L D B' L2
B' F R2 L' D L2 B'
R2 B F L D' B' L2
R2 B F L B' D' L2
R2 B F L' D' L2 B'
L B' L R2 D L2 F
L B' L' R2 D F L2
L B' L' R2 F D L2
L B' L' F R2 D L2
B F' L U' R2 F2 B'
B F' L U' R2 B' F2
B F' L U' F2 R2 B'
B F' L U' F2 B' R2
B F' L U' B' R2 F2
B F' L U' B' F2 R2
F B' L R2 D B' L2
L B' R2 L D L2 F
L B' R2 L' D F L2
L B' R2 L' F D L2
B F' L' U' F2 R2 B
F B' L' R2 D L2 B'
F B' R2 L D B' L2
F B' R2 L' D L2 B'
R2 B' F L D' B' L2
R2 B' F L B' D' L2
R2 B' F L' D' L2 B'
B F2 L U' F' R2 B'
B F2 L U' F' B' R2
B F2 L U' B' F' R2
R2 B2 F L D' B' L2
R2 B2 F L B' D' L2
R2 B2 F L' D' L2 B'
