L U B' R' U B L
B' R D F' U2 L' R
B' R D F' U2 R L'
F R D F' B' U2 R
F R D B' F' U2 R
F R D' F' B' L U2
F R D' B' L F' U2
F R D' B' F' L U2
F R F' D' B' L U2
F R B' D F' U2 R
B' R' U2 D' B L R'
B' R' U2 D' B R' L
B' R' D' U2 B L R'
B' R' D' U2 B R' L
B2 R' D' B R' F' L'
B2 R2 D F' L' R B
B2 R2 D F' R L' B
B2 R2 D F' R B L'
R D F' B' U2 L' R
R D F' B' U2 R L'
R D B' F' U2 L' R
R D B' F' U2 R L'
R D' F' B' L U2 L2
R D' B' L F' U2 L'
R D' B' F' L U2 L2
B' U2 R' D' B L R'
B' U2 R' D' B R' L
R F' D' B' L U2 L2
B' F R D F' U2 R
U2 B' R' U2 D' B R'
U2 B' R' D' U2 B R'
F B' R D F' U2 R
R B' D F' U2 L' R
R B' D F' U2 R L'
