R' F2 U' R F' L'
B2 L D' F B2 U F2
B2 L D' B2 F U F2
B2 L D2 F U R2 F2
B2 L D2 F U F2 R2
B2 L F U F2 D2 R2
B2 L F U' L2 U2 F2
B2 L' U L2 F U F2
R2 L' B U' R B2 U'
R2 L' B U' B2 R U'
L' R2 B U' R B2 U'
L' R2 B U' B2 R U'
R' U L' R U2 F' L'
R' U L' R' B U2 L
R' U L' B' R' B U2
R' U R L' U2 F' L'
R' U R' L' B U2 L
R' U R' B L' U2 L2
R' U B' L' R' B U2
R' U B' R' L' B U2
R' U B' R' B L' U2
R' U' R F2 R F L'
L' U' R' D B' L U'
R' U' F' L' R F' R
R' U' F' L' F' R F'
R' U' F' R L' F' R
R' U' F2 R F L' F2
F2 R' U F R2 B L
F2 R' U' R2 F' L' F2
F2 R' U' F' L' R2 F2
F2 R' U' F' L' F2 R2
F2 R' U' F' R2 L' F2
F2 R' D' F2 U' F' L'
D2 R' F2 U' R F' L'
D' R' F2 U' R F' L'
F2 R' F2 U' F' L' R2
F2 R' F2 U' F' R2 L'
D R' F2 U' R F' L'
L' U2 R' B' U' R F'
L' U2 F' U R' B' U'
R' U2 F2 U R F' L'
B U L' U2 F' L' B'
B U F2 R F B L
B U F2 R B F L
L D' F B2 L U F2
F U' R' F' U' L' F'
L D' B2 F L U F2
B U' F2 R F L' B'
L' F U' R' B' U' F2
R' F' U' R F' L' R
R' F' U' R F' R L'
R' F' U' F' L' R F'
R' F' U' F' R L' F'
R' F2 L' B' U' R F'
U' F2 R F L' D B2
U' F2 R F D L' B2
U' F2 R F D B2 L'
U' F2 R' U' R2 F L'
U' F2 R' U' F L' R2
U' F2 R' U' F R2 L'
R' F2 U' L R F' L'
R' F2 U' L' R F' L'
R' F2 U' L2 R F' L'
R' F2 U' R L F' L'
R' F2 U' R L' F' L'
R' F2 U' R L2 F' L'
R' F2 U' R D F' L'
R' F2 U' R D' F' L'
R' F2 U' R D2 F' L'
R' F2 U' R F' L' D
R' F2 U' R F' L' D'
R' F2 U' R F' L' D2
R' F2 U' R F' D L'
R' F2 U' R F' D' L'
R' F2 U' R F' D2 L'
L' F2 U' R' B' U' F
R' F2 B U' R F' L'
R' F2 B' U' R F' L'
R' F2 B2 U' R F' L'
R2 B L' U' R B' U'
R2 B L' U' B' R U'
B2 F L F U R F
R' B F2 U' R F' L'
F2 B U R F B L
F2 B U R B F L
R' B' F2 U' R F' L'
F B2 L F U R F
B F2 U R F B L
B F2 U R B F L
R' B2 F2 U' R F' L'
