U B' U' R'
R' U B' U' R'
R2 U B' U' R'
R U B' U' R'
U D B' U' R'
D U B' U' R'
D' U B' U' R'
D2 U B' U' R'
U D' B' U' R'
U D2 B' U' R'
U F B' U' R'
U F' B' U' R'
U F2 B' U' R'
U B' U' R' D
U B' U' R' D'
U B' U' R' D2
U B' U' D R'
U B' U' D' R'
U B' U' D2 R'
U B' D U' R'
U B' D' U' R'
U B' D2 U' R'
U B' F U' R'
U B' F' U' R'
U B' F2 U' R'
B' L F U' F' B
B' L F U' B F'
U2 L2 U F U R
U' L2 F L2 U R
R' U D B' U' R'
R' U D' B' U' R'
R2 U D B' U' R'
R U D B' U' R'
R' U D2 B' U' R'
R2 U D' B' U' R'
R U D' B' U' R'
R2 U D2 B' U' R'
R' U F B' U' R'
R U D2 B' U' R'
L U F B U' L
R2 U F B' U' R'
R' U F' B' U' R'
R U F B' U' R'
R' U F2 B' U' R'
R2 U F' B' U' R'
D' R U B' U' R'
D2 R U B' U' R'
R U F' B' U' R'
D R U B' U' R'
R2 U F2 B' U' R'
R U F2 B' U' R'
R' U B' U' R' D
R' U B' U' R' D'
R' U B' U' R' D2
R' U B' U' D R'
R' U B' U' D' R'
R' U B' U' D2 R'
R' U B' D U' R'
R' U B' D' U' R'
R' U B' D2 U' R'
L U B F U' L
R' U B' F U' R'
R' U B' F' U' R'
R' U B' F2 U' R'
R2 U B' U' R' D
R2 U B' U' R' D'
R2 U B' U' R' D2
R2 U B' U' D R'
R2 U B' U' D' R'
R2 U B' U' D2 R'
R2 U B' D U' R'
R2 U B' D' U' R'
R2 U B' D2 U' R'
R2 U B' F U' R'
R2 U B' F' U' R'
R2 U B' F2 U' R'
R U B' U' R' D
R U B' U' R' D'
R U B' U' R' D2
R U B' U' D R'
R U B' U' D' R'
R U B' U' D2 R'
R U B' D U' R'
R U B' D' U' R'
R U B' D2 U' R'
R U B' F U' R'
R U B' F' U' R'
R U B' F2 U' R'
L' U' D' B' U L
D2 R' U B' U' R'
D' R' U B' U' R'
D R' U B' U' R'
U2 R' U' F' B' U'
U2 R' U' B' F' U'
U R' B' R U' R2
D2 R2 U B' U' R'
D' R2 U B' U' R'
D R2 U B' U' R'
R' D U B' U' R'
U R2 B' R2 U' R
R2 D U B' U' R'
R D U B' U' R'
D2 U F B' U' R'
D' U F B' U' R'
D2 U F' B' U' R'
U D F B' U' R'
D U F B' U' R'
D' U F' B' U' R'
D2 U F2 B' U' R'
D U F' B' U' R'
D' U F2 B' U' R'
U D F' B' U' R'
D U F2 B' U' R'
U D F2 B' U' R'
D2 U B' U' R' D
D2 U B' U' R' D'
D2 U B' U' R' D2
D2 U B' U' D R'
D2 U B' U' D' R'
D2 U B' U' D2 R'
D2 U B' D U' R'
D2 U B' D' U' R'
D' U B' U' R' D
D' U B' U' R' D'
D' U B' U' R' D2
D' U B' U' D R'
D' U B' U' D' R'
D2 U B' D2 U' R'
D' U B' U' D2 R'
D2 U B' F U' R'
D' U B' D U' R'
D2 U B' F' U' R'
D2 U B' F2 U' R'
D' U B' D' U' R'
D' U B' D2 U' R'
D' U B' F U' R'
D' U B' F' U' R'
D' U B' F2 U' R'
D U B' U' R' D
D U B' U' R' D'
D U B' U' R' D2
D U B' U' D R'
D U B' U' D' R'
D U B' U' D2 R'
U D B' U' R' D
U D B' U' R' D'
U D B' U' R' D2
U D B' U' D R'
U D B' U' D' R'
U D B' U' D2 R'
D U B' D U' R'
D U B' D' U' R'
U D B' D U' R'
D U B' D2 U' R'
U D B' D' U' R'
D U B' F U' R'
