R B U L' U R
U2 L R2 D' F B2 L
U2 L R2 D' B2 F L
U2 L R2 F D' B2 L
L R D F2 L' B U2
L R D F2 B L' U2
L R D B F2 L' U2
R L D F2 L' B U2
R L D F2 B L' U2
R L D B F2 L' U2
L R D' B U2 B R
R L D' B U2 B R
R' L F' R' D' B2 L
L R B U L2 U R
R L B U L2 U R
L R B U2 R D' B2
L R B U2 D' R B2
L R B U2 D' B2 R
R L B U2 R D' B2
R L B U2 D' R B2
R L B U2 D' B2 R
L R B D F2 L' U2
L R B D' U2 R B2
L R B D' U2 B2 R
R L B D F2 L' U2
R L B D' U2 R B2
R L B D' U2 B2 R
L' R' U D2 L2 F' R'
R' L' U D2 L2 F' R'
L' R' U D2 F' L2 R'
L' R' U D2 F' R' L2
R' L' U D2 F' L2 R'
R' L' U D2 F' R' L2
L' R' U F' D2 L2 R'
L' R' U F' D2 R' L2
R' L' U F' D2 L2 R'
R' L' U F' D2 R' L2
R' L' U' R2 B U2 R
L' R' U' R2 B U2 R
F2 L' R' D F' R' B2
F2 L' R' F' D R' B2
R' L' D' F2 U R' F
R' L' D' F2 U F R'
L' R' D' F2 U R' F
L' R' D' F2 U F R'
R' L' D2 U L2 F' R'
R' L' D2 U F' L2 R'
R' L' D2 U F' R' L2
L' R' D2 U L2 F' R'
L' R' D2 U F' L2 R'
L' R' D2 U F' R' L2
U2 L' U' R B' U2 R
U L' U' R B U2 R
U2 L' U' B' R U2 R
L R' F' R' D' B2 L
R U L' R2 U F' R'
R U L' U R2 F' R'
R U L' U' B U2 R
R U R2 L' U F' R'
L' U F2 R2 D' L' F
F2 R U B U2 L' R
F2 R U B U2 R L'
F2 R U' L' R2 F' R'
F2 R U' R D2 L' F
F2 R U' R2 L' F' R'
R2 U' L' U' R' B U2
D2 R B L2 U L U
B' R B U L' U R
D' R B U' F2 R U'
B2 R B U L' U R
D R B U L' B U
D R B U B L' U
B R B U L' U R
F2 R' L' D F' R' B2
F2 R' L' F' D R' B2
F2 R' D L' F' R' B2
F' R' D F' L' R' B
F' R' D F' R' L' B
F' R' D F' R' B L'
F' R' F' L' R' D B2
F' R' F' R' L' D B2
F' R' F' R' D L' B2
F' R' F' R' D B2 L'
R2 U2 R' B U L' U
L' U2 R2 D B2 L F
L U2 R2 D' B2 L F
R U2 R2 F' D R' B
U2 R2 L D' F B2 L
U2 R2 L D' B2 F L
U2 R2 L F D' B2 L
U2 R2 B2 L D' F B2
U2 R2 B2 L D' B2 F
U2 R2 B2 L F D' B2
R' D F' D L2 R' B
R' D F' D R' L2 B
R' D F' D R' B L2
R D B U L' U R
R' D' L' F2 U R' F
R' D' L' F2 U F R'
R D' B U L' U R
R' D2 L' U L' F' R'
R' D2 F' L2 D R' B
R D2 B U L' U R
R' F' R' D' B2 L B'
R' F' R' B2 D' L B'
R' F' D R' D L2 B
R' F' D R' D B L2
R' F' D2 L2 D' R' B
D' F2 R U B U2 L'
R F2 L' B U' R U'
L' F2 R' U L' F' R'
R' F2 R' D F B2 L
R' F2 R' D B2 F L
R' F2 R' F D B2 L
R F2 B L' U' R U'
R B L U L2 U R
R B L U2 R D' B2
R B L U2 D' R B2
R B L U2 D' B2 R
R B L D F2 L' U2
R B L D' U2 R B2
R B L D' U2 B2 R
R B L2 U L U R
R B U L' U R D
R B U L' U R D'
R B U L' U R D2
R B U L' U D R
R B U L' U D' R
R B U L' U D2 R
R B U L' D U R
R B U L' D' U R
R B U L' D2 U R
R B U L' B U R
R B U L' B' U R
R B U L' B2 U R
R B U D L' U R
R B U D' L' U R
R B U D2 L' U R
R B U B L' U R
R B U B' L' U R
R B U B2 L' U R
R B U2 R U' L' U
R B D U L' U R
R B D' U L' U R
R B D2 U L' U R
R B F2 L' U' R U'
