U' L' B U' B2
U' B L' U' B'
U' L B L2 U' B'
B' L' R' B2 U' R'
U' L' U' B' D L2
B L' U' D' B2 R'
U' L' D B U' B2
U' L' D' B U' B2
B L' D' U' B2 R'
U' L' D2 B U' B2
U' L' B R U' B2
U' L' B R' U' B2
U' L' B R2 U' B2
U' L' B U' B2 D
U' L' B U' B2 D'
U' L' B U' B2 D2
U' L' B D' R2 U'
B' R' L' B2 U' R'
U' D L' B U' B2
U' D B L' U' B'
U' D' L' B U' B2
D2 U' L' B U' B2
D' U' L' B U' B2
D U' L' B U' B2
B' U' L' R' B2 U'
B' U' R' L' B2 U'
B' U' R' B2 L' U'
U' D' B L' U' B'
D2 U' B L' U' B'
D' U' B L' U' B'
D U' B L' U' B'
U' D2 L' B U' B2
U' D2 B L' U' B'
U' B L' R U' B'
U' B L' R' U' B'
U' B L' R2 U' B'
U' B L' U' D B'
U' B L' U' D' B'
U' B L' U' D2 B'
U' B L' U' B' D
U' B L' U' B' D'
U' B L' U' B' D'
U' B L' U' B' D2
U' B L' D U' B'
U' B L' D' U' B'
U' B L' D2 U' B'
U' B R L' U' B'
U' B R' L' U' B'
U' B R2 L' U' B'
U' B D L' U' B'
U' B D' L' U' B'
U' B D2 L' U' B'
U' B' L' B2 U' B
U' L B L2 R U' B'
U' L B L2 R' U' B'
U' L B L2 R2 U' B'
U' L B L2 U' D B'
U' L B L2 U' D' B'
U' L B L2 U' D2 B'
U' L B L2 U' B' D
U' L B L2 U' B' D'
U' L B L2 U' B' D2
U' L B L2 D U' B'
U' L B L2 D' U' B'
U' L B L2 D2 U' B'
U' L B R L2 U' B'
U' L B R' L2 U' B'
U' L B R2 L2 U' B'
U' L B' L2 B2 U' B
U' L' R U' D B' L
U' L' R D U' B' L
B L' R U' D' B2 R'
B L' R D' U' B2 R'
B' L' R B2 R2 U' R
U' L' R' U' B L B2
U2 L' R' U' R B L
B L' R' U' D' B2 R'
B' L' R' F B2 U' R'
B L' R' D' U' B2 R'
B' L' R' F' B2 U' R'
B' L' R' F2 B2 U' R'
B' L' R' B2 U' R' D
B' L' R' B2 U' R' D'
B' L' R' B2 U' R' D2
B' L' R' B2 U' D R'
B' L' R' B2 U' D' R'
B' L' R' B2 U' D2 R'
B' L' R' B2 D U' R'
B' L' R' B2 D' U' R'
U' L' R' B2 U' B L
B' L' R' B2 D2 U' R'
B' L' R' B2 F U' R'
B' L' R' B2 F' U' R'
B' L' R' B2 F2 U' R'
U' L' R2 U2 F' U B'
B L' R2 U' D' B2 R'
B L' R2 D' U' B2 R'
B' L' R2 B2 R U' R2
B L' U L U L U
B L' U D L F2 U2
B L' U D F2 L U2
B L' U D' L U2 B2
B L' U' R D' B2 R'
U' L' U' D B' D L2
U' L' U' D' B' D L2
B L' U' R' D' B2 R'
U' L' U' D2 B' D L2
B L' U' R2 D' B2 R'
B L' U' D' R B2 R'
B L' U' D' R' B2 R'
B L' U' D' R2 B2 R'
B L' U' D' B2 R' D
B L' U' D' B2 R' D'
B L' U' D' B2 R' D2
B L' U' D' B2 D R'
B L' U' D' B2 D' R'
B L' U' D' B2 D2 R'
U' L' U' B' L D L2
U' L' U' B' L' D L2
U' L' U' B' L2 D L2
U' L' U' B' U B2 U'
U' L' U' B' D L2 D
U' L' U' B' D L2 D'
U' L' U' B' D L2 D2
B L' U' B2 R' D' B2
B L' U' B2 D' R' B2
B L' U2 L2 U' L' U2
B L' U2 B2 L2 U R'
U' L' D U' B' D L2
B L' D U L F2 U2
B L' D U F2 L U2
U' L' D B R U' B2
U' L' D B R' U' B2
U' L' D B R2 U' B2
U' L' D B U' B2 D
U' L' D B U' B2 D'
U' L' D B U' B2 D2
U' L' D B D' R2 U'
B L' D' R U' B2 R'
U' L' D' U' B' D L2
B L' D' R' U' B2 R'
B L' D' R2 U' B2 R'
B L' D' U L U2 B2
B L' D' U' R B2 R'
B L' D' U' R' B2 R'
B L' D' U' R2 B2 R'
B L' D' U' B2 R' D
B L' D' U' B2 R' D'
B L' D' U' B2 R' D2
B L' D' U' B2 D R'
B L' D' U' B2 D' R'
B L' D' U' B2 D2 R'
U' L' D' B R U' B2
U' L' D' B R' U' B2
U' L' D' B R2 U' B2
U' L' D' B U' B2 D
U' L' D' B U' B2 D'
U' L' D' B U' B2 D2
U' L' D' B D' R2 U'
B L' D' F U' B2 R'
B L' D' F' U' B2 R'
B L' D' F2 U' B2 R'
U' L' D2 U' B' D L2
B L' D2 R2 U L U2
U' L' D2 B R U' B2
U' L' D2 B R' U' B2
U' L' D2 B R2 U' B2
U' L' D2 B U' B2 D
U' L' D2 B U' B2 D'
U' L' D2 B U' B2 D2
U' L' D2 B D' R2 U'
B' L' F R' B2 U' R'
B L' F U' D' B2 R'
U2 L' F B R U' R'
B L' F D' U' B2 R'
B' L' F' R' B2 U' R'
B L' F' U' D' B2 R'
B L' F' D' U' B2 R'
B' L' F2 R' B2 U' R'
B L' F2 U' D' B2 R'
B L' F2 D' U' B2 R'
U' L' B R U' B2 D
U' L' B R U' B2 D'
U' L' B R U' B2 D2
U' L' B R D' R2 U'
U' L' B R' U' B2 D
U' L' B R' U' B2 D'
U' L' B R' U' B2 D2
U' L' B R' D' R2 U'
U' L' B R2 U' B2 D
U' L' B R2 U' B2 D'
U' L' B R2 U' B2 D2
U' L' B R2 D' R2 U'
U2 L' B R' U' R B
U' L' B U D2 F2 U2
U' L' B U F U2 B2
U' L' B U F' U2 B2
U' L' B U F2 U2 B2
U' L' B U' L B2 L'
U' L' B U' L2 B2 L2
U' L' B U' R' B2 R
U' L' B U' R2 B2 R2
U' L' B U' B D B
U' L' B U' B D' B
U' L' B U' B D2 B
U' L' B U' B' D B'
U' L' B U' B' D' B'
U' L' B U' B' D2 B'
U' L' B U2 L U B2
U' L' B U2 L' U B2
U' L' B U2 L2 U B2
U' L' B U2 D L2 U
U' L' B D U2 L2 U
U' L' B D' R2 U' D
U' L' B D' R2 U' D'
U' L' B D' R2 U' D2
U' L' B D' R2 D U'
U' L' B D' R2 D' U'
U' L' B D' R2 D2 U'
U' L' B D2 U F2 U2
U2 L' B F R U' R'
U' L' B' R B2 U' B2
U' L' B' R' B2 U' B2
U' L' B' R2 B2 U' B2
B' L' B2 U2 L U R'
U' L' B2 U' B D L2
U' L' B2 D B' U' B2
U' L' B2 D' B' U' B2
U' L' B2 D2 B' U' B2
U' L2 D' L B R' U'
B L2 D F2 L R U'
B L2 D F2 R L U'
U' R L' U' D B' L
U' R L' D U' B' L
B R L' U' D' B2 R'
B R L' D' U' B2 R'
B' R L' B2 R2 U' R
B' R U' L' R2 B2 U'
B' R U' L' B2 R2 U'
R2 U F2 R F U B
B' R U' R2 L' B2 U'
B' R U' R2 B2 L' U'
R U F2 R F' U B
B' R U' B2 L' R2 U'
B' R U' B2 R2 L' U'
U' R D L' U' B' L
R2 U' L' R2 B U' B2
R' U' L' B U' L B2
R2 U' L' U2 F' U B'
R U' L' R' B U' B2
R U' L' U' D B' L
R U' L' D U' B' L
R U' R' L' B U' B2
R2 U' R2 L' B U' B2
R U' R' B L' U' B'
R2 U' R2 B L' U' B'
R U' D L' U' B' L
U' R' L' U' B L B2
U2 R' L' U' R B L
B' R' L' F B2 U' R'
B' R' L' F' B2 U' R'
B' R' L' F2 B2 U' R'
B R' L' U' D' B2 R'
B' R' L' B2 U' R' D
B' R' L' B2 U' R' D'
B' R' L' B2 U' R' D2
B' R' L' B2 U' D R'
B' R' L' B2 U' D' R'
B' R' L' B2 U' D2 R'
B' R' L' B2 D U' R'
B' R' L' B2 D' U' R'
B' R' L' B2 D2 U' R'
U' R' L' B2 U' B L
B' R' L' B2 F U' R'
B' R' L' B2 F' U' R'
B' R' L' B2 F2 U' R'
B R' L' D' U' B2 R'
B' R' U' L' B2 U' B2
R' U' B L' U' B' L2
B' R' U' B2 L' U' B2
R' U' B2 L' U' B' L
B' R' B2 L' U L U2
U' R2 L' U2 F' U B'
B R2 L' U' D' B2 R'
B' R2 L' B2 R U' R2
B R2 L' D' U' B2 R'
F' R2 U F' R U B
B' R2 U' L' R B2 U'
B' R2 U' L' B2 R U'
B' R2 U' R L' B2 U'
B' R2 U' R B2 L' U'
B' R2 U' B2 L' R U'
B' R2 U' B2 R L' U'
R D U' L' U' B' L
U' D L B L2 U' B'
B U L U2 L2 U' L2
U' D L' U' B' D L2
U' D L' D B U' B2
U' D L' D' B U' B2
U' D L' D2 B U' B2
U' D L' B R U' B2
U' D L' B R' U' B2
U' D L' B R2 U' B2
U' D L' B U' B2 D
U' D L' B U' B2 D'
U' D L' B U' B2 D2
U' D L' B D' R2 U'
F2 U R2 F' R' U B
U' D B L' R U' B'
U' D B L' R' U' B'
U' D B L' R2 U' B'
U' D B L' U' D B'
U' D B L' U' D' B'
U' D B L' U' D2 B'
U' D B L' U' B' D
U' D B L' U' B' D'
U' D B L' U' B' D2
U' D B L' D U' B'
U' D B L' D' U' B'
U' D B L' D2 U' B'
U' D B R L' U' B'
U' D B R' L' U' B'
U' D B R2 L' U' B'
U' D B D L' U' B'
U' D B D' L' U' B'
U' D B D2 L' U' B'
U' D B' L' B2 U' B
D' U' L B L2 U' B'
U' D' L B L2 U' B'
D2 U' L B L2 U' B'
U' D' L' U' B' D L2
D' U' L' U' B' D L2
D2 U' L' U' B' D L2
D' U' L' D B U' B2
U' D' L' D B U' B2
U' D' L' D' B U' B2
D' U' L' D' B U' B2
D2 U' L' D B U' B2
U' D' L' D2 B U' B2
D' U' L' D2 B U' B2
D2 U' L' D' B U' B2
D2 U' L' D2 B U' B2
U' D' L' B R U' B2
D' U' L' B R U' B2
U' D' L' B R' U' B2
D' U' L' B R' U' B2
U' D' L' B R2 U' B2
D' U' L' B R2 U' B2
U' D' L' B U' B2 D
U' D' L' B U' B2 D'
