U F R B U2 R'
B L U' R' B L B'
B L U' D2 R' B L
B L U' B L B' R'
B L D2 U' R' B L
L R B L U' R' B'
L2 R B L U' R' B2
R L B L U' R' B'
U' L F B L R' B'
U' L F B R' L B'
U' L B R' F L B'
U' L B F L R' B'
U' L B F R' L B'
U L' B R' F' L' B'
U' L' B' L R' F U2
U' L' B' L F R' U2
U' L' B' R' L F U2
D L2 U B' R' F' L'
R L2 B L U' R' B2
U L2 B R' F' L' B2
U L2 B R' F' B2 L'
U L2 B R' B2 F' L'
L2 U B R' F' L' B2
L2 U B R' F' B2 L'
L2 U B R' B2 F' L'
U R F B R U2 R2
U R B F R U2 R2
L2 U' B L R' F B2
L2 U' B L R' B2 F
L2 U' B L F R' B2
L2 U' B R' L F B2
L2 U' B R' L B2 F
L U' B L R' F B'
L U' B L R' B' F
L U' B L F R' B'
L U' B R' L F B'
L U' B R' L B' F
B' R' F' U D2 B2 R'
B' R' F' U' L F2 U2
B' R' F' U' F2 L U2
B' R' F' D2 U B2 R'
D2 U F L' R B U2
D2 U F R L' B U2
D2 U F R B L' U2
D2 U' F L' B' R' U2
F2 U' R2 B L R' F
F2 U' R2 B L F R'
F2 U' R2 B R' L F
U' D2 F L' B' R' U2
U D2 F L' R B U2
U D2 F R L' B U2
U D2 F R B L' U2
U' F L' B' L R' U2
U' F L' B' R' L U2
U F L R B U2 R'
U F L' R B U2 R'
U F L2 R B U2 R'
U F R L B U2 R'
U F R L' B U2 R'
U F R L2 B U2 R'
U F R B L U2 R'
U F R B L' U2 R'
U F R B L2 U2 R'
U F R B U2 R' D
U F R B U2 R' D'
U F R B U2 R' D2
U F R B U2 D R'
U F R B U2 D' R'
U F R B U2 D2 R'
U F R B D U2 R'
U F R B D' U2 R'
U F R B D2 U2 R'
U F R B' L B2 U2
U' F B U2 L R' F'
U' F B U2 R' L F'
U' F B U2 R' F' L
U' F B' L R' U2 F
U' F B' R' L U2 F
U F B R U2 R2 F'
U F B R B U2 R2
U F B' L R B U2
U F B' R L B U2
U F B2 R B L U2
U' F2 R2 B L R' F
U' F2 R2 B L F R'
U' F2 R2 B R' L F
U' B L D2 R' F B
U' B L D2 R' B F
U' B L D2 F R' B
U' B L F D2 R' B
U' B L2 R' B' L' F
R B L U' D2 R' B
R B L D2 U' R' B
U B L' R' F' L' B'
U' B R' L2 B' L' F
U B L2 R' F' B' L'
U B L2 R' B' F' L'
U B R' L' F' L' B'
U B R' L2 F' B' L'
U B R' L2 B' F' L'
U B R' F' L' D2 B2
U B R' F' D2 L' B2
U B R' F' D2 B2 L'
U' B F U2 L R' F'
U' B F U2 R' L F'
U' B F U2 R' F' L
U B F R U2 R2 F'
U B F R B U2 R2
U' B' R' F L U2 F
U' B' F L R' U2 F
U' B' F R' L U2 F
U B' F L R B U2
U B' F R L B U2
U B2 L2 B' R' F' L'
U B2 F R B L U2
