D' R U2 F' B R2
D' R U2 B F' R2
D' L R U2 F' B R2
D' L R U2 B F' R2
D L R B' U2 R2 B2
D L R B' U2 B2 R2
D L B' R U2 B R'
D' L' R U2 F' B R2
D' L' R U2 B F' R2
D L' R U2 F B R2
D L' R U2 B R2 F
D L' R U2 B F R2
D L' R' F D2 L2 B2
D L' R' F D2 B2 L2
F2 L' D' R F' B R2
F2 L' D' R B F' R2
D' L2 R U2 F' B R2
D' L2 R U2 B F' R2
D' R L U2 F' B R2
D' R L U2 B F' R2
D' R L' U2 F' B R2
D' R L' U2 B F' R2
D R L B' U2 R2 B2
D R L B' U2 B2 R2
D R L' U2 F B R2
D R L' U2 B R2 F
D R L' U2 B F R2
D' R L2 U2 F' B R2
D' R L2 U2 B F' R2
B' R U' L U' B R'
D' R U2 F B R2 F2
D' R U2 F' B R2 D
D' R U2 F' B R2 D'
D' R U2 F' B R2 D2
D' R U2 F' B' R2 B2
D' R U2 F' B2 R2 B'
D' R U2 F2 B R2 F
D' R U2 B F R2 F2
D' R U2 B F' R2 D
D' R U2 B F' R2 D'
D' R U2 B F' R2 D2
D' R U2 B F2 R2 F
D' R U2 B' F' R2 B2
D' R U2 B2 F' R2 B'
D' R D2 L2 U2 F' B
D' R D2 L2 U2 B F'
D' R F U2 F2 B R2
D' R F U2 B R2 F2
D' R F U2 B F2 R2
D' R F' B R2 D2 L2
D' R F2 U2 F B R2
D' R F2 U2 B R2 F
D' R F2 U2 B F R2
D' R B F' R2 D2 L2
D' R B' U2 F' R2 B2
D' R B' U2 F' B2 R2
D' R B' U2 B2 F' R2
D' R B2 U2 F' R2 B'
D' R B2 U2 F' B' R2
D' R B2 U2 B' F' R2
D R' L' F D2 L2 B2
D R' L' F D2 B2 L2
D' R' U2 R2 U2 F' B
D' R' U2 R2 U2 B F'
D' R' U2 F' R2 U2 F'
D' R' U2 F' B R2 U2
D' R' U2 B R2 U2 B
D' R' U2 B F' R2 U2
F2 R' D L' F D2 B2
D' R' F D2 B2 L2 F
D' R' F' R2 U2 F' R2
D' R' F' B R2 U2 R2
D' R' B R2 U2 B R2
D' R' B F' R2 U2 R2
D' R' B' D2 F2 L2 B'
R U2 B R D' R F2
R U2 B R2 U' R U
R U2 B U' R' U R'
U2 D F2 L' R' F B'
U2 D F2 L' R' B' F
U2 D F2 L' F R' B'
U2 D F2 R' L' F B'
U2 D F2 R' L' B' F
L' D' R U2 F' B R2
L' D' R U2 B F' R2
L2 D' R U2 F' B R2
L2 D' R U2 B F' R2
L D' R U2 F' B R2
L D' R U2 B F' R2
D U2 F2 L' R' F B'
D U2 F2 L' R' B' F
D U2 F2 L' F R' B'
D U2 F2 R' L' F B'
D U2 F2 R' L' B' F
F2 U2 R' D L' F B'
F2 U2 R' D L' B' F
F2 U2 D L' R' F B'
F2 U2 D L' R' B' F
F2 U2 D L' F R' B'
F2 U2 D R' L' F B'
F2 U2 D R' L' B' F
F2 D L' R F B R2
F2 D L' R B R2 F
F2 D L' R B F R2
F2 D L' R' F D2 B2
F2 D L' F R B R2
F2 D R L' F B R2
F2 D R L' B R2 F
F2 D R L' B F R2
F2 D R B L' R2 F
F2 D R B L' F R2
F2 D R B R2 L' F
F2 D R' L' F D2 B2
F2 D U2 L' R' F B'
F2 D U2 L' R' B' F
F2 D U2 L' F R' B'
F2 D U2 R' L' F B'
F2 D U2 R' L' B' F
D' F' R F' L' B R2
D' F' R F' B L' R2
D' F' R F' B R2 L'
D' F' R B F' L' R2
D' F' R B F' R2 L'
F2 D' L' R F' B R2
F2 D' L' R B F' R2
F2 D' R L' F' B R2
F2 D' R L' B F' R2
F' D' R F' L' B R2
F' D' R F' B L' R2
F' D' R F' B R2 L'
F' D' R B F' L' R2
F' D' R B F' R2 L'
F2 D' R B L' F' R2
D' F2 L' R F' B R2
D' F2 L' R B F' R2
D F2 L' R F B R2
D F2 L' R B R2 F
D F2 L' R B F R2
D F2 L' R' F D2 B2
D F2 L' F R B R2
D' F2 R L' F' B R2
D' F2 R L' B F' R2
D' F2 R B L' F' R2
D F2 R L' F B R2
D F2 R L' B R2 F
D F2 R L' B F R2
U2 F2 R' D L' F B'
U2 F2 R' D L' B' F
D F2 R B L' R2 F
D F2 R B L' F R2
D F2 R B R2 L' F
D F2 R' L' F D2 B2
D F2 U2 L' R' F B'
D F2 U2 L' R' B' F
D F2 U2 L' F R' B'
D F2 U2 R' L' F B'
D F2 U2 R' L' B' F
U2 F2 D L' R' F B'
U2 F2 D L' R' B' F
U2 F2 D L' F R' B'
U2 F2 D R' L' F B'
U2 F2 D R' L' B' F
U F2 D L' R' F B
U F2 D L' R' B F
U F2 D L' F R' B
U F2 D R' L' F B
U F2 D R' L' B F
U F2 D R' B L' F
D' B' R U2 F' B R'
D' B' R U2 B F' R'
R B' U' L U' R2 B2
R B' U' L U' B2 R2
D' B2 L R U2 F' B
D' B2 L R U2 B F'
D B2 L R B' U2 B2
D B2 L B' R U2 B
D' B2 R L U2 F' B
D' B2 R L U2 B F'
D B2 R L B' U2 B2
