R D' B U' F' B
R D' B U' B F'
R' D2 R2 B U' F'
R B U' D' F' B2
R B U' D' B2 F'
R B U' F' D' B2
R B U2 L2 U F'
R B D' U' F' B2
R B D' U' B2 F'
U2 L R F L U F2
U2 L F L R U F'
U2 L F R L U F'
L' R B U2 L' U F'
R2 L B2 R' B U' F'
D2 L' R B R U' F
D2 L' R2 U' D' F L'
D2 L' R2 D' U' F L'
R L' B U2 L' U F'
F2 L' F2 R B U' F'
L R2 B2 R' B U' F'
U2 R L F L U F2
D2 R L' B R U' F
R' U B U L2 F' U
R' U B U F' L2 U
U R D F2 U2 F L'
B' R D' B U' F' B
B' R D' B U' B F'
B2 R D' B U' F' B
B2 R D' B U' B F'
B R D' B U' F' B
B R D' B U' B F'
U R D' F' L' B2 R'
D2 R D2 B R U' F'
L2 U' R U2 F' L' R'
L2 U' R U2 F' R' L'
U R F' D' L' B2 R'
D2 R B L' R U' F
D2 R B R L' U' F
B' R B U' D' F' B2
B' R B U' D' B2 F'
B' R B U' F' D' B2
B' R B U2 L2 U F'
L2 U' R' B U2 L R
L2 U' R' B U2 R L
D2 R B D2 R U' F'
B' R B D' U' F' B2
B' R B D' U' B2 F'
B2 R B U' D' F' B2
B2 R B U' D' B2 F'
B2 R B U' F' D' B2
B2 R B U2 L2 U F'
B2 R B D' U' F' B2
B2 R B D' U' B2 F'
B R B U' D' F' B2
B R B U' D' B2 F'
B R B U' F' D' B2
B R B U2 L2 U F'
B R B D' U' F' B2
B R B D' U' B2 F'
R' U' F D' B2 L2 F
D' R' U2 F' R U B2
L2 U' B' R' B U2 R
L U2 L R F U F2
B' R' D2 R2 B U' F'
B2 R' D2 R2 B U' F'
U R' D' B U2 B L
L U2 L F R U F'
B R' D2 R2 B U' F'
R' U2 L2 F' R2 U F'
R' U2 L2 F' U' B U2
R U2 L2 U2 B U' F'
L U2 R L F U F2
D2 R2 L' U' D' F L'
D2 R2 L' D' U' F L'
R' U2 F' L2 R2 U F'
