U L' F' B2 U L'
U L' B2 F' U L'
R' U L' F' B2 U
R' U L' B2 F' U
R' U B2 L' F' U
U B2 L' F' U L'
R' L U L2 F' B2 U
R' L U L2 B2 F' U
R' L U F' L2 B2 U
R' L U F' B2 L2 U
R' L U B2 L2 F' U
R' L U B2 F' L2 U
L R U B2 L2 F U
R L U B2 L2 F U
U2 L U' F L2 B2 U
U2 L U' F B2 L2 U
U2 L U' B2 F L2 U
U2 L F L2 B2 U F'
U2 L F B2 L2 U F'
U L F' B2 L2 U L
L2 R' U L F' B2 U
L2 R' U L B2 F' U
L R' U L2 F' B2 U
L R' U L2 B2 F' U
L' R' U F' B2 U B2
R' L' U F' B2 U B2
L R' U F' L2 B2 U
L2 R' U F' L B2 U
L R' U F' B2 L2 U
L' R' U B2 F' U B2
R' L' U B2 F' U B2
L R' U B2 L2 F' U
L R' U B2 F' L2 U
U L B2 L2 F' U L'
U2 L B2 F L2 U F'
U L B2 F' L2 U L
B2 L' R D' R2 F' U
B2 L' R' D' F' R2 U
B2 L' R' D2 F' U F'
B2 L' R' F' U D2 F2
B2 L' R' F' U' B2 U2
B2 L' R' F' D' R2 U
B2 L' R' F' D2 U F2
B2 L' U D2 F' L' F'
B2 L' U F D2 F2 L'
B2 L' U F' L' D2 F2
B2 L' U F' D2 L' F2
B2 L' U' B' R' B' U2
R' L' F' B2 U D2 F2
R' L' F' B2 U' B2 U2
R' L' F' B2 D' R2 U
R' L' F' B2 D2 U F2
L' R' F' B2 U D2 F2
L' R' F' B2 U' B2 U2
L' R' F' B2 D' R2 U
L' R' F' B2 D2 U F2
B2 L' D' R' F' R' U
B L' D' B R' F' U
U L' D' F' U L' R2
U L' D' F' U R2 L'
B2 L' D2 R' F' U F'
B2 L' D2 U F' L' F'
B2 L' D2 F' U F' L'
R' L' B2 D' F' R2 U
L' R' B2 D' F' R2 U
R' L' B2 D2 F' U F'
L' R' B2 D2 F' U F'
R' L' B2 F' U D2 F2
R' L' B2 F' U' B2 U2
R' L' B2 F' D' R2 U
L' R' B2 F' U D2 F2
R' L' B2 F' D2 U F2
L' R' B2 F' U' B2 U2
L' R' B2 F' D' R2 U
L' R' B2 F' D2 U F2
R' L2 U L F' B2 U
R' L2 U L B2 F' U
U L' F B2 U' R U2
R' L2 U F' L B2 U
U L' F' U L' D' R2
U L' F' U D' L' R2
U L' F' U D' R2 L'
U L' F' D' U L' R2
U L' F' D' U R2 L'
U L' F' B2 U L' D
U L' F' B2 U L' D'
U L' F' B2 U L' D2
U L' F' B2 U D L'
U L' F' B2 U D' L'
U L' F' B2 U D2 L'
U L' F' B2 D U L'
U L' F' B2 D' U L'
U L' F' B2 D2 U L'
B L' B U F' L' F
D' L' B' U R2 F' L'
U2 L' B2 R2 F' U F
U L' B2 U2 B U' L
U L' B2 D F' U L'
U L' B2 D' F' U L'
U L' B2 D2 F' U L'
U L' B2 F U' R U2
U L' B2 F' U L' D
U L' B2 F' U L' D'
U L' B2 F' U L' D2
U L' B2 F' U D L'
U L' B2 F' U D' L'
U L' B2 F' U D2 L'
U L' B2 F' D U L'
U L' B2 F' D' U L'
U L' B2 F' D2 U L'
D L2 R' U L F' U
D L2 R' U F' L U
D L2 U L F' U L'
D L2 U F' L U L2
R' U L F' L2 B2 U
R' U L F' B2 L2 U
R' U L B2 L2 F' U
R' U L B2 F' L2 U
L2 U L F' B2 U L'
L2 U L B2 F' U L'
R' U L' D' F' U R2
R' U L' F' U D' R2
R' U L' F' D' U R2
R U L B2 L2 F U
R' U L' F' B2 U D
R' U L' F' B2 U D'
R' U L' F' B2 U D2
R' U L' F' B2 D U
R' U L' F' B2 D' U
R' U L' F' B2 D2 U
R' U L' B2 D F' U
R' U L' B2 D' F' U
R' U L' B2 D2 F' U
R' U L' B2 F' U D
R' U L' B2 F' U D'
R' U L' B2 F' U D2
R' U L' B2 F' D U
R' U L' B2 F' D' U
R' U L' B2 F' D2 U
R' U L2 F' L B2 U
R U L' B2 U2 B' U'
L U L2 F' B2 U L'
U L2 F' L B2 U L2
L U L2 B2 F' U L'
R' U D' L' F' U R2
B2 R L' D' R2 F' U
L2 U F' L B2 U L2
L' U F' B2 U L' B2
L' U F' B2 U B2 L'
L U F' B2 L2 U L
R' U B L' F' B U
R' U B L' B F' U
D2 R U' F2 B R U'
D2 R U' B F2 R U'
R' U B2 L F' L2 U
R' U B2 L' D F' U
R' U B2 L' D' F' U
R' U B2 L' D2 F' U
R' U B2 L' F' U D
R' U B2 L' F' U D'
R' U B2 L' F' U D2
R' U B2 L' F' D U
R' U B2 L' F' D' U
R' U B2 L' F' D2 U
R' U B2 L2 F' L U
R' U B2 D L' F' U
R' U B2 D' L' F' U
R' U B2 D2 L' F' U
B2 R D' L' R2 F' U
L U B2 L2 F' U L'
L' U B2 F' U L' B2
L' U B2 F' U B2 L'
R U B2 L2 F L U
B2 R D' R2 L' F' U
R2 U B2 D2 L' F U
L U B2 F' L2 U L
R' U' L' F' B2 R' U
R' U' L' B2 F' R' U
B2 R' L' D' F' R2 U
B2 R' L' D2 F' U F'
B2 R' L' F' U D2 F2
B2 R' L' F' U' B2 U2
B2 R' L' F' D' R2 U
B2 R' L' F' D2 U F2
R U' D2 F2 B R U'
R U' D2 B F2 R U'
D R' L2 U L F' U
D R' L2 U F' L U
D' R' U L' F' U R'
R U' B U2 L' B U
R U' B U2 B L' U
B2 R' D' L' F' R2 U
B2 R' D2 L' F' U F'
L2 U2 L F B2 U F'
L2 U2 L B2 F U F'
R' U2 L' F' B2 U F
R' U2 L' B2 F' U F
R' U2 B2 L' F' U F
B2 R2 D2 L' F U F
R' D L2 U L F' U
R' D L2 U F' L U
D' U L' F' U L' R2
D' U L' F' U R2 L'
F2 U F' B2 U L' B'
R' D' U L' F' U R2
F2 U B2 F' U L' B'
U D' L' F' U L' R2
U D' L' F' U R2 L'
L' D' B' U R2 F' L'
D2 U' F2 R B U' L
D2 U' F2 B R U' L
D2 U' B F2 R U' L
R D2 U' F2 B R U'
R D2 U' B F2 R U'
U' D2 F2 R B U' L
U' D2 F2 B R U' L
U' D2 B F2 R U' L
B2 D L' U2 L' B' U'
U F B2 U' R U2 B
B2 D' L' R' F' R' U
B2 D' R' L' F' R' U
B2 D' R2 D2 L' F U
D2 F2 R B L2 U' F
D2 F2 R B U B' U2
B2 D2 L' R' F' U F'
B2 D2 L' U F' L' F'
B2 D2 L' F' U F' L'
B2 D2 R' L' F' U F'
U B L' F' B U L'
U B L' B F' U L'
U' B U2 L' B U L2
D' B' L' U R2 F' L'
R' B2 L' D' F' R2 U
R' B2 L' D2 F' U F'
U2 B2 L F L2 U F'
R' B2 L' F' U D2 F2
R' B2 L' F' U' B2 U2
R' B2 L' F' D' R2 U
R' B2 L' F' D2 U F2
U B2 L F' L2 U L
L' B2 R D' R2 F' U
U B2 L' U2 B U' L
U B2 L' D F' U L'
U B2 L' D' F' U L'
U B2 L' D2 F' U L'
U B2 L' F U' R U2
U B2 L' F' U L' D
U B2 L' F' U L' D'
U B2 L' F' U L' D2
U B2 L' F' U D L'
U B2 L' F' U D' L'
U B2 L' F' U D2 L'
U B2 L' F' D U L'
U B2 L' F' D' U L'
U B2 L' F' D2 U L'
L' B2 R' D' F' R2 U
L' B2 R' D2 F' U F'
L' B2 R' F' U D2 F2
L' B2 R' F' U' B2 U2
L' B2 R' F' D' R2 U
L' B2 R' F' D2 U F2
U B2 L2 F' L U L2
L' B2 U D2 F' L' F'
L' B2 U F D2 F2 L'
L' B2 U F' L' D2 F2
L' B2 U F' D2 L' F2
L' B2 U' B' R' B' U2
R' B2 D' L' F' R2 U
L' B2 D' R' F' R' U
R' B2 D2 L' F' U F'
U B2 D L' F' U L'
L' B2 D2 R' F' U F'
L' B2 D2 U F' L' F'
L' B2 D2 F' U F' L'
U B2 D' L' F' U L'
R2 B2 D2 L' F U F
U B2 D2 L' F' U L'
U B2 F U' R U2 B
