F' R2 U F' B' R'
F' R2 U B' F' R'
F' U R' B' R' F'
F' U R2 F' B' R'
F' U R2 B' F' R'
F' U B' R' D2 F2
F' U B' D2 R' F2
F' U B' D2 F2 R'
B L' U F' B' U B'
B L' U B' F' U B'
B2 L2 F D' L2 B R'
B2 L2 F D' B L2 R'
B2 L2 F D' B R' L2
R U R F' B' L' R'
R U R F' B' R' L'
R U R B' F' L' R'
R U R B' F' R' L'
R U R2 B' R' F' L'
F' R U R F' B' R'
F' R U R B' F' R'
F' R U R2 B' R' F'
F' R U B' R F' R2
R2 U F' B' R' D L2
R2 U F' B' D L2 R'
R2 U F' B' D R' L2
R2 U B U' F' B2 R'
R2 U B U' B2 F' R'
R U B' R F' L' R2
R U B' R F' R2 L'
R2 U B' D L2 F' R'
R2 U B' D F' L2 R'
R2 U B' D F' R' L2
R2 U B' F' R' D L2
R2 U B' F' D L2 R'
R2 U B' F' D R' L2
U R' D B' L R' F'
U R' D B' R' L F'
U R' D B' R' F' L
F' R2 U R B' R' F'
F' R2 U D F' B' R'
F' R2 U D B' F' R'
F' R2 U D' F' B' R'
F' R2 U D' B' F' R'
F' R2 U D2 F' B' R'
F' R2 U D2 B' F' R'
F' R2 U F B' R' F2
F' R2 U F' R B' R'
F' R2 U F' R' B' R'
F' R2 U F' R2 B' R'
F' R2 U F' D B' R'
F' R2 U F' D' B' R'
F' R2 U F' D2 B' R'
F' R2 U F' B' R' D
F' R2 U F' B' R' D'
F' R2 U F' B' R' D2
F' R2 U F' B' D R'
F' R2 U F' B' D' R'
F' R2 U F' B' D2 R'
F' R2 U F2 B' R' F
F' R2 U B' D F' R'
F' R2 U B' D' F' R'
F' R2 U B' D2 F' R'
F' R2 U B' F R' F2
F' R2 U B' F' R' D
F' R2 U B' F' R' D'
F' R2 U B' F' R' D2
F' R2 U B' F' D R'
F' R2 U B' F' D' R'
F' R2 U B' F' D2 R'
F' R2 U B' F2 R' F
F' R2 D U F' B' R'
F' R2 D U B' F' R'
F' R2 D' U F' B' R'
F' R2 D' U B' F' R'
F' R2 D2 U F' B' R'
F' R2 D2 U B' F' R'
F2 R2 F U F2 B' R'
F2 R2 F U B' R' F2
F2 R2 F U B' F2 R'
U R2 F' B' R' D L2
U R2 F' B' D L2 R'
U R2 F' B' D R' L2
F R2 F2 U F B' R'
F R2 F2 U B' R' F
F R2 F2 U B' F R'
U R2 B U' F' B2 R'
U R2 B U' B2 F' R'
U R2 B' D L2 F' R'
U R2 B' D F' L2 R'
U R2 B' D F' R' L2
U R2 B' F' R' D L2
U R2 B' F' D L2 R'
U R2 B' F' D R' L2
F' U R B' R F' R2
F' U R' D B' R' F'
F' U R' D' B' R' F'
F' U R' D2 B' R' F'
F' U R' F B' R' F'
F' U R' F' B' R' F'
F' U R' F2 B' R' F'
F' U R' B' R' D F'
F' U R' B' R' D' F'
F' U R' B' R' D2 F'
F' U R' B' R' F' D
F' U R' B' R' F' D'
F' U R' B' R' F' D2
F' U R' B' D R' F'
F' U R' B' D' R' F'
F' U R' B' D2 R' F'
F' U R' B' F R' F'
F' U R' B' F' R' F'
F' U R' B' F2 R' F'
F' U R2 D F' B' R'
F' U R2 D B' F' R'
F' U R2 D' F' B' R'
F' U R2 D' B' F' R'
F' U R2 D2 F' B' R'
F' U R2 D2 B' F' R'
F' U R2 F B' R' F2
F' U R2 F' R B' R'
F' U R2 F' R' B' R'
F' U R2 F' R2 B' R'
F' U R2 F' D B' R'
F' U R2 F' D' B' R'
F' U R2 F' D2 B' R'
F' U R2 F' B' R' D
F' U R2 F' B' R' D'
F' U R2 F' B' R' D2
F' U R2 F' B' D R'
F' U R2 F' B' D' R'
F' U R2 F' B' D2 R'
F' U R2 F2 B' R' F
F' U R2 B' D F' R'
F' U R2 B' D' F' R'
F' U R2 B' D2 F' R'
F' U R2 B' F R' F2
F' U R2 B' F' R' D
F' U R2 B' F' R' D'
F' U R2 B' F' R' D2
F' U R2 B' F' D R'
F' U R2 B' F' D' R'
F' U R2 B' F' D2 R'
F' U R2 B' F2 R' F
F' U D R' B' R' F'
F' U D R2 F' B' R'
F' U D R2 B' F' R'
F' U D B' R' D2 F2
F' U D B' D2 R' F2
F' U D B' D2 F2 R'
F' U D' R' B' R' F'
F' U D' R2 F' B' R'
F' U D' R2 B' F' R'
F' U D' B' R' D2 F2
F' U D' B' D2 R' F2
F' U D' B' D2 F2 R'
F' U D2 R' B' R' F'
F' U D2 R2 F' B' R'
F' U D2 R2 B' F' R'
F' U D2 B' R' D2 F2
F' U D2 B' D2 R' F2
F' U D2 B' D2 F2 R'
F' U F R' B' R' F'
F' U F R2 F' B' R'
F' U F R2 B' F' R'
F' U F B' R' D2 F2
F' U F B' D2 R' F2
F' U F B' D2 F2 R'
F' U F B' D2 F2 R'
F' U F' R' B' R' F'
F' U F' R2 F' B' R'
F' U F' R2 B' F' R'
F' U F' B' R' D2 F2
F' U F' B' D2 R' F2
F' U F' B' D2 F2 R'
F' U F2 R' B' R' F'
F' U F2 R2 F' B' R'
F' U F2 R2 B' F' R'
B U F' B' U R' B'
F' U F2 B' R' D2 F2
F' U F2 B' D2 R' F2
F' U F2 B' D2 F2 R'
F' U B L U2 L' B2
F' U B L U2 B2 L'
F' U B' R' U2 B2 U2
F' U B' R' D2 F2 D
F' U B' R' D2 F2 D'
F' U B' R' D2 F2 D2
F' U B' R' F D2 F2
F' U B' R' F' D2 F2
F' U B' R' F2 D2 F2
F' U B' R2 D2 R F2
F' U B' U2 B2 L U2
F' U B' D R' D F2
F' U B' D2 R F2 R2
F' U B' D2 R' F2 D
F' U B' D2 R' F2 D'
F' U B' D2 R' F2 D2
F' U B' D2 F R' F
F' U B' D2 F2 R' D
F' U B' D2 F2 R' D'
F' U B' D2 F2 R' D2
F' U B' D2 F2 D R'
F' U B' D2 F2 D' R'
F' U B' D2 F2 D2 R'
F' U B' F R' D2 F2
F' U B' F D2 R' F2
F' U B' F D2 F2 R'
F' U B' F' R' D2 F2
F' U B' F' D2 R' F2
F' U B' F' D2 F2 R'
F' U B' F2 R' D2 F2
F' U B' F2 D2 R' F2
F' U B' F2 D2 F2 R'
B U B' F' U R' B'
F' U' L2 F B U2 R
F' U' L2 B F U2 R
F' U' F B U2 R B2
F' U' F B U2 B2 R
B' U' F' U D2 F2 R
B' U' F' U' L' B2 U2
B' U' F' U' B2 L' U2
B' U' F' D2 U F2 R
F' U' F' B L' U2 B2
F' U' B U2 B' R' B'
F' U' B F U2 R B2
F' U' B F U2 B2 R
F' U' B F' L' U2 B2
B U2 F' U F R B2
B U2 F' U F B2 R
B U2 F' U B2 F R
L2 F D R2 U2 F' R
L2 F D' B U2 L2 R'
L2 F D' B U2 R' L2
F' D R2 U F' B' R'
F' D R2 U B' F' R'
F' D U R' B' R' F'
F' D U R2 F' B' R'
F' D U R2 B' F' R'
F' D U B' R' D2 F2
F' D U B' D2 R' F2
F' D U B' D2 F2 R'
D' F' R2 U F' B' R'
D2 F' R2 U F' B' R'
D' F' R2 U B' F' R'
D2 F' R2 U B' F' R'
D2 F' U R' B' R' F'
D' F' U R' B' R' F'
D2 F' U R2 F' B' R'
D' F' U R2 F' B' R'
D2 F' U R2 B' F' R'
D' F' U R2 B' F' R'
D F' R2 U F' B' R'
D F' R2 U B' F' R'
U' F' U B' D2 F2 R
D2 F' U B' R' D2 F2
D' F' U B' R' D2 F2
D2 F' U B' D2 R' F2
D2 F' U B' D2 F2 R'
D' F' U B' D2 R' F2
D' F' U B' D2 F2 R'
U' F' U' B L' U2 B2
D F' U R' B' R' F'
D F' U R2 F' B' R'
D F' U R2 B' F' R'
R2 F' U B U' B2 R'
D F' U B' R' D2 F2
D F' U B' D2 R' F2
D F' U B' D2 F2 R'
U2 F' U' B L U2 B2
U2 F' U' B U2 B2 R'
F' D' R2 U F' B' R'
F' D' R2 U B' F' R'
F' D' U R' B' R' F'
F' D' U R2 F' B' R'
F' D' U R2 B' F' R'
F' D' U B' R' D2 F2
F' D' U B' D2 R' F2
F' D' U B' D2 F2 R'
F' D2 R2 U F' B' R'
F' D2 R2 U B' F' R'
R2 F2 B U' F R B2
R2 F2 B U' F B2 R
R2 F2 B U' B2 F R
F' D2 U R' B' R' F'
F' D2 U R2 F' B' R'
F' D2 U R2 B' F' R'
F' D2 U B' R' D2 F2
F' D2 U B' D2 R' F2
F' D2 U B' D2 F2 R'
R2 B L F U' F2 B2
R2 B L F U' B2 F2
U B L U F' U B2
B' D2 F2 U' F U R
U B U F' U B2 R'
R2 B U' F R F2 B2
R2 B U' F R B2 F2
R2 B U' F B2 R F2
R2 B U' B2 F R F2
R2 B F2 U' F R B2
R2 B F2 U' F B2 R
R2 B F2 U' B2 F R
R2 B' L F' D L2 R2
R2 B' L F' D R2 L2
R2 B' L2 D L2 F' R
R2 B' L2 D F' L2 R
R2 B' L2 D F' R L2
R2 B' D L2 D F' R
