R F' L' U' B L
L' R F' L' U' B L
L R F' L' U' B L
L2 R F' L' U' B L
R L F' L' U' B L
R L' F' L' U' B L
R L2 F' L' U' B L
F' R U2 L' F' U' B
D R U' B L R' F'
D R U' B R' L F'
D R U' B R' F' L
B' R F' L' U' B L
B2 R F' L' U' B L
B R F' L' U' B L
F R F2 L2 B' U B2
F R F2 U2 F U' B
F R' B R2 F2 U B
D R2 B U' R' F' B
D R2 B U' R' B F'
R D F' L' U' B L
R2 D B R' F' L' U'
R D' F' L' U' B L
F' U2 L' R F' U' B'
F' U2 L' R2 U' B' R'
F' U2 R L' F' U' B'
R D2 F' L' U' B L
F' U2 R2 L' U' B' R'
F' U2 D2 L' F U' B'
D' F R F2 U B R
D F R F2 U B R'
R F' L' U' L B L
R F' L' U' L' B L
R F' L' U' L2 B L
R F' L' U' D B L
R F' L' U' D' B L
R F' L' U' D2 B L
R F' L' U' B L D
R F' L' U' B L D'
R F' L' U' B L D2
R F' L' U' B D L
R F' L' U' B D' L
R F' L' U' B D2 L
R F' L' D U' B L
R F' L' D' U' B L
R F' L' D2 U' B L
U' F' R' B L U F'
D' F' U2 L' U' R B'
D' F' U2 L' U' B' R
D2 F' U2 L' F U' B'
R F' U' B L D F2
R F' D L' U' B L
R F' D' L' U' B L
R F' D2 L' U' B L
F' D2 U2 L' F U' B'
R2 B R' F' L' U' B
R2 B U' B' R' F' B
R2 B U' B' R' B F'
