U' R U2 R2 F' B
U' R U2 R2 B F'
U' R F' U2 R2 F'
U' R F' B U2 R2
U' R B U2 R2 B
U' R B F' U2 R2
F2 R' D' L' F B
F2 R' D' L' B F
F2 R' D' B L' F
U' R' D2 L2 F' B
U' R' D2 L2 B F'
U' R' D2 F' L2 B
U' R' D2 F' B L2
U' R' D2 B L2 F'
U' R' D2 B F' L2
U' R' F' D2 L2 B
U' R' F' D2 B L2
U' R' F' B D2 L2
F2 R' B D' L' F
U' R' B D2 L2 F'
U' R' B D2 F' L2
U' R' B F' D2 L2
U' F' R' F' L' B
U' F' R' F' B L'
U' F' R' B F' L'
R F' U' L' U' R2
U' F2 L' R' F' B
U' F2 L' R' B F'
U' F2 R' L' F' B
U' F2 R' L' B F'
U' F2 R' B L' F'
U' L R U2 R2 F' B
U' L R U2 R2 B F'
U L R U2 R2 F B
U L R U2 R2 B F
U' L R F' U2 R2 F'
U' L R F' B U2 R2
B2 L R F' U' L' U'
U' L R B U2 R2 B
U' L R B F' U2 R2
U L R F' U2 R2 F2
U L R F' U2 F2 R2
U' L R' D2 L2 F' B
U' L R' D2 L2 B F'
U' L R' D2 F' L2 B
U' L R' D2 F' B L2
U' L R' D2 B L2 F'
U' L R' D2 B F' L2
U' L R' F' D2 L2 B
U' L R' F' D2 B L2
U' L R' F' B D2 L2
U L R' D2 F L2 B
U L R' D2 F B L2
U L R' D2 B F L2
U' L R' B D2 L2 F'
U' L R' B D2 F' L2
U' L R' B F' D2 L2
U L R' F D2 L2 B
U L R' F D2 B L2
U L R' F B D2 L2
U L R' B D2 F L2
U L R' B F D2 L2
L' R F' U' L' U' R2
L R F' U' L' U' R2
L2 R F' U' L' U' R2
R L F' U' L' U' R2
U' L F' R' F' L' B
U' L F' R' F' B L'
U' L F' R' B F' L'
U' L F2 L' R' F' B
U' L F2 L' R' B F'
U' L F2 R' L' F' B
U' L F2 R' L' B F'
U' L F2 R' B L' F'
U L F2 L' F' R' B
U' L' R U2 R2 F' B
U' L' R U2 R2 B F'
U' L' R F' U2 R2 F'
U' L' R F' B U2 R2
U' L' R B U2 R2 B
U' L' R B F' U2 R2
U L' R F' B' U2 R2
U L' R B' U2 R2 B
U L' R B' F' U2 R2
U' L' R' D2 L2 F' B
U' L' R' D2 L2 B F'
U' L' R' D2 F' L2 B
U' L' R' D2 F' B L2
U' L' R' D2 B L2 F'
U' L' R' D2 B F' L2
U' L' R' F' D2 L2 B
U' L' R' F' D2 B L2
U' L' R' F' B D2 L2
U L' R' D2 L2 F B
U L' R' D2 L2 B F
U' L' R' B D2 L2 F'
U' L' R' B D2 F' L2
U' L' R' B F' D2 L2
U L' R' B D2 L2 F2
U L' R' B D2 F2 L2
F2 L' R2 D R F' B
F2 L' R2 D R B F'
R L' F' U' L' U' R2
U' L' F' R' F' L' B
U' L' F' R' F' B L'
U' L' F' R' B F' L'
F2 L' F' R' D' F2 B
F2 L' F' R' D' B F2
F2 L' F' R' B D' F2
F' L' F' U' L' R' B
F' L' F' U' R' L' B
F' L' F' U' R' B L'
U' L' F2 L' R' F' B
U' L' F2 L' R' B F'
U' L' F2 R' L' F' B
U' L' F2 R' L' B F'
U' L' F2 R' B L' F'
U' L2 R U2 R2 F' B
U' L2 R U2 R2 B F'
U' L2 R F' U2 R2 F'
U' L2 R F' B U2 R2
U' L2 R B U2 R2 B
U' L2 R B F' U2 R2
U' L2 R' D2 L2 F' B
U' L2 R' D2 L2 B F'
U' L2 R' D2 F' L2 B
U' L2 R' D2 F' B L2
U' L2 R' D2 B L2 F'
U' L2 R' D2 B F' L2
U' L2 R' F' D2 L2 B
U' L2 R' F' D2 B L2
U' L2 R' F' B D2 L2
U' L2 R' B D2 L2 F'
U' L2 R' B D2 F' L2
U' L2 R' B F' D2 L2
R L2 F' U' L' U' R2
R U L U R2 F B
R U L U R2 B F
U' L2 F' R' F' L' B
U' L2 F' R' F' B L'
U' L2 F' R' B F' L'
U' L2 F2 L' R' F' B
U' L2 F2 L' R' B F'
U' L2 F2 R' L' F' B
U' L2 F2 R' L' B F'
U' L2 F2 R' B L' F'
U L2 F2 L' R' F B
U L2 F2 L' R' B F
U L2 F2 L' F R' B
U L2 F2 R' L' F B
U L2 F2 R' L' B F
U L2 F2 R' B L' F
U' R L U2 R2 F' B
U' R L U2 R2 B F'
U' R L F' U2 R2 F'
U' R L F' B U2 R2
U' R L B U2 R2 B
U' R L B F' U2 R2
B2 R L F' U' L' U'
U R L U2 R2 F B
U R L U2 R2 B F
U' R L' U2 R2 F' B
U' R L' U2 R2 B F'
U R L F' U2 R2 F2
U R L F' U2 F2 R2
U' R L' F' U2 R2 F'
U' R L' F' B U2 R2
U' R L' B U2 R2 B
U' R L' B F' U2 R2
U' R L2 U2 R2 F' B
U' R L2 U2 R2 B F'
U R L' F' B' U2 R2
U' R L2 F' U2 R2 F'
U' R L2 F' B U2 R2
U R L' B' U2 R2 B
U R L' B' F' U2 R2
U' R L2 B U2 R2 B
U' R L2 B F' U2 R2
F R U' F' R U2 R
U' R U2 R2 D F' B
U' R U2 R2 D B F'
U' R U2 R2 D' F' B
U' R U2 R2 D' B F'
U' R U2 R2 D2 F' B
U' R U2 R2 D2 B F'
U' R U2 R2 F' D B
U' R U2 R2 F' D' B
U' R U2 R2 F' D2 B
U' R U2 R2 F' B D
U' R U2 R2 F' B D'
U' R U2 R2 F' B D2
U' R U2 R2 B D F'
U' R U2 R2 B D' F'
U' R U2 R2 B D2 F'
U' R U2 R2 B F' D
U' R U2 R2 B F' D'
U' R U2 R2 B F' D2
U R U2 R' F' R' B
U' R D2 L2 F' B U2
U' R D2 L2 B F' U2
U' R D2 F' L2 B U2
U' R D2 F' B L2 U2
U' R D2 B L2 F' U2
U' R D2 B F' L2 U2
U' R F' L U2 R2 F'
U' R F' L B U2 R2
U' R F' L' U2 R2 F'
U' R F' L' B U2 R2
U' R F' L2 U2 R2 F'
B2 R F' L U' L2 U'
B2 R F' L U2 D F2
B2 R F' L D U2 F2
B2 R F' L D' B2 U2
U' R F' L2 B U2 R2
U' R F' U2 R2 D F'
U' R F' U2 R2 D' F'
U' R F' U2 R2 D2 F'
U' R F' U2 R2 F' D
U' R F' U2 R2 F' D'
U' R F' U2 R2 F' D2
U' R F' U2 F R2 F'
U' R F' U2 F' R2 F'
U' R F' U2 F2 R2 F'
U' R F' D2 L2 B U2
L' U' R U2 R2 F' B
L' U' R U2 R2 B F'
U R F' L U2 R2 F
U R F' L U2 F R2
U' R F' D2 B L2 U2
U' R F' B L U2 R2
U' R F' B L' U2 R2
U' R F' B L2 U2 R2
U' R F' B U2 R2 D
U' R F' B U2 R2 D'
U' R F' B U2 R2 D2
U' R F' B D2 L2 U2
U R F' L' B' U2 R2
L2 U' R U2 R2 F' B
L2 U' R U2 R2 B F'
L' U' R F' U2 R2 F'
L' U' R F' B U2 R2
L' U' R B U2 R2 B
L' U' R B F' U2 R2
U R F' U2 R' F' R'
L2 U' R F' U2 R2 F'
L U' R U2 R2 F' B
L U' R U2 R2 B F'
L2 U' R F' B U2 R2
L2 U' R B U2 R2 B
L2 U' R B F' U2 R2
L U' R F' U2 R2 F'
L U' R F' B U2 R2
L' U' R' D2 L2 F' B
L' U' R' D2 L2 B F'
L U' R B U2 R2 B
L' U' R' D2 F' L2 B
L' U' R' D2 F' B L2
L U' R B F' U2 R2
L' U' R' D2 B L2 F'
L' U' R' D2 B F' L2
U' R B L U2 R2 B
U' R B L F' U2 R2
U' R B L' U2 R2 B
U' R B L' F' U2 R2
L' U' R' F' D2 L2 B
L' U' R' F' D2 B L2
L' U' R' F' B D2 L2
U' R B L2 U2 R2 B
U' R B L2 F' U2 R2
L' U' R' B D2 L2 F'
L' U' R' B D2 F' L2
L' U' R' B F' D2 L2
L2 U' R' D2 L2 F' B
L2 U' R' D2 L2 B F'
L2 U' R' D2 F' L2 B
L2 U' R' D2 F' B L2
L2 U' R' D2 B L2 F'
L2 U' R' D2 B F' L2
L2 U' R' F' D2 L2 B
L2 U' R' F' D2 B L2
L2 U' R' F' B D2 L2
U' R B U2 R2 D B
U' R B U2 R2 D' B
U' R B U2 R2 D2 B
U' R B U2 R2 B D
U' R B U2 R2 B D'
U' R B U2 R2 B D2
R U' R' U' F' R' B
U' R B U2 B R2 B
U' R B U2 B' R2 B
L2 U' R' B D2 L2 F'
L2 U' R' B D2 F' L2
U' R B U2 B2 R2 B
L2 U' R' B F' D2 L2
L U' R' D2 L2 F' B
L U' R' D2 L2 B F'
L U' R' D2 F' L2 B
L U' R' D2 F' B L2
L U' R' D2 B L2 F'
L U' R' D2 B F' L2
U' R B D2 L2 F' U2
U' R B D2 F' L2 U2
L U' R' F' D2 L2 B
L U' R' F' D2 B L2
L U' R' F' B D2 L2
U' R B F' L U2 R2
U' R B F' L' U2 R2
U' R B F' L2 U2 R2
U' R B F' U2 R2 D
U' R B F' U2 R2 D'
U' R B F' U2 R2 D2
U' R B F' D2 L2 U2
L U' R' B D2 L2 F'
L U' R' B D2 F' L2
L U' R' B F' D2 L2
U' R' L D2 L2 F' B
U' R' L D2 L2 B F'
U' R' L D2 F' L2 B
U' R' L D2 F' B L2
U' R' L D2 B L2 F'
U' R' L D2 B F' L2
U' R' L F' D2 L2 B
U' R' L F' D2 B L2
U' R' L F' B D2 L2
U' R' L B D2 L2 F'
U' R' L B D2 F' L2
U' R' L B F' D2 L2
U' R' L' D2 L2 F' B
U' R' L' D2 L2 B F'
U' R' L' D2 F' L2 B
U' R' L' D2 F' B L2
U' R' L' D2 B L2 F'
U' R' L' D2 B F' L2
U R' L D2 F L2 B
U R' L D2 F B L2
U R' L D2 B F L2
U R' L F D2 L2 B
U R' L F D2 B L2
U R' L F B D2 L2
U' R' L' F' D2 L2 B
U' R' L' F' D2 B L2
U' R' L' F' B D2 L2
U' R' L' B D2 L2 F'
U' R' L' B D2 F' L2
U' R' L' B F' D2 L2
U R' L B D2 F L2
U R' L B F D2 L2
U' R' L2 D2 L2 F' B
U' R' L2 D2 L2 B F'
U' R' L2 D2 F' L2 B
U R' L' D2 L2 F B
U R' L' D2 L2 B F
U' R' L2 D2 F' B L2
U' R' L2 D2 B L2 F'
U' R' L2 D2 B F' L2
U' R' L2 F' D2 L2 B
U' R' L2 F' D2 B L2
U' R' L2 F' B D2 L2
L' U' F' R' F' L' B
L' U' F' R' F' B L'
L' U' F' R' B F' L'
U' R' L2 B D2 L2 F'
U' R' L2 B D2 F' L2
U' R' L2 B F' D2 L2
U R' L' B D2 L2 F2
U R' L' B D2 F2 L2
L2 U' F' R' F' L' B
L2 U' F' R' F' B L'
L2 U' F' R' B F' L'
F' R' U L' B' U' B2
L' U' F2 L' R' F' B
L' U' F2 L' R' B F'
L U' F' R' F' L' B
L U' F' R' F' B L'
L U' F' R' B F' L'
L' U' F2 R' L' F' B
L' U' F2 R' L' B F'
L' U' F2 R' B L' F'
L2 U' F2 L' R' F' B
L2 U' F2 L' R' B F'
L2 U' F2 R' L' F' B
L2 U' F2 R' L' B F'
L2 U' F2 R' B L' F'
L U' F2 L' R' F' B
L U' F2 L' R' B F'
L U' F2 R' L' F' B
L U' F2 R' L' B F'
L U' F2 R' B L' F'
U' R' U2 R2 F' B U2
U' R' U2 R2 B F' U2
U' R' D F' D L2 B
U' R' D F' D B L2
F2 R' D B D2 L' F
F2 R' D' L' D F B
F2 R' D' L' D B F
F2 R' D' L' D' F B
F2 R' D' L' D' B F
F2 R' D' L' D2 F B
F2 R' D' L' D2 B F
F2 R' D' L' F D B
F2 R' D' L' F D' B
F2 R' D' L' F D2 B
F2 R' D' L' F B D
F2 R' D' L' F B D'
F2 R' D' L' F B D2
F2 R' D' L' B D F
F2 R' D' L' B D' F
F2 R' D' L' B D2 F
F2 R' D' L' B F D
F2 R' D' L' B F D'
F2 R' D' L' B F D2
U' R' D' B D' L2 F'
U' R' D' B D' F' L2
U' R' D2 L F' L B
F2 R' D' B L' D F
F2 R' D' B L' D' F
F2 R' D' B L' D2 F
F2 R' D' B L' F D
F2 R' D' B L' F D'
F2 R' D' B L' F D2
U' R' D2 L' B L' F'
U' R' D2 L2 D F' B
U' R' D2 L2 D B F'
U' R' D2 L2 D' F' B
U' R' D2 L2 D' B F'
U' R' D2 L2 D2 F' B
U' R' D2 L2 D2 B F'
U' R' D2 L2 F' D B
U' R' D2 L2 F' D' B
U' R' D2 L2 F' D2 B
U' R' D2 L2 F' B D
U' R' D2 L2 F' B D'
U' R' D2 L2 F' B D2
F2 R' D' B' L' F B2
F2 R' D' B' L' B2 F
U' R' D2 L2 B D F'
U' R' D2 L2 B D' F'
U' R' D2 L2 B D2 F'
U' R' D2 L2 B F' D
U' R' D2 L2 B F' D'
U' R' D2 L2 B F' D2
U' R' D2 F L2 F2 B
U' R' D2 F L2 B F2
U' R' D2 F B L2 F2
U' R' D2 F' L' B L'
U' R' D2 F' L2 D B
U' R' D2 F' L2 D' B
U' R' D2 F' L2 D2 B
U' R' D2 F' L2 B D
U' R' D2 F' L2 B D'
U' R' D2 F' L2 B D2
U' R' D2 F' B L2 D
U' R' D2 F' B L2 D'
U' R' D2 F' B L2 D2
U' R' D2 F' B' L2 B2
U' R' D2 B L F' L
U' R' D2 B L2 D F'
U' R' D2 B L2 D' F'
U' R' D2 B L2 D2 F'
U' R' D2 B L2 F' D
U' R' D2 B L2 F' D'
U' R' D2 B L2 F' D2
U' R' D2 B F L2 F2
U' R' D2 B F' L2 D
U' R' D2 B F' L2 D'
U' R' D2 B F' L2 D2
U' R' D2 B' L2 F' B2
U' R' D2 B' L2 B2 F'
U' R' D2 B' F' L2 B2
U R' D2 L F L B
U R' D2 B L F L
F R' F L' D' F2 B
F R' F L' D' B F2
F R' F L' B D' F2
U' R' F' L D2 L2 B
U' R' F' L D2 B L2
U' R' F' L B D2 L2
U' R' F' L' D2 L2 B
U' R' F' L' D2 B L2
U' R' F' L' B D2 L2
U' R' F' L2 D2 L2 B
U' R' F' L2 D2 B L2
U' R' F' L2 B D2 L2
F R' F D' L' F2 B
F R' F D' L' B F2
U' R' F' U2 R2 F' U2
F R' F D' B L' F2
F' R' F' D' L' F B
F' R' F' D' L' B F
F R' F B L' D' F2
F' R' F' D' B L' F
F R' F B D' L' F2
U' R' F' D' B D' L2
U' R' F' D2 L' B L'
U' R' F' D2 L2 D B
U' R' F' D2 L2 D' B
U' R' F' D2 L2 D2 B
U' R' F' D2 L2 B D
U' R' F' D2 L2 B D'
U' R' F' D2 L2 B D2
U' R' F' D2 B L2 D
U' R' F' D2 B L2 D'
U' R' F' D2 B L2 D2
U' R' F' D2 B' L2 B2
U' R' F' B L D2 L2
U' R' F' B L' D2 L2
U' R' F' B L2 D2 L2
U' R' F' B U2 R2 U2
F' R' F' B D' L' F
U' R' F' B D2 L2 D
U' R' F' B D2 L2 D'
U' R' F' B D2 L2 D2
U' R' F' B2 D2 B' L2
F R' F' D' F2 L' B
F R' F' D' F2 B L'
F R' F' D' B F2 L'
F R' F' B D' F2 L'
U' R' F2 D2 F L2 B
U' R' F2 D2 F B L2
U' R' F2 D2 B F L2
U' R' F2 B D2 F L2
U' R' B L D2 L2 F'
U' R' B L D2 F' L2
U' R' B L F' D2 L2
U' R' B L' D2 L2 F'
U' R' B L' D2 F' L2
U' R' B L' F' D2 L2
U' R' B L2 D2 L2 F'
U' R' B L2 D2 F' L2
U' R' B L2 F' D2 L2
F' R' B U L' B' U'
U' R' B U2 R2 B U2
