U L' U2 D L B'
U L' D U2 L B'
B R' U L' U2 L
U' D L' F U2 F'
U D L' F U2 L
D U L' F U2 L
D U' L' F U2 F'
B' L U' L2 U' L U'
B' L U2 L' U L' U2
B' L U2 L' F2 U' R
B' L U2 D L' F2 U'
B' L U2 D2 L' U' R2
B' L D U2 L' F2 U'
B' L D' B2 U2 L' U'
B' L D2 U2 L' U' R2
U L' R U2 D L B'
U L' R D U2 L B'
U L' R' U2 D L B'
U L' R' D U2 L B'
U L' R2 U2 D L B'
U L' R2 D U2 L B'
B L' U2 L R' U' R
B L' U2 R' L U' R
U L' U2 D L D B'
U L' U2 D L D' B'
U L' U2 D L D2 B'
U L' U2 D L B' D
U L' U2 D L B' D'
U L' U2 D L B' D2
U L' D R U2 L B'
U L' D R' U2 L B'
U L' D R2 U2 L B'
U L' D U2 L D B'
U L' D U2 L D' B'
U L' D U2 L D2 B'
U L' D U2 L B' D
U L' D U2 L B' D'
U L' D U2 L B' D2
U L' D F U2 L B'
U L' D F' U2 L B'
U L' D F2 U2 L B'
U L' D' R F' U2 L
U L' D' R' U2 L B
U L' F U2 D L B'
U L' F D U2 L B'
U L' F' U2 D L B'
U L' F' D U2 L B'
U L' F2 U2 D L B'
U L' F2 D U2 L B'
R' U L' U2 D L B'
R' U L' D U2 L B'
R2 U L' U2 D L B'
R2 U L' D U2 L B'
R U L' U2 D L B'
R U L' D U2 L B'
R' U D L' F U2 L
R2 U D L' F U2 L
R U D L' F U2 L
U R L' U2 D L B'
U R L' D U2 L B'
D' R U L' F' U2 L
D R U L' F U2 L
D' R U' L' F' U2 F
D R U' L' F U2 F'
U R D L' F U2 L
R' U' D L' F U2 F'
L2 U' D L U2 F2 B'
L2 U' D L U2 B' F2
R2 U' D L' F U2 F'
R U' D L' F U2 F'
L2 U' D' B2 U2 R' B
U R' L' U2 D L B'
U R' L' D U2 L B'
D' R' U L' U2 L B
D R' U L' F U2 L
B R' U L' R U2 L
B R' U L' R' U2 L
B R' U L' R2 U2 L
B R' U L' U2 L D
B R' U L' U2 L D'
B R' U L' U2 L D2
B R' U L' U2 D L
B R' U L' U2 D' L
B R' U L' U2 D2 L
B R' U L' D U2 L
B R' U L' D' U2 L
B R' U L' D2 U2 L
B R' U R L' U2 L
B R' U R' L' U2 L
B R' U R2 L' U2 L
B R' U D L' U2 L
B R' U D' L' U2 L
B R' U D2 L' U2 L
D R' U' L' F U2 F'
B R' D U L' U2 L
U R' D L' F U2 L
B R' D' U L' U2 L
B R' D2 U L' U2 L
B R' F2 U' R D' L2
B R' F2 U' D' L2 R
B R' F2 U' D' R L2
B R' F2 D' U' L2 R
B R' F2 D' U' R L2
B R' F2 D2 B2 U' R
B R' B U L' U2 L
B R' B' U L' U2 L
B R' B2 U L' U2 L
U R2 L' U2 D L B'
U R2 L' D U2 L B'
D R2 U L' F U2 L
F2 R2 U' D' L2 R' B
F2 R2 U' D' R' L2 B
F2 R2 U' D' R' B L2
D R2 U' L' F U2 F'
U R2 D L' F U2 L
F2 R2 D' U' L2 R' B
F2 R2 D' U' R' L2 B
F2 R2 D' U' R' B L2
F R2 F B R' U' R2
R' D U L' F U2 L
F R2 B R' F U' R
F R2 B F R' U' R2
R' D U' L' F U2 F'
R2 D U L' F U2 L
L2 D U' L U2 F2 B'
L2 D U' L U2 B' F2
R D U L' F U2 L
R2 D U' L' F U2 F'
R D U' L' F U2 F'
D' U L' R F' U2 L
D' U L' R' U2 L B
B' U L' U L2 U L'
D' U L' U2 D2 L B'
B2 U L' R U2 L B
D2 U L' U2 D' L B'
B2 U L' R' F' U2 L
B' U L' U2 D' L B2
U' D L' D F U2 F'
D2 U L' D' U2 L B'
B' U L' D F2 U2 L
D' U L' D2 U2 L B'
U' D L' D' F U2 F'
B' U L' D' U2 L B2
U' D L' D2 F U2 F'
B2 U L' U2 L' B' L2
U' D L' F U2 D F'
U' D L' F U2 D' F'
U' D L' F U2 D2 F'
U' D L' F U2 F' D
U' D L' F U2 F' D'
U' D L' F U2 F' D2
U' D L' F D U2 F'
U' D L' F D' U2 F'
U' D L' F D2 U2 F'
U' D L' F B U2 F'
U' D L' F B' U2 F'
U' D L' F B2 U2 F'
U' D L' B F U2 F'
D U L' R F U2 L
U' D L' B' F U2 F'
D U L' R' F U2 L
U' D L' B2 F U2 F'
D U L' R2 F U2 L
B U L' U' R' U' L
D U L' U2 L2 B' L'
D U L' D F U2 L
U D L' R F U2 L
D U L' D' F U2 L
U D L' R' F U2 L
D U L' D2 F U2 L
U D L' R2 F U2 L
D U L' F R U2 L
D U L' F R' U2 L
D U L' F R2 U2 L
D U L' F U2 L D
D U L' F U2 L D'
D U L' F U2 L D2
D U L' F U2 D L
D U L' F U2 D' L
D U L' F U2 D2 L
D U L' F D U2 L
D U L' F D' U2 L
D U L' F D2 U2 L
U D L' U2 L2 B' L'
U D L' D F U2 L
U D L' D' F U2 L
U D L' D2 F U2 L
U D L' F R U2 L
U D L' F R' U2 L
U D L' F R2 U2 L
U D L' F U2 L D
U D L' F U2 L D'
U D L' F U2 L D2
U D L' F U2 D L
U D L' F U2 D' L
U D L' F U2 D2 L
U D L' F D U2 L
U D L' F D' U2 L
U D L' F D2 U2 L
D' U R L' F' U2 L
B2 U R L' U2 L B
D U R L' F U2 L
D' U R' L' U2 L B
B2 U R' L' F' U2 L
U D R L' F U2 L
D U R' L' F U2 L
U D R' L' F U2 L
D U R2 L' F U2 L
U D R2 L' F U2 L
U' D B L' F U2 F'
U' D B' L' F U2 F'
U' D B2 L' F U2 F'
L D' L2 B2 R' U B
U D' L' R F' U2 L
D U' L' D F U2 F'
U D' L' R' U2 L B
D U' L' D' F U2 F'
D U' L' D2 F U2 F'
B2 U B2 D2 F2 R B
D U' L' F U2 D F'
D U' L' F U2 D' F'
D U' L' F U2 D2 F'
D U' L' F U2 F' D
D U' L' F U2 F' D'
D U' L' F U2 F' D2
D U' L' F D U2 F'
D U' L' F D' U2 F'
D U' L' F D2 U2 F'
D U' L' F B U2 F'
D U' L' F B' U2 F'
D U' L' F B2 U2 F'
U D' L' U2 D2 L B'
D U' L' B F U2 F'
U D' L' D2 U2 L B'
D U' L' B' F U2 F'
D U' L' B2 F U2 F'
L2 D' U' B2 U2 R' B
B2 U' L F L2 U2 F'
B' U' L' D F2 U2 F2
B2 U' L' F U2 F' B'
B2 U' L' F U2 B' F'
U D' R L' F' U2 L
B2 U' L' F' U2 F B'
B2 U' L' F' U2 B' F
B2 U' L' F2 U2 F2 B'
B2 U' L' F2 U2 B' F2
U D' R' L' U2 L B
F2 U' R2 D' L2 R' B
F2 U' R2 D' R' L2 B
F2 U' R2 D' R' B L2
F2 U' D' L2 R' B R2
F2 U' D' R' L2 B R2
F2 U' D' R' B L2 R2
F2 U' D' R' B R2 L2
D U' B L' F U2 F'
D U' B' L' F U2 F'
D U' B2 L' F U2 F'
B2 U' F2 U2 R F2 B
B2 U' F2 U2 R B F2
U D2 L' U2 D' L B'
U D2 L' D' U2 L B'
B' U2 L U' L2 U2 L2
B U2 R' F2 L' U' R
F U2 F' B' L U R'
F U2 B' L F' U R'
F U2 B' F' L U R'
B D R' U L' U2 L
F2 D' R' U' L2 B R2
F2 D' R' U' B L2 R2
F2 D' R' U' B R2 L2
B D' R' U L' U2 L
F2 D' U' L2 R' B R2
F2 D' U' R' L2 B R2
F2 D' U' R' B L2 R2
F2 D' U' R' B R2 L2
D2 F2 U' R D' L2 B
D2 F2 U' R D' B L2
D2 F2 U' R B D' L2
D2 F2 U' D' L2 R B
D2 F2 U' D' R L2 B
D2 F2 U' D' R B L2
D2 F2 D' U' L2 R B
D2 F2 D' U' R L2 B
D2 F2 D' U' R B L2
D2 F2 D2 B2 U' R B
B D2 R' U L' U2 L
R' B R' U L' U2 L
R2 B R' U L' U2 L
R B R' U L' U2 L
D B U L' F U2 L
D B U' L' F U2 F'
F2 B R' U' R2 D' L2
F2 B R' U2 F2 U R2
F2 B R' D' F2 U' L2
L' B' L U' L' B' U2
U' B' L' D F2 U2 F2
L2 B' L B' U R' F'
F2 B D' R' U' L2 R2
F2 B D' R' U' R2 L2
F2 B D2 R' B2 U' R2
D B' U L' F U2 L
D B' U' L' F U2 F'
F2 B' D2 B2 R' U' R2
D B2 U L' F U2 L
B F2 R' U' R2 D' L2
B F2 R' U2 F2 U R2
B F2 R' D' F2 U' L2
D B2 U' L' F U2 F'
L2 B2 D2 R2 U R B
U2 B2 D2 F2 U R B
B' F2 D2 B2 R' U' R2
B F2 D' R' U' L2 R2
B F2 D' R' U' R2 L2
B F2 D2 R' B2 U' R2
