F' R' U R2 B
F' L R' U R2 B
F' L' R' U R2 B
F' L2 R' U R2 B
F' R' L U R2 B
F' R' L' U R2 B
F' R' L2 U R2 B
F' R' U R2 D B
F' R' U R2 D' B
F' R' U R2 D2 B
F' R' U R2 B D
F' R' U R2 B D
F' R' U R2 B D'
F' R' U R2 B D2
F' R' U B R2 B
F' R' U B' R2 B
F' R' U B2 R2 B
F' R' U' F' U2 R2
F' R' B U R2 B
F' R' B' U R2 B
F' R' B2 U R2 B
F' D R' U R2 B
L' F' R' U R2 B
U F' L' R' U R2
L2 F' R' U R2 B
L F' R' U R2 B
U F' R' L' U R2
F' D' R' U R2 B
F' D2 R' U R2 B
F' L R' U R2 D B
F' L R' U R2 D' B
F' L R' U R2 D2 B
F' L R' U R2 B D
F' L R' U R2 B D'
F' L R' U R2 B D2
F' L R' U B R2 B
F' L R' U B' R2 B
F' L R' U B2 R2 B
F' L R' U' F' U2 R2
F' L R' B U R2 B
F' L R' B' U R2 B
F' L R' B2 U R2 B
F' L D R' U R2 B
F' L D' R' U R2 B
F' L D2 R' U R2 B
U L F' L' R' U R2
U L F' R' L' U R2
F' L' R' U R2 D B
F' L' R' U R2 D' B
F' L' R' U R2 D2 B
F' L' R' U R2 B D
F' L' R' U R2 B D'
F' L' R' U R2 B D2
F' L' R' U B R2 B
F' L' R' U B' R2 B
F' L' R' U B2 R2 B
F' L' R' U' F' U2 R2
F' L' R' B U R2 B
F' L' R' B' U R2 B
F' L' R' B2 U R2 B
F' L' D R' U R2 B
F' L' D' R' U R2 B
F' L' D2 R' U R2 B
U2 L' F' R' U R2 B'
U2 L' F' R' U B' R2
U L' F' L' R' U R2
U L' F' R' L' U R2
F' L2 R' U R2 D B
F' L2 R' U R2 D' B
F' L2 R' U R2 D2 B
F' L2 R' U R2 B D
F' L2 R' U R2 B D'
F' L2 R' U R2 B D2
F' L2 R' U B R2 B
F' L2 R' U B' R2 B
F' L2 R' U B2 R2 B
F' L2 R' U' F' U2 R2
F' L2 R' B U R2 B
F' L2 R' B' U R2 B
F' L2 R' B2 U R2 B
F' L2 D R' U R2 B
F' L2 D' R' U R2 B
F' L2 D2 R' U R2 B
U L2 F' L' R' U R2
U L2 F' R' L' U R2
L' U F' L' R' U R2
L' U F' R' L' U R2
L2 U F' L' R' U R2
L2 U F' R' L' U R2
L U F' L' R' U R2
L U F' R' L' U R2
F' R D' F2 D' L2 B
F' R D' F2 D' B L2
F' R D' F2 B D' L2
F' R D' B F2 D' L2
F R D' F2 L2 B R
F R D' F2 B L2 R
F R D' F2 B R L2
F R D' B F2 L2 R
F R D' B F2 R L2
F' R F2 D' L2 F2 B
F' R F2 D' L2 B F2
F' R F2 D' F2 L2 B
F' R F2 D' F2 B L2
F' R F2 D' B L2 F2
F' R F2 D' B F2 L2
F' R F2 B D' L2 F2
F' R F2 B D' F2 L2
F' R B D' F2 D' L2
F' R B F2 D' L2 F2
F' R B F2 D' F2 L2
F' R B' R2 U R2 B2
F' R B' R2 U B2 R2
F R B D' F2 L2 R
F R B D' F2 R L2
F' R B2 R2 U R2 B'
F' R B2 R2 U B' R2
F' R' L U R2 D B
F' R' L U R2 D' B
F' R' L U R2 D2 B
F' R' L U R2 B D
F' R' L U R2 B D'
F' R' L U R2 B D2
F' R' L U B R2 B
F' R' L U B' R2 B
F' R' L U B2 R2 B
F' R' L U' F' U2 R2
F' R' L B U R2 B
F' R' L B' U R2 B
F' R' L B2 U R2 B
F' R' L' U R2 D B
F' R' L' U R2 D' B
F' R' L' U R2 D2 B
F' R' L' U R2 B D
F' R' L' U R2 B D'
F' R' L' U R2 B D2
F' R' L' U B R2 B
F' R' L' U B' R2 B
F' R' L' U B2 R2 B
F' R' L' U' F' U2 R2
F' R' L' B U R2 B
F' R' L' B' U R2 B
F' R' L' B2 U R2 B
F' R' L2 U R2 D B
F' R' L2 U R2 D' B
F' R' L2 U R2 D2 B
F' R' L2 U R2 B D
F' R' L2 U R2 B D'
F' R' L2 U R2 B D2
F' R' L2 U B R2 B
F' R' L2 U B' R2 B
F' R' L2 U B2 R2 B
F' R' L2 U' F' U2 R2
F' R' L2 B U R2 B
F' R' L2 B' U R2 B
F' R' L2 B2 U R2 B
F' R' U L R2 B L'
F' R' U L2 R2 B L2
F' R' U R D R B
F' R' U R D' R B
F' R' U R D2 R B
F' R' U R B R B
F' R' U R B' R B
F' R' U R B2 R B
F' R' U R2 L B L'
F' R' U R2 L2 B L2
F' R' U R2 D B D
F' R' U R2 D B D'
F' R' U R2 D B D2
F' R' U R2 D' B D
F' R' U R2 D' B D'
F' R' U R2 D' B D2
F' R' U R2 D2 B D
F' R' U R2 D2 B D'
F' R' U R2 D2 B D2
F' R' U R2 B2 D B'
F' R' U R2 B2 D' B'
F' R' U R2 B2 D2 B'
F' R' U B R2 D B
F' R' U B R2 D' B
F' R' U B R2 D2 B
F' R' U B R2 B D
F' R' U B R2 B D'
F' R' U B R2 B D2
F' R' U B' R2 D B
F' R' U B' R2 D' B
F' R' U B' R2 D2 B
F' R' U B' R2 B D
F' R' U B' R2 B D'
F' R' U B' R2 B D2
F' R' U B2 R2 D B
F' R' U B2 R2 D' B
F' R' U B2 R2 D2 B
F' R' U B2 R2 B D
F' R' U B2 R2 B D'
F' R' U B2 R2 B D2
F' R' U' L U2 R2 B
F' R' U' L F' U2 R2
F' R' U' L' U2 R2 B
F' R' U' L' F' U2 R2
F' R' U' L2 U2 R2 B
F' R' U' L2 F' U2 R2
F' R' U' D2 L2 F' U2
F' R' U' D2 F' L2 U2
F' R' U' F' L U2 R2
F' R' U' F' L' U2 R2
F' R' U' F' L2 U2 R2
F' R' U' F' U2 R2 D
F' R' U' F' U2 R2 D'
F' R' U' F' U2 R2 D2
F' R' U' F' D2 L2 U2
F' R' U2 R' U' R' B
F' R' D B2 U' F' U2
F' R' D2 U' L2 F' U2
F' R' D2 U' F' L2 U2
F2 R' F U R D2 B2
F2 R' F U D2 R B2
F2 R' F U D2 B2 R
F2 R' F U' F2 L' U2
F2 R' F D' L2 U R
F2 R' F D2 U R B2
F2 R' F D2 U B2 R
F' R' B L U R2 B
F R' F2 L2 U R B'
F R' F2 L2 U B' R
F' R' B L' U R2 B
F' R' B L2 U R2 B
F' R' B U R2 D B
F' R' B U R2 D' B
F' R' B U R2 D2 B
F' R' B U R2 B D
F' R' B U R2 B D'
F' R' B U R2 B D2
F' R' B U B R2 B
F' R' B U B' R2 B
F' R' B U B2 R2 B
F' R' B U' F' U2 R2
F' R' B' L U R2 B
F' R' B' L' U R2 B
F' R' B' L2 U R2 B
F' R' B' U R2 D B
F' R' B' U R2 D' B
F' R' B' U R2 D2 B
F' R' B' U R2 B D
F' R' B' U R2 B D'
F' R' B' U R2 B D2
F' R' B' U B R2 B
F' R' B' U B' R2 B
F' R' B' U B2 R2 B
F' R' B' U' F' U2 R2
F' R' B2 L U R2 B
F' R' B2 L' U R2 B
F' R' B2 L2 U R2 B
F' R' B2 U R2 D B
F' R' B2 U R2 D' B
F' R' B2 U R2 D2 B
F' R' B2 U R2 B D
F' R' B2 U R2 B D'
F' R' B2 U R2 B D2
F' R' B2 U B R2 B
F' R' B2 U B' R2 B
F' R' B2 U B2 R2 B
F' R' B2 U' F' U2 R2
F' R2 U R' D' F2 B
F' R2 U R' D' B F2
F' R2 U R' B D' F2
U' D F' R' B L U
D U F' L' R' B U
D U F' R' L' B U
D U F' R' B L' U
U D F' L' R' B U
U D F' R' L' B U
U D F' R' B L' U
D U' F' R' B L U
F U' R' F2 U R B
R D2 L2 U' B L R'
R D2 L2 U' B R' L
U' F R' F2 U R B
F' D L R' U R2 B
F' D L' R' U R2 B
F' D L2 R' U R2 B
F' D R' L U R2 B
F' D R' L' U R2 B
F' D R' L2 U R2 B
F' D R' U R2 D B
F' D R' U R2 D' B
F' D R' U R2 D2 B
F' D R' U R2 B D
F' D R' U R2 B D'
F' D R' U R2 B D2
F' D R' U B R2 B
F' D R' U B' R2 B
F' D R' U B2 R2 B
F' D R' U' F' U2 R2
F' D R' B U R2 B
F' D R' B' U R2 B
F' D R' B2 U R2 B
L' F' L R' U R2 B
L2 F' L R' U R2 B
L' F' L' R' U R2 B
U2 F' L' R' U R2 B'
U2 F' L' R' U B' R2
L2 F' L' R' U R2 B
L F' L R' U R2 B
L' F' L2 R' U R2 B
F2 D F R' U R2 B
L2 F' L2 R' U R2 B
U F' L' R' U R2 D
U F' L' R' U R2 D'
U F' L' R' U R2 D2
U F' L' R' D B2 U
U F' L' R' B U R2
U F' L' R' B' U R2
U F' L' R' B2 U R2
L F' L' R' U R2 B
U F' L' U R D' F2
U F' L' D R' U R2
U F' L' D' R' U R2
U F' L' D2 R' U R2
U' F' R' U R B R
L F' L2 R' U R2 B
D2 F' R' U R2 B R'
L' F' R' L U R2 B
L' F' R' L' U R2 B
L' F' R' L2 U R2 B
L' F' R' U R2 D B
L' F' R' U R2 D' B
L' F' R' U R2 D2 B
L' F' R' U R2 B D
L' F' R' U R2 B D'
L' F' R' U R2 B D2
L' F' R' U B R2 B
L' F' R' U B' R2 B
L' F' R' U B2 R2 B
L' F' R' U' F' U2 R2
U' F' R' B L U R2
L2 F' R' L U R2 B
L2 F' R' L' U R2 B
U2 F' R' L' U R2 B'
U2 F' R' L' U B' R2
L2 F' R' L2 U R2 B
L2 F' R' U R2 D B
L2 F' R' U R2 D' B
L2 F' R' U R2 D2 B
L2 F' R' U R2 B D
L2 F' R' U R2 B D'
L2 F' R' U R2 B D2
L2 F' R' U B R2 B
L2 F' R' U B' R2 B
L2 F' R' U B2 R2 B
L' F' R' B U R2 B
L2 F' R' U' F' U2 R2
L' F' R' B' U R2 B
L' F' R' B2 U R2 B
