U' L' D R2 B' U'
U' L' D B' R2 U'
U' L' D2 B' U' B'
U' L' B' U F2 U2
U' L' B' U' D2 B2
U' L' B' D R2 U'
U' L' B' D2 U' B2
B' R' F2 U R U
F2 R2 U R' F' U
U' D L' R2 B' U'
U' D L' B' R2 U'
F2 U R U2 B U'
F2 U R' F' R2 U
U' D R2 L' B' U'
D2 U' L' B' U' B'
D U' L' R2 B' U'
D U' L' B' R2 U'
D U' R2 L' B' U'
U' D2 L' B' U' B'
F2 B U R U L
F2 B' R' U R2 U
F2 B' R' U2 D' F2
F2 B' R' D B2 U2
F2 B' R' D' U2 F2
B' F2 R' U R2 U
B' F2 R' U2 D' F2
B' F2 R' D B2 U2
B' F2 R' D' U2 F2
B F2 U R U L
B L D F2 D R B2
B L D F2 D B2 R
B L D2 B2 D' F2 R
U' L' R D R2 B' U'
U' L' R D B' R2 U'
U' L' R D2 B' U' B'
U' L' R B' U F2 U2
U' L' R B' U' D2 B2
U' L' R B' D R2 U'
U' L' R B' D2 U' B2
U' L' R' D R2 B' U'
U' L' R' D B' R2 U'
U' L' R' D2 B' U' B'
U' L' R' B' U F2 U2
U' L' R' B' U' D2 B2
U' L' R' B' D R2 U'
U' L' R' B' D2 U' B2
U' L' R2 D R2 B' U'
U' L' R2 D B' R2 U'
U' L' R2 D2 B' U' B'
U' L' R2 B' U F2 U2
U' L' R2 B' U' D2 B2
U' L' R2 B' D R2 U'
U' L' R2 B' D2 U' B2
B' L' U L R' F2 U2
B' L' U L F2 R' U2
B' L' U R' L F2 U2
B L' U L F2 U2 L
B' L' U R' F2 L U2
B' L' U F2 L R' U2
B' L' U F2 R' L U2
U' L' U F2 U' B' U'
B L' U F2 L U2 L
B' L' U' D2 B2 L R'
B' L' U' D2 B2 R' L
U' L' U2 D' L2 F U
U' L' D R B' R U'
U' L' D R2 D B' U'
U' L' D R2 D' B' U'
U' L' D R2 D2 B' U'
U' L' D R2 B' U' D
U' L' D R2 B' U' D'
U' L' D R2 B' U' D2
U' L' D R2 B' D U'
U' L' D R2 B' D' U'
U' L' D R2 B' D2 U'
U' L' D B R2 B2 U'
U' L' D B' R2 U' D
U' L' D B' R2 U' D'
U' L' D B' R2 U' D2
U' L' D B' R2 D U'
U' L' D B' R2 D' U'
U' L' D B' R2 D2 U'
U' L' D B' U' D B2
U' L' D B' D U' B2
U' L' D' U2 L2 F U
U' L' D' B' U' D' B2
U' L' D' B' U2 L2 U
U' L' D' B' D' U' B2
U' L' D' B' D2 R2 U'
U' L' D2 R B' U' B'
U' L' D2 R' B' U' B'
U' L' D2 R2 B' U' B'
B' L' D2 U' B2 L R'
B' L' D2 U' B2 R' L
U' L' D2 B' R U' B'
U' L' D2 B' R' U' B'
U' L' D2 B' R2 U' B'
U' L' D2 B' U' D B'
U' L' D2 B' U' D' B'
U' L' D2 B' U' D2 B'
U' L' D2 B' U' B' D
U' L' D2 B' U' B' D'
U' L' D2 B' U' B' D2
U' L' D2 B' D U' B'
U' L' D2 B' D' U' B'
U' L' D2 B' D2 U' B'
D2 L' B U' L B R'
U' L' B D R2 U' L2
U' L' B' R U F2 U2
U' L' B' R U' D2 B2
U' L' B' R D R2 U'
U' L' B' R D2 U' B2
U' L' B' R' U F2 U2
U' L' B' R' U' D2 B2
U' L' B' R' D R2 U'
U' L' B' R' D2 U' B2
U' L' B' R2 U F2 U2
U' L' B' R2 U' D2 B2
U' L' B' R2 D R2 U'
U' L' B' R2 D2 U' B2
U' L' B' U F2 U2 D
U' L' B' U F2 U2 D'
U' L' B' U F2 U2 D2
U' L' B' U F2 D U2
U' L' B' U F2 D' U2
U' L' B' U F2 D2 U2
U' L' B' U' D2 B2 D
U' L' B' U' D2 B2 D'
U' L' B' U' D2 B2 D2
U' L' B' U' B D2 B2
U' L' B' U' B' D2 B2
U' L' B' U' B2 D2 B2
U' L' B' U2 D' L2 U
U' L' B' D R2 U' D
U' L' B' D R2 U' D'
U' L' B' D R2 U' D2
U' L' B' D R2 D U'
U' L' B' D R2 D' U'
U' L' B' D R2 D2 U'
U' L' B' D' U2 L2 U
U' L' B' D2 R U' B2
U' L' B' D2 R' U' B2
U' L' B' D2 R2 U' B2
U' L' B' D2 U' B2 D
U' L' B' D2 U' B2 D'
U' L' B' D2 U' B2 D2
U' L' B2 D B R2 U'
U' L' B2 D2 B U' B
U' R L' D R2 B' U'
U' R L' D B' R2 U'
U' R L' D2 B' U' B'
U' R L' B' U F2 U2
U' R L' B' U' D2 B2
U' R L' B' D R2 U'
U' R L' B' D2 U' B2
F2 R U R' F' U F
F2 R U F U F' L'
D2 R U' L' B' U' B'
D R U' L' R B' U'
D R U' L' B' R U'
D R U' R L' B' U'
U' R D L' R2 B' U'
U' R D L' B' R2 U'
U' R D R2 L' B' U'
U' R D2 L' B' U' B'
R' U' L' D R2 B' U'
R' U' L' D B' R2 U'
R' U' L' D2 B' U' B'
R' U' L' B' U F2 U2
R' U' L' B' U' D2 B2
R' U' L' B' D R2 U'
R' U' L' B' D2 U' B2
R2 U' L' D R2 B' U'
R2 U' L' D B' R2 U'
R2 U' L' D2 B' U' B'
R U' L' D R2 B' U'
R U' L' D B' R2 U'
R U' L' D2 B' U' B'
