L B' R U B L
D' L R U B L R'
D' L R U B R' L
L R U B L D' R2
L R U B D' L R2
L R U B D' R2 L
R L U B L D' R2
R L U B D' L R2
R L U B D' R2 L
L2 R F L' B' U B2
L2 R F U B' R' B2
L2 R F B2 U B' R'
L R B' L F U B2
R L B' L F U B2
R' L B' R2 U B L
L R B' U B L B
R L B' U B L B
L2 R B2 F U B' R'
L R' B' R2 U B L
D' L2 R F U B R'
R L2 F L' B' U B2
R L2 F U B' R' B2
R L2 F B2 U B' R'
R L2 B2 F U B' R'
D' R L U B L R'
D' R L U B R' L
R U D' B R' D L2
R U D' B D L2 R'
R U D' B D R' L2
D' R L2 F U B R'
D' R U B R' D L2
D' R U B D L2 R'
D' R U B D R' L2
D2 R U2 F' B' U' B2
D2 R U2 B' F' U' B2
D' R U2 B' U' B2 R'
L2 U' R F U R B
F2 R B' L' F U' B2
R U2 D' B' U' B2 R'
L D B' R U B L
R D' L U B L R'
R D' L U B R' L
R D' L2 F U B R'
F2 U B' L' F R U'
R D' U B R' D L2
R D' U B D L2 R'
R D' U B D R' L2
R D' U2 B' U' B2 R'
L D' B' R U B L
F2 U' B' L' R' F U'
F2 U' B' L' F R' U'
F2 U' B' R' L' F U'
L D2 B' R U B L
F2 U2 B' L' F U' B'
U' F2 B' L' R' F U'
U' F2 B' L' F R' U'
U' F2 B' R' L' F U'
U2 F2 B' L' F U' B'
L B' L R F U B
L B' R L F U B
L B' R U L B L
L B' R U L' B L
L B' R U L2 B L
L B' R U D B L
L B' R U D' B L
L B' R U D2 B L
L B' R U B L D
L B' R U B L D'
L B' R U B L D2
L B' R U B D L
L B' R U B D' L
L B' R U B D2 L
L B' R D U B L
L B' R D' U B L
L B' R D2 U B L
L B' R F U B L
L B' R F' U B L
L B' R F2 U B L
F2 B' L' R F U' B
F2 B' L' F R U' B
F2 B' R L' F U' B
L B' D R U B L
L B' D' R U B L
U' B' F2 L' R' F U'
U' B' F2 L' F R' U'
L B' D2 R U B L
U' B' F2 R' L' F U'
U2 B' F2 L' F U' B'
B' F2 L' R F U' B
B' F2 L' F R U' B
B' F2 R L' F U' B
