B' U L F2 B U2
B' U L B F2 U2
B' U F2 L B U2
F2 U' B' U L U2
U' B' U L F2 U2
U' B' U F2 L U2
U' B' U' D2 B2 R'
U' B' D2 U' B2 R'
F2 L U B U L R'
F2 L U B U R' L
B' L F2 B U' B' U'
B' L B F2 U' B' U'
B' L' U L2 F2 B U2
B' L' U L2 B F2 U2
B' L' U F2 L2 B U2
B' L' U F2 B L2 U2
B' L' U B L2 F2 U2
B' L' U B F2 L2 U2
B' L' U' D2 R2 F' B2
B' L' U' D2 R2 B2 F'
B' L' D R2 F2 U' F
B' L' D F2 R2 U' F'
B' L' D2 U' R2 F' B2
B' L' D2 U' R2 B2 F'
B L2 R' F D L2 B'
B' L2 U L' F2 B U2
B' L2 U L' B F2 U2
B' L2 U F2 B U2 R
B' L2 U B L' F2 U2
F2 L2 U F B U R'
B' L2 U B F2 U2 R
F2 L2 U B F U R'
B L2 F R' D L2 B'
B L2 F D L2 R' B'
B L2 F D R' L2 B'
F2 R U' B' U L U2
U' R B' U L F2 U2
U' R B' U F2 L U2
U' R B' U' D2 B2 R'
U' R B' D2 U' B2 R'
D' R' U L2 F B U
D' R' U L2 B F U
B R' L2 F D L2 B'
F2 R' U' B' U L U2
R' U' B' U L F2 U2
R' U' B' U F2 L U2
R' U' B' U' D2 B2 R'
R' U' B' D2 U' B2 R'
R2 U' B' U L F2 U2
R2 U' B' U F2 L U2
R2 U' B' U' D2 B2 R'
B R' D L2 D F B2
B R' D L2 D B2 F
B R' D L2 F D B2
R U' B' U L F2 U2
R2 U' B' D2 U' B2 R'
R U' B' U F2 L U2
R U' B' U' D2 B2 R'
R U' B' D2 U' B2 R'
B R' F D L2 F B'
B R' F D L2 B' F
U' R' B' U L F2 U2
U' R' B' U F2 L U2
U' R' B' U' D2 B2 R'
U' R' B' D2 U' B2 R'
B' R2 U L F2 U2 F
D' R2 U L2 F U R
B' R2 U' D2 F' B2 R'
B' R2 U' D2 B2 F' R'
F' R2 U' B' U' B2 R'
F2 R2 U' B' U L U2
F' R2 U2 B R' D L2
F' R2 U2 B D L2 R'
F' R2 U2 B D R' L2
B' R2 D2 U' F' B2 R'
B' R2 D2 U' B2 F' R'
F' R2 B R' D L2 F
F' R2 B D L2 R' F
F' R2 B D L2 F R'
F' R2 B D R' L2 F
U' R2 B' U L F2 U2
U' R2 B' U F2 L U2
U' R2 B' U' D2 B2 R'
U' R2 B' D2 U' B2 R'
B' U L D2 B U2 B
B' U L F2 D B U2
B' U L F2 D' B U2
B' U L F2 D2 B U2
B' U L F2 B U2 D
B' U L F2 B U2 D'
B' U L F2 B U2 D2
B' U L F2 B D U2
B' U L F2 B D' U2
B' U L F2 B D2 U2
B' U L B U2 D2 B2
B' U L B D2 U2 B2
B' U L B F2 U2 D
B' U L B F2 U2 D'
B' U L B F2 U2 D2
B' U L B F2 D U2
B' U L B F2 D' U2
B' U L B F2 D2 U2
B' U L' F2 L2 B U2
B' U L' F2 B L2 U2
B' U L' B L2 F2 U2
B' U L' B F2 L2 U2
B' U L2 F2 B U2 R
B' U L2 B L' F2 U2
B' U L2 B F2 U2 R
B' U D2 L B U2 B
B' U D2 B U2 B R'
B' U F' L F' B U2
B' U F' L B F' U2
B' U F2 L D B U2
B' U F2 L D' B U2
B' U F2 L D2 B U2
B' U F2 L B U2 D
B' U F2 L B U2 D'
B' U F2 L B U2 D2
B' U F2 L B D U2
B' U F2 L B D' U2
B' U F2 L B D2 U2
B' U F2 L' B L2 U2
B' U F2 L2 B L' U2
B' U F2 D L B U2
B' U F2 D' L B U2
B' U F2 D2 L B U2
F2 U B U R' D L2
F2 U B U D L2 R'
F2 U B U D R' L2
F2 U B D U L2 R'
F2 U B D U R' L2
F2 U B D2 F2 U R'
