B' L D2 F' R U R
D' L' U F' R' U B
D L' F U R' F2 U
D L' F U F2 R' U
L' U D' F' R' U B
L' U F' D' R' U B
F2 R' F B' L U R2
F' R' B' D' L B' U
F2 R' B' F L U R2
L' D' U F' R' U B
L D' F' R' B2 U B'
R' D2 F L' F U R
F' D L R' B U B2
F' D R' L B U B2
F' D R' B L U B'
D' F' R' U D2 B R'
D' F' R' D2 U B R'
F' D' L R' B' U B2
F' D' R' L B' U B2
F' D' R' U D' B R'
F' D' R' D' U B R'
L F' D' R' B2 U B'
D F' D2 R' U B R'
F2 D' R' F U B R2
R2 F2 L' B R' U' R2
D' F2 R' F U B R2
F2 D2 R' F L' U R2
R2 F2 B L' R' U' R2
R2 F2 B R' L' U' R2
R2 B R' U' D' F2 R
R2 B R' D' U' F2 R
R2 B F2 L' R' U' R2
R2 B F2 R' L' U' R2
