R2 D F' L' B2
R2 D F' B2 L'
R2 D B2 F' L'
F' U' L' R2 F'
F' U' R2 L' F'
R2 F' L' D B2
R2 F' D L' B2
R2 F' D B2 L'
R2 L D F' L' B2
R2 L D F' B2 L'
F' L U' L2 R2 F'
F' L U' R2 L2 F'
F' L U' R2 F' L2
R2 L D B2 F' L'
R2 L F' L' D B2
R2 L F' D L' B2
R2 L F' D B2 L'
R2 L' D F' L' B2
R2 L' D F' B2 L'
R2 L' D B2 F' L'
F' L' R2 D F' B2
F' L' R2 D B2 F'
F' L' R2 F' D B2
R2 L' F' L' D B2
R2 L' F' D L' B2
R2 L' F' D B2 L'
L' R2 D F' L' B2
L' R2 D F' B2 L'
L' R2 D B2 F' L'
L2 R2 D F' L' B2
L2 R2 D F' B2 L'
R2 L2 D F' L' B2
R2 L2 D F' B2 L'
L R2 D F' L' B2
L2 R2 D B2 F' L'
L R2 D F' B2 L'
R2 L2 D B2 F' L'
L R2 D B2 F' L'
L' R2 F' L' D B2
L' R2 F' D L' B2
L' R2 F' D B2 L'
L2 R2 F' L' D B2
R2 L2 F' L' D B2
L R2 F' L' D B2
L2 R2 F' D L' B2
L2 R2 F' D B2 L'
R2 L2 F' D L' B2
R2 L2 F' D B2 L'
L R2 F' D L' B2
L R2 F' D B2 L'
F' L2 U' L R2 F'
F' L2 U' R2 L F'
F' L2 U' R2 F' L
F' R2 L' D F' B2
F' R2 L' D B2 F'
F' R2 L' F' D B2
F' R2 D L' F' B2
F' R2 D L' B2 F'
F' R2 D B2 L' F'
U' R2 D' F L' F2
F R2 D F' B2 L
F R2 D B2 L F'
F R2 D B2 F' L
R2 D L F' L' B2
R2 D L F' B2 L'
R2 D L B2 F' L'
R2 D L' F' L' B2
R2 D L' F' B2 L'
R2 D L' B2 F' L'
R2 D L2 F' L' B2
R2 D L2 F' B2 L'
R2 D L2 B2 F' L'
U' R2 F2 D' F L'
F R2 F' D B2 L
R2 D F' L B2 L2
R2 D F' L' B2 D
R2 D F' L' B2 D'
R2 D F' L' B2 D2
R2 D F' B L' B
R2 D F' B2 L' D
R2 D F' B2 L' D'
R2 D F' B2 L' D2
R2 D F' B2 D L'
R2 D F' B2 D' L'
R2 D F' B2 D2 L'
F U R U2 R F'
R2 D B F' L' B
R2 D B2 L F' L'
R2 D B2 L' F' L'
R2 D B2 L2 F' L'
R2 D B2 D F' L'
R2 D B2 D' F' L'
R2 D B2 D2 F' L'
R2 D B2 F' L' D
R2 D B2 F' L' D'
R2 D B2 F' L' D2
R2 D B2 F' D L'
R2 D B2 F' D' L'
R2 D B2 F' D2 L'
F' U B U2 L' R2
F' U B U2 R2 L'
F U B R U2 R
F' U' L R2 F' L2
F' U' L' R2 D F'
F' U' L' R2 D' F'
F' U' L' R2 D2 F'
F' U' L' R2 F' D
F' U' L' R2 F' D'
F' U' L' R2 F' D2
F' U' L' F R2 F'
F' U' L' F' R2 F'
F' U' L' F2 R2 F'
F' U' L2 R2 F' L
F' U' R2 L F' L2
F' U' R2 L' D F'
F' U' R2 L' D' F'
F' U' R2 L' D2 F'
F' U' R2 L' F' D
F' U' R2 L' F' D'
F' U' R2 L' F' D2
F' U' R2 L' F' D2
F' U' R2 L2 F' L
F' U' R2 D L' F'
F' U' R2 D' L' F'
F' U' R2 D2 L' F'
F2 U' R2 F L' F2
F' U' F R2 F' L'
F2 U' F L' R2 F'
F2 U' F R2 L' F'
F2 U' F2 R2 F' L'
F U' F' R2 F' L'
F U' F2 L' R2 F'
F U' F2 R2 L' F'
R2 D2 F' D' L' B2
R2 D2 F' D' B2 L'
R2 F' L' U R2 U'
R2 F' L' D B2 D
R2 F' L' D B2 D'
R2 F' L' D B2 D2
R2 F' L' B D B2
R2 F' L' B' D B2
R2 F' L' B2 D B2
R2 F' L2 D L B2
L' F' U' L' R2 F'
L' F' U' R2 L' F'
R2 F' U R2 U' L'
L2 F' U' L' R2 F'
L2 F' U' R2 L' F'
L F' U' L' R2 F'
L F' U' R2 L' F'
R2 F' D L B2 L2
R2 F' D L' B2 D
R2 F' D L' B2 D'
R2 F' D L' B2 D2
R2 F' D B L' B
R2 F' D B2 L' D
R2 F' D B2 L' D'
R2 F' D B2 L' D2
R2 F' D B2 D L'
R2 F' D B2 D' L'
R2 F' D B2 D2 L'
R2 F' D' L' D2 B2
R2 F' B L' D B2
R2 F' B D L' B2
R2 F' B D B2 L'
R2 F' B' L' D B2
R2 F' B' D L' B2
R2 F' B' D B2 L'
R2 F' B2 L' D B2
R2 F' B2 D L' B2
R2 F' B2 D B2 L'
R2 B D F' L' B2
R2 B D F' B2 L'
R2 B D B2 F' L'
R2 B F' L' D B2
R2 B F' D L' B2
R2 B F' D B2 L'
R2 B' D F' L' B2
R2 B' D F' B2 L'
R2 B' D B2 F' L'
R2 B' F' L' D B2
R2 B' F' D L' B2
R2 B' F' D B2 L'
R2 B2 D F' L' B2
R2 B2 D F' B2 L'
R2 B2 D B2 F' L'
R2 B2 F' L' D B2
R2 B2 F' D L' B2
R2 B2 F' D B2 L'
U' L R2 D' F L' F2
F L R2 D F' B2 L
F L R2 D B2 L F'
F L R2 D B2 F' L
F' L R2 F' L2 D B2
U' L R2 F2 D' F L'
F L R2 F' D B2 L
U L R2 F' D' L2 B'
F' L U R2 F' L2 B'
F L U R U2 R F'
R2 L D L F' L' B2
R2 L D L F' B2 L'
R2 L D L B2 F' L'
R2 L D L' F' L' B2
R2 L D L' F' B2 L'
R2 L D L' B2 F' L'
R2 L D L2 F' L' B2
R2 L D L2 F' B2 L'
R2 L D L2 B2 F' L'
F' L U B U2 L2 R2
F' L U B U2 R2 L2
U L U F U R2 F'
F' L U' L R2 F' L
F L U B R U2 R
F' L U' L2 R2 D F'
F' L U' L2 R2 D' F'
F' L U' L2 R2 D2 F'
F' L U' L2 R2 F' D
F' L U' L2 R2 F' D'
F' L U' L2 R2 F' D2
F' L U' L2 F R2 F'
F' L U' L2 F' R2 F'
F' L U' L2 F2 R2 F'
R2 L D F' L B2 L2
R2 L D F' L' B2 D
R2 L D F' L' B2 D'
R2 L D F' L' B2 D2
R2 L D F' B L' B
R2 L D F' B2 L' D
R2 L D F' B2 L' D'
R2 L D F' B2 L' D2
R2 L D F' B2 D L'
R2 L D F' B2 D' L'
R2 L D F' B2 D2 L'
F' L U' R2 L F' L
F' L U' R2 L2 D F'
F' L U' R2 L2 D' F'
F' L U' R2 L2 D2 F'
F' L U' R2 L2 F' D
F' L U' R2 L2 F' D'
F' L U' R2 L2 F' D2
F' L U' R2 F L2 F2
F' L U' R2 F' L2 D
F' L U' R2 F' L2 D'
F' L U' R2 F' L2 D2
R2 L D B F' L' B
F2 L U' R2 F L' F2
R2 L D B2 L F' L'
R2 L D B2 L' F' L'
R2 L D B2 L2 F' L'
F' L U' F L2 R2 F'
R2 L D B2 D F' L'
R2 L D B2 D' F' L'
R2 L D B2 D2 F' L'
F' L U' F R2 L2 F'
R2 L D B2 F' L' D
R2 L D B2 F' L' D'
R2 L D B2 F' L' D2
F' L U' F R2 F' L2
R2 L D B2 F' D L'
R2 L D B2 F' D' L'
R2 L D B2 F' D2 L'
F' L U' F' L2 R2 F'
F' L U' F' R2 L2 F'
F' L U' F' R2 F' L2
F2 L U' F L' R2 F'
F2 L U' F R2 L' F'
F' L U' F2 L2 R2 F'
F' L U' F2 R2 L2 F'
F' L U' F2 R2 F' L2
F2 L U' F2 R2 F' L'
F L U' F' R2 F' L'
F L U' F2 L' R2 F'
F L U' F2 R2 L' F'
U L U2 R2 F' D' L2
R2 L D2 F' D' L' B2
R2 L D2 F' D' B2 L'
R2 L F' L' U R2 U'
R2 L F' L' D B2 D
R2 L F' L' D B2 D'
R2 L F' L' D B2 D2
R2 L F' L' B D B2
R2 L F' L' B' D B2
R2 L F' L' B2 D B2
R2 L F' L2 D L B2
R2 L F' U R2 U' L'
R2 L F' D L B2 L2
R2 L F' D L' B2 D
R2 L F' D L' B2 D'
R2 L F' D L' B2 D2
R2 L F' D B L' B
R2 L F' D B2 L' D
R2 L F' D B2 L' D'
R2 L F' D B2 L' D2
R2 L F' D B2 D L'
R2 L F' D B2 D' L'
R2 L F' D B2 D2 L'
R2 L F' D' L' D2 B2
R2 L F' B L' D B2
R2 L F' B D L' B2
R2 L F' B D B2 L'
R2 L F' B' L' D B2
R2 L F' B' D L' B2
R2 L F' B' D B2 L'
R2 L F' B2 L' D B2
R2 L F' B2 D L' B2
R2 L F' B2 D B2 L'
F' L F U' L2 R2 F'
F' L F U' R2 L2 F'
F' L F U' R2 F' L2
