R' U2 B L2 U L
L2 R U2 F' L2 U' L'
U' L' R' U' L' B U
U' L' R' U' B L' U
D2 L' R2 F L U' L'
D2 L' U R2 F L U'
D2 L' U F L R2 U'
D2 L' U F R2 L U'
U' L' U F2 R F' U'
D2 L' F L R2 U' L'
D2 L' F R2 L U' L'
D' L' F' B2 R D' F2
R L2 U2 F' L2 U' L'
D' L' B2 F' R D' F2
U2 L2 D' F' U L R
U2 L2 D' F' U R L
L' U F2 L R F' U'
L' U F2 R L F' U'
L' U F2 R F' L U'
R' U B L2 U F L
F R D' F' U' L' B2
F R D' F' U' B2 L'
R' U' L' U' L' B U
R' U' L' U' B L' U
R2 U' L' U' L' B' U
F R D2 F' R2 U' L'
F2 R F' U2 L2 U L2
F R F' U' D' L' B2
F R F' U' D' B2 L'
F R F' U2 L2 U L
F R F' D' U' L' B2
F R F' D' U' B2 L'
F R F' D2 R2 U' L'
R2 U' D' L' B' R' B'
R2 U' D' B' R' B' L'
U' R' L' U' L' B U
U' R' L' U' B L' U
U R' U B L2 U L
U' R' U' B L2 U L
R2 U' B D' B2 L' R'
R2 U' B D' B2 R' L'
B' R' U2 B L2 U L
R' U' B' D' L' R2 B2
R' U' B' D' L' B2 R2
R' U' B' D' R2 L' B2
R' U' B' D' R2 B2 L'
B2 R' U2 B L2 U L
F R' U2 L2 B U L
R' U' B' D' B2 L' R2
R' U' B' D' B2 R2 L'
R2 U' B' R' D' L' B2
R2 U' B' R' D' B2 L'
B R' U2 B L2 U L
L' U' B2 L' R' B U
F R' U2 B L2 U L'
L' U' B2 R' L' B U
R2 U' B' D' L' R' B2
R2 U' B' D' R' L' B2
R2 U' B' D' R' B2 L'
L' U' B2 R' B L' U
F2 R' D2 R2 F' U' L2
R' U2 L' B L' U L
F R' D2 R2 F' U' L'
R2 U2 L' B' L' U L
R U2 L2 U2 F' U' L
U2 R' B L2 R U L
U2 R' B R L2 U L
U R' B L2 U F L
U' R' B' D' L' R2 B2
U' R' B' D' L' B2 R2
U' R' B' D' R2 L' B2
U' R' B' D' R2 B2 L'
U' R' B' D' B2 L' R2
U' R' B' D' B2 R2 L'
R' U2 D' B U L' B
R' U2 D' B U B L'
D2 R2 L' F L U' L'
D2 R2 U' L' U F U'
R' U2 B L2 U L D
