F L U L2 B' U L
F L' U B' U L B
F L' B' R2 U L F'
F L' B' R2 U F' L
F L2 U L B' U L
L' U F B' L' U L2
L' U B' U D' L B'
L' U B' D' U L B'
L' U B' F L' U L2
U2 R B' D' L R2 B'
U2 R B' D' L B' R2
U2 R B' D' R2 L B'
F U L' B' U L R'
F U L' B' U R' L
F U B' L' U L2 R'
F U B' L' U R' L2
U F L' B' U L R'
U F L' B' U R' L
L' F U B' L' U L2
U F B' L' U L2 R'
U F B' L' U R' L2
U B' U L D R' B
U B' U R' D' L B'
U B' U D L R' B
U B' U D R' L B
U B' U D' L R' B'
U B' U D' R' L B'
U B' D U L R' B
U B' D U R' L B
U B' D' U L R' B'
U B' D' U R' L B'
U B' F L' U L2 R'
U B' F L' U R' L2
