F2 L F U' F2 B'
F2 L F U' B' F2
F' L F U' F B'
F' L F U' B' F
F L F U' F' B'
F L F U' B' F'
U' L B' L' F R
D2 R' U' F B R
D2 R' U' B F R
D2 U' R' F B R
D2 U' R' B F R
D2 U' R2 F R B
D2 U' F R' B R2
D2 U' F R' B R2
U' D2 R' F B R
U' D2 R' B F R
U' D2 R2 F R B
U' D2 F R' B R2
U' F L R B' L'
U' F L B' L' R
U' F L B' R L'
U' F R L B' L'
U' F R2 D2 R' B
U' F D2 R' B R2
F' L R F U' F B'
F' L R F U' B' F
F L R F U' F' B'
F L R F U' B' F'
U' L R B' L' F R
F' L R' F U' F B'
F' L R' F U' B' F
F L R' F U' F' B'
F L R' F U' B' F'
U' L R' B' L' F R
U' L R' B' L' F R
F' L R2 F U' F B'
F' L R2 F U' B' F
F L R2 F U' F' B'
F L R2 F U' B' F'
U' L R2 B' L' F R
F2 L U' F' D R2 B'
F2 L U' F' D B' R2
F2 L U' F' B' D R2
F2 L U' B' F' D R2
U' L U2 B' L' R' F
U' L U2 B' L' F R'
U' L U2 B' R' L' F
F2 L D F U' F2 B'
F2 L D F U' B' F2
F L D F U' F' B'
F L D F U' B' F'
F2 L D' F U' F2 B'
F2 L D' F U' B' F2
F L D' F U' F' B'
F L D' F U' B' F'
F2 L D2 F U' F2 B'
F2 L D2 F U' B' F2
F L D2 F U' F' B'
F L D2 F U' B' F'
F' L F R U' F B'
F' L F R U' B' F
F' L F R' U' F B'
F' L F R' U' B' F
F2 L F R U' F2 B'
F2 L F R U' B' F2
F' L F R2 U' F B'
F' L F R2 U' B' F
F2 L F R' U' F2 B'
F2 L F R' U' B' F2
F2 L F R2 U' F2 B'
F2 L F R2 U' B' F2
F' L F U' D F B'
F' L F U' D B' F
F' L F U' D' F B'
F' L F U' D' B' F
F' L F U' D2 F B'
F' L F U' D2 B' F
F' L F U' F D B'
F' L F U' F D' B'
F' L F U' F D2 B'
F' L F U' F B' D
F' L F U' F B' D'
F' L F U' F B' D2
F' L F U' B' D F
F' L F U' B' D' F
F' L F U' B' D2 F
F' L F U' B' F D
F' L F U' B' F D'
F' L F U' B' F D2
F2 L F U' F2 D B'
F2 L F U' F2 D' B'
F2 L F U' F2 D2 B'
F2 L F U' F2 B' D
F2 L F U' F2 B' D'
F2 L F U' F2 B' D2
F2 L F U' B' F2 D
F2 L F U' B' F2 D'
F2 L F U' B' F2 D2
D L F U2 L' U F
F' L F D U' F B'
F' L F D U' B' F
F L F U' D F' B'
F L F U' D B' F'
F L F U' D' F' B'
F L F U' D' B' F'
F L F U' D2 F' B'
F L F U' D2 B' F'
F L F U' F' D B'
F L F U' F' D' B'
F L F U' F' D2 B'
F L F U' F' B' D
F L F U' F' B' D'
F L F U' F' B' D2
F' L F D' U' F B'
F' L F D' U' B' F
F L F U' B' D F'
F L F U' B' D' F'
F L F U' B' D2 F'
F L F U' B' F' D
F L F U' B' F' D'
F L F U' B' F' D2
F' L F D2 U' F B'
F' L F D2 U' B' F
F L F D U' F' B'
F L F D U' B' F'
F L F D' U' F' B'
F L F D' U' B' F'
F L F D2 U' F' B'
F L F D2 U' B' F'
U' L B L' F R B2
U' L B L' F B2 R
U' L B L' B2 F R
U L B L B' U2 B'
U' L B' L' R F R
U' L B' L' R' F R
U' L B' L' R2 F R
U' L B' L' D F R
U' L B' L' D' F R
U' L B' L' D2 F R
U' L B' L' F R D
U' L B' L' F R D'
U' L B' L' F R D2
U' L B' L' F D R
U' L B' L' F D' R
U' L B' L' F D2 R
U' L B' R L' F R
U' L B' R' L' F R
U' L B' R2 L' F R
F L B' U F B U'
U L B' R' F2 L' F
F L B' U B F U'
U' L B2 L' F B R
U' L B2 L' B F R
F' L' D' L2 F U' B'
U L' F L U2 F R
U L' F L' B' U2 R'
U L' F B L U2 F
U L' F B' U2 R' F'
U L' B F L U2 F
U L' B' F U2 R' F'
U L2 B L F B2 U2
U L2 B L B2 F U2
U L2 B' L F U2 R'
U L2 B' L' U2 R' B'
U L2 B' U2 R B R2
F' R L F U' F B'
F' R L F U' B' F
U' R L B' L' F R
F R L F U' F' B'
F R L F U' B' F'
D2 R U' R F R B
D2 R U' R2 F B R
D2 R U' R2 B F R
D2 R U' F R D2 B2
D2 R U' F D2 R B2
D2 R U' F D2 B2 R
R' U' L B' L' F R
U' R D2 R' F B R
U' R D2 R' B F R
U' R D2 R2 F R B
U' R D2 F R' B R2
R2 U' L B' L' F R
U' R F L R B' L'
U' R F L B' L' R
U' R F L B' R L'
R U' L B' L' F R
U' R F R L B' L'
U' R F R2 D2 R' B
U' R F D2 R' B R2
R' U' D2 R' F B R
R' U' D2 R' B F R
R' U' D2 R2 F R B
R' U' D2 F R' B R2
F' R' L F U' F B'
F' R' L F U' B' F
U' R' L B' L' F R
R' U' F L R B' L'
R' U' F L B' L' R
R' U' F L B' R L'
R2 U' D2 R' F B R
R' U' F R L B' L'
R2 U' D2 R' B F R
R2 U' D2 R2 F R B
R2 U' D2 F R' B R2
R' U' F R2 D2 R' B
F R' L F U' F' B'
F R' L F U' B' F'
R U' D2 R' F B R
R U' D2 R' B F R
R U' D2 R2 F R B
R U' D2 F R' B R2
R2 U' F L R B' L'
R2 U' F L B' L' R
R2 U' F L B' R L'
R' U' F D2 R' B R2
R2 U' F R L B' L'
R U' F L R B' L'
R2 U' F R2 D2 R' B
R U' F L B' L' R
R U' F L B' R L'
R U' F R L B' L'
R U' F R2 D2 R' B
R2 U' F D2 R' B R2
R U' F D2 R' B R2
D2 R' U' R' F R B
D2 R' U' D F B R
D2 R' U' D B F R
D2 R' U' D' F B R
D2 R' U' D' B F R
D2 R' U' D2 F B R
D2 R' U' D2 B F R
D2 R' U' F D B R
D2 R' U' F D' B R
D2 R' U' F D2 B R
D2 R' U' F B R D
D2 R' U' F B R D'
D2 R' U' F B R D2
D2 R' U' F B D R
D2 R' U' F B D' R
D2 R' U' F B D2 R
D2 R' U' F B' R B2
D2 R' U' F B2 R B'
D2 R' U' B R F R
D2 R' U' B R' F R
D2 R' U' B R2 F R
D2 R' U' B D F R
D2 R' U' B D' F R
D2 R' U' B D2 F R
D2 R' U' B F R D
D2 R' U' B F R D'
D2 R' U' B F R D2
D2 R' U' B F D R
D2 R' U' B F D' R
D2 R' U' B F D2 R
D2 R' U' B' F R B2
D2 R' U' B2 F R B'
D2 R' D U' F B R
D2 R' D U' B F R
D2 R' D' U' F B R
D2 R' D' U' B F R
U' R' D2 R' F B R
U' R' D2 R' B F R
D2 R' D2 U' F B R
D2 R' D2 U' B F R
U' R' D2 R2 F R B
U' R' D2 F R' B R2
U' R' F L R B' L'
U' R' F L B' L' R
U' R' F L B' R L'
U' R' F R L B' L'
U' R' F R2 D2 R' B
U' R' F D2 R' B R2
F' R2 L F U' F B'
F' R2 L F U' B' F
U' R2 L B' L' F R
F R2 L F U' F' B'
F R2 L F U' B' F'
F2 R2 U B L U2 B'
U' R2 D2 R' F B R
U' R2 D2 R' B F R
U' R2 D2 R2 F R B
U' R2 D2 F R' B R2
U' R2 F L R B' L'
U' R2 F L B' L' R
U' R2 F L B' R L'
U' R2 F R L B' L'
U' R2 F R2 D2 R' B
U' R2 F D2 R' B R2
F' U L B' R' F2 L'
F' U L' F U2 F R
D2 U L2 B' U2 R' B
U' D F R U' L' U
U' D F U' L' U R
D2 U B' U2 R' F B
D2 U B' U2 R' B F
D2 U B' U2 F R' B
F' U B L U2 F2 B'
F' U B L U2 B' F2
F2 U B L U2 F' B'
F2 U B L U2 B' F'
D2 U' R F R D2 B2
D2 U' R F D2 R B2
D2 U' R F D2 B2 R
D2 U' R' D F B R
D2 U' R' D B F R
D2 U' R' D' F B R
D2 U' R' D' B F R
D2 U' R' D2 F B R
D2 U' R' D2 B F R
D2 U' R' F D B R
D2 U' R' F D' B R
D2 U' R' F D2 B R
D2 U' R' F B R D
D2 U' R' F B R D'
D2 U' R' F B R D2
D2 U' R' F B D R
D2 U' R' F B D' R
D2 U' R' F B D2 R
D2 U' R' F B' R B2
D2 U' R' F B2 R B'
D2 U' R' B R F R
D2 U' R' B R' F R
D2 U' R' B R2 F R
D2 U' R' B D F R
D2 U' R' B D' F R
D2 U' R' B D2 F R
D2 U' R' B F R D
D2 U' R' B F R D'
D2 U' R' B F R D2
D2 U' R' B F D R
D2 U' R' B F D' R
D2 U' R' B F D2 R
D2 U' R' B' F R B2
D2 U' R' B2 F R B'
D2 U' R2 D F R B
D2 U' R2 D' F R B
D2 U' R2 D2 F R B
D2 U' R2 F R D B
D2 U' R2 F R D' B
D2 U' R2 F R D2 B
D2 U' R2 F R B D
D2 U' R2 F R B D'
D2 U' R2 F R B D2
D2 U' R2 F D R B
D2 U' R2 F D' R B
D2 U' R2 F D2 R B
D2 U' R2 F B R B
D2 U' R2 F B' R B
D2 U' R2 F B2 R B
D2 U' R2 B F R B
D2 U' R2 B' F R B
D2 U' R2 B2 F R B
D' U' F R2 D' R' B
U' D' F R2 D' R' B
D2 U' F R U2 F' U2
D2 U' F R' B R2 D
D2 U' F R' B R2 D'
D2 U' F R' B R2 D2
D2 U' F R' B' R2 B2
D2 U' F R' B2 R2 B'
D' U' F D' R' B R2
U' D' F D' R' B R2
D' U' F B R D B2
U' D' F B R D B2
D2 U' F B R' B R2
D2 U' F B' R' B R2
D2 U' F B2 R' B R2
D U' F R U' L' U
D2 U' F' R' F2 B R
D2 U' F' R' B F2 R
D2 U' F' R2 F2 R B
D U' F U' L' U R
D2 U' B R' F B R
D2 U' B R' B F R
D2 U' B R2 F R B
U' D' B F R D B2
D' U' B F R D B2
D2 U' B F R' B R2
D2 U' B' R' F B R
D2 U' B' R' B F R
D2 U' B' R2 F R B
D2 U' B' F R' B R2
D2 U' B2 R' F B R
D2 U' B2 R' B F R
D2 U' B2 R2 F R B
D2 U' B2 F R' B R2
U2 D' B2 U F R B
F2 U' F' U2 L' F U2
R' D2 R' U' F B R
R' D2 R' U' B F R
F' U' F2 D2 R' B R'
F' U' F2 D2 B R' B
R2 D2 R' U' F B R
R2 D2 R' U' B F R
L D2 R F U' F2 B'
L D2 R F U' B' F2
U' D2 R F R D2 B2
U' D2 R F D2 R B2
U' D2 R F D2 B2 R
R D2 R' U' F B R
R D2 R' U' B F R
U' D2 R' D F B R
U' D2 R' D B F R
U' D2 R' D' F B R
U' D2 R' D' B F R
U' D2 R' D2 F B R
U' D2 R' D2 B F R
U' D2 R' F D B R
U' D2 R' F D' B R
U' D2 R' F D2 B R
U' D2 R' F B R D
U' D2 R' F B R D'
U' D2 R' F B R D2
U' D2 R' F B D R
U' D2 R' F B D' R
U' D2 R' F B D2 R
U' D2 R' F B' R B2
U' D2 R' F B2 R B'
U D2 L2 B' U2 R' B
R' D2 U' R' F B R
R' D2 U' R' B F R
R' D2 U' R2 F R B
U' D2 R' B R F R
U' D2 R' B R' F R
U' D2 R' B R2 F R
U' D2 R' B D F R
U' D2 R' B D' F R
R' D2 U' F R' B R2
U' D2 R' B D2 F R
U' D2 R' B F R D
U' D2 R' B F R D'
U' D2 R' B F R D2
U' D2 R' B F D R
U' D2 R' B F D' R
U' D2 R' B F D2 R
U' D2 R' B' F R B2
U' D2 R' B2 F R B'
U' D2 R2 D F R B
U' D2 R2 D' F R B
U' D2 R2 D2 F R B
U' D2 R2 F R D B
U' D2 R2 F R D' B
U' D2 R2 F R D2 B
U' D2 R2 F R B D
U' D2 R2 F R B D'
U' D2 R2 F R B D2
U' D2 R2 F D R B
U' D2 R2 F D' R B
U' D2 R2 F D2 R B
U' D2 R2 F B R B
U' D2 R2 F B' R B
U' D2 R2 F B2 R B
R2 D2 U' R' F B R
R2 D2 U' R' B F R
U' D2 R2 B F R B
R2 D2 U' R2 F R B
U' D2 R2 B' F R B
R2 D2 U' F R' B R2
U' D2 R2 B2 F R B
U' D2 F R U2 F' U2
U' D2 F R' B R2 D
U' D2 F R' B R2 D'
U' D2 F R' B R2 D2
U' D2 F R' B' R2 B2
U' D2 F R' B2 R2 B'
R D2 U' R' F B R
R D2 U' R' B F R
R D2 U' R2 F R B
R D2 U' F R' B R2
U' D2 F B R' B R2
U' D2 F B' R' B R2
U' D2 F B2 R' B R2
U' D2 F' R' F2 B R
U' D2 F' R' B F2 R
U' D2 F' R2 F2 R B
L D2 F R U' F' B'
L D2 F R U' B' F'
U' D2 B R' F B R
U' D2 B R' B F R
U' D2 B R2 F R B
U' D2 B F R' B R2
U' D2 B' R' F B R
U' D2 B' R' B F R
U' D2 B' R2 F R B
U' D2 B' F R' B R2
U' D2 B2 R' F B R
U' D2 B2 R' B F R
U' D2 B2 R2 F R B
D' U2 B2 U F R B
U' D2 B2 F R' B R2
U' F L R D B' L'
U' F L R D' B' L'
U' F L R D2 B' L'
U' F L R B L' B2
U' F L R B' L' D
U' F L R B' L' D'
U' F L R B' L' D2
U' F L R B' D L'
U' F L R B' D' L'
U' F L R B' D2 L'
U' F L R B2 L' B
U' F L R' B' L' R2
U' F L R' B' R2 L'
U D2 B' U2 R' F B
U D2 B' U2 R' B F
U' F L D R B' L'
U D2 B' U2 F R' B
U' F L D B' L' R
U' F L D B' R L'
U' F L D' R B' L'
U' F L D' B' L' R
U' F L D' B' R L'
U' F L D2 R B' L'
U' F L D2 B' L' R
U' F L D2 B' R L'
R' F L F U' F' B'
R' F L F U' B' F'
U' F L B L' R B2
U' F L B L' B2 R
U' F L B R L' B2
U' F L B R B2 L'
U' F L B' L' R D
U' F L B' L' R D'
U' F L B' L' R D2
U' F L B' L' D R
U' F L B' L' D' R
U' F L B' L' D2 R
U' F L B' R L' D
U' F L B' R L' D'
U' F L B' R L' D2
U' F L B' R D L'
U' F L B' R D' L'
U' F L B' R D2 L'
U' F L B' D L' R
U' F L B' D R L'
U' F L B' D' L' R
U' F L B' D' R L'
U' F L B' D2 L' R
U' F L B' D2 R L'
U' F L B2 L' B R
R2 F L F U' F' B'
R2 F L F U' B' F'
R F L F U' F' B'
R F L F U' B' F'
U' F R L D B' L'
U' F R L D' B' L'
U' F R L D2 B' L'
U' F R L B L' B2
U' F R L B' L' D
U' F R L B' L' D'
U' F R L B' L' D2
U' F R L B' D L'
U' F R L B' D' L'
U' F R L B' D2 L'
U' F R L B2 L' B
U' F R U' L U B'
U' F R D2 R' B R
U' F R B L B' L'
U' F R B' L B' L'
U' F R B2 L B' L'
U' F R' L B' L' R2
U' F R' L B' R2 L'
U' F R2 D2 R' D B
U' F R2 D2 R' D' B
U' F R2 D2 R' D2 B
U' F R2 D2 R' B D
U' F R2 D2 R' B D'
U' F R2 D2 R' B D2
U' F U' L U R B'
U' F U' L U B' R
U' F U2 L U2 R B'
U' F U2 L U2 B' R
U' F U2 L2 U2 R B
U' F U2 F2 L' F U2
L F U' L' F L B'
U' F D R2 D R' B
L F U' B' L' F L
U' F D' R2 D' R' B
U' F D' B R D B2
U' F D2 R U2 F' U2
U' F D2 R' B R2 D
U' F D2 R' B R2 D'
U' F D2 R' B R2 D2
U' F D2 R' B' R2 B2
U' F D2 R' B2 R2 B'
U' F D2 B R' B R2
U' F D2 B' R' B R2
U' F D2 B2 R' B R2
U' F B L R B' L'
U' F B L B' L' R
U' F B L B' R L'
U' F B R L B' L'
U' F B R2 D2 R' B
U' F B D2 R' B R2
U' F B' L R B' L'
U' F B' L B' L' R
U' F B' L B' R L'
U' F B' R L B' L'
U' F B' R2 D2 R' B
L F D2 R U' F' B'
L F D2 R U' B' F'
U' F B' D2 R' B R2
U' F B2 L R B' L'
U' F B2 L B' L' R
U' F B2 L B' R L'
U' F B2 R L B' L'
U' F B2 R2 D2 R' B
U' F B2 D2 R' B R2
R' F' L F U' F B'
R' F' L F U' B' F
U' F' L B' L' F2 R
D F' L R F U' F
U' F' L' F U2 F L
R2 F' L F U' F B'
R2 F' L F U' B' F
U F' L B' R' F2 L'
R F' L F U' F B'
R F' L F U' B' F
U F' L' F U2 F R
D F' R L F U' F
F D F' R U' F R
F2 D F2 U' F R B
D F' R U' F R F
D F' R F U' F R
U' F' U2 L' F U2 F
U F' B L U2 F2 B'
U F' B L U2 B' F2
R' F2 L F U' F2 B'
R' F2 L F U' B' F2
U' F2 L B' L' F' R
R2 F2 L F U' F2 B'
R2 F2 L F U' B' F2
D F2 L F R U' F2
R F2 L F U' F2 B'
R F2 L F U' B' F2
B' D' B R' U' F R
D F2 U' F R F2 B
D F2 U' F R B F2
U' F2 D2 F' R' B R'
U' F2 D2 F' B R' B
U' F2 D2 B F' R' B
U F2 B L U2 F' B'
U F2 B L U2 B' F'
U' B L B' L' F R
D' B R' B' U' F R
U B L2 B' L' U2 B'
U' B D2 R' F B R
U' B D2 R' B F R
U' B D2 R2 F R B
U' B D2 F R' B R2
U' B F L R B' L'
U' B F L B' L' R
U' B F L B' R L'
U' B F R L B' L'
U' B F R2 D2 R' B
U' B F D2 R' B R2
U B F' L U2 F2 B'
U B F' L U2 B' F2
U' B' L B' L' F R
U B F2 L U2 F' B'
U B F2 L U2 B' F'
U B' L' F U2 R' F'
U B' U2 D2 R' F B
U B' U2 D2 R' B F
U B' U2 D2 F R' B
U B' U2 F D2 R' B
U' B' D2 R' F B R
U' B' D2 R' B F R
U' B' D2 R2 F R B
U' B' D2 F R' B R2
U' B' F L R B' L'
U' B' F L B' L' R
U' B' F L B' R L'
U' B' F R L B' L'
U' B' F R2 D2 R' B
U' B' F D2 R' B R2
U B' D2 U2 R' F B
U B' D2 U2 R' B F
U B' D2 U2 F R' B
U' B2 L B' L' F R
U B2 L2 B' L F U2
U' B2 D2 R' F B R
U' B2 D2 R' B F R
