U' F U R B U
F L U F' U F2 R
L2 R D' B R' U B2
L2 R B L' U F B2
L2 R B L' U B2 F
R L2 D' B R' U B2
R L2 B L' U F B2
R L2 B L' U B2 F
L U L B' L' F R
L2 U L' F L R B'
L2 U L' F L B' R
L2 U L' F R L B'
L2 U D2 F R F' B'
L2 U D2 F R B' F'
L2 U D2 F B' R F'
L U D2 R' F B R
L U D2 R' B F R
L U D2 R2 F R B
L U D2 F R' B R2
L2 U D2 B' F R F'
L U F L R B' L'
L U F L B' L' R
L U F L B' R L'
L U F R L B' L'
L U F R2 D2 R' B
L2 U F D2 R F' B'
L2 U F D2 R B' F'
L2 U F D2 B' R F'
L2 U F B' D2 R F'
L U F D2 R' B R2
U2 R U F B L U2
U2 R U B F L U2
L2 U B' L' F L R
L2 U B' L' F R L
L2 U B' D2 F R F'
L2 U B' F D2 R F'
R' U' F U' F2 L' U'
R U' F U B R U
L2 U' B L B' U2 B'
L2 U' B' R' F2 L' F
U' D F U R B U
F U F' U' L' B' U2
L2 D' R B R' U B2
D' U' F U R B U
U' D' F U R B U
D2 U' F U R B U
D U' F U R B U
L D' B2 U F R B
B' U' F U R B U
B2 U' F U R B U
B U' F U R B U
L2 D2 R B U F' B2
L2 D2 R B U B2 F'
L2 D2 U F R F' B'
L2 D2 U F R B' F'
L2 D2 U F B' R F'
L2 D2 U B' F R F'
L D2 U R' F B R
L D2 U R' B F R
L D2 U R2 F R B
L D2 U F R' B R2
U' D2 F U R B U
U' F L U R B U
U' F L' U R B U
U' F L2 U R B U
U' F U R D B U
U' F U R D' B U
U' F U R D2 B U
U' F U R B U D
U' F U R B U D'
U' F U R B U D2
U' F U R B D U
U' F U R B D' U
U' F U R B D2 U
U' F U D R B U
U' F U D' R B U
U' F U D2 R B U
U' F U B R B U
U' F U B' R B U
U' F U B2 R B U
U' F U2 F D R F'
U' F D U R B U
U' F D' U R B U
U' F D2 U R B U
U' F B L U R U
U' F B' U R U R2
U' F B' U2 R' D' F2
L2 B L' U F R B2
L2 B L' U F B2 R
L2 B L' U B2 F R
R B U' F U R U
U' B F L U R U
U' B' F U R U R2
U' B' F U2 R' D' F2
L2 B2 L' U F B R
L2 B2 L' U B F R
