U B' L U' B
B' L F2 R U' R'
U R B' L U' B
B R' U R D L2
B R' U D L2 R
B R' U D R L2
B R' U2 B2 U' R
B R' D U L2 R
B R' D U R L2
U R' B' L U' B
R' U2 B' L U' R
R2 U2 B' L U' R2
U R2 B' L U' B
F' U B' L U' B
F2 U B' L U' B
F U B' L U' B
B U B2 L U' B2
B D R' U L2 R
B D R' U R L2
B D2 F2 R' U R
U2 B' L U L' U2
U2 B' L F2 U' R
U B' L U' D B
U B' L U' D' B
U B' L U' D2 B
U B' L U' B D
U B' L U' B D'
U B' L U' B D2
U B' L D U' B
U B' L D' U' B
U B' L D2 U' B
U B' D L U' B
U B' D' L U' B
U B' D2 L U' B
B' L R U2 L' U R'
B' L R F2 R U' R2
B' L R' U2 L' U R
B' L R2 U2 L' U R2
B' L R2 D' F2 R U'
B' L R2 F2 R U' R
B' L U2 L' U' L U2
B' L U2 L' B2 U R'
B' L D F2 R U' R'
B' L D' F2 R U' R'
B' L D2 F2 R U' R'
B' L F R' U' R B
B' L F2 R U' R' D
B' L F2 R U' R' D'
B' L F2 R U' R' D2
B' L F2 R U' D R'
B' L F2 R U' D' R'
B' L F2 R U' D2 R'
B' L F2 R D U' R'
B' L F2 R D' U' R'
B' L F2 R D2 U' R'
B' L F2 R F U' R'
B' L F2 R F' U' R'
B' L F2 R F2 U' R'
B' L F2 D R U' R'
B' L F2 D' R U' R'
B' L F2 D2 R U' R'
B L' U B2 L R' U'
B L' U B2 R' L U'
D L' D F L' D' B2
U2 L' B' L B' U' R'
U L' B' L B' U' B2
B L' B2 L R' U' R
B L' B2 R' L U' R
D L2 U' F L2 R U
D L2 U' F R L2 U
B' L2 D2 L' R2 U' R2
B' L2 D2 R2 L' U' R2
R' U R U B' L U'
R U R' U B' L U'
R2 U R2 U B' L U'
B' R L U2 L' U R'
B' R L F2 R U' R2
U2 R U' R' B' L U'
R' U B' L U' B R
L' U B' L B' R' U'
U' R U2 B' L U' B
R2 U B' L U' B R2
R U B' L U' B R'
L' U' L U2 B' L U'
L2 U' L2 U2 B' L U'
U R B' L U' D B
U R B' L U' D' B
U R B' L U' D2 B
U R B' L U' B D
U R B' L U' B D'
U R B' L U' B D2
U R B' L D U' B
U R B' L D' U' B
U R B' L D2 U' B
U R B' D L U' B
U R B' D' L U' B
U R B' D2 L U' B
B' R' L U2 L' U R
B2 R' U R' F' L' R2
B2 R' U R' F' R2 L'
B R' U L R D L2
B R' U L D L2 R
B R' U L D R L2
B R' U L' R D L2
B R' U L' D L2 R
B R' U L' D R L2
B R' U L2 R D L2
B R' U L2 D L2 R
B R' U L2 D R L2
B R' U R L D L2
B R' U R L' D L2
B R' U R L2 D L2
B R' U R U B2 U'
B R' U R D L2 D
B R' U R D L2 D'
B R' U R D L2 D2
B R' U R2 D L2 R'
B R' U R2 D R' L2
B R' U D L2 R D
B R' U D L2 R D'
B R' U D L2 R D2
B R' U D L2 D R
B R' U D L2 D' R
B R' U D L2 D2 R
B R' U D R L2 D
B R' U D R L2 D'
B R' U D R L2 D2
B R' U D2 R D' L2
U2 R' U' R B' L U'
B R' U' D' R2 U2 R'
U2 R' U' B' L R U'
U2 R' U' B' R L U'
U' R' U2 B' L U' B
F' R' U2 B' L U' R
F2 R' U2 B' L U' R
B R' U2 B2 U' R D
B R' U2 B2 U' R D'
B R' U2 B2 U' R D2
B R' U2 B2 U' D R
B R' U2 B2 U' D' R
B R' U2 B2 U' D2 R
B R' U2 B2 D U' R
B R' U2 B2 D' U' R
B R' U2 B2 D2 U' R
F R' U2 B' L U' R
B R' D U L2 R D
B R' D U L2 R D'
B R' D U L2 R D2
B R' D U L2 D R
B R' D U L2 D' R
B R' D U L2 D2 R
B R' D U R L2 D
B R' D U R L2 D'
B R' D U R L2 D2
B R' D B U L2 R
B R' D B U R L2
B R' D B' U L2 R
B R' D B' U R L2
B R' D B2 U L2 R
B R' D B2 U R L2
B R' D' U' R2 U2 R'
B R' D2 U R D' L2
B R' D2 F2 U' L' U2
B R' F2 D2 F2 U R
B R' B U2 B U' R
B2 R' B' R' F' U R2
U R' B' L U' D B
U R' B' L U' D' B
U R' B' L U' D2 B
U R' B' L U' B D
U R' B' L U' B D'
U R' B' L U' B D2
U R' B' L D U' B
U R' B' L D' U' B
U R' B' L D2 U' B
B R' B' U2 B' U' R
U R' B' D L U' B
U R' B' D' L U' B
R' U2 D' B' U' R F'
U R' B' D2 L U' B
B' R2 L U2 L' U R2
B' R2 L D' F2 R U'
B' R2 L F2 R U' R
R2 U2 F B' L U' R2
R2 U2 F' B' L U' R2
U2 R2 U' R2 B' L U'
R2 U2 F2 B' L U' R2
U2 R2 U' B' L R2 U'
R' U2 B' L U' R D
R' U2 B' L U' R D'
R' U2 B' L U' R D2
R' U2 B' L U' D R
R' U2 B' L U' D' R
R' U2 B' L U' D2 R
R' U2 B' L D U' R
R' U2 B' L D' U' R
U2 R2 U' B' R2 L U'
R' U2 B' L D2 U' R
R' U2 B' D L U' R
U' R2 U2 B' L U' B
F' R2 U2 B' L U' R2
R' U2 B' D' L U' R
R' U2 B' D2 L U' R
R2 U2 B' L U' R2 D
R2 U2 B' L U' R2 D'
R2 U2 B' L U' R2 D2
F2 R2 U2 B' L U' R2
R2 U2 B' L D' F2 U'
R2 U2 B' L F U' R2
R2 U2 B' L F' U' R2
R2 U2 B' L F2 U' R2
R2 U2 B' D' L F2 U'
F R2 U2 B' L U' R2
R2 U2 B' D' F2 L U'
R2 U2 B' F L U' R2
B R2 D R B2 U L2
R2 U2 B' F' L U' R2
R2 U2 B' F2 L U' R2
B' R2 D' L F2 R U'
B R2 D B2 R U L2
L' D L' F D' L' B2
L' D L' F D' B2 L'
B2 R2 F' R' U R' F'
B2 R2 F' U R' F' R'
B2 R2 F' B' R' U R'
B2 R2 B' F' R' U R'
U R2 B' L U' D B
U R2 B' L U' D' B
U R2 B' L U' D2 B
U R2 B' L U' B D
U R2 B' L U' B D'
U R2 B' L U' B D2
U R2 B' L D U' B
U R2 B' L D' U' B
U R2 B' L D2 U' B
U R2 B' D L U' B
U R2 B' D' L U' B
U R2 B' D2 L U' B
L' D F L' D' F B2
L' D F L' D' B2 F
L' D F L' F D' B2
B U L B2 L U' B2
B U L' B2 L U' B2
B U L2 B2 L U' B2
D' U R B' U' F' B
D' U R B' U' B F'
F' U R B' L U' B
F2 U R B' L U' B
F' U R' B' L U' B
F U R B' L U' B
F2 U R' B' L U' B
F' U R2 B' L U' B
F U R' B' L U' B
F2 U R2 B' L U' B
F U R2 B' L U' B
D U B' L' U' F B
D U B' L' U' B F
U D B' L' U' F B
U D B' L' U' B F
B2 U B R' U' F' B'
B2 U B R' U' B' F'
F' U B' L U' D B
F' U B' L U' D' B
F' U B' L U' D2 B
F' U B' L U' B D
F' U B' L U' B D'
F' U B' L U' B D2
F' U B' L D U' B
F' U B' L D' U' B
F' U B' L D2 U' B
F2 U B' L U' D B
F2 U B' L U' D' B
F2 U B' L U' D2 B
F2 U B' L U' B D
F2 U B' L U' B D'
F2 U B' L U' B D2
F2 U B' L D U' B
F2 U B' L D' U' B
F2 U B' L D2 U' B
F' U B' D L U' B
F' U B' D' L U' B
F' U B' D2 L U' B
F2 U B' D L U' B
F2 U B' D' L U' B
F2 U B' D2 L U' B
F U B' L U' D B
F U B' L U' D' B
F U B' L U' D2 B
F U B' L U' B D
F U B' L U' B D'
F U B' L U' B D2
F U B' L D U' B
F U B' L D' U' B
F U B' L D2 U' B
B U B2 L R U' B2
B U B2 L R' U' B2
B U B2 L R2 U' B2
F U B' D L U' B
B U B2 L U' B2 D
B U B2 L U' B2 D'
B U B2 L U' B2 D2
B U B2 L D' R2 U'
F U B' D' L U' B
F U B' D2 L U' B
B U B2 R L U' B2
B U B2 R' L U' B2
B U B2 R2 L U' B2
R' D' U2 B' U' R F'
B U B2 D' L R2 U'
B U B2 D' R2 L U'
U D' R B' U' F' B
U D' R B' U' B F'
B U' R' U2 B2 U' B2
B' U2 L U L' U2 L
B U2 L' B2 L U' R'
L2 F L2 B R' U R
F' U2 B' L U L' U2
F' U2 B' L F2 U' R
F2 U2 B' L U L' U2
F2 U2 B' L F2 U' R
D2 F U B' L' U' B
F U2 B' L U L' U2
F U2 B' L F2 U' R
B U2 B2 L U L' U2
B U2 B2 L F2 U' R
B' D L F2 R U' R'
U F U F' B' L U'
U2 F U' B' L U' B
U F U B' L F' U'
U F U B' F' L U'
R2 F U2 B' L U' R2
B D L2 U' L2 R' U
B D L2 U' R' L2 U
L2 F B L2 R' U R
B D R' U L2 R D
B D R' U L2 R D'
B D R' U L2 R D2
B D R' U L2 D R
B D R' U L2 D' R
B D R' U L2 D2 R
B D R' U R L2 D
B D R' U R L2 D'
B D R' U R L2 D2
L2 F B R' L2 U R
U2 F B' L U L' U2
B D R' B U L2 R
B D R' B U R L2
U2 F B' L F2 U' R
B D R' B' U L2 R
B D R' B' U R L2
B D R' B2 U L2 R
B D R' B2 U R L2
U F B' L F' U' B
B D F R' U L2 R
B D F R' U R L2
B D F' R' U L2 R
B D F' R' U R L2
B D F2 R' U L2 R
B D F2 R' U R L2
B' D' L F2 R U' R'
U F' U F B' L U'
U2 F' U' B' L U' B
R' F' U2 B' L U' R'
U F' U B' F L U'
R2 F' U2 B' L U' R2
B D' R' U R D2 L2
B D' R' U' R' U2 R2
U2 F' B' L U L' U2
U2 F' B' L F2 U' R
B D' R' B2 U L R
B D' R' B2 U R L
B' D2 L F2 R U' R'
U2 F2 U' B' L U' B
U F2 U F2 B' L U'
U F2 U B' L F2 U'
U F2 U B' F2 L U'
R2 F2 U2 B' L U' R2
B D2 R F2 R2 U R
B D2 R' U R D' L2
B D2 R' U D' L2 R
B D2 R' U D' R L2
B D2 R' D' U L2 R
B D2 R' D' U R L2
U2 F2 B' L U L' U2
B D2 R' F2 U' L' U2
U2 F2 B' L F2 U' R
U F2 B' L F2 U' B
U2 B L' B2 L U' R'
U B L' B2 L U' B'
R' B R' U R2 D L2
R' B R' U2 B2 U' R2
R' B R' D B2 U L2
B D2 F2 R' U R D
B D2 F2 R' U R D'
B D2 F2 R' U R D2
B D2 F2 R' U D R
B D2 F2 R' U D' R
B D2 F2 R' U D2 R
B D2 F2 R' D U R
B D2 F2 R' D' U R
B D2 F2 R' D2 U R
B D2 F2 R' B U R
B D2 F2 R' B' U R
B D2 F2 R' B2 U R
R2 B R' U R' D L2
R2 B R' U D L2 R'
R2 B R' U D R' L2
B D2 F2 D R' U R
B D2 F2 D' R' U R
R2 B R' D U L2 R'
R2 B R' D U R' L2
B D2 F2 D2 R' U R
R2 B R' D2 F2 U R'
B' F L F2 R U' R'
L2 B U' R' F L2 U
L2 B U' F L2 R' U
L2 B U' F R' L2 U
U2 B U' B2 L U' B2
R' B U2 B2 L U' R
R' B D R' U L2 R2
R' B D R' U R2 L2
R2 B U2 B2 L U' R2
R2 B D R' B2 U L2
R' B D2 R' F2 U R2
F' B R' U R D L2
F' B R' U D L2 R
F' B R' U D R L2
F' B R' U2 B2 U' R
F' B R' D U L2 R
F' B R' D U R L2
F2 B R' U R D L2
F2 B R' U D L2 R
F2 B R' U D R L2
F2 B R' U2 B2 U' R
F2 B R' D U L2 R
F2 B R' D U R L2
L2 B F L2 R' U R
B F R' U R D L2
B F R' U D L2 R
B F R' U D R L2
L2 B F R' L2 U R
B F R' U2 B2 U' R
B F R' D U L2 R
B F R' D U R L2
F B R' U R D L2
F B R' U D L2 R
F B R' U D R L2
F B R' U2 B2 U' R
F B R' D U L2 R
F B R' D U R L2
U' B' L U2 B U B'
F' B U B2 L U' B2
R' B' L U2 L' U R
F2 B U B2 L U' B2
U2 B' L U L' U2 D
U2 B' L U L' U2 D'
U2 B' L U L' U2 D2
U2 B' L U L' D U2
U2 B' L U L' D' U2
U2 B' L U L' D2 U2
L' B' L B' R' U' R
U2 B' L U D L' U2
U2 B' L U D' L' U2
U2 B' L U D2 L' U2
U2 B' L U' F2 R F2
U2 B' L D U L' U2
U2 B' L D F2 U' R
U2 B' L D' U L' U2
B F U B2 L U' B2
U2 B' L D' F2 U' R
U2 B' L D2 U L' U2
U2 B' L D2 F2 U' R
U2 B' L F2 U' R D
U2 B' L F2 U' R D'
U2 B' L F2 U' R D2
U2 B' L F2 U' D R
U2 B' L F2 U' D' R
U2 B' L F2 U' D2 R
U2 B' L F2 D U' R
U2 B' L F2 D' U' R
U2 B' L F2 D2 U' R
R2 B' L U2 L' U R2
R2 B' L D' F2 R U'
F B U B2 L U' B2
R2 B' L F2 R U' R
U B' L R2 U F' U2
U B' L U F U2 B
U B' L U F' U2 B
U B' L U F2 U2 B
U B' L U' L B L'
U B' L U' L2 B L2
U B' L U' D B D
U B' L U' D B D'
U B' L U' D B D2
U B' L U' D' B D
U B' L U' D' B D'
U B' L U' D' B D2
U B' L U' D2 B D
U B' L U' D2 B D'
U B' L U' D2 B D2
U B' L U' B2 D B'
U B' L U' B2 D' B'
U B' L U' B2 D2 B'
U B' L U2 L U B
U B' L U2 L' U B
U B' L U2 L2 U B
F' B D R' U L2 R
F' B D R' U R L2
U B' L D U' B D
U B' L D U' B D'
U B' L D U' B D2
U B' L D' U' B D
U B' L D' U' B D'
U B' L D' U' B D2
U B' L D2 U' B D
U B' L D2 U' B D'
U B' L D2 U' B D2
F2 B D R' U L2 R
F2 B D R' U R L2
U2 B' L2 D L' F2 U'
U2 B' L2 D2 L' U' R2
U B' L' U' D F2 B
U B' L' U' D B F2
U B' L' U' B D F2
U B' L' D U' F2 B
U B' L' D U' B F2
B F D R' U L2 R
B F D R' U R L2
F B D R' U L2 R
F B D R' U R L2
U B' L2 D L' U' B
U B' L2 D' L' U' B
U B' L2 D2 L' U' B
F' B D2 F2 R' U R
F2 B D2 F2 R' U R
B' F' L F2 R U' R'
U B' R D2 L U' B'
F' B' L F2 R U' R'
B F D2 F2 R' U R
F2 B' L F2 R U' R'
F B D2 F2 R' U R
U B' R2 L U F' U2
F B' L F2 R U' R'
U2 B' U2 B2 R' U R
U2 B' D L U L' U2
U2 B' D L F2 U' R
B F' R' U R D L2
B F' R' U D L2 R
B F' R' U D R L2
B F' R' U2 B2 U' R
B F' R' D U L2 R
B F' R' D U R L2
U2 B' D' L U L' U2
U2 B' D' L F2 U' R
U B' D L U' D B
U B' D L U' D' B
U B' D L U' D2 B
U B' D L U' B D
U B' D L U' B D'
U B' D L U' B D2
U B' D L D U' B
U B' D L D' U' B
U B' D L D2 U' B
R2 B' D' L F2 R U'
U2 B' D2 L U L' U2
U2 B' D2 L F2 U' R
U B' D' L U' D B
U B' D' L U' D' B
U B' D' L U' D2 B
U B' D' L U' B D
U B' D' L U' B D'
U B' D' L U' B D2
U B' D' L D U' B
U B' D' L D' U' B
U B' D' L D2 U' B
U2 B' F L U L' U2
U2 B' F L F2 U' R
U B' D2 L U' D B
U B' D2 L U' D' B
U B' D2 L U' D2 B
U B' D2 L U' B D
U B' D2 L U' B D'
U B' D2 L U' B D2
U B' D2 L D U' B
U B' D2 L D' U' B
U B' D2 L D2 U' B
B F' U B2 L U' B2
U2 B' F' L U L' U2
U2 B' F' L F2 U' R
U B' F L F' U' B
U2 B' F2 L U L' U2
U2 B' F2 L F2 U' R
B F' D R' U L2 R
B F' D R' U R L2
U B' F2 L F2 U' B
B' F2 L F2 R U' R'
U B2 L B L U' B
B F' D2 F2 R' U R
U B2 L' B L U' B
U B2 L2 B L U' B
R' B2 R2 F' U R' F'
D2 B2 R2 F' R U R
R2 B2 R' U R' F' L'
B F2 R' U R D L2
B F2 R' U D L2 R
B F2 R' U D R L2
B F2 R' U2 B2 U' R
B F2 R' D U L2 R
B F2 R' D U R L2
B F2 U B2 L U' B2
U B2 D' B L R2 U'
U B2 D' B R2 L U'
B F2 D R' U L2 R
B F2 D R' U R L2
B F2 D2 F2 R' U R
