F2 R U' L F' U'
F2 R U' F' L U'
F2 L R U' F' U' F
D L R2 B U' L2 R'
D L R2 B U' R' L2
L R D F' R2 B U'
R L D F' R2 B U'
D2 L U2 B' U B' L2
L' R F D F2 R2 B
R2 L F U' L2 B' R'
L R F' R2 U' L2 B
L R F' R2 U' B L2
D2 L D' B2 R2 F' U'
L R F' U F' U2 L2
R L F' R2 U' L2 B
R L F' R2 U' B L2
R L F' U F' U2 L2
D L B R2 U' L2 R
D L B R2 U' R L2
F2 L' R U' L2 F' U'
F2 L' R U' F' L2 U'
D2 L' U F L2 U' B2
R L' F D F2 R2 B
D2 L' F L2 U' L2 B2
D2 L' F L2 U' B2 L2
D2 L' F' B2 D R2 F2
D2 L' F' B2 D F2 R2
D L' B D R' F2 B2
D L' B D R' B2 F2
D L' B D F2 R' B2
D L' B' D F2 B2 R'
D L' B' D B2 R' F2
D L' B' D B2 F2 R'
D2 L' B2 U F L2 U'
D2 L' B2 F' D R2 F2
D2 L' B2 F' D F2 R2
F2 L2 R U' L' F' U'
L R2 F U' L2 B' R'
F2 R L U' F' U' F
F2 R L' U' L2 F' U'
F2 R L' U' F' L2 U'
F2 R L2 U' L' F' U'
F2 R U' L D F' U'
F2 R U' L D' F' U'
F2 R U' L D2 F' U'
F2 R U' L F' U' D
F2 R U' L F' U' D'
F2 R U' L F' U' D2
F2 R U' L F' D U'
F2 R U' L F' D' U'
F2 R U' L F' D2 U'
F2 R U' L' F' L2 U'
F2 R U' D L F' U'
F2 R U' D F' L U'
F2 R U' D' L F' U'
F2 R U' D' F' L U'
F2 R U' D2 L F' U'
F2 R U' D2 F' L U'
F2 R U' F L F2 U'
F2 R U' F' L U' D
F2 R U' F' L U' D'
F2 R U' F' L U' D2
F2 R U' F' L D U'
F2 R U' F' L D' U'
F2 R U' F' L D2 U'
F2 R U' F' D L U'
F2 R U' F' D' L U'
F2 R U' F' D2 L U'
F2 R D U' L F' U'
F2 R D U' F' L U'
F2 R D' U' L F' U'
F2 R D' U' F' L U'
F2 R D2 U' L F' U'
F2 R D2 U' F' L U'
B2 R' D' B L2 U L
R2 U2 L F U' L2 B'
B2 R' D2 B U L' B
B2 R' D2 B U B L'
B2 R' B U L' D2 B2
B2 R' B U D2 L' B2
B2 R' B U D2 B2 L'
B2 R' B U' F2 R U2
B2 R' B D' L2 U L
B2 R' B D2 U L' B2
B2 R' B D2 U B2 L'
D R2 L B U' L2 R'
D R2 L B U' R' L2
R' D L R2 F' U' L2
R D L F' R2 U' L2
R' D R2 L F' U' L2
L D F' R2 B U' R'
L' D F2 B D R' B2
L' D F2 B' D B2 R'
L' D B F2 D R' B2
L' D B' F2 D B2 R'
L2 D2 L' F U' L2 B2
L2 D2 L' F U' B2 L2
R D2 L F' U' L2 B2
R D2 L F' U' B2 L2
L' D2 B D' F2 B R'
L' D2 B D' B R' F2
L' D2 B D' B F2 R'
L F R2 U' L2 B' R'
L' F D F2 R2 B R'
R F' L U F' R U2
L' F' D R2 F2 B R'
L' F' D R2 B R' F2
L' F' D R2 B F2 R'
U' F2 R U' L F' U'
U' F2 R U' F' L U'
U2 F2 R U' L F' U'
U2 F2 R U' F' L U'
U F2 R U' L F' U'
U F2 R U' F' L U'
R F2 R U' F L U'
L F2 R F' U' L2 B'
D B D L' R' F B2
D B D L' R' B2 F
D B D L' F R' B2
D B D R' L' F B2
D B D R' L' B2 F
D B D R' B2 L' F
F2 B D' R U2 F' R
B2 F2 R U R2 B U
F2 B2 R U R2 B U
B F2 D' R U2 F' R
