F R F U B R
F R D F U B R
F R D' F U B R
F R D2 F U B R
F R F L U B R
F R F L' U B R
F R F L2 U B R
F R F U D B R
F R F U D' B R
F R F U D2 B R
F R F U B R D
F R F U B R D'
F R F U B R D2
F R F U B D R
F R F U B D' R
F R F U B D2 R
F R F U B' R B2
F R F U B2 R B'
F R F D U B R
F R F D' U B R
F R F D2 U B R
F R F B' U R B2
F R F B' U B2 R
F R F B2 U R B'
F R F B2 U B' R
F R B' F U R B2
F R B' F U B2 R
F R B2 F U R B'
F R B2 F U B' R
U' R' F2 U R F B
U' R' F2 U R B F
F R2 F R' U B R2
U' R2 F2 U R F' B
U' R2 F2 U R B F'
F U' R F B L U
F U' R B F L U
F2 D R' U R2 F' B
F2 D R' U R2 B F'
F D R F U B R
F D' R F U B R
D' F2 L2 D R F' B
D' F2 L2 D R B F'
R F2 U D B R F'
D2 F2 D L2 R F' B
D2 F2 D L2 R B F'
D2 F2 D R L2 F' B
D2 F2 D R L2 B F'
R F2 U B D R F'
D2 F2 D R F' L2 B
D2 F2 D R F' B L2
D2 F2 D R B L2 F'
D2 F2 D R B F' L2
R F2 D U B R F'
F D2 R F U B R
F2 D2 B R' U R2 B
B' F R F U B R
B2 F R F U B R
B F R F U B R
F B R F U B R
F B' R F U B R
F B2 R F U B R
