D' F' R B' L B2
D' F' B' L R B
D' F' B' R L B
D' F' B2 R B L
D' B' L F' R B
D' B' F' L R B
D' B' F' R L B
D' B2 F' R B L
D' L F' R B' L B2
D' L F' B' L R B
D' L F' B' R L B
D' L F' B2 R B L
D' L B' L F' R B
D' L B' F' L R B
D' L B' F' R L B
D' L B2 F' R B L
D' L' F' R B' L B2
D' L' F' B' L R B
D' L' F' B' R L B
D' L' F' B2 R B L
D' L' B' L F' R B
D' L' B' F' L R B
D' L' B' F' R L B
D' L' B2 F' R B L
D' L2 F' R B' L B2
D' L2 F' B' L R B
D' L2 F' B' R L B
D' L2 F' B2 R B L
D' L2 B' L F' R B
D' L2 B' F' L R B
D' L2 B' F' R L B
D' L2 B2 F' R B L
D R F L' B R' F'
D R F B L' R' F'
D R F B R' L' F'
D R F2 B R' F' L'
D R B R' F L' F2
D R B F L' R' F'
D R B F R' L' F'
D R B F2 R' F' L'
U2 D' L' F' R B' L
U2 D' L' F' B' L R
U2 D' L' F' B' R L
U2 D' L' B' L F' R
U2 D' L' B' F' L R
U2 D' L' B' F' R L
L' D' F' R D' L2 B
L' D' F' R D' B L2
L' D' F' R B D' L2
L' D' F' D' L2 R B
L' D' F' D' R L2 B
L' D' F' D' R B L2
L D' F' R B D L2
U2 D' F' L' R B' L
U2 D' F' L' B' L R
U2 D' F' L' B' R L
U2 D' F' R L' B' L
D' U2 L' F' R B' L
D' U2 L' F' B' L R
D' U2 L' F' B' R L
D' U2 L' B' L F' R
D' U2 L' B' F' L R
D' U2 L' B' F' R L
D' U2 F' L' R B' L
D' U2 F' L' B' L R
D' U2 F' L' B' R L
D' U2 F' R L' B' L
D F L' R F2 B R'
D F L' R B R' F2
D F L' R B F2 R'
D F L' F2 R B R'
D F R L' F2 B R'
D F R L' B R' F2
D F R L' B F2 R'
D F R B L' R' F2
D F R B L' F2 R'
D F R B R' L' F2
F2 D R F L' B R'
F2 D R F B L' R'
F2 D R F B R' L'
F2 D R B R' F L'
F2 D R B F L' R'
F2 D R B F R' L'
D' F' L R B' L B2
D' F' L B' L R B
D' F' L B' R L B
D' F' L B2 R B L
D' F' L' R B' L B2
D' F' L' B' L R B
D' F' L' B' R L B
D' F' L' B2 R B L
D' F' L2 R B' L B2
F2 D F L' R B R'
F2 D F R L' B R'
F2 D F R B L' R'
F2 D F R B R' L'
D' F' L2 B' L R B
D' F' L2 B' R L B
D' F' L2 B2 R B L
D' F' R L B' L B2
D' F' R L' B' L B2
D' F' R L2 B' L B2
D' F' R B U2 R' U2
D' F' R B' L B2 D
D' F' R B' L B2 D'
D' F' R B' L B2 D2
D' F' R B' L' B2 L2
D' F' R B' L2 B2 L'
D' F' R' B' L R2 B
D' F' R' B' R2 L B
D' F' R' B2 R2 B L
D F' R2 B R' B L
D' F' B R D2 L2 B
D' F' B R D2 B L2
D' F' B R B D2 L2
D' F' B' L R D B
D' F' B' L R D' B
D' F' B' L R D2 B
D' F' B' L R B D
D' F' B' L R B D'
D' F' B' L R B D2
D' F' B' L D R B
D' F' B' L D' R B
D' F' B' L D2 R B
D' F' B' L B R B
D' F' B' L B' R B
D' F' B' L B2 R B
D' F' B' L' R B L2
D' F' B' L2 R B L'
D' F' B' R L D B
D' F' B' R L D' B
D' F' B' R L D2 B
D' F' B' R L B D
D' F' B' R L B D'
D' F' B' R L B D2
D' F' B' R L' B L2
D' F' B' R L2 B L'
D' F' B' R D L B
D' F' B' R D' L B
D' F' B' R D2 L B
D' F' B' D L R B
D' F' B' D R L B
D' F' B' D' L R B
D' F' B' D' R L B
D' F' B' D2 L R B
D' F' B' D2 R L B
D' F' B2 L R B L
D' F' B2 L' R B L
D' F' B2 L2 R B L
D' F' B2 R L B L
D' F' B2 R L' B L
D' F' B2 R L2 B L
D' F' B2 R D B L
D' F' B2 R D' B L
D' F' B2 R D2 B L
D' F' B2 R B L D
D' F' B2 R B L D'
D' F' B2 R B L D2
D' F' B2 R B D L
D' F' B2 R B D' L
D' F' B2 R B D2 L
D' F' B2 D R B L
D' F' B2 D' R B L
D' F' B2 D2 R B L
B' D' F' R B' L B2
B2 D' F' R B' L B2
B' D' F' B' L R B
B' D' F' B' R L B
B' D' F' B2 R B L
B2 D' F' B' L R B
B2 D' F' B' R L B
B2 D' F' B2 R B L
B D' F' R B' L B2
B D' F' B' L R B
B D' F' B' R L B
B D' F' B2 R B L
B' D' B' L F' R B
B2 D' B' L F' R B
B' D' B' F' L R B
B' D' B' F' R L B
B2 D' B' F' L R B
B2 D' B' F' R L B
B D' B' L F' R B
B' D' B2 F' R B L
B D' B' F' L R B
B D' B' F' R L B
B2 D' B2 F' R B L
B D' B2 F' R B L
D' F2 D2 F L' R B
D' F2 D2 F R L' B
D' F2 D2 F R B L'
D' B R' F' U2 R F'
D' B F' R D2 L2 B
D' B F' R D2 B L2
D' B F' R B D2 L2
D' B' L F' R D B
D' B' L F' R D' B
D' B' L F' R D2 B
D' B' L F' R B D
D' B' L F' R B D'
D' B' L F' R B D2
D' B' L F' D R B
D' B' L F' D' R B
D' B' L F' D2 R B
D' B' L F' B R B
D' B' L F' B' R B
D' B' L F' B2 R B
D' B' L B F' R B
D' B' L B' F' R B
D' B' L B2 F' R B
D' B' L' F' L2 R B
D' B' L' F' R L2 B
D' B' L' F' R B L2
D' B' F' L R D B
D' B' F' L R D' B
D' B' F' L R D2 B
D' B' F' L R B D
D' B' F' L R B D'
D' B' F' L R B D2
D' B' F' L D R B
D' B' F' L D' R B
D' B' F' L D2 R B
D' B' F' L B R B
D' B' F' L B' R B
D' B' F' L B2 R B
D' B' F' L' R B L2
D' B' F' L2 R B L'
D' B' F' R L D B
D' B' F' R L D' B
D' B' F' R L D2 B
D' B' F' R L B D
D' B' F' R L B D'
D' B' F' R L B D2
D' B' F' R L' B L2
D' B' F' R L2 B L'
D' B' F' R D L B
D' B' F' R D' L B
D' B' F' R D2 L B
D' B' F' D L R B
D' B' F' D R L B
D' B' F' D' L R B
D' B' F' D' R L B
D' B' F' D2 L R B
D' B' F' D2 R L B
D' B2 L F' R B L
D' B2 L' F' R B L
D' B2 L2 F' R B L
D' B2 U2 F' L' R B'
D' B2 U2 F' L' B' R
D' B2 U2 F' R L' B'
D' B2 F' L R B L
D' B2 F' L' R B L
D' B2 F' L2 R B L
D' B2 F' R L B L
D' B2 F' R L' B L
D' B2 F' R L2 B L
D' B2 F' R D B L
D' B2 F' R D' B L
D' B2 F' R D2 B L
D' B2 F' R B L D
D' B2 F' R B L D'
D' B2 F' R B L D2
D' B2 F' R B D L
D' B2 F' R B D' L
D' B2 F' R B D2 L
D' B2 F' D R B L
D' B2 F' D' R B L
D' B2 F' D2 R B L
