F' L' R' F2 D B R'
R' U F2 U' F' L' B
R' U F2 U' F' B L'
R' U F2 U' B F' L'
U2 R D R2 F B L
U2 R D R2 B F L
F R F' U' F2 U' F'
F R F' U2 D R2 F
F R F' U2 D F R2
F R F' D U2 R2 F
F R F' D U2 F R2
F R F' D' L2 B' U2
F' R' L' F2 D B R'
R' U' F2 U' F' B L
R' U' F2 U' B L F'
R' U' F2 U' B F' L
U2 R' D F B L R2
U2 R' D F B R2 L
U2 R' D B R2 F L
U2 R' D B F L R2
U2 R' D B F R2 L
F R' D2 L2 B D' R2
U R' F2 U' F' L' B
U R' F2 U' F' B L'
U R' F2 U' B F' L'
U2 R' B D R2 F L
U2 R' B D F L R2
U2 R' B D F R2 L
R' U2 D F B L R2
R' U2 D F B R2 L
R' U2 D B R2 F L
R' U2 D B F L R2
R' U2 D B F R2 L
R U2 D R2 F B L
R U2 D R2 B F L
R' U2 B D R2 F L
R' U2 B D F L R2
R' U2 B D F R2 L
R D R2 F' L' F2 B
R D R2 F' L' B F2
R D R2 F' B L' F2
R D R2 B F' L' F2
R' D U2 F B L R2
R' D U2 F B R2 L
R' D U2 B R2 F L
R' D U2 B F L R2
R' D U2 B F R2 L
R' D F B' R2 B2 L
R' D F' L' F2 B R2
R' D F' L' B R2 F2
R' D F' L' B F2 R2
R D U2 R2 F B L
R D U2 R2 B F L
R' D F' B L' R2 F2
R' D F' B L' F2 R2
R' D F' B R2 L' F2
R D F R2 D2 B2 L
R D F' U2 L' R2 F2
R D F' U2 L' F2 R2
F2 U R F' R B U2
R D F' U2 R2 L' F2
R' D B R2 F' L' F2
R' D B F' L' R2 F2
R' D B F' L' F2 R2
R' D B F' R2 L' F2
R' D B' F R2 B2 L
F2 U F' R F' U2 F
R D' L2 F' B' U2 L'
R D' L2 B' F' U2 L'
R' D' F' L' F2 B R
R' D' F' L' B F2 R
R' D' F' B L' F2 R
R2 D' F' L' F2 R B
R D' F D2 R2 B2 L
R D' F' L2 U2 L F2
R D' F' L2 U2 F2 L
R D' F' U2 L' F2 R
R' D' B F' L' F2 R
F2 U' D2 L F' B' L
F2 U' D2 L B' L F'
F2 U' D2 L B' F' L
F2 U' D2 F' L B' L
F2 U' D2 F' B' L B'
F2 U' D2 B' L F' B'
F2 U' D2 B' L B' F'
F2 U' D2 B' F' L B'
F2 U' F' U2 R F' U2
F U2 R F' U' F2 U'
F U2 R F' U2 D R2
F U2 R F' D U2 R2
F U2 R F' D' L2 U2
D F R2 D B2 L B'
D2 F' L' F2 D' R2 B
D' F' R U' L' F2 R
F' D' L2 F' R U' L
R' F2 U' F L' F2 B
R' F2 U' F L' B F2
R' F2 U' F B L' F2
R' F2 U' B F L' F2
F2 D2 L U' F' B' L
F2 D2 L U' B' L F'
F2 D2 L U' B' F' L
R F2 U F U2 L' F2
F2 D2 U' L F' B' L
F2 D2 U' L B' L F'
F2 D2 U' L B' F' L
F2 D2 U' F' L B' L
F2 D2 U' F' B' L B'
F2 D2 U' B' L F' B'
F2 D2 U' B' L B' F'
F2 D2 U' B' F' L B'
F2 D2 B' U' L F' B'
F2 D2 B' U' L B' F'
F2 D2 B' U' F' L B'
R' B U F2 U' F' L'
R' B D R2 F' L' F2
R' B D F' L' R2 F2
R' B D F' L' F2 R2
R' B D F' R2 L' F2
R' B D' F' L' F2 R
