F' U R U R'
F' L U R U R'
F' L' U R U R'
F' L2 U R U R'
F' U R U R' D
F' U R U R' D'
F' U R U R' D2
F' U R U D R'
F' U R U D' R'
F' U R U D2 R'
F' U R D U R'
F' U R D' U R'
F' U R D2 U R'
F' U D R U R'
F' U D' R U R'
F' U D2 R U R'
F' U B R U R'
F' U B' R U R'
F' U B2 R U R'
F' U B2 R U R'
F' D U R U R'
L' F' U R U R'
L2 F' U R U R'
L F' U R U R'
F' D' U R U R'
F' D2 U R U R'
F' B U R B' U
F' B U B' R U
F' B' U B R U
B' F' U B R U
B2 F' U R B2 U
B2 F' U B2 R U
B F' U R B' U
B F' U B' R U
F' B2 U R B2 U
F' B2 U B2 R U
F' L U R U R' D
F' L U R U R' D'
F' L U R U R' D2
F' L U R U D R'
F' L U R U D' R'
F' L U R U D2 R'
F' L U R D U R'
F' L U R D' U R'
F' L U R D2 U R'
F' L U D R U R'
F' L U D' R U R'
F' L U D2 R U R'
F' L U B R U R'
F' L U B' R U R'
F' L U B2 R U R'
F' L D U R U R'
F' L D' U R U R'
F' L D2 U R U R'
B' L F' U B R U
B2 L F' U R B2 U
B2 L F' U B2 R U
D' L F' B' U B U
F' L B U R B' U
F' L B U B' R U
F' L B' U B R U
D' L B' F' U B U
F' L B2 U R B2 U
F' L B2 U B2 R U
F' L' U R U R' D
F' L' U R U R' D'
F' L' U R U R' D2
F' L' U R U D R'
F' L' U R U D' R'
F' L' U R U D2 R'
F' L' U R D U R'
F' L' U R D' U R'
F' L' U R D2 U R'
F' L' U D R U R'
F' L' U D' R U R'
F' L' U D2 R U R'
F' L' U B R U R'
F' L' U B' R U R'
F' L' U B2 R U R'
F' L' D U R U R'
B L' D F' U2 R F'
F' L' D' U R U R'
F' L' D2 U R U R'
B' L' F' U B R U
D' L' F' U2 F2 D R2
B2 L' F' U R B2 U
B2 L' F' U B2 R U
F' L' B U R B' U
F' L' B U B' R U
F' L' B' U B R U
F' L' B2 U R B2 U
F' L' B2 U B2 R U
F' L2 U R U R' D
F' L2 U R U R' D'
F' L2 U R U R' D2
F' L2 U R U D R'
F' L2 U R U D' R'
F' L2 U R U D2 R'
F' L2 U R D U R'
F' L2 U R D' U R'
F' L2 U R D2 U R'
F' L2 U D R U R'
F' L2 U D' R U R'
F' L2 U D2 R U R'
F' L2 U B R U R'
F' L2 U B' R U R'
F' L2 U B2 R U R'
F' L2 D U R U R'
F' L2 D' U R U R'
F' L2 D2 U R U R'
B' L2 F' U B R U
B2 L2 F' U R B2 U
B2 L2 F' U B2 R U
B L2 F' U' F2 L' U'
F' L2 B U R B' U
F' L2 B U B' R U
F' L2 B' U B R U
F' L2 B2 U R B2 U
F' L2 B2 U B2 R U
F' R U L2 D' B2 L
F' R U' R' U' R U'
F2 R U' R' F U2 F2
F2 R U' F R' U2 F'
F' R U2 B2 U' L B2
F' R F U' F' R' U2
F' R F' U' R' F U2
F' R F' U' F R' U2
R' U' R F' U R U
F' R F2 U D2 B2 L
F' R F2 U' R' F2 U2
F' R F2 U' F2 R' U2
F' R F2 D2 U B2 L
R2 U' R2 F' U R U
F2 R' U' R F B U2
F2 R' U' R B F U2
D R' U' B R F' U2
F R2 D' F2 L2 R U
F R2 D' F2 R L2 U
F' U R U R2 D R
F' U R U R2 D' R
F' U R U R2 D2 R
F' U R U D R' D
F' U R U D R' D'
F' U R U D R' D2
F' U R U D' R' D
F' U R U D' R' D'
F' U R U D' R' D2
F' U R U D2 R' D
F' U R U D2 R' D'
F' U R U D2 R' D2
F' U R U F' R' F
F' U R U F2 R' F2
F' U R U' L U2 R'
F' U R U' L' U2 R'
F' U R U' L2 U2 R'
F' U R U2 F U' R'
F' U R U2 F' U' R'
F' U R U2 F2 U' R'
F' U R D U R' D
F' U R D U R' D'
F' U R D U R' D2
F' U R D' U R' D
F' U R D' U R' D'
F' U R D' U R' D2
F' U R D2 U R' D
F' U R D2 U R' D'
F' U R D2 U R' D2
F' U R B2 U' L U2
F' U R' U D' R F2
F' U R' D' U R F2
F' U R' B R2 U R'
F' U R' B' R2 U R'
F' U R' B2 R2 U R'
