L2 U' B2 L' R'
L2 U' B2 R' L'
L2 R U' B2 L' R'
L2 R U' B2 R' L'
F2 L B2 R D' F2
L2 R' U' B2 L' R'
L2 R' U' B2 R' L'
R' L2 U' B2 L' R'
R' L2 U' B2 R' L'
L2 R2 U' B2 L' R'
L2 R2 U' B2 R' L'
R2 L2 U' B2 L' R'
R2 L2 U' B2 R' L'
R L2 U' B2 L' R'
R L2 U' B2 R' L'
F2 L2 U' L' R B2
F2 L2 U' L' B2 R
F2 L2 U' R L' B2
F2 L2 U' R B2 L'
U' L2 U' B2 L' R'
U' L2 U' B2 R' L'
F2 L2 U' B2 L' R
F2 L2 U' B2 R L'
U2 L2 U' B2 L' R'
U2 L2 U' B2 R' L'
U L2 U' B2 L' R'
U L2 U' B2 R' L'
L2 U L U2 L2 B2
L2 U L U2 B2 L2
L U L U' B2 R'
L' U' L' U' L' B2
L' U' L' U' B2 L'
L2 U' L' B2 D2 R2
L2 U' R B2 L' R'
L2 U' R B2 R' L'
L2 U' R' B2 L' R'
L2 U' R' B2 R' L'
L2 U' R2 B2 L' R'
L2 U' R2 B2 R' L'
L2 U' B L' B R'
L2 U' B2 L' R' D
L2 U' B2 L' R' D'
L2 U' B2 L' R' D2
L2 U' B2 L' D R'
L2 U' B2 L' D' R'
L2 U' B2 L' D2 R'
L2 U' B2 R' L' D
L2 U' B2 R' L' D'
L2 U' B2 R' L' D2
L2 U' B2 R' D L'
L2 U' B2 R' D' L'
L2 U' B2 R' D2 L'
L2 U' B2 D L' R'
L2 U' B2 D R' L'
L2 U' B2 D' L' R'
L2 U' B2 D' R' L'
L2 U' B2 D2 L' R'
L2 U' B2 D2 R' L'
B2 R2 D F2 L' R
B2 R2 D F2 R L'
B2 D R2 F2 L' R
B2 D R2 F2 R L'
B2 D F2 R D2 L2
D F2 R D' L B2
D F2 D' L R B2
D F2 D' L B2 R
D F2 D' R L B2
L2 B U' L' B R'
L2 B U' B L' R'
L2 B U' B R' L'
R' L U L U' B2 R'
F2 L R U L U' B2
R2 L U L U' B2 R'
L2 R U L U2 L2 B2
L2 R U L U2 B2 L2
L R U L U' B2 R'
R L U L U' B2 R'
F2 L R B2 U' R' U
L' R U' L' U' L' B2
L' R U' L' U' B2 L'
L2 R U' L' B2 D2 R2
L2 R U' R B2 L' R'
L2 R U' R B2 R' L'
L2 R U' R' B2 L' R'
L2 R U' R' B2 R' L'
L2 R U' R2 B2 L' R'
L2 R U' R2 B2 R' L'
L2 R U' B L' B R'
L2 R U' B2 L' R' D
L2 R U' B2 L' R' D'
L2 R U' B2 L' R' D2
L2 R U' B2 L' D R'
L2 R U' B2 L' D' R'
L2 R U' B2 L' D2 R'
L2 R U' B2 R' L' D
L2 R U' B2 R' L' D'
L2 R U' B2 R' L' D2
L2 R U' B2 R' D L'
L2 R U' B2 R' D' L'
L2 R U' B2 R' D2 L'
L2 R U' B2 D L' R'
L2 R U' B2 D R' L'
L2 R U' B2 D' L' R'
L2 R U' B2 D' R' L'
L2 R U' B2 D2 L' R'
L2 R U' B2 D2 R' L'
U' L U L U' B2 R'
U2 L U L U' B2 R'
F2 L U L U' R B2
F2 L U L U' B2 R
F L U L F U' B2
U L U L U' B2 R'
D' L D B2 D R2 F2
D' L D B2 D F2 R2
D2 L D' F2 D' R2 B2
D2 L D' F2 D' B2 R2
D' L D2 R2 F2 D' B2
D2 L D2 R2 B2 D F2
D' L D2 F2 R2 D' B2
D2 L D2 B2 R2 D F2
L2 R B U' L' B R'
L2 R B U' B L' R'
L2 R B U' B R' L'
F L F B2 R D' F2
F' L F' B2 R D' F2
L R' U L U' B2 R'
L2 R' U L U2 L2 B2
L2 R' U L U2 B2 L2
F2 L B D' B R F'
L' R' U' L' U' L' B2
L' R' U' L' U' B2 L'
R' L' U' L' U' L' B2
R' L' U' L' U' B2 L'
R2 L' U' L' U' L' B2
R2 L' U' L' U' B2 L'
L2 R' U' L' B2 D2 R2
R L' U' L' U' L' B2
R L' U' L' U' B2 L'
L2 R' U' R B2 L' R'
L2 R' U' R B2 R' L'
L2 R' U' R' B2 L' R'
L2 R' U' R' B2 R' L'
L2 R' U' R2 B2 L' R'
L2 R' U' R2 B2 R' L'
F2 L B2 R U' R2 U
F2 L B2 R D' F2 D
F2 L B2 R D' F2 D'
F2 L B2 R D' F2 D2
F2 L B2 R F D' F2
F2 L B2 R F' D' F2
F2 L B2 R F2 D' F2
L2 R' U' B L' B R'
L2 R' U' B2 L' R' D
L2 R' U' B2 L' R' D'
L2 R' U' B2 L' R' D2
L2 R' U' B2 L' D R'
L2 R' U' B2 L' D' R'
L2 R' U' B2 L' D2 R'
L2 R' U' B2 R' L' D
L2 R' U' B2 R' L' D'
L2 R' U' B2 R' L' D2
L2 R' U' B2 R' D L'
L2 R' U' B2 R' D' L'
L2 R' U' B2 R' D2 L'
L2 R' U' B2 D L' R'
L2 R' U' B2 D R' L'
L2 R' U' B2 D' L' R'
L2 R' U' B2 D' R' L'
L2 R' U' B2 D2 L' R'
L2 R' U' B2 D2 R' L'
F2 L B2 U' R' U R2
F2 L B2 D R D' F2
F2 L B2 D' R D' F2
F2 L B2 D2 R D' F2
F' L B2 F' R D' F2
F L B2 F R D' F2
D L' U L' U L' F2
U' L' U' L' U' L' B2
U' L' U' L' U' B2 L'
U2 L' U' L' U' L' B2
U2 L' U' L' U' B2 L'
U L' U' L' U' L' B2
U L' U' L' U' B2 L'
L2 R' B U' L' B R'
L2 R' B U' B L' R'
L2 R' B U' B R' L'
R' L2 U L U2 L2 B2
R' L2 U L U2 B2 L2
R2 L2 U L U2 L2 B2
L2 R2 U L U2 L2 B2
R2 L2 U L U2 B2 L2
L2 R2 U L U2 B2 L2
L R2 U L U' B2 R'
R L2 U L U2 L2 B2
R L2 U L U2 B2 L2
L' R2 U' L' U' L' B2
L' R2 U' L' U' B2 L'
R' L2 U' L' B2 D2 R2
R' L2 U' R B2 L' R'
R' L2 U' R B2 R' L'
R' L2 U' R' B2 L' R'
R' L2 U' R' B2 R' L'
R' L2 U' R2 B2 L' R'
R' L2 U' R2 B2 R' L'
L2 R2 U' L' B2 D2 R2
R2 L2 U' L' B2 D2 R2
D2 L' F2 U R2 U L2
L2 R2 U' R B2 L' R'
L2 R2 U' R B2 R' L'
R2 L2 U' R B2 L' R'
R2 L2 U' R B2 R' L'
L2 R2 U' R' B2 L' R'
L2 R2 U' R' B2 R' L'
R L2 U' L' B2 D2 R2
D2 L' F2 U2 L2 D' F2
R2 L2 U' R' B2 L' R'
R2 L2 U' R' B2 R' L'
L2 R2 U' R2 B2 L' R'
L2 R2 U' R2 B2 R' L'
R2 L2 U' R2 B2 L' R'
R2 L2 U' R2 B2 R' L'
R' L2 U' B L' B R'
R L2 U' R B2 L' R'
R L2 U' R B2 R' L'
R L2 U' R' B2 L' R'
R L2 U' R' B2 R' L'
R' L2 U' B2 L' R' D
R' L2 U' B2 L' R' D'
R' L2 U' B2 L' R' D2
R' L2 U' B2 L' D R'
R' L2 U' B2 L' D' R'
R' L2 U' B2 L' D2 R'
R' L2 U' B2 R' L' D
R' L2 U' B2 R' L' D'
R' L2 U' B2 R' L' D2
R' L2 U' B2 R' D L'
R' L2 U' B2 R' D' L'
R' L2 U' B2 R' D2 L'
R L2 U' R2 B2 L' R'
R L2 U' R2 B2 R' L'
R' L2 U' B2 D L' R'
R' L2 U' B2 D R' L'
R' L2 U' B2 D' L' R'
R' L2 U' B2 D' R' L'
R' L2 U' B2 D2 L' R'
R' L2 U' B2 D2 R' L'
L2 R2 U' B L' B R'
R2 L2 U' B L' B R'
L2 R2 U' B2 L' R' D
L2 R2 U' B2 L' R' D'
L2 R2 U' B2 L' R' D2
L2 R2 U' B2 L' D R'
L2 R2 U' B2 L' D' R'
L2 R2 U' B2 L' D2 R'
L2 R2 U' B2 R' L' D
L2 R2 U' B2 R' L' D'
L2 R2 U' B2 R' L' D2
L2 R2 U' B2 R' D L'
L2 R2 U' B2 R' D' L'
L2 R2 U' B2 R' D2 L'
R2 L2 U' B2 L' R' D
R2 L2 U' B2 L' R' D'
R2 L2 U' B2 L' R' D2
R2 L2 U' B2 L' D R'
R2 L2 U' B2 L' D' R'
R2 L2 U' B2 L' D2 R'
L2 R2 U' B2 D L' R'
R2 L2 U' B2 R' L' D
R2 L2 U' B2 R' L' D'
R2 L2 U' B2 R' L' D2
L2 R2 U' B2 D R' L'
R2 L2 U' B2 R' D L'
R2 L2 U' B2 R' D' L'
R2 L2 U' B2 R' D2 L'
L2 R2 U' B2 D' L' R'
L2 R2 U' B2 D' R' L'
L2 R2 U' B2 D2 L' R'
L2 R2 U' B2 D2 R' L'
R2 L2 U' B2 D L' R'
R2 L2 U' B2 D R' L'
R2 L2 U' B2 D' L' R'
R2 L2 U' B2 D' R' L'
R2 L2 U' B2 D2 L' R'
R2 L2 U' B2 D2 R' L'
R L2 U' B L' B R'
R L2 U' B2 L' R' D
R L2 U' B2 L' R' D'
R L2 U' B2 L' R' D2
R L2 U' B2 L' D R'
R L2 U' B2 L' D' R'
R L2 U' B2 L' D2 R'
R L2 U' B2 R' L' D
R L2 U' B2 R' L' D'
R L2 U' B2 R' L' D2
R L2 U' B2 R' D L'
R L2 U' B2 R' D' L'
R L2 U' B2 R' D2 L'
R L2 U' B2 D L' R'
R L2 U' B2 D R' L'
R L2 U' B2 D' L' R'
R L2 U' B2 D' R' L'
R L2 U' B2 D2 L' R'
R L2 U' B2 D2 R' L'
D' L' B2 U' R2 U' L2
D' L' B2 U2 L2 D B2
U' L2 R U' B2 L' R'
U' L2 R U' B2 R' L'
U2 L2 R U' B2 L' R'
U2 L2 R U' B2 R' L'
U L2 R U' B2 L' R'
U L2 R U' B2 R' L'
U' L2 R' U' B2 L' R'
U' L2 R' U' B2 R' L'
F2 L2 R' U' L' R2 B2
F2 L2 R' U' L' B2 R2
F2 L2 R' U' R2 L' B2
F2 L2 R' U' R2 B2 L'
F2 L2 R' U' B2 L' R2
F2 L2 R' U' B2 R2 L'
U2 L2 R' U' B2 L' R'
U2 L2 R' U' B2 R' L'
U L2 R' U' B2 L' R'
U L2 R' U' B2 R' L'
U' L2 R2 U' B2 L' R'
U' L2 R2 U' B2 R' L'
F2 L2 R2 U' L' R' B2
F2 L2 R2 U' R' L' B2
F2 L2 R2 U' R' B2 L'
U2 L2 R2 U' B2 L' R'
U2 L2 R2 U' B2 R' L'
U L2 R2 U' B2 L' R'
U L2 R2 U' B2 R' L'
U' L2 U L U2 L2 B2
U' L2 U L U2 B2 L2
U2 L2 U L U2 L2 B2
U2 L2 U L U2 B2 L2
D L2 U L' F2 D2 R2
D L2 U L2 F2 L R
D L2 U L2 F2 R L
U L2 U L U2 L2 B2
U L2 U L U2 B2 L2
F2 L2 U' L R B2 L2
U' L2 U' L' B2 D2 R2
F2 L2 U' L B2 L2 R
F2 L2 U' L B2 R L2
F2 L2 U' L' R B2 D
F2 L2 U' L' R B2 D'
F2 L2 U' L' R B2 D2
F2 L2 U' L' R' B2 R2
F2 L2 U' L' B' R B'
F2 L2 U' L' B2 R D
F2 L2 U' L' B2 R D'
F2 L2 U' L' B2 R D2
F2 L2 U' L' B2 D R
F2 L2 U' L' B2 D' R
F2 L2 U' L' B2 D2 R
U' L2 U' R B2 L' R'
U' L2 U' R B2 R' L'
D L2 U' L U2 L2 F2
D L2 U' L U2 F2 L2
U2 L2 U' L' B2 D2 R2
F2 L2 U' R L B2 L2
F2 L2 U' R L' B2 D
F2 L2 U' R L' B2 D'
F2 L2 U' R L' B2 D2
U' L2 U' R' B2 L' R'
U' L2 U' R' B2 R' L'
F2 L2 U' R B L' B
F2 L2 U' R B2 L' D
F2 L2 U' R B2 L' D'
F2 L2 U' R B2 L' D2
F2 L2 U' R B2 D L'
F2 L2 U' R B2 D' L'
F2 L2 U' R B2 D2 L'
F2 L2 U' R' L' B2 R2
U' L2 U' R2 B2 L' R'
U' L2 U' R2 B2 R' L'
F2 L2 U' R' B2 L' R2
U2 L2 U' R B2 L' R'
U2 L2 U' R B2 R' L'
F2 L2 U' R' B2 R2 L'
U2 L2 U' R' B2 L' R'
U2 L2 U' R' B2 R' L'
U2 L2 U' R2 B2 L' R'
U2 L2 U' R2 B2 R' L'
U L2 U' L' B2 D2 R2
R' L2 B U' L' B R'
R' L2 B U' B L' R'
R' L2 B U' B R' L'
U' L2 U' B L' B R'
U L2 U' R B2 L' R'
U L2 U' R B2 R' L'
U L2 U' R' B2 L' R'
U L2 U' R' B2 R' L'
F2 L2 U' B L' B R
U' L2 U' B2 L' R' D
U' L2 U' B2 L' R' D'
U' L2 U' B2 L' R' D2
U' L2 U' B2 L' D R'
U' L2 U' B2 L' D' R'
U' L2 U' B2 L' D2 R'
U' L2 U' B2 R' L' D
U' L2 U' B2 R' L' D'
U' L2 U' B2 R' L' D2
U' L2 U' B2 R' D L'
U' L2 U' B2 R' D' L'
U' L2 U' B2 R' D2 L'
U2 L2 U' B L' B R'
U L2 U' R2 B2 L' R'
U L2 U' R2 B2 R' L'
U' L2 U' B2 D L' R'
U' L2 U' B2 D R' L'
F2 L2 U' B' R B' L'
U' L2 U' B2 D' L' R'
U' L2 U' B2 D' R' L'
U' L2 U' B2 D2 L' R'
U' L2 U' B2 D2 R' L'
F2 L2 U' B2 L' R D
F2 L2 U' B2 L' R D'
F2 L2 U' B2 L' R D2
F2 L2 U' B2 L' D R
F2 L2 U' B2 L' D' R
F2 L2 U' B2 L' D2 R
F2 L2 U' B2 R L' D
F2 L2 U' B2 R L' D'
F2 L2 U' B2 R L' D2
F2 L2 U' B2 R D L'
F2 L2 U' B2 R D' L'
F2 L2 U' B2 R D2 L'
F2 L2 U' B2 D L' R
F2 L2 U' B2 D R L'
F2 L2 U' B2 D' L' R
F2 L2 U' B2 D' R L'
F2 L2 U' B2 D2 L' R
F2 L2 U' B2 D2 R L'
U2 L2 U' B2 L' R' D
U2 L2 U' B2 L' R' D'
U2 L2 U' B2 L' R' D2
U2 L2 U' B2 L' D R'
U2 L2 U' B2 L' D' R'
U2 L2 U' B2 L' D2 R'
U2 L2 U' B2 R' L' D
U2 L2 U' B2 R' L' D'
U2 L2 U' B2 R' L' D2
U2 L2 U' B2 R' D L'
U2 L2 U' B2 R' D' L'
U2 L2 U' B2 R' D2 L'
U2 L2 U' B2 D L' R'
U2 L2 U' B2 D R' L'
U2 L2 U' B2 D' L' R'
U2 L2 U' B2 D' R' L'
U2 L2 U' B2 D2 L' R'
U2 L2 U' B2 D2 R' L'
L2 R2 B U' L' B R'
R2 L2 B U' L' B R'
L2 R2 B U' B L' R'
L2 R2 B U' B R' L'
R2 L2 B U' B L' R'
R2 L2 B U' B R' L'
U L2 U' B L' B R'
R L2 B U' L' B R'
U L2 U' B2 L' R' D
U L2 U' B2 L' R' D'
U L2 U' B2 L' R' D2
U L2 U' B2 L' D R'
U L2 U' B2 L' D' R'
U L2 U' B2 L' D2 R'
U L2 U' B2 R' L' D
U L2 U' B2 R' L' D'
U L2 U' B2 R' L' D2
U L2 U' B2 R' D L'
U L2 U' B2 R' D' L'
U L2 U' B2 R' D2 L'
U L2 U' B2 D L' R'
U L2 U' B2 D R' L'
U L2 U' B2 D' L' R'
U L2 U' B2 D' R' L'
R L2 B U' B L' R'
R L2 B U' B R' L'
U L2 U' B2 D2 L' R'
U L2 U' B2 D2 R' L'
F2 L2 D' R2 U' L' R'
F2 L2 D' R2 U' R' L'
L2 U L R U2 L2 B2
L2 U L R U2 B2 L2
L2 U L R' U2 L2 B2
L2 U L R' U2 B2 L2
L2 U L R2 U2 L2 B2
L2 U L R2 U2 B2 L2
L U L R U' B2 R'
L U L R' U' B2 R'
L U L R2 U' B2 R'
L U L U L U2 B2
L2 U L U2 L' B2 L'
L2 U L U2 L2 B2 D
L2 U L U2 L2 B2 D'
L2 U L U2 L2 B2 D2
L2 U L U2 B L2 B
L2 U L U2 B2 L2 D
L2 U L U2 B2 L2 D'
L2 U L U2 B2 L2 D2
L U L U' R B2 R'
L U L U' R' B2 R'
L U L U' R2 B2 R'
L U L U' B2 R' D
L U L U' B2 R' D'
L U L U' B2 R' D2
L U L U' B2 D R'
L U L U' B2 D' R'
L U L U' B2 D2 R'
L2 U L D2 R2 F2 U2
L2 U L D2 F2 R2 U2
L2 U L F U2 L2 B2
L2 U L F U2 B2 L2
L2 U L F' U2 L2 B2
L2 U L F' U2 B2 L2
L2 U L F2 U2 L2 B2
L2 U L F2 U2 B2 L2
L U L F U' B2 R'
L U L F' U' B2 R'
L' U L' U' L' B2 R'
L U L F2 U' B2 R'
R' U L2 U' B2 L' R'
R' U L2 U' B2 R' L'
L2 U L' B2 D2 R2 F2
L2 U L' B2 D2 F2 R2
R2 U L2 U' B2 L' R'
R2 U L2 U' B2 R' L'
R U L2 U' B2 L' R'
R U L2 U' B2 R' L'
L2 U R L U2 L2 B2
L2 U R L U2 B2 L2
L U R L U' B2 R'
L2 U R U2 B2 L' R'
L2 U R U2 B2 R' L'
L2 U R' L U2 L2 B2
L2 U R' L U2 B2 L2
L U R' L U' B2 R'
L2 U R' U2 B2 L' R'
L2 U R' U2 B2 R' L'
U' L2 B U' L' B R'
U' L2 B U' B L' R'
U' L2 B U' B R' L'
F2 L2 B U' L' B R
U2 L2 B U' L' B R'
F2 L2 B U' B L' R
F2 L2 B U' B R L'
U2 L2 B U' B L' R'
U2 L2 B U' B R' L'
L2 U R2 L U2 L2 B2
L2 U R2 L U2 B2 L2
L U R2 L U' B2 R'
L2 U R2 U2 B2 L' R'
L2 U R2 U2 B2 R' L'
U L2 B U' L' B R'
U L2 B U' B L' R'
U L2 B U' B R' L'
F2 L2 B' U' R B' L'
F2 L2 B' U' B' L' R
F2 L2 B' U' B' R L'
L' U D F2 L2 R U
L' U D F2 R L2 U
B2 L2 B2 U' L R' B2
B2 L2 B2 U' R' L B2
D L2 B2 U L' R' F2
D L2 B2 U L' F2 R'
D L2 B2 U R' L' F2
F2 R L U L U' B2
L2 U D2 L F2 U2 L2
L2 U D2 F2 L R U2
L2 U D2 F2 R L U2
F2 R L B2 U' R' U
L U F L U' B2 R'
U' R L2 U' B2 L' R'
U' R L2 U' B2 R' L'
U2 R L2 U' B2 L' R'
U2 R L2 U' B2 R' L'
U R L2 U' B2 L' R'
U R L2 U' B2 R' L'
L U F' L U' B2 R'
F2 R U L2 U' L' B2
F2 R U L2 U' B2 L'
L' U F2 R U L2 B2
L' U F2 R U B2 L2
L2 U F2 L R U2 B2
L2 U F2 R L U2 B2
L2 U F2 R U2 B2 R'
L U F2 L U' B2 R'
B2 R D F2 R D L2
L2 U B2 L' R' D2 F2
B2 R D F2 D L2 R
B2 R D F2 D R L2
L2 U B2 L' D2 R' F2
L2 U B2 L' D2 F2 R'
F2 R D F2 D' L B2
L2 U B2 R' L' D2 F2
L2 U B2 R' D2 L' F2
L2 U B2 D2 L' R' F2
L2 U B2 D2 L' F2 R'
L2 U B2 D2 R' L' F2
L' U' L' R U' L' B2
L' U' L' R U' B2 L'
L' U' L' R' U' L' B2
L' U' L' R' U' B2 L'
L' U' L' R2 U' L' B2
L' U' L' R2 U' B2 L'
L' U' L' U' L B2 L2
L' U' L' U' L' B2 D
L' U' L' U' L' B2 D'
L' U' L' U' L' B2 D2
L2 U' L B2 L2 D2 R2
L' U' L' U' B L' B
L' U' L' U' B2 L' D
L' U' L' U' B2 L' D'
L' U' L' U' B2 L' D2
L' U' L' U' B2 D L'
L' U' L' U' B2 D' L'
L' U' L' U' B2 D2 L'
L2 U' L' R B2 D2 R2
L2 U' L' R' B2 D2 R2
L' U' L' D' R2 U' L'
L2 U' L' R2 B2 D2 R2
L2 U' L' U2 L2 U2 B2
L' U' L' B U' L' B
L' U' L' B U' B L'
L2 U' L' D2 R2 D2 B2
L' U' L' B' U' B' L'
R' U' L2 U' B2 L' R'
R' U' L2 U' B2 R' L'
L2 U' L' B D2 B R2
L2 U' L' B' D2 R2 B'
L2 U' L' B' D2 B' R2
L2 U' L' B2 R D2 R2
L2 U' L' B2 R' D2 R2
L2 U' L' B2 R2 D2 R2
L2 U' L' B2 U2 L2 U2
L2 U' L' B2 D2 R2 D
L2 U' L' B2 D2 R2 D'
L2 U' L' B2 D2 R2 D2
R2 U' L2 U' B2 L' R'
R2 U' L2 U' B2 R' L'
L' U' R L' U' L' B2
L' U' R L' U' B2 L'
R U' L2 U' B2 L' R'
R U' L2 U' B2 R' L'
L2 U' R L' B2 D2 R2
B2 R F2 R D F2 L'
L' U' R' L' U' L' B2
L' U' R' L' U' B2 L'
L2 U' R B L' B R'
D R F2 R D' L B2
L2 U' R B2 L' R' D
L2 U' R B2 L' R' D'
L2 U' R B2 L' R' D2
L2 U' R B2 L' D R'
L2 U' R B2 L' D' R'
L2 U' R B2 L' D2 R'
L2 U' R B2 R' L' D
L2 U' R B2 R' L' D'
L2 U' R B2 R' L' D2
L2 U' R B2 R' D L'
L2 U' R B2 R' D' L'
L2 U' R B2 R' D2 L'
L2 U' R B2 D L' R'
L2 U' R B2 D R' L'
L2 U' R B2 D' L' R'
L2 U' R B2 D' R' L'
L2 U' R B2 D2 L' R'
L2 U' R B2 D2 R' L'
L2 U' R' L' B2 D2 R2
D R F2 D' L R B2
D R F2 D' L B2 R
D R F2 D' R L B2
L' U' R2 L' U' L' B2
L' U' R2 L' U' B2 L'
L2 U' R' B L' B R'
L2 U' R' B2 L' R' D
L2 U' R' B2 L' R' D'
L2 U' R' B2 L' R' D2
L2 U' R' B2 L' D R'
L2 U' R' B2 L' D' R'
L2 U' R' B2 L' D2 R'
L2 U' R' B2 R' L' D
L2 U' R' B2 R' L' D'
L2 U' R' B2 R' L' D2
L2 U' R' B2 R' D L'
L2 U' R' B2 R' D' L'
L2 U' R' B2 R' D2 L'
L2 U' R' B2 D L' R'
L2 U' R' B2 D R' L'
L2 U' R' B2 D' L' R'
L2 U' R' B2 D' R' L'
L2 U' R' B2 D2 L' R'
L2 U' R' B2 D2 R' L'
L2 U' R2 L' B2 D2 R2
L2 U' R2 B L' B R'
L2 U' R2 B2 L' R' D
L2 U' R2 B2 L' R' D'
L2 U' R2 B2 L' R' D2
L2 U' R2 B2 L' D R'
L2 U' R2 B2 L' D' R'
L2 U' R2 B2 L' D2 R'
L2 U' R2 B2 R' L' D
L2 U' R2 B2 R' L' D'
L2 U' R2 B2 R' L' D2
L2 U' R2 B2 R' D L'
L2 U' R2 B2 R' D' L'
L2 U' R2 B2 R' D2 L'
L2 U' R2 B2 D L' R'
L2 U' R2 B2 D R' L'
L2 U' R2 B2 D' L' R'
L2 U' R2 B2 D' R' L'
L2 U' R2 B2 D2 L' R'
L2 U' R2 B2 D2 R' L'
L' U' D' L' R2 B2 U'
L' U' D' L' B2 R2 U'
L' U' D' R2 L' B2 U'
L' U' D' R2 B2 L' U'
L' U' D' B2 L' R2 U'
L' U' D' B2 R2 L' U'
L2 U' D2 L' D2 R2 B2
L2 U' D2 L' D2 B2 R2
U' R' L2 U' B2 L' R'
U' R' L2 U' B2 R' L'
F2 R' L2 U' L' R2 B2
F2 R' L2 U' L' B2 R2
F2 R' L2 U' R2 L' B2
F2 R' L2 U' R2 B2 L'
F2 R' L2 U' B2 L' R2
F2 R' L2 U' B2 R2 L'
U2 R' L2 U' B2 L' R'
U2 R' L2 U' B2 R' L'
U R' L2 U' B2 L' R'
U R' L2 U' B2 R' L'
L2 U' F' B2 R' F L'
L' U' B L' U' L' B
L' U' B L' U' B L'
L2 U' B L B L2 R'
L2 U' B L B R' L2
L2 U' B L' B R' D
L2 U' B L' B R' D'
L2 U' B L' B R' D2
L2 U' B L' B D R'
L2 U' B L' B D' R'
L2 U' B L' B D2 R'
L2 U' B' R B' L' R'
L2 U' B' R B' R' L'
L2 U' B' R' B' L' R'
L2 U' B' R' B' R' L'
L2 U' B' R2 B' L' R'
L2 U' B' R2 B' R' L'
L2 U' B' D B' L' R'
L2 U' B' D B' R' L'
B2 R' D R' F2 L' R
B2 R' D R' F2 R L'
L2 U' B' D' B' L' R'
L2 U' B' D' B' R' L'
L2 U' B' D2 B' L' R'
L2 U' B' D2 B' R' L'
L2 U' B2 L' R2 D R
L2 U' B2 L' R2 D' R
L2 U' B2 L' R2 D2 R
L2 U' B2 L' D R' D
L2 U' B2 L' D R' D'
L2 U' B2 L' D R' D2
L2 U' B2 L' D' R' D
L2 U' B2 L' D' R' D'
L2 U' B2 L' D' R' D2
L2 U' B2 L' D2 R' D
L2 U' B2 L' D2 R' D'
L2 U' B2 L' D2 R' D2
L2 U' B2 L' F' R' F
L2 U' B2 L' F2 R' F2
L2 U' B2 L2 R' D L
L2 U' B2 L2 R' D' L
L2 U' B2 L2 R' D2 L
L2 U' B2 L2 D L R'
L2 U' B2 L2 D R' L
L2 U' B2 L2 D' L R'
L2 U' B2 L2 D' R' L
L2 U' B2 L2 D2 L R'
L2 U' B2 L2 D2 R' L
L2 U' B2 R' L2 D L
L2 U' B2 R' L2 D' L
L2 U' B2 R' L2 D2 L
L2 U' B2 R' D L' D
L2 U' B2 R' D L' D'
L2 U' B2 R' D L' D2
L2 U' B2 R' D' L' D
L2 U' B2 R' D' L' D'
L2 U' B2 R' D' L' D2
L2 U' B2 R' D2 L' D
L2 U' B2 R' D2 L' D'
L2 U' B2 R' D2 L' D2
L2 U' B2 R' B' L' B
L2 U' B2 R' B2 L' B2
L2 U' B2 R2 L' D R
L2 U' B2 R2 L' D' R
L2 U' B2 R2 L' D2 R
L2 U' B2 R2 D L' R
L2 U' B2 R2 D R L'
L2 U' B2 R2 D' L' R
L2 U' B2 R2 D' R L'
L2 U' B2 R2 D2 L' R
L2 U' B2 R2 D2 R L'
B2 R' D' L' B2 U2 B2
L2 U' B2 D L' R' D
L2 U' B2 D L' R' D'
L2 U' B2 D L' R' D2
L2 U' B2 D L' D R'
L2 U' B2 D L' D' R'
L2 U' B2 D L' D2 R'
L2 U' B2 D R' L' D
L2 U' B2 D R' L' D'
L2 U' B2 D R' L' D2
L2 U' B2 D R' D L'
L2 U' B2 D R' D' L'
L2 U' B2 D R' D2 L'
L2 U' B2 D' L' R' D
L2 U' B2 D' L' R' D'
L2 U' B2 D' L' R' D2
L2 U' B2 D' L' D R'
L2 U' B2 D' L' D' R'
L2 U' B2 D' L' D2 R'
L2 U' B2 D' R' L' D
L2 U' B2 D' R' L' D'
