F U L R F'
F U R L F'
F U R F' L
U L R F' D R2
R U L F' D R2
U R L F' D R2
F2 R U L F' R
F2 R U F' L R
F2 R U F' R L
F R' U L R2 F'
F R' U R2 L F'
F R' U R2 F' L
F2 U L R F' R
F2 U L F' R F'
F U L R D F'
F U L R D' F'
F U L R D2 F'
F U L R F' D
F U L R F' D'
F U L R F' D2
F U L R F' D2
F U L' R F' L2
F2 U R L F' R
F2 U R F' L R
F2 U R F' R L
F U R L D F'
F U R L D' F'
F U R L D2 F'
F U R L F' D
F U R L F' D'
F U R L F' D2
F U R L' F' L2
F U R D L F'
F U R D F' L
F U R D' L F'
F U R D' F' L
F U R D2 L F'
F U R D2 F' L
F U R F L F2
F U R F' L D
F U R F' L D'
F U R F' L D2
F U R F' D L
F U R F' D' L
F U R F' D2 L
F2 U F' L R F'
F2 U F' R L F'
F2 U F' R F' L
F' U F2 L R F'
F' U F2 R L F'
F' U F2 R F' L
R F U L R F2
R F U R L F2
R F U R F2 L
F L R U' L' U F'
U L R U F U' F2
U L R D F' D R2
U L R D' F' D R2
U L R D2 F' D R2
U L R F' R D R2
U L R F' R' D R2
U L R F' R2 D R2
U L R F' U F2 U'
U L R F' D R2 D
U L R F' D R2 D'
U L R F' D R2 D2
U L R' F' D R2 F'
U L U D' F L' U'
F L U' L' U R F'
U L D' U F L' U'
U L F' R D F' R2
U L F' R' D R2 F'
F L2 R D' L' F' B2
F L2 R D' L' B2 F'
U L2 R D L' F' R
F L2 R D' B2 L' F'
D' L2 D' L' F R B2
D' L2 D' L' F B2 R
D' L2 D' L' B2 F R
R' U L R2 F' D R2
D' L2 D' B2 L' F R
R' U L F' D R2 F'
R U L U F U' F2
R U L D F' D R2
R U L D' F' D R2
R U L D2 F' D R2
R U L F' R D R2
R U L F' R' D R2
R U L F' R2 D R2
R U L F' U F2 U'
R U L F' D R2 D
R U L F' D R2 D'
R U L F' D R2 D2
R U L2 D L' F' R
R' U R2 L F' D R2
R U D L F' D R2
R U D' L F' D R2
F R L U' L' U F'
U R L U F U' F2
R U D2 L F' D R2
U R L D F' D R2
U R L D' F' D R2
U R L D2 F' D R2
U R L F' R D R2
U R L F' R' D R2
U R L F' R2 D R2
U R L F' U F2 U'
U R L F' D R2 D
U R L F' D R2 D'
U R L F' D R2 D2
F' R U L D2 F' R2
F' R U L F' D2 R2
F R L2 D' L' F' B2
F R L2 D' L' B2 F'
F R L2 D' B2 L' F'
U R L2 D L' F' R
R U F' L U F U'
F2 R U L F' R D
F2 R U L F' R D'
F2 R U L F' R D2
F2 R U L F' D R
F2 R U L F' D' R
F2 R U L F' D2 R
F2 R U L' F' L2 R
F2 R U L' F' R L2
F' R U F2 R F L
F2 R U F' L R D
F2 R U F' L R D'
F2 R U F' L R D2
F2 R U F' L D R
F2 R U F' L D' R
F2 R U F' L D2 R
F2 R U F' R L D
F2 R U F' R L D'
F2 R U F' R L D2
F2 R U F' R D L
F2 R U F' R D' L
F2 R U F' R D2 L
F2 R U F' D L R
F2 R U F' D R L
F2 R U F' D' L R
F2 R U F' D' R L
F2 R U F' D2 L R
F2 R U F' D2 R L
F2 R U F' D2 R L
F' R U' L' U2 L2 F'
F' R U' L' U2 F' L2
U R D L F' D R2
U R D' L F' D R2
U R D2 L F' D R2
L U' L' R B U F'
L U' L' U F R F'
B2 R F U R F2 L'
F2 R F U F2 L R
F2 R F U F2 R L
F R F' L U' L' U
U R F' L U F U'
F R F' L2 D' L' B2
F R F' L2 D' B2 L'
L U' R L' B U F'
F' R F2 U R F L
L U' R B L' U F'
L U' D2 L' U F R
U R' L F' D R2 F'
F' R' U L D2 R2 F'
F2 R' U L R2 F' R
F2 R' U R2 L F' R
F2 R' U R2 F' L R
F2 R' U R2 F' R L
F R' U L R2 D F'
F R' U L R2 D' F'
F R' U L R2 D2 F'
F R' U L R2 F' D
F R' U L R2 F' D'
F R' U L R2 F' D2
F R' U L F R2 F'
F R' U L F' R2 F'
F R' U L F2 R2 F'
F R' U L' R2 F' L2
F R' U R2 L D F'
F R' U R2 L D' F'
F R' U R2 L D2 F'
F R' U R2 L F' D
F R' U R2 L F' D'
F R' U R2 L F' D2
F R' U R2 L' F' L2
F' R' U' L' B U2 L2
F R' U R2 D L F'
F R' U R2 D F' L
F R' U R2 D' L F'
F R' U R2 D' F' L
F R' U R2 D2 L F'
F R' U R2 D2 F' L
F R' U R2 F L F2
F R' U R2 F' L D
F R' U R2 F' L D'
F R' U R2 F' L D2
F R' U R2 F' D L
F R' U R2 F' D' L
F R' U R2 F' D2 L
F R' U F L R2 F'
F R' U F R2 L F'
F R' U F R2 F' L
F R' U F' L R2 F'
F R' U F' R2 L F'
F R' U F' R2 F' L
F R' U F2 L R2 F'
F R' U F2 R2 L F'
F R' U F2 R2 F' L
F R' F U L R2 F'
F R' F U R2 L F'
F R' F U R2 F' L
F R' F' U L R2 F'
F R' F' U R2 L F'
F R' F' U R2 F' L
F R' F2 U L R2 F'
F R' F2 U R2 L F'
F R' F2 U R2 F' L
R D U L F' D R2
F' U L R D2 F' R2
F' U L R F' D2 R2
F' U L R' D2 R2 F'
D' U L U F L' U'
F2 U L R F' R D
F2 U L R F' R D'
F2 U L R F' R D2
F2 U L R F' D R
F2 U L R F' D' R
F2 U L R F' D2 R
F2 U L F' R D F'
F2 U L F' R D' F'
F2 U L F' R D2 F'
F2 U L F' R F' D
F2 U L F' R F' D'
F2 U L F' R F' D2
F U L R D F' D
F U L R D F' D'
F U L R D F' D2
F U L R D' F' D
F U L R D' F' D'
F U L R D' F' D2
F U L R D2 F' D
F U L R D2 F' D'
F U L R D2 F' D2
F U L R F2 D F
F U L R F2 D' F
F U L R F2 D2 F
F U L R' F R2 F'
F U L R' F' R2 F'
F U L R' F2 R2 F'
F U L R2 D R' F'
F U L R2 D' R' F'
F U L R2 D2 R' F'
F U L R2 F R' F'
F U L R2 F' R' F'
F U L R2 F2 R' F'
F2 U L' R F' L2 R
F2 U L' R F' R L2
F U L F R F' R
F U L B R F' B'
F U L B R B' F'
F2 U L' F' L2 R F'
F2 U L' F' R L2 F'
F2 U L' F' R F' L2
F U L B2 R F' B2
F U L B2 R B2 F'
F U L' R F L2 F2
F U L' R F' L2 D
F U L' R F' L2 D'
F U L' R F' L2 D2
R D F U L R F2
R D F U R L F2
R D F U R F2 L
F' U R L D2 F' R2
F' U R L F' D2 R2
F U L2 R D L' F'
F U L2 R D' L' F'
